,cat,id
0,3,149651
1,1,284317
2,0,816285
3,3,1087078
4,1,1554984
5,1,1835434
6,2,1848174
7,2,1919139
8,3,2168182
9,0,2171189
10,3,2177388
11,0,2472552
12,2,2686510
13,2,3120822
14,0,3432721
15,0,3914494
16,3,4855114
17,1,4859582
18,1,6726316
19,1,7290355
20,3,7948378
21,2,8929239
22,1,10434713
23,3,10819726
24,1,11389172
25,1,12044796
26,3,12545067
27,1,12818637
28,1,12820324
29,3,12821797
30,1,12823260
31,3,12831154
32,1,12852111
33,3,15502285
34,3,15595829
35,3,16052679
36,2,16052843
37,3,16383402
38,2,16787286
39,3,19352902
40,1,19354174
41,3,21532466
42,1,22355430
43,3,22524279
44,2,22974629
45,0,23780073
46,1,24144157
47,2,25004434
48,3,25187521
49,3,26049127
50,2,26125153
51,3,27286612
52,2,28267466
53,3,29300293
54,1,29323062
55,0,29867359
56,1,30092975
57,2,30136358
58,2,31763420
59,2,34028590
60,3,36769344
61,1,37542831
62,2,37720900
63,1,38615403
64,1,38725350
65,1,38953273
66,2,39396986
67,3,39408074
68,0,39911368
69,3,40818492
70,2,41900369
71,2,43011459
72,3,43596134
73,0,44777041
74,0,45740965
75,2,47210010
76,2,48327713
77,2,48777814
78,3,49236598
79,3,49254528
80,3,49254722
81,2,50251922
82,2,53875236
83,1,54891491
84,2,55548846
85,1,55562107
86,1,55562153
87,2,56396706
88,1,56642407
89,3,56749210
90,1,57817632
91,3,58423337
92,2,60117435
93,3,60995151
94,3,61125048
95,1,62808269
96,2,64846596
97,1,64891124
98,2,65084449
99,1,65408372
100,1,65408435
101,3,68114248
102,2,68800123
103,2,69116551
104,3,70140797
105,0,70146404
106,0,70151695
107,1,70821486
108,1,70869322
109,0,74296105
110,0,74374572
111,3,75683648
112,0,77197013
113,0,77537387
114,1,81331357
115,2,81750115
116,0,81835566
117,0,82215142
118,0,84131781
119,3,85321491
120,3,87808823
121,2,90426562
122,1,91719753
123,2,91977102
124,1,92464637
125,1,92464890
126,2,95205660
127,1,95876722
128,0,97307387
129,0,97632750
130,1,98078348
131,0,99133491
132,1,100072135
133,1,100159337
134,3,100304942
135,2,100318854
136,0,101021637
137,0,101022124
138,2,103396422
139,2,103912052
140,2,104600763
141,0,105129782
142,3,105387826
143,3,105618578
144,3,105714126
145,2,105731715
146,1,107367241
147,1,107723466
148,3,108573002
149,0,108679328
150,1,109449827
151,1,110135297
152,3,110168131
153,1,110312878
154,0,111126619
155,1,111272827
156,3,112646033
157,1,114901965
158,3,114987584
159,0,114987586
160,0,115120218
161,0,115420523
162,2,115678284
163,1,116511651
164,3,117426071
165,3,117442617
166,1,119179480
167,1,119315699
168,2,119483678
169,2,119640819
170,2,119640878
171,1,119819021
172,2,120344895
173,0,120777578
174,1,121839430
175,2,123480851
176,3,123530795
177,1,123996264
178,1,124606033
179,0,124616181
180,1,124797509
181,3,127090203
182,3,127194458
183,1,127268604
184,3,128035227
185,2,128091568
186,1,132294688
187,1,132477665
188,1,132480516
189,1,132582018
190,1,132587205
191,2,133254045
192,0,133358558
193,2,135047722
194,2,136079388
195,1,136607781
196,3,136624904
197,0,137000442
198,1,137225728
199,3,138225548
200,2,138263352
201,2,138784117
202,2,138784741
203,2,138785433
204,1,140837784
205,3,141939741
206,3,142774269
207,2,143580551
208,3,143780426
209,0,143957667
210,2,145393393
211,3,148822076
212,2,149608213
213,2,149849736
214,3,149850865
215,1,150712664
216,3,150915555
217,2,151234202
218,1,152183307
219,0,153220405
220,2,154013681
221,2,154384630
222,0,154636237
223,0,156806284
224,3,156839612
225,3,157341021
226,1,157383487
227,1,157973500
228,2,160146431
229,1,160819053
230,1,162471307
231,2,163261269
232,1,164489502
233,3,164627574
234,2,166270460
235,1,166518630
236,1,167291864
237,0,167846546
238,0,168213963
239,0,169311272
240,0,169967651
241,1,170586867
242,3,173633510
243,0,174042325
244,3,175253248
245,1,175295262
246,1,175534070
247,2,176567804
248,0,178820148
249,3,178903174
250,1,179227583
251,1,180078790
252,1,180304180
253,3,180597356
254,3,180961960
255,3,181045134
256,3,182489695
257,3,182491517
258,3,182491796
259,0,183216815
260,2,184234348
261,2,185132348
262,1,185660174
263,1,185711161
264,1,189371324
265,3,190035214
266,3,190035578
267,1,190037939
268,2,190411474
269,3,191680491
270,3,192942571
271,2,193202915
272,0,193502620
273,3,194010939
274,0,194066224
275,3,194287718
276,3,194964858
277,2,195062955
278,2,195064403
279,0,195079812
280,1,195268589
281,1,195842304
282,2,196141024
283,0,198001346
284,0,198624911
285,3,199095496
286,2,200443259
287,0,201048845
288,2,202601220
289,1,203713853
290,3,203748152
291,3,204935502
292,3,206424891
293,3,206425020
294,2,206484261
295,3,208109671
296,2,210847002
297,2,211404838
298,3,211636674
299,2,211787466
300,2,211912058
301,2,212011779
302,3,212218651
303,2,212450752
304,1,213917041
305,3,214189641
306,3,214837197
307,1,216397262
308,3,216669977
309,3,217286080
310,1,217586034
311,2,217743826
312,2,218421730
313,1,218481147
314,2,218657932
315,3,220222263
316,1,220624566
317,3,222561056
318,0,222874263
319,0,222949592
320,1,223427031
321,3,223427422
322,3,223675651
323,1,223878352
324,3,224359122
325,1,227235503
326,1,227320631
327,1,227895355
328,3,231656376
329,3,234450396
330,1,235483755
331,3,236634619
332,3,236869909
333,1,237076844
334,2,239065007
335,3,239081351
336,3,239715473
337,3,239852325
338,3,242088828
339,3,242331030
340,0,242343723
341,1,244572043
342,3,244602794
343,3,244749397
344,1,245325235
345,3,245968953
346,2,246953952
347,2,247084542
348,2,247997540
349,2,249640374
350,1,251047922
351,3,251067850
352,3,251161973
353,3,251194266
354,2,251320049
355,3,251836787
356,3,251890957
357,3,253758573
358,2,253962917
359,3,255082863
360,3,255481177
361,3,255784729
362,1,257270366
363,2,257599774
364,3,258037151
365,3,259737122
366,0,260715788
367,2,261873849
368,2,261988927
369,0,262049047
370,1,262849455
371,0,264652062
372,1,264725148
373,3,264806090
374,3,264806263
375,3,266681344
376,1,266920049
377,3,268757625
378,3,269460688
379,3,270061329
380,3,270614558
381,0,270874261
382,3,271044111
383,2,271689349
384,3,272218913
385,3,273859515
386,1,274074725
387,0,274164462
388,3,274321841
389,0,275353957
390,0,275722332
391,0,276332748
392,3,277345411
393,1,277504182
394,2,277611672
395,2,277616158
396,1,278226315
397,2,278424542
398,1,279066159
399,2,279066477
400,2,279087441
401,2,279146211
402,1,279292805
403,0,281322231
404,3,283337409
405,1,284350572
406,3,284638125
407,3,284693428
408,2,285867270
409,1,286386978
410,1,287633195
411,1,287647571
412,3,288312233
413,2,290320618
414,2,290608102
415,3,291939708
416,0,293978089
417,2,294523060
418,3,295777555
419,0,296419551
420,0,299420452
421,1,299461769
422,0,300203410
423,1,300215071
424,2,300636653
425,1,300778956
426,1,300918315
427,1,301808615
428,1,301809588
429,3,303466417
430,1,303971473
431,0,304236430
432,0,305747573
433,3,306473429
434,0,306642013
435,2,310748545
436,2,311147593
437,1,312492496
438,1,313731714
439,3,314324152
440,1,315685338
441,3,315730330
442,3,317180003
443,1,319531606
444,2,319766631
445,2,319885510
446,0,319908530
447,0,320026235
448,2,320083501
449,2,320083605
450,1,320388603
451,0,320528963
452,1,322118862
453,0,322476337
454,1,324089164
455,0,325374350
456,0,326218024
457,3,326413400
458,0,328814341
459,0,329291862
460,1,329326921
461,3,329359252
462,2,329420787
463,2,329429338
464,2,330886149
465,3,331267674
466,3,331295234
467,3,331295319
468,3,332173744
469,1,333494527
470,3,333949091
471,0,334101453
472,1,334113172
473,0,334574149
474,3,335643563
475,3,335671986
476,2,335872604
477,3,337263666
478,0,338252957
479,2,338738176
480,3,339240340
481,3,340170903
482,3,342397545
483,3,342403820
484,0,342411494
485,0,345349620
486,0,345349636
487,0,345349689
488,0,345349892
489,0,345350022
490,0,345350085
491,3,346060568
492,1,346106757
493,2,346627308
494,1,348638879
495,3,349302647
496,2,350948191
497,0,351203269
498,3,351998857
499,1,353611112
500,2,355867337
501,2,356353778
502,3,356504762
503,0,356841026
504,0,358856895
505,3,359503142
506,3,360999041
507,3,361000812
508,3,361006700
509,3,361006894
510,3,361010115
511,3,361013917
512,3,361014324
513,3,361014394
514,3,361016087
515,3,361016755
516,3,361017437
517,3,361017541
518,3,361021063
519,3,361028020
520,1,361029964
521,3,361035435
522,2,361036505
523,3,361041921
524,2,361047759
525,2,361049231
526,3,361050512
527,3,361052031
528,3,361052560
529,2,361054842
530,2,361055356
531,3,361055640
532,3,361056756
533,3,361056908
534,3,361059365
535,3,361061222
536,3,361061742
537,3,361062182
538,2,361062690
539,3,361062824
540,3,361063685
541,3,361065014
542,3,361065663
543,3,361066027
544,1,361069059
545,3,361071533
546,3,361073234
547,3,361082163
548,3,361092530
549,3,361095052
550,2,362664024
551,1,363586485
552,1,363586499
553,3,363904077
554,1,365674534
555,1,366355537
556,3,367829425
557,3,368345036
558,3,369150456
559,2,370802646
560,2,371245641
561,2,371400073
562,0,371604935
563,2,373010247
564,1,373041323
565,1,373985729
566,1,374397936
567,2,375043308
568,0,375337730
569,3,375750468
570,3,376400016
571,0,377854656
572,3,379625313
573,3,381497129
574,1,381565966
575,3,381913141
576,3,382457607
577,2,384049393
578,3,384862688
579,1,385227683
580,2,385413914
581,3,387373024
582,1,388306189
583,1,391070930
584,0,392600433
585,1,393577113
586,1,394732669
587,2,395137971
588,3,395406377
589,0,395434179
590,3,396183538
591,2,396213423
592,2,396860766
593,1,397334791
594,0,397515145
595,1,397726689
596,3,397869466
597,1,398628893
598,3,399775660
599,3,400224801
600,1,400420400
601,0,400715937
602,2,401556448
603,2,403166260
604,2,403307493
605,2,404703182
606,3,405902418
607,3,406358758
608,2,408120498
609,1,408245770
610,2,408315591
611,0,408326236
612,3,408706391
613,1,410749465
614,1,411054984
615,3,412155004
616,3,412315601
617,2,412475483
618,1,413722681
619,3,413744064
620,1,415150737
621,1,416365085
622,3,416554789
623,3,417462253
624,3,417901702
625,1,418205753
626,0,418392256
627,3,419509017
628,3,419878349
629,1,420452987
630,0,420541921
631,3,423289709
632,2,423516433
633,2,423680196
634,0,431478698
635,0,437233585
636,0,441563458
637,0,442053292
638,0,442060855
639,0,442061171
640,0,442062361
641,0,442062967
642,0,442180243
643,0,442187593
644,0,442277129
645,3,454471875
646,0,455331306
647,0,455408093
648,0,456112892
649,0,456112899
650,0,468313804
651,0,476947903
652,0,476948087
653,0,477457726
654,0,479176610
655,3,479623131
656,0,483037901
657,0,483452136
658,0,484049899
659,0,484050195
660,0,484050230
661,0,485794027
662,0,488792969
663,0,489690248
664,0,489691104
665,1,490205199
666,3,493791586
667,0,494906572
668,3,498445431
669,2,500397597
670,0,504447143
671,0,505185801
672,0,506453993
673,0,507589105
674,0,508531882
675,0,508531911
676,0,509922604
677,0,509953044
678,0,510453382
679,0,511637257
680,2,514951657
681,3,515212991
682,1,517181152
683,1,519300133
684,0,525749286
685,1,527194703
686,0,531894463
687,0,531894537
688,0,531894711
689,0,533853477
690,1,534117800
691,0,537025265
692,2,537025300
693,0,539209514
694,3,540145212
695,0,546091244
696,1,548591907
697,0,550473921
698,1,550504559
699,0,552186004
700,3,555942691
701,0,560993491
702,0,563444745
703,3,563703285
704,2,572492335
705,0,583499666
706,3,583923663
707,0,584421058
708,1,584843255
709,0,586131113
710,0,586306241
711,3,596218482
712,2,596827580
713,1,596936056
714,3,597482099
715,2,597675118
716,0,600680614
717,0,600891741
718,0,609533635
719,0,610242662
720,0,610397741
721,3,610507524
722,1,610982297
723,1,624804021
724,0,627373290
725,3,638410907
726,0,638773872
727,0,639851723
728,0,640484205
729,0,642384600
730,1,642710968
731,0,642733368
732,0,642968696
733,0,645228006
734,0,652224997
735,0,652965020
736,0,663348697
737,3,664580509
738,2,666716198
739,0,667198147
740,3,675810993
741,3,679400198
742,0,681041594
743,0,681911512
744,0,682105707
745,1,683758249
746,3,687298965
747,0,690923312
748,3,693333353
749,2,693471440
750,0,693471522
751,0,693471576
752,0,693472943
753,0,693473025
754,0,693473068
755,0,693474007
756,0,693475602
757,0,693477366
758,0,693477954
759,0,693477998
760,0,693478108
761,0,693478545
762,0,693479739
763,0,693479993
764,0,693480161
765,0,693480735
766,0,693480973
767,0,693482952
768,0,693483819
769,0,693484188
770,0,693484286
771,0,693484634
772,0,693484652
773,0,693484810
774,0,693485987
775,0,693486576
776,0,693486809
777,0,693486891
778,0,693487013
779,0,693487559
780,0,693487715
781,0,693488008
782,0,693488072
783,0,693488325
784,0,693488613
785,0,693489409
786,0,693489623
787,0,693489653
788,0,693490317
789,0,693491324
790,0,693491766
791,0,693491974
792,0,693492766
793,0,693493303
794,0,693493443
795,0,693493956
796,0,693494579
797,0,693494823
798,0,693494826
799,0,693495348
800,0,693496173
801,0,693497875
802,2,693597025
803,0,693933910
804,3,695044360
805,0,695485343
806,0,701398904
807,0,709132096
808,0,710801527
809,3,714595612
810,3,721715375
811,1,723727065
812,0,723886564
813,1,727453545
814,1,729525899
815,3,737464258
816,0,747412410
817,1,747787788
818,0,750094375
819,1,751628994
820,1,751629017
821,0,751651823
822,1,754944250
823,2,755862194
824,0,761768420
825,0,761768485
826,0,762834676
827,2,763231040
828,0,763622030
829,0,763622039
830,0,763852583
831,3,764641574
832,0,768089446
833,1,768221865
834,2,771821370
835,0,774709853
836,2,781877657
837,2,781878718
838,2,781883521
839,0,781989794
840,0,782052422
841,0,782316655
842,0,782651824
843,0,789020542
844,0,790693193
845,3,792920780
846,0,798122666
847,3,806513066
848,0,811155889
849,1,814592545
850,0,815643217
851,3,815817857
852,0,817285771
853,0,817444563
854,1,817623825
855,0,819843570
856,0,820054480
857,2,820429243
858,0,820474068
859,0,821207629
860,0,825050775
861,3,826852102
862,3,827545732
863,3,828349722
864,0,831553092
865,0,831553263
866,1,831661993
867,0,834953170
868,1,843025107
869,0,844897561
870,0,848610418
871,0,850822750
872,3,851117233
873,1,852547684
874,0,853720497
875,0,856781075
876,0,862862302
877,3,871339030
878,3,871706842
879,2,872203009
880,0,877019812
881,0,877019817
882,0,878727418
883,2,881198523
884,0,882988594
885,1,886038694
886,1,886040009
887,0,886249648
888,0,886686274
889,0,889413241
890,3,890765449
891,1,893373036
892,3,895969829
893,3,898622889
894,0,903096722
895,2,905835362
896,0,907959030
897,0,908279967
898,3,908562323
899,0,910816954
900,0,911161731
901,1,911213498
902,0,911216095
903,0,911416547
904,3,916041523
905,0,916381504
906,1,918272825
907,2,918729676
908,1,920679960
909,1,921878344
910,2,931586082
911,0,931591131
912,3,933256831
913,2,934670123
914,0,938764519
915,0,942834658
916,3,943823504
917,0,945796812
918,0,945798978
919,0,952293062
920,1,955807133
921,0,961616918
922,0,962876519
923,0,963488076
924,0,964934051
925,0,965415832
926,0,965832402
927,3,968180619
928,0,972874111
929,0,973890632
930,2,976635306
931,0,982672405
932,3,986027464
933,0,991948354
934,0,994684203
935,0,995299625
936,0,995377985
937,0,996704906
938,3,997955231
939,0,1000500494
940,2,1009731075
941,0,1012644172
942,0,1012733788
943,0,1013075099
944,1,1016049399
945,2,1019648993
946,0,1020833329
947,3,1021860427
948,0,1027608580
949,1,1028751427
950,3,1029718855
951,0,1029734463
952,0,1031850437
953,0,1032192753
954,3,1032414018
955,3,1039815013
956,3,1040142597
957,1,1042605194
958,2,1043531685
959,0,1043614100
960,3,1044864791
961,0,1044947271
962,3,1044948513
963,0,1046651076
964,3,1049244770
965,0,1050097568
966,0,1051138757
967,3,1052951409
968,0,1053751062
969,0,1054108323
970,2,1054474596
971,1,1055494520
972,0,1055573075
973,0,1056139004
974,1,1058131002
975,1,1058250439
976,0,1060085231
977,0,1062654619
978,0,1062654743
979,1,1063069832
980,0,1067078399
981,0,1069949046
982,0,1070011588
983,3,1070147803
984,0,1074881952
985,0,1077027191
986,0,1079509702
987,0,1080075703
988,0,1083387263
989,0,1083387362
990,0,1086313663
991,2,1087872848
992,2,1087873724
993,3,1088136640
994,0,1090040157
995,0,1095051571
996,1,1095974287
997,3,1096551225
998,0,1097693740
999,0,1100778945
1000,1,1100961191
1001,2,1101319876
1002,2,1102423767
1003,0,1103058831
1004,1,1104088005
1005,0,1104569789
1006,0,1105087172
1007,0,1105218528
1008,0,1105436779
1009,3,1105493220
1010,0,1105984578
1011,3,1106022861
1012,0,1106414002
1013,3,1106792379
1014,3,1107144723
1015,3,1107152279
1016,0,1109016557
1017,3,1109037978
1018,0,1110128555
1019,0,1110130544
1020,3,1110513810
1021,0,1111660492
1022,0,1111960472
1023,0,1111960508
1024,3,1112530473
1025,1,1112705019
1026,0,1113596877
1027,3,1116326938
1028,3,1116354021
1029,3,1116397569
1030,2,1116397706
1031,0,1118063790
1032,3,1120884915
1033,0,1124759593
1034,0,1125978306
1035,0,1126726978
1036,1,1127151636
1037,0,1132612750
1038,3,1134158756
1039,3,1135079333
1040,0,1136309228
1041,0,1136732418
1042,0,1137715585
1043,2,1139278070
1044,1,1139287962
1045,0,1139661125
1046,0,1141553840
1047,0,1141554002
1048,0,1141555027
1049,1,1141579508
1050,0,1142531995
1051,3,1143124007
1052,3,1143124023
1053,0,1143390297
1054,1,1144006644
1055,0,1144676861
1056,0,1145019245
1057,1,1145481813
1058,0,1146031132
1059,0,1146057990
1060,0,1149937669
1061,0,1150895439
1062,3,1151015884
1063,0,1151171738
1064,3,1154771311
1065,1,1156410020
1066,0,1157495225
1067,0,1158177769
1068,0,1158341958
1069,2,1158342099
1070,0,1160242228
1071,3,1160636865
1072,3,1160636893
1073,3,1160636920
1074,0,1160637120
1075,0,1160637163
1076,3,1160638217
1077,0,1160638693
1078,0,1160638721
1079,0,1160638801
1080,3,1160638818
1081,0,1160641079
1082,0,1160641096
1083,3,1160644471
1084,0,1160644628
1085,3,1161085223
1086,0,1161672206
1087,0,1162090581
1088,1,1162297041
1089,1,1162298753
1090,1,1165837501
1091,2,1171769392
1092,0,1172240767
1093,0,1173219797
1094,2,1173987824
1095,0,1176378723
1096,2,1185310403
1097,0,1186000873
1098,1,1187677293
1099,2,1190568633
1100,1,1191117379
1101,3,1192131618
1102,1,1194104432
1103,3,1196120260
1104,0,1198676169
1105,1,1198878026
1106,0,1198978291
1107,3,1199235907
1108,3,1201776857
1109,1,1202939703
1110,0,1203535935
1111,3,1209097243
1112,1,1209433155
1113,1,1209433866
1114,3,1211957770
1115,0,1214461705
1116,3,1216654245
1117,3,1216658641
1118,0,1223018024
1119,0,1224185571
1120,1,1226374223
1121,1,1228533817
1122,3,1230630043
1123,0,1230734701
1124,0,1230734739
1125,0,1232101990
1126,0,1233091430
1127,3,1233230587
1128,0,1235760393
1129,1,1235789813
1130,2,1235970629
1131,0,1236129418
1132,1,1236451302
1133,0,1238292190
1134,0,1239215892
1135,0,1239534313
1136,0,1240350163
1137,3,1240356951
1138,3,1242313789
1139,2,1242332885
1140,0,1242336785
1141,2,1244551633
1142,2,1244551696
1143,0,1246188624
1144,0,1247367669
1145,0,1247409838
1146,0,1247436934
1147,0,1249340525
1148,2,1250965909
1149,0,1253967651
1150,0,1254315452
1151,0,1256175557
1152,0,1259671974
1153,0,1264379715
1154,0,1265910601
1155,0,1266918935
1156,1,1268565169
1157,0,1270279610
1158,0,1270279685
1159,3,1273486054
1160,0,1274667843
1161,2,1274756225
1162,3,1277830557
1163,0,1282808245
1164,2,1283587159
1165,0,1286095384
1166,1,1286272686
1167,0,1286343251
1168,0,1290325977
1169,0,1290325989
1170,1,1292366201
1171,0,1295441669
1172,3,1295815162
1173,0,1295818838
1174,3,1295883563
1175,0,1301383378
1176,3,1301657886
1177,3,1304695754
1178,0,1305753206
1179,0,1306279114
1180,0,1311788351
1181,0,1313574268
1182,0,1313579200
1183,0,1313579215
1184,0,1313579245
1185,0,1313583904
1186,0,1313585819
1187,0,1313586888
1188,0,1313587151
1189,0,1313588087
1190,0,1314318774
1191,0,1314569569
1192,0,1317928282
1193,0,1318000160
1194,3,1318000206
1195,2,1321028410
1196,1,1321032081
1197,3,1324644398
1198,2,1325510234
1199,0,1325751492
1200,0,1328496760
1201,0,1329277857
1202,0,1329422186
1203,0,1331989586
1204,3,1334831882
1205,3,1334831931
1206,1,1335484039
1207,1,1336581759
1208,0,1340566765
1209,0,1340566878
1210,2,1341189382
1211,0,1341195075
1212,3,1343394758
1213,2,1345253061
1214,1,1346287623
1215,1,1346519303
1216,0,1347108554
1217,3,1349105543
1218,1,1349393118
1219,0,1350312942
1220,0,1350312947
1221,0,1357671171
1222,0,1369901522
1223,0,1371833286
1224,0,1374416245
1225,3,1377503660
1226,0,1377503775
1227,0,1382172120
1228,1,1382497002
1229,1,1384801431
1230,0,1385089517
1231,0,1391656068
1232,0,1393194246
1233,0,1393413981
1234,1,1395380712
1235,3,1403681720
1236,0,1404045748
1237,0,1404500145
