,cat,id
0,4,271298
1,1,599510
2,0,1395243
3,1,2593753
4,3,3102952
5,4,3334768
6,4,4302241
7,0,4440688
8,3,5279086
9,3,6396314
10,4,7517372
11,3,7674721
12,1,8686314
13,1,8755846
14,2,8778243
15,0,8784330
16,3,9193711
17,1,9521454
18,2,10493252
19,3,11786680
20,1,13619729
21,2,14366902
22,4,14491165
23,2,15929067
24,1,16126249
25,0,17576362
26,1,17723121
27,2,17891702
28,1,19193937
29,1,19302018
30,3,19635448
31,4,20025955
32,3,20061005
33,1,20365142
34,2,20969218
35,2,21106999
36,2,21263114
37,4,24476134
38,1,25501039
39,4,26492792
40,4,27101283
41,2,27844210
42,1,28830484
43,1,28830806
44,1,28831406
45,2,28929167
46,3,29087213
47,1,29370829
48,4,30326310
49,1,30442240
50,3,30731093
51,3,30942112
52,4,31410893
53,4,31522026
54,4,31707682
55,0,32730458
56,4,33429972
57,4,34136006
58,0,35031043
59,4,35269357
60,1,35645032
61,1,36501390
62,3,37737548
63,4,37938580
64,4,38297181
65,1,39366999
66,1,41214345
67,2,41680232
68,2,41784070
69,1,42362291
70,4,42498363
71,2,42887811
72,4,42950584
73,0,43235614
74,4,43874725
75,4,44322520
76,2,44474809
77,0,44684139
78,4,44706185
79,4,45036438
80,0,45652279
81,0,45691168
82,1,46721355
83,1,47211130
84,1,47458770
85,1,48026824
86,4,48996256
87,4,49039048
88,0,49824645
89,2,50815016
90,1,50941326
91,4,50986450
92,1,52193372
93,2,52775673
94,2,52777308
95,2,52778176
96,2,52779549
97,4,52783557
98,2,52786040
99,2,52787639
100,2,52789126
101,2,52789212
102,2,52789670
103,2,52790601
104,2,52791900
105,2,52792878
106,2,52794078
107,2,52800132
108,2,52800551
109,2,52801477
110,2,52802410
111,2,52802657
112,2,52805513
113,2,52806189
114,2,52808954
115,2,52816570
116,2,52817314
117,2,52825435
118,2,52825718
119,2,52826336
120,4,52828353
121,1,52884661
122,3,53598108
123,4,54474983
124,2,55256744
125,0,57014799
126,2,57437332
127,1,58354306
128,1,58367032
129,1,58953942
130,3,58994534
131,1,59096774
132,0,59588152
133,1,59601135
134,3,59957308
135,2,60362931
136,2,60821937
137,0,62086356
138,4,62210782
139,4,62307442
140,3,62413036
141,2,62624193
142,4,62862865
143,2,63092301
144,1,63927948
145,4,67186406
146,4,67227594
147,4,69146196
148,2,69829617
149,0,69956851
150,4,70324079
151,1,70617876
152,1,71524805
153,2,72529903
154,2,72939793
155,4,75485825
156,4,77208142
157,1,78004154
158,0,79291263
159,1,79785953
160,4,79869302
161,4,79881228
162,3,80360895
163,2,80421465
164,4,80595165
165,1,81242009
166,4,81949214
167,4,81971912
168,0,82393888
169,4,83623936
170,4,83651374
171,3,83767064
172,1,84089468
173,1,84096684
174,2,84428493
175,4,84747937
176,0,85151390
177,2,85659706
178,1,85901840
179,4,86200094
180,4,86748355
181,4,89431402
182,0,90170973
183,1,90259603
184,1,90880234
185,4,93300845
186,2,93529976
187,2,93534772
188,0,93572390
189,0,93646578
190,1,95492702
191,1,95529502
192,3,96285485
193,4,96403538
194,3,99209957
195,1,99324502
196,2,99432096
197,2,100776761
198,1,101998584
199,2,102321474
200,3,102471933
201,3,102902882
202,4,103252924
203,4,103261143
204,1,103453831
205,1,103638191
206,1,104849575
207,4,106700212
208,0,107377502
209,4,107423648
210,4,107423667
211,1,107448021
212,1,108696833
213,1,108767046
214,3,109347917
215,3,110413283
216,4,110717840
217,1,111526337
218,4,111694818
219,4,112206020
220,4,112660680
221,3,112871232
222,3,113100759
223,2,114225484
224,1,114455312
225,2,114505244
226,1,115589230
227,4,115724047
228,3,116117260
229,4,116260237
230,4,116368280
231,4,118758016
232,1,118879541
233,4,118921802
234,4,120372006
235,4,122492244
236,2,122548290
237,0,122858614
238,4,123225080
239,2,123871494
240,0,123989611
241,4,124150029
242,1,126034297
243,3,126596703
244,4,126721051
245,2,126986933
246,4,127007297
247,1,127231925
248,1,127452032
249,1,127492334
250,4,127903288
251,4,127930784
252,1,128319448
253,0,128456693
254,4,128749270
255,2,128813729
256,4,131472564
257,4,131740874
258,2,131947978
259,4,132038507
260,4,132252297
261,0,133963396
262,3,134768040
263,0,134769143
264,4,136068361
265,4,136972103
266,3,137150014
267,1,139651119
268,2,140622074
269,0,141281864
270,1,141461845
271,3,142211002
272,1,142712918
273,4,142804665
274,1,142952689
275,4,143103549
276,4,143677876
277,4,144189435
278,4,144386276
279,4,145212412
280,3,145294961
281,2,145495618
282,2,145631935
283,4,145891917
284,4,146294066
285,4,146742236
286,4,147955442
287,3,149292226
288,4,149363492
289,4,150068899
290,3,150577372
291,2,151942288
292,1,153114936
293,4,153275969
294,1,154119236
295,2,155188312
296,4,156350859
297,0,156521830
