,cat,id
0,0,460303
1,2,971682
2,0,1635076
3,0,2084228
4,2,2298266
5,0,2475753
6,0,3504078
7,0,3617479
8,2,4580049
9,2,5226371
10,2,5923361
11,0,5998373
12,1,6962209
13,2,7444861
14,0,7455994
15,0,7456060
16,0,7709460
17,0,8109163
18,1,8307556
19,2,9429095
20,0,10986710
21,2,12855972
22,2,14408314
23,1,14522733
24,2,15449741
25,2,15923573
26,0,16123564
27,1,17035927
28,1,17063041
29,0,17276603
30,2,19983273
31,1,20262143
32,0,20548976
33,1,21332127
34,0,21563278
35,0,21835736
36,0,21836298
37,0,21836802
38,0,21838190
39,0,24554085
40,0,25704134
41,1,26695036
42,1,27583544
43,2,28632650
44,0,29656441
45,2,30598084
46,2,30671473
47,0,30793466
48,0,30908902
49,2,30943561
50,0,30968997
51,2,31625595
52,1,32876800
53,0,33015122
54,1,33203267
55,0,33520349
56,0,33790793
57,1,33983002
58,0,34229115
59,0,35185830
60,2,35433163
61,0,35642732
62,1,37169923
63,0,37248201
64,1,37958891
65,1,38757331
66,1,39421777
67,0,39505089
68,0,40152772
69,1,40960926
70,0,43661141
71,0,45444540
72,1,45469226
73,0,46429499
74,2,46809299
75,2,47270801
76,0,47293787
77,0,47930486
78,0,48543351
79,2,49259109
80,0,49415392
81,2,49950063
82,0,50095514
83,2,50368194
84,0,51017966
85,2,51322870
86,2,53254625
87,2,54095951
88,0,54218879
89,2,55059514
90,2,56577027
91,0,57010980
92,2,57011087
93,1,58221270
94,2,58940244
95,2,59715290
96,0,59715794
97,2,59715970
98,0,60755732
99,0,60845745
100,0,60850927
101,1,62187044
102,0,62737821
103,2,63154503
104,0,63424490
105,0,64265610
106,2,64933453
107,0,65663572
108,2,66260661
109,0,66278847
110,0,66357920
111,0,66770257
112,0,67112163
113,0,67622019
114,0,68654049
115,2,69737085
116,0,69885847
117,0,70033535
118,2,70457663
119,0,70547866
120,2,71382891
121,2,71651361
122,1,72912643
123,0,76047888
124,0,76517773
125,1,79335983
126,0,79495943
127,2,79593742
128,0,79864963
129,1,80471968
130,2,80885315
131,1,81316904
132,1,82115637
133,2,83140409
134,2,84822519
135,1,85428259
136,1,86624034
137,0,86625083
138,2,88183334
139,0,88311057
140,0,88703026
141,0,89450214
142,2,89470722
143,0,90462719
144,2,90658130
145,1,91105658
146,1,92839746
147,0,93037432
148,0,93305118
149,2,93471808
150,0,93585383
151,2,94068049
152,0,94900294
153,0,95120802
154,2,95980613
155,0,96586243
156,2,97090893
157,1,100553959
158,2,100562388
159,0,101675109
160,0,103372976
161,1,103512366
162,0,103859240
163,1,104600623
164,2,106257905
165,0,108522309
166,2,108842311
167,1,109166135
168,2,111424020
169,1,112199465
170,0,113175700
171,1,113977691
172,0,115126171
173,0,115450434
174,0,115691553
175,1,115833053
176,2,117673272
177,2,117866239
178,2,117988985
179,0,118241107
180,2,118764006
181,0,118826125
182,0,119166730
183,1,120589529
184,2,121044113
185,2,121541192
186,2,121655048
187,2,121823103
188,0,121895587
189,0,121896082
190,2,121921023
191,0,122620858
192,1,122726869
193,1,122796447
194,0,123232728
195,1,125529521
196,0,126199158
197,1,126663152
198,1,127041186
199,0,128214708
200,2,130181510
201,2,132051550
202,0,132729558
203,0,133068977
204,0,133573180
205,0,135531816
206,2,135553681
207,1,136596680
208,1,136830939
209,1,140811906
210,2,140903261
211,0,140958156
212,0,143054677
213,2,143939168
214,1,144219699
215,2,144753214
216,2,145411436
217,0,145938100
218,2,145993016
219,0,146414011
220,1,146767379
221,1,148773970
222,0,151342139
223,2,152021984
224,0,152084880
225,0,152163497
226,0,152455308
227,0,154174780
228,1,154322406
229,1,154713893
230,0,156378008
231,2,156723825
232,2,157629722
233,2,157905411
234,1,158190377
235,0,158897725
236,1,159549989
237,2,159603071
238,0,159618776
239,0,159853900
240,0,160391311
241,0,161189622
242,2,161198758
243,0,162342944
244,0,162372437
245,1,163611096
246,1,163636414
247,1,163636455
248,0,165697525
249,2,167097498
250,2,167518270
251,2,167554150
252,0,167554457
253,1,169341968
254,1,172700888
255,0,172700966
256,2,172991171
257,0,173199490
258,0,173673505
259,1,174296883
260,0,174647164
261,1,175564948
262,0,176002903
263,1,176779129
264,0,176885507
265,0,177248858
266,2,177554183
267,1,177853007
268,0,178313475
269,2,178458470
270,1,178458498
271,1,179282937
272,1,179284601
273,0,180526201
274,2,180623629
275,2,181112608
276,0,181349802
277,1,185880644
278,2,185942138
279,2,186248658
280,1,186325493
281,2,186498556
282,0,186593873
283,2,187728382
284,0,188447376
285,0,188544447
286,2,190884513
287,2,191761408
288,0,192056364
289,1,195615200
290,1,196020330
291,2,197067973
292,2,197930725
293,1,198561970
294,0,199280940
295,0,200027953
296,0,200120152
297,2,200359433
298,0,200763719
299,0,201069356
300,2,201334905
301,2,201474887
302,2,201738610
303,0,202403444
304,0,202566354
305,2,202743789
306,1,202868049
307,0,202917022
308,1,203553299
309,2,203664313
310,0,204063688
311,2,204138897
312,1,204173617
313,2,205587909
314,0,206230519
315,0,206801165
316,0,206806062
317,0,207018070
318,2,207919917
319,0,210423748
320,0,210959918
321,1,211086586
322,1,211241676
323,2,212149964
324,1,213548267
325,0,215127133
326,1,215248218
327,0,217364957
328,2,217895614
329,0,217941056
330,2,219160519
331,0,220160593
332,0,220315736
333,0,221890614
334,0,223125313
335,0,223443736
336,0,223536864
337,2,224344449
338,2,224447390
339,1,224981131
340,1,225164556
341,0,225751888
342,2,226826559
343,0,226984100
344,0,227333871
345,1,227489257
346,1,228122531
347,0,228220293
348,0,228603243
349,2,231558050
350,0,232503685
351,0,232790515
352,1,233046995
353,0,233553819
354,0,233905357
355,2,235009077
356,1,235009134
357,1,235861010
358,2,236039183
359,2,237651776
360,2,238186359
361,0,239807337
362,1,240051271
363,2,240508015
364,2,240548175
365,2,240636905
366,1,240725840
367,1,241128466
368,2,241471796
369,0,241603942
370,0,241862948
371,2,241881828
372,2,241907886
373,0,242286013
374,0,242398257
375,1,242604679
376,2,243050634
377,2,244652739
378,1,245094992
379,1,245397754
380,0,245457557
381,1,245554522
382,2,245709231
383,0,246104774
384,1,246919555
385,1,246938286
386,0,248112695
387,0,248225181
388,2,248270859
389,0,248579040
390,2,250406506
391,0,250507869
392,0,252116877
393,0,252572846
394,1,253016938
395,1,254625060
396,0,255314006
397,0,256015358
398,0,256615831
399,2,256967447
400,2,257498108
401,0,258133879
402,0,259395646
403,2,259565088
404,0,259591143
405,1,259623720
406,1,259940110
407,0,260076855
408,0,260379713
409,2,261252094
410,0,261786224
411,0,261963870
412,2,262571316
413,2,262571595
414,0,262584682
415,2,262598333
416,1,262700420
417,0,263095060
418,2,263554341
419,0,263946649
420,2,263954280
421,2,264363293
422,0,264363339
423,2,266014239
424,1,266097224
425,0,266804609
426,0,268458894
427,1,268600281
428,1,268726395
429,0,269604865
430,2,269729332
431,0,269778906
432,0,271774322
433,1,272302703
434,0,272435367
435,0,273038526
436,2,274804532
437,2,275638629
438,0,276194268
439,2,276901570
440,1,277494600
441,2,277505828
442,0,277580973
443,0,277795848
444,0,280006939
445,0,280035261
446,2,281637091
447,0,282195555
448,2,282247564
449,0,282773801
450,1,282849345
451,0,283569473
452,0,283597255
453,2,284636218
454,0,284701476
455,0,284720685
456,1,284884566
457,1,285305417
458,0,285450173
459,2,285685056
460,0,286792441
461,0,287053404
462,2,287270826
463,2,287390475
464,0,287426188
465,0,287996089
466,2,288124238
467,0,288133909
468,0,288466543
469,0,289016482
470,0,289292869
471,0,289876848
472,1,290877769
473,0,291920454
474,0,292315804
475,2,292807024
476,2,292891683
477,2,293284020
478,1,293439675
479,2,295028146
480,0,296580985
