,cat,id
0,2,803413
1,2,1712431
2,3,1712520
3,0,3781995
4,3,4246100
5,0,4334879
6,0,4458409
7,2,4549244
8,0,5042452
9,1,5336242
10,0,5347444
11,0,6984748
12,1,7107480
13,0,7850838
14,0,8112039
15,0,8196922
16,2,8385986
17,2,9000426
18,3,10916535
19,3,10922343
20,2,11078567
21,0,12064425
22,1,12121275
23,3,12336334
24,0,12379120
25,2,12380242
26,2,12380601
27,0,12380624
28,0,12380953
29,3,12381005
30,0,13738561
31,0,14674426
32,0,14683949
33,0,14970728
34,0,15254289
35,0,15280628
36,0,15761353
37,0,16063134
38,1,18025892
39,0,19005724
40,0,19819327
41,3,19845683
42,1,20654963
43,2,20861543
44,3,21035834
45,3,21252547
46,2,21833327
47,0,21864595
48,3,21986452
49,0,22766197
50,0,23470914
51,0,24506001
52,0,25634351
53,2,25650103
54,2,25650401
55,1,25663838
56,2,26906162
57,2,27624793
58,0,29175011
59,2,30048812
60,0,31875443
61,0,32295623
62,2,32382645
63,0,32382700
64,1,33611937
65,1,34057271
66,2,34237947
67,0,34664505
68,2,35041407
69,2,35573230
70,0,35797512
71,0,35976563
72,1,36194466
73,0,36708503
74,3,36871678
75,0,38203086
76,0,38557654
77,0,38557681
78,0,38729775
79,2,38823419
80,3,40927936
81,0,42107763
82,3,42607511
83,2,43783107
84,0,43861781
85,1,44031056
86,0,44648301
87,2,44890443
88,2,45817608
89,1,49254372
90,3,50818646
91,2,52112797
92,1,53160411
93,2,53308277
94,3,53400091
95,0,53800226
96,0,54806003
97,0,55815196
98,2,55896381
99,0,56356547
100,0,56439012
101,1,56495381
102,0,59616414
103,1,60254782
104,0,60299416
105,1,61031354
106,2,61593043
107,0,62377068
108,3,63365181
109,0,64747974
110,2,64748753
111,3,65995873
112,2,66127883
113,0,66631378
114,2,66983720
115,0,68957083
116,3,69002704
117,1,69174517
118,3,71487518
119,0,72751068
120,0,73021351
121,2,74791409
122,2,74872233
123,2,74975213
124,0,75849425
125,0,76227594
126,2,76843455
127,2,76843467
128,3,77036273
129,0,77041519
130,0,77148446
131,2,79281474
132,2,79674907
133,2,80506513
134,0,82618838
135,0,82948307
136,0,83268392
137,2,83641839
138,0,83675096
139,0,83748850
140,2,84599446
141,0,84861535
142,1,86514354
143,1,86514443
144,1,86514608
145,1,86515179
146,2,87028173
147,0,87235329
148,2,90290821
149,2,91068527
150,0,91601667
151,2,91609442
152,0,92749638
153,2,93110826
154,3,93136692
155,1,93790386
156,2,93948276
157,2,94409777
158,1,94680452
159,2,94799794
160,0,94799892
161,0,95565758
162,0,95717400
163,2,97386488
164,3,97394374
165,3,97640272
166,0,97640426
167,3,98138011
168,2,98592339
169,0,98824482
170,2,99247230
171,0,99756552
172,2,100125130
173,0,100125154
174,2,101495575
175,0,102150192
176,2,102512764
177,3,102540650
178,0,103183822
179,0,103394095
180,2,104249018
181,2,104249813
182,2,104250137
183,0,104250502
184,0,107395486
185,1,107576039
186,2,108214583
187,0,108313184
188,0,108656557
189,0,108799472
190,0,109251963
191,0,111935733
192,2,113756529
193,2,113965128
194,2,114625344
195,3,114769079
196,2,115753990
197,0,116072252
198,0,116453589
199,2,116453839
200,0,116487661
201,1,117343851
202,2,117889730
203,0,117889760
204,0,118163614
205,0,118623208
206,2,118917030
207,2,119850574
208,0,120984583
209,0,122548606
210,0,123828405
211,0,124486395
212,2,124653979
213,2,124654050
214,2,124654175
215,0,125193790
216,2,125403766
217,2,125520351
218,1,126198027
219,3,127375723
220,1,127774393
221,1,128641773
222,0,129127785
223,0,129674094
224,0,129763850
225,0,129932408
226,3,130163719
