,cat,id
0,0,565808
1,3,571200
2,2,2409646
3,0,3487116
4,0,4016823
5,2,4199652
6,1,4298120
7,0,4777136
8,0,4915001
9,2,5090490
10,1,6064758
11,0,6435887
12,0,6876809
13,3,7934206
14,2,7988720
15,2,8316706
16,0,9454402
17,0,11675725
18,0,12411824
19,2,12634889
20,2,15260475
21,2,15951243
22,1,16400078
23,0,16593619
24,2,16599887
25,2,17099572
26,0,17412750
27,0,20093507
28,2,20420495
29,2,21924690
30,2,22021513
31,0,22540468
32,0,22683972
33,0,23084369
34,2,24026892
35,0,24758286
36,1,25394628
37,0,27001985
38,0,27272827
39,1,27397551
40,2,27397681
41,2,27415940
42,0,28273307
43,0,29653442
44,0,29803687
45,2,32167366
46,0,32279516
47,1,32549004
48,2,32959068
49,2,33395534
50,0,34099690
51,2,35223003
52,2,35721112
53,0,36759891
54,3,38102208
55,2,40074997
56,2,40075875
57,2,40926138
58,2,40935433
59,1,41335191
60,3,41697588
61,2,43138913
62,2,43138924
63,0,43559069
64,0,43611490
65,1,44037645
66,2,45773859
67,1,45806801
68,2,46305294
69,0,46433440
70,2,46702472
71,0,46810866
72,2,47185900
73,0,49437095
74,1,50336168
75,0,51160843
76,2,51244979
77,2,53248066
78,0,54916184
79,1,56445610
80,2,57183385
81,1,57411656
82,0,58102420
83,2,58115884
84,2,58587452
85,3,59828198
86,2,61682819
87,2,62589991
88,3,64269307
89,1,65405135
90,0,65695050
91,2,65770685
92,1,66171782
93,2,67454020
94,0,67507452
95,2,67869694
96,2,68150356
97,1,68683724
98,2,69218595
99,0,70485456
100,0,70710851
101,0,70717075
102,0,71861943
103,0,72169815
104,0,73893850
105,3,74954870
106,3,75195662
107,0,76818002
108,0,76818074
109,0,77498072
110,0,79040695
111,1,80123967
112,2,80132823
113,0,80993522
114,0,82303809
115,1,84933673
116,0,85172396
117,0,86969096
118,0,86998613
119,2,87556399
120,0,87843899
121,2,88293873
122,2,88294647
123,2,88297352
124,2,88297900
125,2,88298562
126,2,88300833
127,2,88387708
128,1,88409688
129,0,90298999
130,0,90504994
131,1,92093288
132,1,92373778
133,2,92814352
134,3,93113678
135,0,93690925
136,1,93793132
137,2,94578937
138,1,94760766
139,2,95103861
140,2,96155128
141,2,96256328
142,0,96506941
143,0,96507817
144,2,96507912
145,0,97719910
146,0,97869673
147,0,98219324
148,2,99338577
149,2,100028931
150,0,100032406
151,1,100243732
152,2,100553890
153,2,100563094
154,2,100802589
155,2,101634168
156,2,101973695
157,2,103511712
158,2,103524313
159,1,103834761
160,2,103991079
161,0,105750976
162,0,105752845
163,0,106300273
164,2,106370149
165,2,107514298
166,1,108165302
167,2,109703978
168,2,111042294
169,2,111329613
170,1,112151142
171,3,112929255
172,0,113671858
173,0,114586530
174,1,114705449
175,1,118721661
176,0,119529222
177,0,120302515
178,0,121840325
179,1,122684046
180,0,122938304
181,0,123087283
182,0,123329508
183,0,124004017
184,0,124767130
185,2,125569468
186,2,125910266
187,1,126196799
188,0,127346132
189,0,128440915
190,2,128544655
191,0,129724351
192,1,130150592
193,1,130828715
194,2,131078086
195,2,132771770
196,3,133129398
197,2,133361496
198,1,133659020
199,2,134219725
200,2,134256545
201,2,134557283
202,2,135743633
203,2,135922910
204,3,135931705
205,0,137308391
206,3,138848450
207,0,139567330
208,1,140910634
209,1,141686638
210,2,142314203
211,0,142570173
212,0,143694595
213,2,144319896
214,1,144384963
215,3,144771596
216,2,144900570
217,0,145096573
218,3,145265235
219,1,145723933
220,1,147472328
221,1,147824079
222,3,148058069
223,0,148510070
224,0,149531662
225,0,149639469
226,0,149987121
227,2,150438797
228,2,150906483
229,2,151327310
230,0,151339527
231,0,151598550
232,2,151861959
233,0,153482002
234,2,153855349
235,0,155003351
236,0,155954210
237,1,156372562
238,1,156389462
239,2,157553527
240,2,157554927
241,2,158182723
242,1,159859273
243,0,160007878
244,0,160406578
245,2,160817030
246,0,161047122
247,0,161260644
248,0,163276568
249,2,164229840
250,3,164377895
251,1,165000503
252,2,165953442
253,0,167000894
254,1,167654303
255,0,169565286
256,1,169635140
257,0,170300534
258,1,170586978
259,0,171386708
260,1,172336927
261,2,172735993
262,0,173122031
263,2,173610215
264,0,174021274
265,1,174480319
266,2,174624675
267,0,174674079
268,3,174868047
269,1,176011059
270,0,176509434
271,0,176732865
272,0,177248836
273,0,178788150
274,3,181220732
275,2,185513356
276,2,186156038
277,1,186361871
278,0,186591115
279,0,186686505
280,0,187416147
281,3,188111323
282,2,188133098
283,2,188216882
284,0,188395657
285,0,188509762
286,1,189830435
287,2,190289014
288,1,190978738
289,1,191302740
290,0,191744696
291,2,192759607
292,2,192967342
293,3,193472898
294,2,194211365
295,2,194712634
296,0,195312917
297,2,196649439
298,0,196802758
299,1,197204884
300,0,198639785
301,2,199735513
302,3,200533547
303,1,200654580
304,2,202472168
305,3,202686547
306,0,203052886
307,3,203522365
308,2,204391515
309,1,206072256
310,1,206087833
311,0,206503142
312,2,207934843
313,2,208382999
314,2,208617539
315,0,209467795
316,2,210287320
317,1,212216251
318,2,213184493
319,1,213534683
320,0,213938601
321,2,214631002
322,2,216568062
323,3,220199375
324,0,220473548
325,2,220919356
326,2,221309771
327,2,225367775
328,2,226038141
329,0,226989384
330,0,227320576
331,2,227637283
332,0,229197616
333,1,230088969
334,2,230285800
335,0,231335108
336,1,233157532
337,1,233713744
338,1,236152737
339,2,236525198
340,0,237241908
341,2,237313576
342,3,238737956
343,2,239385916
344,2,239462247
345,2,241536798
346,2,242373221
347,2,246655984
348,0,249491780
349,3,250334430
350,0,250418493
351,0,251199840
352,1,252100335
353,1,252823122
354,2,253307991
355,2,253716997
356,2,253746739
357,2,254496633
358,2,254513013
359,2,255403098
360,0,255633781
361,2,255934922
362,0,257097625
363,2,257640577
364,2,257777379
365,2,258638427
366,2,258730236
367,2,258824094
368,3,259399081
369,2,261423416
370,0,261914312
371,0,263050613
372,2,265764444
373,0,266050679
374,3,266251552
375,1,266479002
376,1,266518120
377,0,266626249
378,0,271521802
379,0,273067765
380,0,273067820
381,0,273823154
382,2,274135043
383,1,274716201
384,2,276072647
385,2,277106399
386,2,277399497
387,1,277865654
388,2,278638932
389,0,278946216
390,2,279066972
391,0,280798926
392,0,281611347
393,0,281611585
394,2,282061186
395,2,282182721
396,2,282286232
397,0,282425204
398,2,282970045
399,2,283782705
400,2,284115009
401,0,284216255
402,3,284432309
403,2,284922365
404,2,284989782
405,1,287647143
406,0,289817151
407,0,289963589
408,2,290451073
409,3,291133488
410,0,291880891
411,1,292777035
412,0,293251033
413,2,293701031
414,0,293726542
415,2,294352815
416,1,294431893
417,2,295444794
418,0,295485988
419,0,295763992
420,2,296037436
421,2,298414534
422,3,298974491
423,1,300554707
424,2,300736418
425,2,301751772
426,2,302875647
427,1,303577471
428,1,304588495
429,1,305083370
430,1,306596323
431,0,306615166
432,1,307175757
433,1,307876996
434,0,308091619
435,2,309901561
436,0,310194594
437,0,311194815
438,2,311306662
439,1,311646404
440,0,312024364
441,1,312391153
442,3,312693495
443,0,312885779
444,2,312941366
445,2,314316323
446,2,314681284
447,0,315952685
448,1,318071658
449,0,318529881
450,0,319041541
451,0,319233819
452,2,319349380
453,1,321028095
454,3,321407499
455,0,321990588
456,2,322686141
457,0,322904982
458,0,322912087
459,1,323035975
460,2,323496517
461,0,323587912
462,0,323723437
463,3,325584219
464,2,327106152
465,0,328782963
466,1,329094410
467,2,329256646
468,1,331154218
469,0,331854738
470,2,332710519
471,1,332894266
472,2,334104966
473,0,335367161
474,1,336232945
475,0,336572711
476,1,337196627
477,1,337775800
478,1,337820572
479,2,339161725
480,2,339615471
481,0,340307720
482,3,341973562
483,2,342746285
484,2,343551793
485,0,345085188
486,2,345715592
487,0,346078304
488,1,347192411
489,2,347363474
490,0,350590856
491,2,351312001
492,2,351388967
493,0,351766374
494,0,353158858
495,0,353553556
496,1,353750180
497,0,354516302
498,2,356274094
499,0,357992620
500,0,358725560
501,2,358769026
502,3,358819372
503,0,360670771
504,1,360720637
505,1,362187824
506,2,362324700
507,0,362548593
508,2,362659598
509,0,363493385
510,2,364234892
511,2,364697243
512,2,364888610
513,0,364979399
514,3,365389701
515,2,366047049
516,2,366101656
517,3,366266585
518,0,366545428
519,2,367878171
520,1,368574923
521,2,370464080
522,0,370669123
523,3,371562869
524,2,372164156
525,3,373783766
526,1,374226036
527,1,376202209
528,0,376686771
529,1,377856915
530,3,378866738
531,1,380106824
532,0,380302690
533,2,380528696
534,2,380538229
535,2,380539353
536,2,380974217
537,2,381208451
538,2,381923286
539,1,381990940
540,0,382342597
541,2,382832677
542,2,384075672
543,0,384089465
544,1,385042840
545,0,385954787
546,1,386431547
547,3,386545154
548,1,386909796
549,2,387797672
550,0,388017987
551,1,388509273
552,2,388803298
553,2,389105244
554,2,390651526
555,1,390993106
556,2,391043206
557,2,391757622
558,0,391840904
559,2,392579650
560,1,395641273
561,0,396091855
562,2,396292507
563,2,397098845
564,0,397134059
565,0,397269853
566,0,398213106
567,0,399763972
568,2,399807829
569,1,400201305
570,0,400885670
571,0,403908646
572,0,404059053
573,2,404117388
574,1,404120798
575,3,405450840
576,0,406988878
577,2,407151623
578,0,407787311
579,2,407819297
580,0,408136605
581,1,408152406
582,0,408154260
583,1,409209408
584,0,409472343
585,0,409481527
586,2,409886021
587,2,411471064
588,0,411835746
589,1,413231776
590,2,413610201
591,1,414690126
592,1,415229539
593,0,415850249
594,0,415985022
595,0,416247424
596,0,416784617
597,2,417096566
598,2,418503649
599,2,418627628
600,2,418782371
601,0,420021405
602,0,420738099
603,0,423164828
604,3,423229267
605,2,431442566
606,2,432149255
607,1,436334341
608,2,436828913
609,0,439579013
610,0,447613957
611,1,449168446
612,1,451096415
613,2,454914843
614,2,454934839
615,0,454935149
616,2,454941236
617,2,455132507
618,1,456093597
619,0,459447761
620,2,461085723
621,1,464040583
622,2,465132716
623,2,465740842
624,2,466405558
625,1,466445799
626,1,466549017
627,0,466705460
628,0,466830204
629,2,466907142
630,0,467013160
631,0,467022048
632,1,467023989
633,1,467207835
634,2,467271966
635,0,467335304
636,0,467351300
637,1,467395354
638,2,467395700
639,2,467445063
640,2,467631857
641,2,467805733
642,2,467807552
643,1,467808968
644,0,467906559
645,2,467937520
646,1,468011422
647,1,468177658
648,1,468178379
649,1,468310624
650,2,468344083
651,2,468936772
652,2,469096318
653,0,469155436
654,2,469925902
655,0,471560733
656,1,472221953
657,1,472222858
658,2,472586459
659,2,474738873
660,2,478440215
661,2,478900272
662,1,479382489
663,0,479942667
664,2,480188840
665,1,482152954
666,2,482717610
667,0,488404158
668,0,488435059
669,0,488439646
670,1,488492791
671,0,490205646
672,2,490206161
673,0,493435934
674,2,495972805
675,1,496116255
676,2,496402223
677,2,496673094
678,1,497075901
679,2,497493964
680,0,497548572
681,0,500121759
682,2,500205109
683,1,500738768
684,1,501701085
685,1,502947174
686,0,503293513
687,2,508960625
688,2,511791452
689,0,512525479
690,1,512761351
691,0,513726823
692,2,513744526
693,2,514132123
694,0,519375593
695,1,519521615
696,2,520264718
697,1,521621943
698,1,525482420
699,2,530048384
700,1,534367763
701,2,534496744
702,0,535342355
703,0,536438172
704,2,536767221
705,1,537028794
706,2,537416410
707,2,537455338
708,2,537538463
709,0,538735277
710,2,541612607
711,0,541976014
712,1,543173529
713,1,543377146
714,2,543451945
715,0,543835786
716,2,544647078
717,2,547400388
718,0,548174568
719,2,548688513
720,1,551874191
721,0,555712692
722,2,563897302
723,0,564369091
724,2,565617313
725,2,565637199
726,2,565657904
727,2,567265389
728,1,567676803
729,1,567703504
730,2,568370341
731,2,571230722
732,0,572059088
733,0,572649675
734,2,572655507
735,2,573325006
736,0,574161443
737,1,574859931
738,0,579745172
739,2,579791673
740,0,580474413
741,1,581747229
742,0,582541924
743,2,583328678
744,2,584398742
745,2,587314706
746,3,592927495
747,1,593577823
748,2,593711420
749,1,594587587
750,2,597441161
751,2,599522054
752,2,599616639
753,1,601346138
754,0,601780856
755,0,602613274
756,2,606614431
757,2,606717383
758,2,607484200
759,1,612130865
760,1,617349776
761,2,617958085
762,0,618554894
763,2,620108019
764,3,623875322
765,2,628711870
766,0,633701888
767,2,633963716
768,2,634213224
769,2,635607672
770,1,635728712
771,1,635728841
772,2,640608393
773,0,647181996
774,1,653485766
775,2,654192288
776,2,661872277
777,2,662991875
778,0,663723627
779,2,664992993
780,2,665432222
781,1,666284376
782,1,667265592
783,2,667476178
784,2,668489113
785,2,668567931
786,2,669014152
787,2,670974001
788,2,671037571
789,2,673516418
790,1,673958059
791,2,682805535
792,2,685114922
793,2,685265541
794,2,689093728
795,2,695053006
796,2,695733814
797,2,697576521
798,2,698304319
799,0,698761836
800,3,698761868
801,2,698905019
802,1,699139388
803,1,702177840
804,0,702494240
805,2,704810840
806,2,706145660
807,2,709930789
808,0,719417349
809,0,719417453
810,0,720756590
811,0,723756587
812,0,729461022
813,2,730066254
814,2,731888801
815,0,732086117
816,0,732135045
817,2,734296701
818,2,735429730
819,0,737881380
820,0,737949353
821,2,738591166
822,2,744237669
823,0,745064548
824,1,745456416
825,2,746058674
826,2,746231200
827,0,746245024
828,2,747010733
829,2,747032731
830,2,747033069
831,0,747034320
832,2,752809438
833,1,756934575
834,2,756935021
835,2,757732315
836,1,758317106
837,3,760407532
838,2,763534324
839,2,763643478
840,0,763808954
841,1,765341463
842,2,765652546
843,2,767698566
844,1,768177017
845,0,769211995
846,2,770325551
847,0,772802699
848,2,774658096
849,2,774666436
850,1,775041686
851,2,776907111
852,2,782289450
853,2,785368195
854,2,785603203
855,1,786733972
856,1,787242133
857,0,788871694
858,1,789570314
859,2,792817954
860,2,793163636
861,2,795273489
862,2,795354277
863,2,795422530
864,1,798394700
865,0,799059249
866,2,801460050
867,2,801681221
868,0,801923559
869,1,803591471
870,2,803951112
871,2,805980472
872,2,807919063
873,2,809521035
874,1,810898597
875,2,811776486
876,2,813242105
877,2,813372132
878,2,814250209
879,2,814358908
880,1,815499205
881,2,815499890
882,2,815796519
883,1,816771566
884,0,818066641
885,2,818621641
886,1,820436227
887,2,820879994
888,1,821379559
889,1,821385681
890,0,821409429
891,1,821714445
892,1,825159573
893,2,827755265
894,0,828794011
895,2,830512117
896,2,832508145
897,2,836304845
898,1,837020454
899,2,837064624
900,2,839549977
901,2,842021571
902,1,842582451
903,2,844318619
904,2,848034743
905,0,850953622
906,2,850965213
907,2,850984782
908,1,851861618
909,2,852849732
910,0,855600002
911,2,857318616
912,1,858373150
913,0,862806178
914,0,869764871
915,0,869765003
916,0,869765036
917,2,870041744
918,2,873503158
919,2,873694078
920,1,877256895
921,2,878216771
922,2,880012342
923,0,880747074
924,2,883296226
925,2,885174324
926,0,887584702
927,2,888723574
928,2,888941617
929,2,889004979
930,1,890338386
931,0,892865712
932,2,892874607
933,0,897834081
934,2,902067114
935,2,903276933
936,2,905066496
937,0,905672350
938,2,912248903
939,1,913169120
940,0,913673810
941,2,914256093
942,2,915029277
943,2,917496868
944,2,918265344
945,1,919697484
946,0,919861016
947,1,925084445
948,2,931490092
949,2,933057937
950,1,933802996
951,0,934419067
952,0,934876809
953,1,938510384
954,1,939425162
955,2,942794813
956,2,944759101
957,0,944791345
958,2,944956041
959,1,945127766
960,2,945515234
961,1,947424615
962,1,948179559
963,0,948916676
964,0,949288843
965,1,950759231
966,1,951371208
967,1,953860243
968,0,956826465
969,2,957778865
970,1,961968590
971,1,961970578
972,2,961974239
973,2,962246392
974,1,965099389
975,2,967188591
976,0,968496325
977,2,969985280
978,1,971707823
979,1,972451510
980,2,972779807
981,2,974170190
982,2,978966199
983,2,979054807
984,0,979999112
985,2,982735408
986,1,983202208
987,0,987332495
988,2,987736367
989,2,989166994
990,2,991709820
991,2,991860726
992,1,992730018
993,1,992965625
994,2,996280143
995,2,997021384
996,3,1000202204
997,2,1003326278
998,1,1003947192
999,1,1004508418
1000,2,1004794262
1001,2,1005874462
1002,1,1005923766
1003,0,1006923685
1004,1,1007203574
1005,1,1009847409
1006,2,1010372734
1007,2,1010447779
1008,1,1012527522
1009,2,1014835337
1010,2,1014838657
1011,2,1017150215
1012,0,1017602496
1013,2,1018161399
1014,1,1019367978
1015,2,1021577124
1016,1,1021684597
1017,0,1025039591
1018,2,1025638119
1019,2,1026348979
1020,2,1026413441
1021,1,1026758938
1022,1,1027481465
1023,2,1027969781
1024,0,1029583499
1025,0,1032915412
1026,2,1032991847
1027,0,1037217060
1028,0,1037229006
1029,2,1038207349
1030,0,1042534793
1031,0,1043829892
1032,0,1050339976
1033,2,1050646397
1034,2,1052204894
1035,1,1052664065
1036,0,1054538640
1037,1,1056593523
1038,1,1056594328
1039,1,1056852274
1040,0,1057500384
1041,1,1058060350
1042,1,1058482292
1043,2,1059096607
1044,2,1060864140
1045,2,1061597212
1046,2,1062293085
1047,2,1064693334
1048,2,1065122652
1049,0,1066459395
1050,0,1066814440
1051,2,1067012971
1052,1,1067456177
1053,1,1067814428
1054,2,1068341628
1055,1,1072603457
1056,1,1076401282
1057,2,1077848735
1058,2,1078873596
1059,2,1079770083
1060,2,1080245158
1061,2,1080340067
