,cat,id
0,0,1080463
1,1,1996446
2,0,2037345
3,0,2062615
4,1,3739296
5,0,5568900
6,1,7431005
7,1,7670958
8,1,7671049
9,0,8162576
10,0,8259854
11,0,9273006
12,1,9821799
13,0,10469431
14,1,10655892
15,0,10822049
16,1,11003669
17,0,11549356
18,1,12265320
19,1,13059802
20,1,13137868
21,0,13810356
22,0,16641327
23,0,17519395
24,0,18025820
25,0,18068919
26,0,18587064
27,0,19056542
28,1,19225922
29,1,19497759
30,0,19844206
31,0,19844386
32,1,20350857
33,0,21622717
34,0,22017271
35,0,23022627
36,1,23279000
37,0,23482709
38,0,24174940
39,1,24874772
40,1,25956802
41,0,26174352
42,1,26299651
43,1,26410776
44,1,28022281
45,1,28044469
46,1,28044939
47,0,28048647
48,0,28402748
49,1,28494684
50,1,28525044
51,1,29045284
52,1,29610155
53,1,30429680
54,1,30830584
55,1,31972430
56,1,31984041
57,0,32418782
58,0,32723692
59,0,33741273
60,0,33771358
61,1,33952631
62,1,34180218
63,0,34199746
64,0,34292802
65,1,36622525
66,1,36739668
67,0,39351472
68,1,39480735
69,1,41921049
70,1,45756775
71,0,46256589
72,0,49637282
73,1,50074721
74,1,50384531
75,0,50673934
76,1,50990166
77,1,52491332
78,1,53287209
79,1,53628462
80,1,53773778
81,1,55263636
82,0,55436957
83,0,55649365
84,0,56141378
85,0,56851666
86,1,58975543
87,0,59119258
88,0,59334819
89,0,59635315
90,1,61425441
91,1,61468256
92,1,61765571
93,0,61883893
94,1,63159021
95,1,63279610
96,1,63856546
97,0,63866236
98,1,64741786
99,0,66489322
100,1,66926469
101,1,67955056
102,0,68200935
103,1,68485974
104,1,69131120
105,1,70180180
106,1,70389394
107,1,71018522
108,0,71265837
109,1,72067706
110,1,73058927
111,0,73426089
112,1,73430855
113,1,73433419
114,0,73607206
115,1,73922115
116,1,74453677
117,1,74454937
118,0,74826783
119,0,75153090
120,1,76554634
121,1,76616870
122,1,77216174
123,1,77988915
124,1,78119242
125,1,80147433
126,0,80429756
127,0,80748219
128,0,81398875
129,1,81468733
130,1,82116790
131,1,82415217
132,1,82812783
133,0,82874550
134,1,83626520
135,0,84909397
136,1,85227362
137,0,85422977
138,0,85855768
139,0,86351186
140,1,86749998
141,1,86796354
142,1,86917151
143,0,87822645
144,1,88954051
145,1,89458820
146,0,90168943
147,0,90245503
148,1,92143297
149,0,92290027
150,0,93221279
151,1,93231473
152,0,93233436
153,0,93237191
154,0,93986567
155,1,94349297
156,0,95913763
157,1,96218428
158,1,96377949
159,1,96480849
160,0,97279087
161,1,97403724
162,0,97429043
163,1,97917211
164,0,98188886
165,1,98380160
166,1,98830388
167,0,98840586
168,0,99109775
169,0,99274286
170,1,100046105
171,0,101817500
172,0,101965983
173,1,102023303
174,0,103036296
175,1,103576423
176,0,103585178
177,1,103601138
178,1,103601893
179,0,105176826
180,0,105551706
181,1,106071467
182,1,106730720
183,0,106764728
184,0,107167955
185,0,107387451
186,0,107387457
187,0,107914349
188,0,108092626
189,0,108341256
190,0,109897285
191,1,110515193
192,0,112538470
193,0,113329494
194,1,114456432
195,1,114532327
196,0,114884700
197,1,116066645
198,1,116897967
199,1,120194105
200,1,120651457
201,0,121012402
202,0,121761141
203,1,121801788
204,1,121836015
205,0,124111484
206,0,124437465
207,1,125037137
208,0,125642697
209,1,125980746
210,1,126095642
211,0,126709393
212,1,127709182
213,0,127905491
214,0,128131668
215,0,128143521
216,1,128231570
217,1,129822536
218,1,129877403
219,0,129886836
220,0,133715771
221,0,136648237
222,1,137321926
223,0,137331432
224,0,140883195
225,0,141365075
226,0,141376279
227,1,143477477
228,1,143485670
229,1,144219392
230,0,145126110
231,1,146386719
232,1,146527093
233,1,146675486
234,1,147059439
235,1,147136191
236,0,148558430
237,1,148622406
238,0,148921198
239,1,149349333
240,0,149777508
241,1,149798917
242,1,150385426
243,1,150449216
244,1,150949639
245,1,150969070
246,0,151254037
247,1,152250439
248,1,152299831
249,0,152309464
250,1,152847054
251,1,153079152
252,1,153455684
253,1,153747279
254,1,153815803
255,1,153816283
256,1,154101887
257,0,154110478
258,0,154138932
259,0,155103423
260,1,155338557
261,1,155444609
262,1,155907097
263,0,156683921
264,1,156888341
265,0,157448704
266,0,157498150
267,1,157536804
268,0,157536865
269,0,157707549
270,0,158861510
271,0,159686483
272,1,159728875
273,1,159906723
274,1,161492816
275,0,161517326
276,0,161870551
277,1,162017284
278,1,162400153
279,1,162437878
280,1,163688026
281,1,164189804
282,1,165439370
283,0,167042151
284,1,167939422
285,1,169102511
286,0,169136676
287,1,169192672
288,1,170539561
289,0,170641204
290,1,171005092
291,1,171069159
292,0,173186078
293,0,174171279
294,0,174238751
295,0,175187409
296,1,175517916
297,0,175914330
298,1,175943960
299,0,177979420
300,1,178038784
301,1,178072086
302,1,178123556
303,0,178574908
304,0,178796709
305,1,179163571
306,1,179163827
307,0,179436185
308,1,179983895
309,0,181203504
310,0,182213595
311,0,183380909
312,0,183386028
313,0,183386146
314,1,183463146
315,0,185044447
316,1,185529969
317,1,185994680
318,1,186441938
319,1,186993209
320,1,187130125
321,1,187200867
322,0,187553134
323,1,187631704
324,0,188406850
325,0,188419079
326,1,188488298
327,1,189157160
328,0,189363497
329,1,189478192
330,0,189510802
331,0,189716269
332,1,190149570
333,0,191796017
334,0,192016302
335,1,193117799
336,1,193557435
337,1,193691976
338,0,193821896
339,1,194309549
340,1,195356630
341,0,195580608
342,1,196098609
343,1,196624540
344,1,196787722
345,0,196884211
346,1,197018918
347,0,198491316
348,1,198676302
349,0,198785952
350,1,199230955
351,1,199505946
352,1,200090639
353,0,200364885
354,1,200748469
355,1,200886100
356,1,202557510
357,1,203365002
358,1,203796512
359,1,205287883
360,1,205856734
361,0,206278036
362,1,206490672
363,1,207775552
364,0,208949210
365,1,208959138
366,1,209144984
367,1,209187687
368,0,209791435
369,1,210086939
370,1,210135342
371,1,210476442
372,1,210516642
373,1,210819030
374,1,210878942
375,1,211020488
376,1,211745431
377,0,212228544
378,1,212689875
379,1,213358266
380,0,213999135
381,0,214771257
382,1,215005334
383,0,215005479
384,0,215006990
385,1,215704717
386,0,216907373
387,0,217985561
388,1,221022970
389,1,221104571
390,1,221574426
391,0,221574622
392,0,223484773
393,0,223857212
394,1,224080500
395,1,224944703
396,1,227798783
397,1,227813961
398,1,228682366
399,1,228856045
400,0,230295288
401,1,231744933
402,1,232160634
403,1,232266470
404,0,232273728
405,0,232367337
406,1,232394494
407,1,233001146
408,0,233821261
409,1,234843733
410,1,235049563
411,1,235196375
412,0,235819958
413,0,236004211
414,1,236052164
415,1,236206363
416,1,236867075
417,1,237423777
418,1,238086814
419,1,238974879
420,1,239059116
421,1,240266431
422,0,240379052
423,1,240455547
424,1,240564899
425,0,241388714
426,0,241949538
427,0,243097802
428,0,244323841
429,1,245248800
430,1,247300625
431,1,247747207
432,1,250060973
433,0,250084633
434,1,250395817
435,1,251818328
436,0,252201411
437,1,252423577
438,1,252536003
439,1,253558564
440,1,253911592
441,1,256559199
442,0,256594777
443,1,256638211
444,1,256702002
445,1,256717652
446,0,257838407
447,1,259655960
448,0,259954904
449,0,260403929
450,1,261165289
451,1,261694329
452,0,261714256
453,0,262015745
454,1,262880018
455,0,263099619
456,0,263505918
457,0,263505945
458,1,263998514
459,1,264028623
460,1,265143874
461,1,265686741
462,0,266444100
463,0,267340617
464,1,267341034
465,0,267733711
466,1,268674998
467,1,269124712
468,1,270665751
469,0,270979821
470,0,271256535
471,0,272356979
472,1,272655706
473,0,272784583
474,1,273419715
475,1,273419894
476,1,273430650
477,0,273439744
478,0,273562060
479,1,273562450
480,1,273563053
481,1,273564099
482,0,273576723
483,1,276975266
484,0,277775816
485,1,277842904
486,1,278296012
487,1,280187438
488,0,281435539
489,0,281611329
490,1,282702534
491,1,282738384
492,0,283019993
493,1,285065315
494,1,287814400
495,1,289067572
496,1,289152941
497,1,289382357
498,1,289897347
499,1,289917841
500,0,290267793
501,0,290374922
502,0,290390338
503,1,291289316
504,1,291643911
505,1,292250837
506,0,293197671
507,1,294767162
508,1,297190338
509,1,297191189
510,0,298168435
511,1,298877685
512,0,298900075
513,1,299033397
514,1,299827664
515,0,300927109
516,0,301473282
517,1,301549984
518,1,301593072
519,1,301812212
520,0,302287687
521,1,302450844
522,0,302616481
523,0,303288889
524,0,303288977
525,1,303776733
526,1,304185268
527,1,304505343
528,1,304505449
529,1,304964852
530,0,305471533
531,0,305667347
532,1,307001646
533,1,307154717
534,0,307465456
535,0,307488407
536,1,308760211
537,1,309642974
538,0,310612793
539,1,311379612
540,0,311388744
541,0,311390780
542,0,311911139
543,1,311911294
544,1,313219141
545,1,313809453
546,1,314281382
547,1,314746769
548,1,316653400
549,1,316676352
550,0,316884263
551,1,316893411
552,1,317012594
553,1,317017962
554,1,317647362
555,1,319644539
556,1,319874122
557,1,319937573
558,1,320177981
559,1,320525555
560,1,321525788
561,1,322036735
562,0,322045184
563,1,322077013
564,0,322137349
565,0,322927747
566,0,323921601
567,1,324046283
568,0,325415502
569,0,326187028
570,1,326284794
571,1,326546745
572,0,326580266
573,0,326795512
574,1,327252874
575,0,327317389
576,1,327514673
577,1,327990694
578,0,328390719
579,0,328580861
580,0,328580903
581,1,328826310
582,1,328908109
583,0,329115872
584,1,329614982
585,1,329841941
586,0,329911730
587,1,329911775
588,1,329911781
589,0,329930729
590,1,330179147
591,0,330966260
592,1,331048539
593,0,331649021
594,0,332238218
595,0,332238498
596,0,332247849
597,1,332247880
598,0,332250568
599,1,332261109
600,1,332276468
601,0,333378849
602,1,335046814
603,1,335076920
604,1,335577040
605,1,336243809
606,1,336651501
607,1,337497593
608,1,338379445
609,1,338428167
610,0,338563335
611,0,339599932
612,1,340471114
613,1,340828041
614,1,341808748
615,1,342210026
616,1,342465033
617,1,342518001
618,0,342691153
619,1,343506310
620,0,343970866
621,0,343988438
622,1,346543532
623,0,346773527
624,0,346773659
625,1,348142627
626,1,348142665
627,0,349845978
628,1,350619216
629,0,351079788
630,1,351339771
631,1,351457278
632,0,352560810
633,0,353182062
634,1,353872409
635,1,355112471
636,1,355295147
637,0,356053628
638,1,356498400
639,1,357113043
640,1,358020511
641,0,359707014
642,1,360380050
643,1,360406493
644,0,361996324
645,1,363488505
646,0,363904609
647,1,363920263
648,1,364856193
649,1,367773367
650,1,368016856
651,1,369000751
652,1,369067937
653,0,369078493
654,1,370408143
655,0,370444932
656,1,371995285
657,0,372333580
658,0,372728347
659,0,373505658
660,0,373614607
661,1,374136940
662,1,377779958
663,1,378736398
664,0,379885996
665,0,381013447
666,1,381349810
667,1,381453972
668,0,381732218
669,1,384416253
670,1,384561051
671,1,385499629
672,1,385524394
673,0,385587588
674,1,387306104
675,1,387432604
676,1,387434418
677,1,388057679
678,0,388352192
679,1,388993866
680,0,389371441
681,0,389652958
682,1,389874156
683,1,390055120
684,0,390524816
685,0,390984750
686,1,392753559
687,0,392778010
688,1,393324335
689,1,393404310
690,1,393430627
691,1,393804515
692,1,394739192
693,1,394788952
694,0,396471043
695,1,397412869
696,0,397716130
697,1,398999688
698,1,399707565
699,1,402567524
700,0,403311453
701,1,403793827
702,1,405201753
703,1,405516728
704,0,406604601
705,0,406706705
706,0,407077366
707,0,407581444
708,0,407658306
709,1,407839677
710,1,407839840
711,0,407989517
712,1,408139891
713,0,408535549
714,0,409139668
715,0,409702632
716,1,410605633
717,1,413257305
718,0,413297375
719,1,414300792
720,1,415273157
721,1,415524395
722,1,416921815
723,1,418037979
724,1,418455667
725,1,419088411
726,0,419093675
727,1,419411506
728,0,419995122
729,0,420005912
730,1,420290051
731,0,421241100
732,0,421287664
733,1,421898620
734,1,422128594
735,1,422862214
736,1,422940411
737,0,423308984
738,0,423624554
739,1,431017712
740,0,440404956
741,0,442082047
742,1,443266111
743,1,450541419
744,1,451354720
745,1,454997607
746,0,455141227
747,1,456674138
748,1,457388638
749,0,459586191
750,1,459641406
751,1,461279348
752,0,461279635
753,0,461398451
754,1,462121170
755,1,462996653
756,1,463140969
757,1,463744953
758,1,463948108
759,0,464213619
760,1,464294994
761,1,465721407
762,0,465815472
763,0,466611568
764,0,466611998
765,1,467199253
766,1,467234877
767,1,467570123
768,1,467946210
769,1,468358575
770,1,469866074
771,1,470096210
772,1,471777526
773,0,471869180
774,1,471905827
775,1,472340461
776,0,472609179
777,1,474241360
778,1,474577566
779,0,480856022
780,0,484560813
781,0,484982023
782,1,485709864
783,0,487642583
784,0,488196040
785,1,488400356
786,1,488401675
787,1,488401723
788,0,489141149
789,1,490670660
790,1,490783030
791,0,492431555
792,0,492597714
793,0,493009525
794,1,493330657
795,0,493427498
796,0,494900754
797,1,496676351
798,1,497712451
799,1,498995429
800,1,499530091
801,0,499666872
802,1,499674463
803,1,499691963
804,0,500065858
805,1,501702547
806,0,501816711
807,0,504619344
808,0,505883695
809,0,506497363
810,1,506940705
811,0,507298488
812,0,507311419
813,1,507516261
814,1,508091552
815,1,509604672
816,1,509607800
817,1,511736438
818,1,512407815
819,1,513083889
820,1,513282998
821,1,514154265
822,0,516636348
823,0,517214581
824,1,518462833
825,1,518962705
826,0,519600414
827,1,520169219
828,0,522785987
829,0,522802129
830,0,523261363
831,0,524537523
832,0,524539659
833,1,524712757
834,1,524798522
835,1,525304419
836,1,525645507
837,0,525693382
838,1,531639217
839,0,531940916
840,1,532007014
841,0,533682246
842,1,536433840
843,1,536809882
844,0,537048202
845,1,537883969
846,0,538226245
847,1,539250310
848,1,539760214
849,1,540406425
850,0,542855555
851,1,542901644
852,1,542914219
853,0,543209726
854,1,544138042
855,1,544303812
856,0,544604681
857,1,547031879
858,1,547881081
859,1,548777029
860,1,549219963
861,0,549489837
862,1,550191832
863,1,550340911
864,0,554253080
865,0,555208685
866,1,555213917
867,1,555258800
868,0,556001707
869,1,556696322
870,0,556735343
871,1,557291336
872,0,557648768
873,1,560705902
874,1,561102845
875,1,561550618
876,1,562314426
877,1,562391772
878,1,566449596
879,1,566461142
880,0,571363299
881,1,574122640
882,1,576116455
883,1,576526084
884,0,578937515
885,0,582389207
886,0,586111288
887,1,586578339
888,0,587037096
889,0,587046906
890,1,587921174
891,1,589327279
892,0,592138624
893,1,593059810
894,0,594557844
895,1,595992978
896,1,596015025
897,0,599259713
898,0,600370059
899,0,605740915
900,1,606677434
901,0,608726815
902,0,609355126
903,1,610556762
904,1,613359341
905,0,616002505
906,1,616495198
907,0,616529213
908,1,620107253
909,1,620283344
910,1,620563340
911,1,621887489
912,1,621987010
913,0,623257655
914,1,626437982
915,1,626839759
916,0,628733649
917,1,629088693
918,0,633542004
919,1,633950200
920,0,633950739
921,0,634090064
922,0,634115265
923,1,634625618
924,0,634747989
925,0,635421626
926,1,635777138
927,0,635942373
928,0,639259792
929,1,641607671
930,0,642676025
931,1,643190743
932,0,644028848
933,1,645255754
934,1,645337300
935,1,646032791
936,1,646379025
937,0,647111446
938,0,647288357
939,1,647291083
940,0,649587512
941,1,649783146
942,1,650678185
943,1,650754590
944,0,652311063
945,0,655423637
946,0,656168277
947,0,656169112
948,0,662415680
949,1,662728756
950,0,663441883
951,1,665797848
952,1,667255820
953,1,667810799
954,1,668051486
955,0,669389279
956,1,669389347
957,1,669929681
958,1,671924072
959,0,672432640
960,1,672986314
961,1,673415837
962,1,673648093
963,0,673831986
964,1,674480879
965,1,678794538
966,0,680349918
967,1,683322373
968,0,684516695
969,1,684556059
970,0,684597850
971,0,686634952
972,1,686635691
973,0,687030950
974,0,689455443
975,0,690781670
976,0,690964160
977,0,694127958
978,1,695677124
979,1,698309363
980,0,700243892
981,0,703280741
982,1,705495331
983,1,707601440
984,0,707678358
985,0,707787214
986,1,708331624
987,1,708388594
988,1,709724095
989,0,710748972
990,0,711421928
991,1,711824288
992,0,714547229
993,1,715038101
994,1,715752710
995,1,718411180
996,1,718627154
997,1,718738518
998,0,720352416
999,0,721266996
1000,1,723013804
1001,0,723609372
1002,1,724282226
1003,0,724343380
1004,1,724503427
1005,0,724559752
1006,1,725893156
1007,1,726032991
1008,0,726589047
1009,1,726602172
1010,1,728316594
1011,1,729408080
1012,1,729683924
1013,1,730046483
1014,1,730327982
1015,1,730450573
1016,1,731045874
1017,1,733674666
1018,0,734252733
1019,1,734269654
1020,0,734433787
1021,0,734877026
1022,1,735798726
1023,1,735914327
1024,1,736308684
1025,1,737948514
1026,1,738880873
1027,1,741733643
1028,0,741854447
1029,1,745734925
1030,0,746356799
1031,1,746808721
1032,1,746864247
1033,0,748261663
1034,1,749237127
1035,1,750117414
1036,0,750392052
1037,0,750997947
1038,0,751261150
1039,0,751411317
1040,0,751539921
1041,1,752421990
1042,0,753238951
1043,0,753241796
1044,0,753245025
1045,0,753246388
1046,0,754914790
1047,1,758969931
1048,0,761043683
1049,0,761964972
1050,1,764575548
1051,0,764576292
1052,1,764729310
1053,1,766910959
1054,0,768054318
1055,1,768177710
1056,1,768177955
1057,1,769073163
1058,0,769688162
1059,0,773480206
1060,1,773518229
1061,0,773571683
1062,0,775191977
1063,0,775323441
1064,0,775522631
1065,1,775620170
1066,1,776002254
1067,1,776628291
1068,0,777373586
1069,0,777487030
1070,0,777954669
1071,0,778371361
1072,1,782208915
1073,1,782815256
1074,1,784381959
1075,1,784740141
1076,0,785105308
1077,0,785124249
1078,0,785878486
1079,0,786678735
1080,1,788431427
1081,1,789110952
1082,0,789175299
1083,1,791336691
1084,1,791360769
1085,0,794323578
1086,1,794331186
1087,0,794606572
1088,1,796123999
1089,1,797107612
1090,0,797139918
1091,0,797247208
1092,1,797495688
1093,1,797519005
1094,0,797721178
1095,1,798344534
1096,1,798842594
1097,1,800894178
1098,0,801569818
1099,0,801732675
1100,1,801817758
1101,1,801951653
1102,0,802272049
1103,0,804081118
1104,1,804656671
1105,0,804701131
1106,1,806113503
1107,1,807728314
1108,1,808102920
1109,1,808200968
1110,1,808323595
1111,1,808356130
1112,0,814187054
1113,1,817129994
1114,0,817620054
1115,0,818638503
1116,1,821603516
1117,0,821986132
1118,1,823355114
1119,0,824251878
1120,0,826350508
1121,0,827276546
1122,0,828276480
1123,1,828641800
1124,1,830795623
1125,1,831028618
