,cat,id
0,0,718429
1,0,1266138
2,1,2625398
3,1,3053374
4,2,3579117
5,0,3747452
6,0,3897304
7,1,4174341
8,0,4302320
9,2,6830223
10,1,7400608
11,2,7605185
12,0,8393051
13,0,8992105
14,0,11430439
15,0,11837936
16,2,12085273
17,0,12771060
18,1,14436022
19,0,14641738
20,0,15157302
21,2,15562099
22,2,16673664
23,2,17166797
24,2,17722315
25,0,18092054
26,0,18218915
27,2,18862725
28,2,19768513
29,1,20298200
30,2,21318098
31,0,23026099
32,0,23277483
33,0,23413057
34,0,23745684
35,0,24135524
36,0,26577429
37,0,26641403
38,2,27176469
39,0,29012350
40,2,29215427
41,0,29709876
42,2,29724300
43,0,30411698
44,0,31088780
45,0,31351392
46,0,31909597
47,0,33255069
48,0,35065584
49,1,38873401
50,0,39162863
51,0,39213197
52,2,39547328
53,0,39689488
54,2,39732827
55,2,39847768
56,2,39856657
57,2,40922808
58,1,41039859
59,0,41468944
60,0,42992297
61,0,43039034
62,0,45101396
63,0,45364736
64,2,45845570
65,0,47620085
66,0,47735704
67,0,48302655
68,1,48359680
69,2,48403732
70,2,48709306
71,2,50338064
72,0,50357765
73,0,51904807
74,0,52502528
75,0,52596408
76,2,53026923
77,0,53300870
78,0,53888063
79,0,54389138
80,0,55733134
81,1,55776628
82,0,55792893
83,0,56367501
84,0,57044781
85,0,57191384
86,2,57544429
87,0,57665747
88,0,57694727
89,2,58338324
90,0,58977949
91,0,58978209
92,0,59047957
93,2,59140437
94,0,60631941
95,0,60875298
96,0,60950947
97,0,61018696
98,2,61333056
99,0,61645213
100,2,61664798
101,2,64847160
102,0,64902567
103,0,65055709
104,0,65472596
105,2,68470951
106,0,70471797
107,2,71324733
108,1,72069388
109,0,72247465
110,0,73133294
111,0,73733340
112,0,74501918
113,0,74861475
114,0,75323385
115,0,75461010
116,0,75543681
117,0,75544057
118,0,76147397
119,0,78583627
120,1,79024476
121,0,80612322
122,2,80915806
123,2,81393853
124,0,81432599
125,0,82455737
126,0,82608508
127,0,82989462
128,0,83008891
129,1,83087399
130,0,84560090
131,2,84604414
132,0,85516568
133,0,86133489
134,0,87705430
135,1,87815089
136,0,88338061
137,1,88470292
138,0,90072366
139,0,91229609
140,0,91483264
141,0,92569189
142,2,93266600
143,0,95094419
144,0,96493792
145,0,97124755
146,0,97550523
147,0,97821987
148,2,98833475
149,0,99918519
150,0,100580300
151,2,100891126
152,2,101217012
153,2,101217812
154,2,101412509
155,1,101947667
156,0,102668010
157,1,103396179
158,0,105358638
159,2,106637081
160,2,106833547
161,2,108396712
162,1,110015822
163,1,110669072
164,0,110978043
165,0,111576139
166,0,111591910
167,0,111692609
168,0,113817136
169,0,115267890
170,2,115991832
171,0,116060174
172,1,116451385
173,1,117065912
174,0,118194509
175,2,119617748
176,0,121769742
177,0,123783532
178,0,125679578
179,0,127463951
180,0,127726450
181,0,127795219
182,0,128142015
183,2,129568362
184,0,130024077
185,1,130174320
186,0,130925613
187,1,131293227
188,2,132076243
189,0,132546503
190,0,133488639
191,0,133697612
192,0,133719190
193,0,134419028
194,2,134630258
195,0,135168895
196,0,135174853
197,0,135271061
198,0,135430311
199,0,136239906
200,2,138486636
201,2,139719179
202,0,140189652
203,0,141069230
204,2,141668307
205,0,142417829
206,0,142498535
207,0,143127839
208,0,143298658
209,0,144327887
210,1,145273679
211,0,146570707
212,0,147310364
213,2,150724442
214,2,151751795
215,0,152183735
216,0,153850049
217,2,153920845
218,0,154962048
219,0,155838699
220,0,155917873
221,2,156719655
222,0,157884969
223,0,158808445
224,0,159577703
225,2,159646093
226,0,159716641
227,0,160284533
228,1,163280640
229,2,164007431
230,2,164662663
231,0,165004451
232,1,166042736
233,0,166124248
234,0,167402165
235,0,168382124
236,2,171213928
237,2,174387981
238,0,174422776
239,0,176400341
240,2,176916325
241,2,177308886
242,2,177843501
243,2,178203977
244,0,178882153
245,0,179146220
246,0,179532962
247,2,181295795
248,0,181413993
249,2,184223385
250,0,184294047
251,2,185087154
252,0,185145791
253,0,186897991
254,1,190932589
255,0,191527973
256,0,191699959
257,1,191839868
258,2,192001662
259,2,192748180
260,0,193486876
261,1,194597969
262,2,194691889
263,0,196536034
264,0,197995547
265,0,199199811
266,0,199544822
267,2,202522448
268,0,204688270
269,0,206124541
270,0,208755117
271,2,212305672
272,0,212634809
273,0,213574467
274,0,213601136
275,1,214797358
276,0,216015303
277,2,216258055
278,0,216806545
279,2,217544031
280,0,217785835
281,1,219972630
282,0,221044767
283,2,222226389
284,0,223460140
285,0,223999185
286,2,224757982
287,0,225927220
288,0,226592945
289,0,227576110
290,0,227589266
291,0,229167282
292,2,230667720
293,0,231227163
294,0,231526249
295,0,231568326
296,2,231919221
297,2,232502957
298,0,233265546
299,2,233454040
300,1,233985141
301,2,234128251
302,0,234574494
303,0,234786157
304,0,235969568
305,0,237825710
306,2,240889087
307,2,240893048
308,0,241014117
309,0,242484930
310,0,243420643
311,0,246045457
312,0,246393602
313,1,246501886
314,2,246576942
315,0,246604022
316,0,247694422
317,0,248459992
318,0,250022243
319,0,251256956
320,0,251395910
321,0,252650081
322,0,252769758
323,0,253005874
324,0,253068952
325,0,253084295
326,0,253562202
327,0,255077432
328,0,255113652
329,0,256338228
330,0,257050423
331,2,258576755
332,0,258911290
333,0,259821068
334,0,260305367
335,2,260415331
336,1,261501534
337,0,261916965
338,0,262320459
339,1,262445230
340,0,263288310
341,0,263525882
342,0,264555645
343,0,264969915
344,0,267350840
345,0,271803360
346,0,271967193
347,2,272636243
348,0,272742020
349,2,273008858
350,2,273663944
351,0,274341905
352,2,275460888
353,0,276104808
354,0,276537407
355,0,277341196
356,0,277942763
357,0,278645586
358,0,278667651
359,0,279669402
360,0,279734255
361,1,280667591
362,1,280682588
363,0,281975459
364,0,281984025
365,0,282356180
366,0,282357521
367,2,283658019
368,0,285829927
369,1,288434711
370,0,289357995
371,0,289973289
372,0,290338515
373,0,292066022
374,0,292655839
375,0,293474773
376,0,295097618
377,1,296316876
378,2,296596606
379,2,298431327
380,0,298643158
381,1,298775130
382,0,300024616
383,2,300417599
384,0,301361503
385,2,301858248
386,0,302333498
387,0,302339363
388,0,302518377
389,0,302581064
390,0,302945633
391,0,304365060
392,2,304662039
393,0,305741725
394,1,307999603
395,2,308099371
396,0,308818526
397,0,310063364
398,0,310590666
399,0,311495000
400,0,311978013
401,2,313987989
402,0,314100907
403,0,314128644
404,0,314290917
405,1,314535084
406,0,316179809
407,2,317306766
408,0,317594630
409,0,317995183
410,1,318363857
411,0,318431587
412,0,318857371
413,1,319062461
414,0,319087921
415,0,321771049
416,0,323007125
417,1,323778178
418,1,323895880
419,2,324581936
420,0,325065665
421,1,325281621
422,0,326917468
423,0,327725886
424,0,327904990
425,2,328542556
426,0,329301212
427,0,329575088
428,0,329679064
429,0,329753133
430,1,333029209
431,1,333657801
432,2,333871695
433,0,333892974
434,0,334498345
435,0,334663282
436,2,335174244
437,2,336211868
438,0,336629994
439,2,337210497
440,0,338140245
441,2,338337497
442,0,339960442
443,2,340143447
444,2,341168006
445,0,342078819
446,0,342085951
447,0,343255868
448,2,343740875
449,0,344116916
450,0,345959281
451,1,347128351
452,2,348863067
453,0,350293929
454,2,351222728
455,0,352120386
456,0,352238749
457,0,353053959
458,0,354696078
459,1,355425118
460,0,355707515
461,0,355870722
462,1,357865613
463,1,357902808
464,1,357903289
465,2,357941810
466,0,358041343
467,0,358663351
468,0,358723253
469,0,360230832
470,1,361381399
471,0,361850512
472,1,362528421
473,0,364016127
474,0,364464344
475,0,367188142
476,0,367328006
477,2,368530686
478,2,369038856
479,0,369113123
480,0,369207152
481,0,370660865
482,0,371858874
483,0,372511428
484,0,373630143
485,2,373744363
486,1,375193383
487,0,375980121
488,0,376034933
489,0,376065152
490,0,376078764
491,0,376080093
492,1,376097832
493,0,379915756
494,2,379960116
495,0,380868987
496,2,380967070
497,0,380986887
498,2,382665652
499,2,385019317
500,0,385339881
501,0,386595764
502,2,388236395
503,2,389560932
504,0,389708327
505,0,392157129
506,0,392987180
507,0,394333740
508,2,394381070
509,2,394950964
510,2,394972303
511,1,395892075
512,0,396717962
513,0,397259885
514,0,397640525
515,0,399144754
516,0,399709332
517,0,399794054
518,0,400117034
519,0,400295986
520,2,400820279
521,0,405288243
522,0,406468534
523,0,407657788
524,0,407800724
525,0,407934574
526,0,410620285
527,1,411445571
528,2,411894778
529,1,412100193
530,0,412428171
531,0,412609115
532,0,413779170
533,0,414439208
534,0,414819925
535,1,415080950
536,1,415380672
537,2,416996576
538,0,417279122
539,1,418094575
540,0,418675408
541,0,419114491
542,0,419140255
543,0,419432597
544,2,419457066
545,0,419704602
546,1,420050438
547,2,420123959
548,0,421497060
549,0,421920002
550,0,422146575
551,0,422373928
552,0,422396825
553,0,422518780
554,0,423115845
555,0,428824270
556,0,428824519
557,0,428828214
558,0,429553282
559,0,430422140
560,1,431152339
561,0,437441633
562,0,438155438
563,1,438462220
564,1,438630804
565,1,438639343
566,1,439353042
567,0,439744763
568,0,440197312
569,0,440789818
570,0,441181034
571,1,441781873
572,0,441792240
573,1,441802838
574,0,442984868
575,1,443297419
576,1,444620083
577,0,445262649
578,1,447943719
579,1,448674520
580,0,449570347
581,0,449754051
582,0,449754080
583,0,449844663
584,1,449852151
585,0,450778424
586,0,451387572
587,2,451845576
588,2,451856285
589,2,452084393
590,2,452140780
591,2,452161793
592,2,452346765
593,0,452458668
594,2,452474675
595,2,452622140
596,2,452654704
597,2,453107032
598,0,453240310
599,2,453249685
600,0,453440685
601,2,453526788
602,2,453968512
603,2,454000805
604,2,454081316
605,2,454167045
606,2,454635520
607,1,455233673
608,1,455555541
609,0,456628821
610,0,456960720
611,2,456983722
612,2,457117509
613,2,457713946
614,1,460181816
615,0,460450334
616,1,461160765
617,1,461823681
618,1,462116976
619,0,462928449
620,1,462962100
621,0,463066571
622,0,463586390
623,1,463761185
624,1,463821156
625,1,463943800
626,2,464866941
627,0,465315709
628,0,465502725
629,0,465873794
630,1,465902406
631,0,465983642
632,2,466214300
633,0,466342934
634,1,466606404
635,0,467099966
636,0,467222140
637,1,467616309
638,0,468296544
639,0,468732630
640,1,469185588
641,1,469189192
642,0,469334422
643,0,469427603
644,0,469976494
645,1,470069653
646,0,470153978
647,2,471287503
648,2,471529470
649,1,472436240
650,0,473181262
651,1,473211264
652,0,473219534
653,1,473555265
654,2,473689371
655,1,474409283
656,0,474874034
657,1,474877758
658,0,474919437
