,cat,id
0,0,299048
1,1,372387
2,0,1229014
3,0,1372553
4,0,1650739
5,0,2006191
6,0,2435054
7,0,2930888
8,0,3680514
9,0,5458411
10,1,6398121
11,1,6846223
12,1,6846490
13,0,6934840
14,0,8479428
15,0,8545188
16,0,8561473
17,0,9056997
18,0,9285415
19,0,9595590
20,0,9694277
21,1,10394879
22,1,10632685
23,1,10697536
24,0,11292434
25,0,12094149
26,1,12272566
27,0,13055601
28,0,13737355
29,1,13986198
30,1,13986202
31,0,14022431
32,0,14224273
33,0,14546625
34,0,14546830
35,0,14803394
36,0,16192358
37,0,16200148
38,0,17002224
39,1,19286349
40,0,19662899
41,0,20005933
42,1,20361053
43,0,21340197
44,0,22404783
45,0,25871188
46,0,25871391
47,0,28242421
48,0,29318904
49,0,30374776
50,0,30741371
51,1,31957814
52,0,32249691
53,1,32587585
54,0,32587610
55,0,33020237
56,0,34335805
57,0,34335841
58,1,35685298
59,0,36033890
60,0,37736648
61,0,37855180
62,0,38520322
63,0,38727745
64,0,38727933
65,0,38728007
66,0,39061194
67,0,39538461
68,0,40370457
69,1,41058213
70,0,41094074
71,0,41094373
72,0,41682950
73,0,42361409
74,0,42839343
75,1,43172860
76,0,43234576
77,0,44133336
78,0,45138525
79,1,46388560
80,0,46390740
81,0,46651328
82,0,49925395
83,0,50191462
84,0,51717580
85,0,52781504
86,0,53094604
87,0,53095324
88,0,53095745
89,0,53095818
90,0,53096326
91,0,55085247
92,1,58007276
93,1,58007346
94,1,58007411
95,1,58330422
96,1,58404050
97,0,58510515
98,1,59255089
99,0,59801164
100,0,59801248
101,0,60143389
102,0,60626972
103,0,60833241
104,0,60837292
105,0,60838921
106,0,61538411
107,1,61646284
108,1,61947347
109,0,62028720
110,0,62710289
111,0,63626120
112,0,63649579
113,0,64169572
114,1,65290898
115,0,65414526
116,0,66882188
117,1,66882885
118,0,67024396
119,1,67518441
120,0,67563480
121,0,67777052
122,0,67915235
123,0,68594380
124,0,69130448
125,0,69787460
126,1,70133008
127,1,70679428
128,0,71326799
129,1,71326808
130,0,72346665
