,cat,id
0,3,286724
1,1,620879
2,1,1422008
3,1,1624307
4,1,1857613
5,0,1874209
6,1,2017318
7,3,2098393
8,1,2147535
9,3,2182869
10,0,3455497
11,1,3963123
12,3,3964844
13,1,4445830
14,1,4477000
15,2,5077076
16,0,5657326
17,0,5797545
18,1,5828067
19,2,5835996
20,0,5989308
21,1,6021295
22,0,6704662
23,1,7311477
24,1,7603407
25,0,7810316
26,1,8423220
27,0,8455470
28,1,8644280
29,0,8658345
30,0,8658599
31,3,10050676
32,1,10437027
33,0,11993419
34,3,12298517
35,1,12688798
36,1,12688917
37,0,12921965
38,0,14885617
39,2,14892330
40,1,16529058
41,3,17127911
42,1,18099511
43,1,18753050
44,0,18753927
45,2,18904838
46,1,19085851
47,1,19638984
48,2,20518886
49,0,21013468
50,0,21476185
51,1,22293974
52,1,22422287
53,0,22770582
54,3,23345751
55,0,23407731
56,1,23642829
57,3,24245493
58,1,26140410
59,3,27408426
60,3,27539726
61,1,28073579
62,1,28436696
63,1,28436722
64,1,28768538
65,2,28998814
66,2,29105945
67,2,29319450
68,0,31851852
69,0,32038350
70,0,32055368
71,1,32942221
72,3,34494534
73,0,35055156
74,1,36094447
75,0,36147868
76,0,36809810
77,1,36809869
78,3,37026448
79,0,37073702
80,0,39071714
81,3,40259008
82,1,40936984
83,1,41640965
84,0,42037768
85,1,42219545
86,0,42746378
87,1,43342759
88,0,43362186
89,0,43873450
90,0,44133574
91,1,45274082
92,1,46003900
93,0,46376372
94,2,47202505
95,1,47539954
96,1,47594799
97,1,47656177
98,1,47875480
99,2,48253746
100,1,51463304
101,1,51629270
102,1,52373492
103,0,52836754
104,3,52990760
105,1,53000912
106,1,53378721
107,2,53381975
108,1,55102644
109,1,55150673
110,2,55155639
111,1,56143001
112,2,56171450
113,1,59225660
114,0,59459700
115,3,60069942
116,3,60216325
117,3,60305229
118,3,61933047
119,3,63047081
120,3,63048484
121,3,63545768
122,3,63554462
123,3,63554493
124,1,64278669
125,1,66087898
126,1,66614745
127,3,66997774
128,1,67941685
129,1,68811567
130,2,69448614
131,1,69475441
132,1,69475457
133,0,69754250
134,1,70441576
135,3,70647869
136,0,73830884
137,0,74000622
138,3,74481551
139,0,74542356
140,1,75870343
141,2,76196722
142,1,76196842
143,0,76406788
144,1,77180570
145,3,77678766
146,1,78025764
147,1,79272682
148,1,79420977
149,0,79673933
150,1,79708310
151,1,81029700
152,1,81029730
153,1,81575223
154,3,82469563
155,2,83023381
156,1,83023407
157,1,83023511
158,3,85075589
159,0,85162428
160,1,85853830
161,1,86310150
162,3,86525993
163,3,87219151
164,3,87241159
165,0,87489137
166,3,88045550
167,0,88074861
168,0,88075008
169,1,88455023
170,1,88979287
171,1,89618136
172,3,90479385
173,1,90598519
174,1,90598576
175,1,90600238
176,1,90889492
177,1,90938785
178,2,91509082
179,2,91519343
180,2,91519466
181,3,93137249
182,0,93200049
183,1,95050080
184,1,95783558
185,2,96410439
186,3,96657018
187,0,96697233
188,1,96988793
189,3,97164589
190,1,97568874
191,1,98336151
192,0,98516716
193,0,98516755
194,1,98668833
195,3,98668913
196,0,100019808
197,3,100838980
198,1,100843718
199,3,101002428
200,3,101329822
201,3,102751179
202,1,103223662
203,0,103740912
204,0,104776914
205,2,105121328
206,3,105154222
207,3,105967563
208,3,106349798
209,0,106830201
210,1,106853200
211,2,107976859
212,2,108289432
213,0,108584001
214,3,108710700
215,0,108837823
216,1,109621499
217,1,109885029
218,1,110012916
219,3,110599311
220,1,111720994
221,0,111805462
222,1,112098702
223,2,112099404
224,0,113099385
225,1,114077901
226,0,114172364
227,0,115247583
228,3,116064815
229,3,116946454
230,3,117129853
231,3,117130353
232,3,117130465
233,1,117244205
234,1,117377297
235,3,118205087
236,0,120923686
237,0,121793307
238,0,121800803
239,0,122879823
240,1,123820280
241,3,123927096
242,3,123927159
243,3,124078413
244,1,124578321
245,2,126042268
246,0,126357758
247,1,126385508
248,1,126984169
249,1,127354657
250,0,128830944
251,1,129501962
252,1,129810855
253,0,129843360
254,3,129843542
255,1,129843562
256,3,129843810
257,1,131544174
258,3,133017807
259,2,133281049
260,3,133685512
261,3,134081546
262,2,134082299
263,3,134082370
264,2,134082397
265,2,134082412
266,0,134083544
267,0,134465075
268,1,135094221
269,3,135112481
270,1,135231770
271,0,135488541
272,3,135663618
273,2,136078126
274,3,137089732
275,1,137318544
276,3,137775477
277,1,138952870
278,0,140188280
279,0,140422920
280,3,141602818
281,0,141914183
282,1,142533212
283,0,144317432
284,1,144377279
285,0,145545935
286,3,146387216
287,3,146387269
288,0,147015299
289,3,147544332
290,0,147961913
291,1,148744548
292,2,149309859
293,0,150575518
294,0,153424720
295,0,153899720
296,3,153900390
297,0,153901960
298,2,153902700
299,0,153903296
300,2,153903583
301,3,154183060
302,0,154780068
303,1,155282676
304,3,155494392
305,1,155695358
306,1,155696642
307,3,156275113
308,0,156276031
309,3,157375927
310,3,157908012
311,3,157908078
312,3,157908260
313,0,158009591
314,3,158732226
315,1,158812647
316,1,159030860
317,3,159830753
318,1,159851510
319,1,160047896
320,1,160565238
321,2,160726580
322,0,162301544
323,2,162353175
324,3,162464707
325,1,164294430
326,3,166252511
327,3,166678274
328,2,168454658
329,1,168454676
330,3,168454726
331,0,169016011
332,1,169102670
333,2,171941594
334,0,171949573
335,3,173251595
336,3,173252122
337,0,173369073
338,2,176167039
339,1,176320252
340,1,176564165
341,1,176709935
342,0,177405900
343,1,177953641
344,3,178217086
345,3,178894988
346,3,179744648
347,1,180262928
348,1,180263039
349,1,180497350
350,1,180736707
351,1,180737036
352,0,180755906
353,3,180755922
354,0,182389646
355,3,182895157
356,3,182895298
357,0,183228221
358,0,183494195
359,0,184894746
360,1,184938720
361,2,184939178
362,3,185248332
363,0,185963525
364,0,186754125
365,2,187753102
366,3,187753127
367,3,188708227
368,0,189358370
369,0,189861045
370,3,189889447
371,1,190336457
372,1,191345766
373,1,191487418
374,3,192489398
375,1,192946843
376,1,193138618
377,3,193154618
378,1,196152634
379,0,196265568
380,1,196518250
381,3,196960220
382,0,196962306
383,3,196962473
384,2,197041005
385,1,197200896
386,1,199133003
387,2,199438803
388,3,199439474
389,1,199681347
390,0,200071004
391,3,200456244
392,1,200615843
393,1,200635164
394,1,200724122
395,3,201654277
396,1,201756193
397,1,201898668
398,1,202824632
399,1,203804748
400,3,204211626
401,3,204876893
402,1,204898827
403,0,206172861
404,3,206447249
405,3,206602907
406,0,206603725
407,1,206604169
408,0,206966920
409,1,207135237
410,1,207137538
411,3,207743272
412,0,208369857
413,3,208632409
414,3,210924303
415,0,210924443
416,2,211831486
417,0,213280312
418,1,213280427
419,1,213528906
420,1,213530633
421,3,213692251
422,3,214269625
423,1,214487499
424,3,215566266
425,3,215566453
426,0,215732426
427,1,215917906
428,3,216409897
429,3,218281548
430,0,218932352
431,0,219175207
432,0,220056606
433,0,220289433
434,2,220862156
435,2,220869656
436,1,220873217
437,1,222110030
438,3,222396975
439,0,223344838
440,1,224194295
441,3,224194315
442,3,224194341
443,1,224194526
444,1,224317600
445,3,224317624
446,3,224350204
447,3,224350306
448,1,224628496
449,3,226261571
450,3,226508041
451,3,227004646
452,3,227134854
453,0,228359820
454,3,228385712
455,2,230258227
456,3,231863223
457,1,231951261
458,0,232405078
459,1,232443212
460,1,232582795
461,1,234578331
462,3,235606467
463,1,236904463
464,1,237210456
465,0,238872448
466,1,239819450
467,0,239932320
468,0,239932326
469,1,240067911
470,3,240774669
471,1,242003141
472,1,242279746
473,3,242283392
474,1,243489293
475,3,243911829
476,2,243913212
477,0,244553355
478,0,245018958
479,3,246234977
480,3,246258006
481,1,246362513
482,0,248354798
483,0,248454322
484,0,248456063
485,3,248779660
486,3,249243660
487,0,249276599
488,0,249306076
489,1,249439666
490,1,249439724
491,1,249881241
492,0,250238997
493,0,250891061
494,0,251568751
495,1,252023672
496,3,252240946
497,1,252536339
498,0,253126726
499,3,253275860
500,1,253976110
501,0,254580950
502,1,255922768
503,0,255997475
504,1,256009276
505,2,256168921
506,3,256922560
507,1,258017670
508,1,259017477
509,3,259057499
510,3,259420053
511,3,259594188
512,0,259835805
513,1,260458337
514,1,261129559
515,3,262449710
516,1,262640564
517,3,263181541
518,1,263843019
519,1,264532580
520,1,264978643
521,3,265617999
522,3,265746186
523,3,266557242
524,3,267630999
525,0,269224482
526,0,269225160
527,0,269892012
528,3,269953378
529,3,270417010
530,2,271339906
531,1,272005569
532,1,272657665
533,2,272757536
534,0,273205575
535,2,273870038
536,3,276565346
537,0,277949107
538,0,278156553
539,1,278439896
540,0,279948233
541,1,280559037
542,0,282154007
543,0,285230518
544,3,286726809
545,1,287381332
546,0,288074687
547,0,290182601
548,1,290200806
549,1,290440282
550,2,292089696
551,1,293065665
552,0,293882726
553,1,295376199
554,3,295458691
555,3,297026429
556,1,297621802
557,1,297656041
558,0,297769588
559,2,300125817
560,1,300211170
561,1,300537010
562,2,300613666
563,0,300807062
564,0,300807234
565,3,301013036
566,3,301013092
567,3,302541780
568,1,304364144
569,1,305260274
570,1,305545102
571,0,306109978
572,0,306111688
573,1,307919632
574,0,308572369
575,3,309043551
576,1,309044116
577,3,309046016
578,1,309341328
579,1,310616623
580,3,311423653
581,3,311424485
582,0,311615614
583,3,311862191
584,0,311862297
585,1,312102692
586,1,313669789
587,0,313704348
588,0,315166621
589,3,315211358
590,2,315291153
591,1,315364889
592,1,315442609
593,0,315479597
594,1,315620877
595,3,315750309
596,3,316098021
597,0,316161916
598,3,317023027
599,1,318431727
600,2,318450654
601,1,318494105
602,1,319079438
603,1,319081370
604,2,319219088
605,1,319300830
606,2,319301062
607,3,319301088
608,1,319619084
609,3,321782562
610,3,321874734
611,2,322387228
612,3,322642619
613,1,322758033
614,3,323516477
615,2,324091400
616,0,325008466
617,3,325369597
618,3,325369626
619,3,325369661
620,0,325576232
621,0,326322788
622,1,327077940
623,1,328011269
624,1,329002185
625,1,329471873
626,2,329679271
627,1,330995286
628,3,331145839
629,3,331709816
630,3,331709851
631,1,334536154
632,0,335556459
633,0,336612156
634,1,337121270
635,1,337122730
636,3,337122751
637,3,337122757
638,1,338250609
639,0,338671156
640,0,339273106
641,0,341094150
642,0,341172460
643,1,341278113
644,0,341436134
645,3,341436186
646,0,344244346
647,3,347641818
648,0,347932178
649,2,348380983
650,1,350078492
651,3,350078594
652,1,353316871
653,0,353414082
654,0,354107017
655,3,354139647
656,0,354388529
657,0,356129902
658,0,356307700
659,1,356335863
660,1,356493398
661,3,356494243
662,1,357051676
663,0,357939394
664,0,358078757
665,1,358613905
666,3,359678760
667,1,361541346
668,1,361541899
669,1,362185168
670,1,362214471
671,1,362428369
672,2,363060252
673,2,363258768
674,3,363757208
675,0,363985514
676,0,365576355
677,1,365576416
678,2,365576439
679,0,365577373
680,2,365583432
681,0,365606573
682,0,366833322
683,1,366881367
684,1,366881470
685,2,367232363
686,1,367626136
687,1,368195107
688,1,368195185
689,1,368818280
690,0,369783726
691,2,370528648
692,1,371739328
693,1,372029367
694,1,372321316
695,1,372934759
696,1,374283480
697,1,374984441
698,3,375558035
699,3,375568203
700,2,375584425
701,3,377986514
702,1,378121456
703,3,378703688
704,3,378764415
705,2,379052513
706,0,380297719
707,2,383527687
708,2,383528936
709,3,383530622
710,2,383535493
711,0,383535919
712,0,383544638
713,0,383544775
714,0,386195103
715,1,387601800
716,1,387601814
717,0,387693353
718,3,387720935
719,0,390726405
720,0,390777055
721,1,391155191
722,1,391529031
723,1,391953311
724,1,393471873
725,3,393747145
726,3,394516022
727,1,394670354
728,1,394672444
729,3,395430048
730,0,396143527
731,3,396556081
732,1,398398389
733,1,399001954
734,1,401238746
735,1,402391186
736,3,405520589
737,3,405673211
738,3,406736920
739,2,407436320
740,1,407436369
741,3,409249938
742,1,409408732
743,2,410423312
744,1,410597098
745,1,410640322
746,3,411664079
747,2,412229636
748,1,413970338
749,3,414175468
750,2,414417203
751,2,415445482
752,1,416036314
753,0,416751453
754,0,417572704
755,2,417685963
756,0,418887796
757,1,420238987
758,1,420687448
759,1,420964201
760,1,421580624
761,0,422374310
762,1,423234583
763,1,423524921
764,0,440662418
765,0,448624344
766,0,454373319
767,0,454373766
768,0,456615496
769,2,494375394
770,0,509492697
771,3,518200667
772,2,523923016
773,2,523923077
774,2,532025831
775,0,537823890
776,2,540017457
777,0,545230370
778,2,547626731
779,2,548243907
780,2,563728885
781,0,566500309
782,0,566720378
783,2,586976872
784,2,603039974
785,2,606579586
786,2,610462710
787,2,613368016
788,2,613908889
789,2,615678504
790,0,630699746
791,3,640252475
792,3,640252538
793,0,643346119
794,2,651986121
795,0,676979373
796,0,697457595
797,2,706519317
798,0,707050301
799,2,712389713
800,0,730464482
801,0,734486993
802,2,743703193
803,2,743703261
