,cat,id
0,1,463854
1,0,799802
2,2,879497
3,0,1503888
4,0,1698512
5,0,1698954
6,2,2141280
7,0,2210033
8,0,2761097
9,1,3196472
10,0,3308162
11,2,5238123
12,1,5442891
13,2,6032867
14,1,6205164
15,2,7032300
16,0,7143943
17,1,7538189
18,0,8099396
19,2,9310628
20,1,9441282
21,0,10349111
22,0,13958973
23,1,14314912
24,0,15179897
25,0,15201398
26,0,15459878
27,0,16020952
28,2,16701530
29,0,16865157
30,0,17776049
31,0,18984325
32,1,19906451
33,0,20137896
34,0,20371772
35,1,20575129
36,0,21586442
37,0,21587811
38,0,23433703
39,0,23489414
40,0,23795354
41,0,23796968
42,0,23797020
43,0,23848258
44,0,23891345
45,0,24655732
46,1,24915313
47,2,25113744
48,2,25625615
49,0,26173802
50,0,27877144
51,0,28330781
52,1,28620048
53,0,28851111
54,0,29777037
55,2,29885133
56,0,31351567
57,1,32713242
58,2,35423313
59,0,35832160
60,0,36880911
61,1,36973710
62,2,37390270
63,0,38114427
64,0,39277909
65,1,39548233
66,2,40063357
67,2,40468051
68,1,40811459
69,2,41366741
70,2,42158533
71,0,42162679
72,1,42164754
73,2,42298542
74,1,42298720
75,0,42890540
76,1,44868762
77,1,44897948
78,2,45662458
79,0,45863360
80,0,47834073
81,0,48656823
82,0,49501056
83,0,49604534
84,1,50567732
85,0,50748986
86,0,51459976
87,0,52097349
88,1,53071009
89,0,55178610
90,1,56671059
91,2,57107527
92,0,58094570
93,0,58189387
94,0,58333611
95,1,58769195
96,1,58793887
97,2,58813966
98,2,58814462
99,2,58820589
100,1,58834189
101,0,58839462
102,1,59324594
103,0,60100223
104,1,60161783
105,1,60619169
106,2,61765510
107,0,62605215
108,0,63553646
109,1,64850447
110,1,64850667
111,1,64851859
112,1,64852400
113,1,65070276
114,0,65089323
115,1,65584201
116,0,66192836
117,2,66268312
118,1,66782971
119,1,68352033
120,2,68468794
121,1,69971332
122,2,69971563
123,2,69971587
124,1,69972320
125,2,69972469
126,2,70309322
127,0,70845479
128,0,71397841
129,0,72017792
130,2,72272189
131,2,73100486
132,0,73348195
133,2,73421212
134,2,73476035
135,1,73476335
136,0,73617133
137,0,73981040
138,0,73981136
139,0,74188976
140,0,74666369
141,0,74666458
142,1,74709082
143,0,75402403
144,1,75565433
145,0,76059059
146,0,77353769
147,0,77353797
148,0,78771373
149,0,81018607
150,0,81158760
151,1,82245008
152,1,82309263
153,0,82607213
154,0,83196891
155,1,84286543
156,2,84740952
157,1,84886827
158,0,85304898
159,1,85370788
160,2,86294830
161,2,88416354
162,0,89948179
163,0,90271975
164,0,91401204
165,0,91478064
166,1,92280131
167,1,93045764
168,1,93252292
169,2,94153152
170,0,95124635
171,2,95462348
172,0,98195588
173,1,99875279
174,0,102181205
175,2,102922741
176,1,103028542
177,0,103042083
178,0,103050163
179,1,103736712
180,1,104277111
181,0,104480728
182,1,106338056
183,1,107237465
184,1,107384627
185,2,108032957
186,0,109254132
187,0,111205548
188,0,111465112
189,0,112246932
190,0,112331427
191,0,112950291
192,0,113860728
193,1,113979733
194,0,114740996
195,0,114856167
196,1,115800355
197,0,117013161
198,0,117064889
199,1,119289358
200,2,120028925
201,2,120602388
202,1,120762589
203,0,122780714
204,0,122864234
