,cat,id
0,1,104639
1,1,233640
2,1,1514514
3,1,1636988
4,1,3252144
5,0,3561094
6,0,3711229
7,1,3793962
8,0,4059532
9,0,4966047
10,1,5386173
11,0,5458888
12,1,5600073
13,0,6921859
14,1,6922926
15,1,8331989
16,0,8538772
17,1,8632605
18,0,10346056
19,0,10809561
20,0,11662482
21,0,12623457
22,0,12945026
23,1,13828150
24,1,13863144
25,0,16002934
26,0,16009061
27,1,16200539
28,1,17101712
29,1,17909221
30,1,17967444
31,0,18675043
32,0,18741701
33,0,19528991
34,1,19992256
35,0,20030963
36,0,20137985
37,0,20511312
38,0,20542198
39,1,20736398
40,1,21528618
41,0,22497306
42,0,22810140
43,0,23082657
44,1,24327477
45,0,24774206
46,1,24836518
47,1,25383650
48,0,26562869
49,1,26613053
50,0,29192344
51,1,29789028
52,0,30159051
53,0,30249216
54,0,30276264
55,0,31379128
56,1,32015380
57,1,32343498
58,1,33133760
59,0,33588805
60,0,35408155
61,1,35637638
62,1,35816921
63,0,36808477
64,1,37280497
65,1,37387810
66,1,38260668
67,0,38540375
68,1,38600967
69,0,38693143
70,0,39400522
71,0,40641231
72,1,42336969
73,0,43568936
74,0,45726672
75,0,45726729
76,1,47074384
77,1,48329151
78,1,48423374
79,1,48455829
80,0,49484349
81,1,50013900
82,0,50436280
83,0,51267867
84,1,51428403
85,0,51636340
86,1,51992855
87,1,52542955
88,1,52937605
89,0,55911031
90,1,57215030
91,1,58050036
92,1,58307095
93,1,58396209
94,1,58918396
95,1,59101498
96,0,60699887
97,1,61741741
98,1,63490300
99,1,64278512
100,1,64377938
101,1,64807748
102,0,66489539
103,0,66498637
104,1,67267931
105,0,68581802
106,1,68629798
107,1,70313759
108,0,72072381
109,1,73360707
110,0,73519284
111,0,73550714
112,0,74786173
113,1,74805483
114,0,75433628
115,1,76096698
116,0,76234899
117,0,76682989
118,0,76837185
119,0,77861572
120,0,79493698
121,1,79792084
122,0,81270701
123,0,81320865
124,0,81914807
125,1,82002603
126,1,82647825
127,1,82970107
128,0,83437869
129,1,83676845
130,0,86442481
131,0,87123183
132,0,87208690
133,1,87311006
134,0,88377458
135,1,88998374
136,0,89310120
137,1,89373263
138,0,91157598
139,0,91282243
140,0,91498411
141,0,91802164
142,1,92159603
143,0,92477205
144,0,93767437
145,1,94643008
146,1,97946592
147,1,98608459
148,1,100096355
149,0,100665095
150,0,101446523
151,0,101447117
152,0,102171313
153,0,102885575
154,0,102956427
155,1,103379189
156,1,103507876
157,0,103727426
158,1,104489305
159,0,104843345
160,1,106808637
161,0,106808725
162,1,107190787
163,0,107396596
164,1,108562680
165,1,110006889
166,0,110030995
167,0,110308654
168,1,110308661
169,1,111571690
170,0,111587212
171,0,112200335
172,0,113813525
173,1,114324469
174,0,114390274
175,1,114626673
176,0,114788395
177,0,115957664
178,0,116543181
179,1,116735258
180,0,116795697
181,0,116816956
182,0,117158246
183,0,117158299
184,0,117974637
185,1,118245573
186,0,119364465
187,0,120848829
188,0,121021960
189,0,121382234
190,0,121698260
191,1,121788343
192,0,121842635
193,0,122065088
194,1,122068591
195,1,123573356
196,1,125384943
197,1,126124540
198,1,126247754
