,cat,id
0,0,51109
1,0,285513
2,0,1066224
3,0,1377812
4,1,1903881
5,1,1986032
6,0,1986994
7,0,2467351
8,0,2540078
9,0,3564384
10,0,4027345
11,3,4180033
12,1,4199933
13,0,6029472
14,0,6637797
15,0,8177839
16,1,8694096
17,0,8804229
18,1,8873938
19,1,10763717
20,1,10900836
21,0,10939047
22,3,11782363
23,1,12394487
24,0,13446509
25,2,13453429
26,0,14429455
27,1,15719435
28,1,15848577
29,0,15948114
30,1,17005893
31,0,18184393
32,2,18832404
33,0,19818338
34,0,20389329
35,0,21892366
36,0,22887899
37,0,25127578
38,2,25963237
39,1,26095984
40,3,28283237
41,0,29154849
42,0,29582303
43,3,29714713
44,2,30748233
45,0,30973311
46,2,31040288
47,3,32142899
48,0,32726549
49,0,32726693
50,2,32937475
51,1,33466324
52,2,33924188
53,0,34681244
54,0,35572736
55,2,35716866
56,2,35964262
57,0,38111972
58,0,40794272
59,0,41175277
60,0,41995758
61,2,42504499
62,1,43222489
63,1,43328636
64,1,43345711
65,0,43538169
66,0,43768856
67,1,44937473
68,0,45952598
69,0,46311384
70,0,46314350
71,2,48099029
72,0,50126945
73,0,50365376
74,0,51182038
75,1,51634058
76,3,52698036
77,0,53651523
78,1,54085816
79,0,54116607
80,1,56483055
81,0,60897477
82,0,61408790
83,2,62278768
84,0,62337944
85,1,62382488
86,3,62608779
87,3,63606935
88,0,64519195
89,2,65649622
90,0,66199390
91,0,67573009
92,0,68384792
93,2,68524598
94,0,68585794
95,1,68708176
96,0,69986217
97,1,70565940
98,0,71198873
99,2,71461130
100,2,73169852
101,1,73297444
102,0,74710522
103,0,75704137
104,1,76278450
105,2,76303812
106,2,76303821
107,2,80008117
108,1,80032847
109,0,80095095
110,0,81798790
111,0,81942483
112,2,83213078
113,2,83294946
114,2,84992133
115,1,87586473
116,2,87976999
117,0,91823364
118,0,93695662
119,2,95731138
120,0,96721233
121,2,97061662
122,2,97250023
123,1,99919869
124,3,101058253
125,0,102513485
126,0,102846554
127,2,102914927
128,1,106427698
129,0,107761653
130,1,107819304
131,1,107855448
132,1,107957582
133,2,109464501
134,1,109723997
135,2,114051786
136,2,114051841
137,2,114051874
138,2,114052094
139,0,114501946
140,1,115063141
141,3,115519756
142,2,116116503
143,0,116274475
144,0,116967439
145,1,119011822
146,2,120571138
147,2,120815297
148,3,121864471
149,0,121864556
150,2,122274691
151,2,123150189
152,0,125087425
153,0,125913877
154,2,126392916
155,0,127404805
156,1,127405269
157,0,128032068
158,0,128493085
159,1,129205622
160,0,130385831
161,2,130575796
162,3,132933380
163,0,133002371
164,1,133058097
165,2,134025421
166,2,134062051
167,2,134247688
168,3,135293547
169,2,136053366
170,2,136361614
171,1,138783059
172,1,138974933
173,0,139403579
174,0,140473998
175,3,141111495
176,3,142021676
177,0,142522502
178,2,142548608
179,3,142549354
180,0,143678372
181,0,143828496
182,0,145186684
183,0,146375398
184,1,146866486
185,0,147202848
186,2,147990107
187,0,149323220
188,0,151404509
189,1,151979985
190,2,153061580
191,2,153489274
192,0,153491790
193,3,155161623
194,0,156565286
195,0,158601647
196,2,159094765
197,0,159421930
198,1,159665178
199,3,160134518
200,0,162371987
201,0,163242844
202,1,164332558
203,2,164568076
204,0,164787243
205,2,164825129
206,1,165978421
207,3,167823951
208,0,168896137
209,2,169092430
210,1,169796130
211,0,172067756
212,2,172266449
213,0,172611813
214,2,173112812
215,1,174460634
216,1,174584272
217,2,174863516
218,1,175312604
219,0,180391613
220,0,180553254
221,2,180673789
222,0,181086058
223,0,181994232
224,1,182329759
225,1,183259512
226,2,185232184
227,1,185769298
228,2,187024519
229,1,187289790
230,0,188737857
231,1,188797211
232,0,189045415
233,0,189503212
234,0,190009166
235,0,191304611
236,0,193615059
237,1,193930929
238,0,199412999
239,1,201040495
240,0,202985078
241,2,202985624
242,2,203302370
243,2,203302640
244,0,205642669
245,0,205642851
246,0,205643024
247,0,206018348
248,0,206207866
249,0,206948482
250,0,207493387
251,0,207791687
252,0,209653702
253,2,209672591
254,0,209882383
255,2,210364267
256,0,212386625
257,2,214463225
258,0,214674249
259,0,215073402
260,0,218075711
261,2,218402622
262,0,219772555
263,2,219780232
264,0,219783051
265,2,220744232
266,2,221510192
267,2,221793263
268,2,222383318
269,2,223447114
270,0,224365816
271,0,224385265
272,3,224811718
273,2,225229533
274,3,225465446
275,0,225756992
276,0,225757001
277,2,225966110
278,0,226134009
279,2,226874294
280,2,227360618
281,2,227919178
282,0,230149356
283,0,230331580
284,0,232646214
285,2,234559979
286,2,234604148
287,0,234618506
288,2,235019788
289,0,235149096
290,0,236421188
291,3,238412643
292,0,241231562
293,2,241331939
294,2,241333175
295,0,241492079
296,2,241647464
297,2,241816495
298,2,241840772
299,1,241930010
300,2,244939547
301,2,245339673
302,1,245896212
303,1,246805640
304,0,247150670
305,0,248608990
306,0,248716266
307,0,248871237
308,1,249969863
309,0,250293210
310,0,250302091
311,1,251013222
312,1,251052261
313,2,251152241
314,2,251663969
315,2,252128259
316,0,253451743
317,3,253451747
318,1,253451754
319,1,254150407
320,2,254285086
321,0,256067310
322,0,256378700
323,0,256431956
324,1,263668986
325,2,266660020
326,2,267429131
327,0,268531061
328,2,269630732
329,1,269958566
330,0,275510755
331,0,275515954
332,0,276930551
333,0,277339202
334,0,279279880
335,2,279922491
336,0,280237473
337,0,282144337
338,0,282145848
339,0,282158366
340,0,282296253
341,1,283323271
342,0,283632620
343,0,283742977
344,2,284106642
345,1,285543903
346,0,286353198
347,3,286578049
348,1,287196294
349,1,287401948
350,2,288158661
351,1,288163444
352,0,288406565
353,0,290635737
354,2,291618352
355,0,291801088
356,3,292635340
357,1,293137994
358,0,295910291
359,2,297862893
360,0,298277522
361,1,298722383
362,2,299354887
363,2,301334395
364,1,302915126
365,0,303823711
366,1,305029619
