,cat,id
0,1,941484
1,0,2189212
2,0,3328163
3,1,4665111
4,0,5897377
5,1,7037688
6,2,9398622
7,2,9569676
8,0,11095884
9,0,11290567
10,1,12048210
11,1,13480697
12,2,13494911
13,2,14606599
14,0,15013893
15,1,15381973
16,2,15399235
17,0,15518986
18,1,16316650
19,1,16736641
20,2,17587844
21,2,18167707
22,0,20370892
23,0,23799767
24,0,26029758
25,2,26406628
26,0,26407188
27,0,27803980
28,0,28320020
29,1,28658595
30,0,30227249
31,1,30313121
32,0,30474990
33,0,30870078
34,0,33911904
35,2,34232192
36,0,34282794
37,1,35024706
38,2,35333899
39,2,35357067
40,1,35902406
41,0,36497880
42,0,36809109
43,1,37076773
44,1,40417279
45,0,41016547
46,0,41028680
47,2,41708794
48,0,43469755
49,1,44990305
50,2,46309637
51,2,47105037
52,1,47485400
53,2,49513965
54,1,50791512
55,0,50898684
56,2,51298412
57,2,51856276
58,0,52133654
59,1,52552646
60,0,54375222
61,0,55928812
62,1,56627194
63,2,56980544
64,0,57395054
65,2,57713659
66,0,57861519
67,1,57946184
68,2,58393575
69,2,59786946
70,0,60382731
71,1,61212091
72,2,62888574
73,1,63105354
74,2,64280493
75,1,66330153
76,0,67398454
77,1,67622033
78,0,68627452
79,0,68638588
80,2,71087983
81,1,76055460
82,0,77928782
83,2,78140437
84,0,79490869
85,2,79858579
86,0,81156263
87,1,81157192
88,0,81926546
89,0,82542166
90,1,82857032
91,0,83046796
92,0,83468688
93,0,83563367
94,0,83598425
95,0,83949967
96,1,85327144
97,0,85450075
98,2,85454846
99,2,86463428
100,2,86962587
101,0,87090539
102,1,87511631
103,1,87992530
104,1,90033953
105,2,90948093
106,0,90998907
107,0,92444587
108,1,92960909
109,2,93708668
110,0,93842449
111,0,94137583
112,0,94142314
113,0,94221250
114,0,95664271
115,1,96332498
116,1,96650562
117,0,96650587
118,1,97507109
119,0,98079507
120,1,98988360
121,2,99771640
122,0,101254839
123,2,102496886
124,0,103137129
125,2,103285964
126,0,104575649
127,0,106163828
128,2,106196405
129,1,106800767
130,0,107428208
131,1,108855805
132,0,109261048
133,0,110241791
134,0,111597843
135,1,111746408
136,2,112374868
137,2,113114056
138,0,113136081
139,0,114850572
140,0,115374138
141,0,116582711
142,1,121264908
143,0,121565409
144,1,122220135
145,0,122739438
146,2,126584749
147,1,126866314
148,0,126949775
149,2,127677616
150,1,129063293
151,0,129855162
152,0,130760896
153,2,131908946
154,0,132857732
155,0,137092339
156,0,137774165
157,0,139573518
158,1,139655770
159,1,139756646
160,0,141958905
161,0,142008685
162,2,142093137
163,0,143514540
164,2,143566235
165,0,143844638
166,0,144872435
167,0,145223162
168,0,145800892
169,0,147611656
170,2,148153441
171,1,148489117
172,0,148887461
173,0,149221429
174,2,150021870
175,1,151015385
176,2,151501964
177,1,152883316
178,1,153698816
179,1,154514653
180,0,158829712
181,0,158913432
182,1,158944891
183,0,160880597
184,0,162843862
185,0,163031440
186,0,163506643
187,1,163800717
188,2,164422282
189,0,166254109
190,1,167239078
191,2,168979630
192,1,169268390
193,2,169292691
194,2,169514231
195,1,170307276
196,0,170721894
197,0,171794001
198,2,172628865
199,0,174516292
200,0,175113109
201,0,176817633
202,0,177428551
203,0,177555036
204,0,177839568
205,1,179775522
206,1,180022624
207,0,180276869
208,2,180890382
209,0,182446576
210,1,182502947
211,1,183142911
212,0,185314249
213,1,185783656
214,2,185881724
215,0,186540328
216,2,186602707
217,0,187196042
218,1,187804690
219,0,188389626
220,2,188959927
221,0,189862186
222,0,190064671
223,2,190602954
224,1,193174533
225,0,194667223
226,1,195409023
227,1,195432274
228,0,196241507
229,0,197579562
230,1,200628114
231,2,201782575
232,0,201965501
233,2,202965142
234,1,203665921
235,0,203800496
236,0,203800548
237,2,205924944
238,2,205988917
239,1,207761204
240,0,208367231
241,0,212579337
242,2,212702869
243,0,212903699
244,1,215432855
245,0,216191740
246,0,216692110
247,0,217273815
248,0,218107946
249,2,218466910
250,2,218530658
251,2,219158959
252,1,219468692
253,1,221812683
254,0,224268626
255,1,225142406
256,2,225194369
257,1,225331110
258,0,225482153
259,0,227962406
260,1,228363402
261,0,229229485
262,1,231325720
263,0,231798164
264,0,232736741
265,0,232922569
266,2,233312280
267,0,233901175
268,2,235492626
269,0,236301700
270,1,236615370
271,2,236825354
272,2,237322939
273,2,238204662
274,1,239271399
275,0,239405256
276,2,240715123
277,1,240958823
278,0,241400722
279,1,242608682
280,2,242745399
281,2,243062142
282,1,245832199
283,0,247292589
284,0,247660465
285,1,247691487
286,1,247834033
287,0,250267152
288,2,251709538
289,2,253917778
290,1,253992785
291,0,254282698
292,0,254647595
293,2,255666209
294,2,256791657
295,1,257298091
296,0,259641372
297,2,259886247
298,0,260316069
299,1,261725465
300,0,261907464
301,1,262651914
302,0,262752935
303,0,263583599
304,2,263635951
305,2,264308786
306,2,264312435
307,1,264474846
308,1,265875279
309,1,266194826
310,1,267376619
311,2,267832638
312,0,268186053
313,2,268403105
314,0,271246086
315,1,273315434
316,1,273337616
317,2,274188367
318,2,274410914
319,0,274649159
320,1,274690984
321,2,277790881
322,0,280044221
323,1,280148909
324,0,283092684
325,1,284499267
326,0,284737746
327,1,285851700
328,0,290126685
329,2,291561021
330,1,292593539
331,2,293936631
332,0,295090282
333,0,296304649
334,0,296470278
335,0,297691566
336,0,297873267
337,0,298063826
338,2,299042145
339,0,300333959
340,0,301464363
341,2,301684851
342,2,302302578
343,2,302723465
344,2,302779304
345,2,303441475
346,1,303831587
347,0,304233676
348,0,304429301
349,2,305235283
350,1,305356917
351,0,305470879
352,1,306032883
353,0,306149916
354,1,306175787
355,2,308007879
356,0,308662085
357,0,309215924
358,0,310597316
359,0,310684887
360,1,310788701
361,2,311689008
362,0,312713072
363,0,316430262
364,0,318060958
365,1,318646098
366,1,319092069
367,2,320068358
368,0,321826863
369,2,322516776
370,0,323414626
371,0,323765480
372,1,326975848
373,0,327294740
374,1,327315759
375,0,328877065
376,0,330544138
377,0,330835318
378,0,333572460
379,0,334773230
380,1,335191733
381,0,335229339
382,0,335435180
383,0,336275663
384,1,336356001
385,2,336562592
386,0,336632185
387,0,337096409
388,0,337546479
389,0,337590257
390,2,338544770
391,0,339301067
392,1,339691090
393,1,339912764
394,0,340276067
395,2,340280018
396,0,340847834
397,1,340882651
398,2,341876722
399,0,341885038
400,0,343094283
401,0,347674547
402,0,348060455
403,1,349022150
404,0,349267437
405,0,350697753
406,0,351297802
407,0,352694937
408,1,352740526
409,2,353960911
410,1,353965442
411,0,355741766
412,2,356462836
413,0,358943877
414,1,359010431
415,0,359170564
416,0,359725175
417,0,359896248
418,2,360706368
419,1,361761486
420,2,362122537
421,0,362867025
422,0,363070711
423,1,363325550
424,1,363542971
425,0,363818103
426,0,363912408
427,1,364095179
428,0,364999930
429,0,365008542
430,0,365208118
431,0,365640957
432,2,365933621
433,1,367514775
434,0,367771599
435,2,367916355
436,1,367916424
437,2,368366825
438,2,368680190
439,2,369042729
440,0,369286343
441,0,370581129
442,1,370645308
443,2,371743095
444,0,372224052
445,0,372419217
446,0,372492805
447,0,372601952
448,2,372748633
449,2,375382380
450,0,375643841
451,1,376211341
452,1,379317198
453,2,380269558
454,0,380489722
455,1,382099916
456,1,384786577
457,2,384878402
458,0,385410632
459,0,386172596
460,0,387914601
461,0,389069255
462,1,389567401
463,0,390761990
464,1,393009430
465,0,393574905
466,0,393585036
467,1,393670600
468,0,394726744
469,0,395084062
470,0,395257772
471,0,395998656
472,1,396186657
473,2,397223566
474,0,397424833
475,0,397579988
476,0,398174892
477,0,398821683
478,0,398926518
479,0,399607699
480,1,399802817
481,0,400218884
482,0,400781121
483,2,401403858
484,0,402518001
485,2,403133273
486,1,403453059
487,2,404100408
488,0,404128645
489,0,406496379
490,2,406696700
491,0,407178108
492,2,408555423
493,1,408855596
494,2,410364723
495,1,410501137
496,0,410676888
497,2,411347981
498,0,411834194
499,0,412267055
500,1,414462284
501,1,415590166
502,1,415887608
503,2,415943776
504,2,416765344
