,cat,id
0,0,213650
1,0,544125
2,1,800738
3,0,1567914
4,1,2103831
5,0,2445236
6,1,3901566
7,0,4009399
8,1,5234562
9,0,5324785
10,0,6038951
11,1,6686550
12,1,6691341
13,2,7517097
14,1,7910670
15,0,7957278
16,2,8031952
17,2,8092658
18,0,8405548
19,0,8497576
20,0,8988414
21,2,9563106
22,0,10613939
23,1,12428071
24,1,13038322
25,0,13038867
26,0,13038940
27,2,13562437
28,1,14079144
29,2,14208581
30,2,15205663
31,1,15268944
32,1,15293962
33,0,15476610
34,0,16676986
35,0,16861258
36,2,16891996
37,0,17538906
38,1,17876911
39,2,17899363
40,0,18039922
41,0,18419239
42,2,18583141
43,0,18813926
44,0,20355149
45,1,20509870
46,2,20549275
47,0,20852401
48,0,22037202
49,1,23052797
50,1,24246420
51,0,24478312
52,0,24835115
53,1,25960162
54,0,26790324
55,2,26916810
56,2,27074875
57,2,27096358
58,1,27169099
59,2,27253417
60,1,28144709
61,0,28803432
62,0,29199667
63,0,29217826
64,0,29282534
65,1,29522494
66,0,29549833
67,0,29845055
68,1,29891467
69,0,30036792
70,1,30051407
71,1,30150279
72,0,31412064
73,0,31604416
74,2,32074583
75,0,32942464
76,0,33642665
77,0,33986740
78,2,34510991
79,2,35318987
80,1,38852884
81,0,40036395
82,2,40116517
83,0,41159360
84,0,41587529
85,2,42107052
86,2,42141494
87,2,42422071
88,2,42739640
89,0,42949711
90,1,43122091
91,0,43263951
92,2,43506058
93,1,43767823
94,0,43964939
95,2,44354393
96,1,44612106
97,0,45964650
98,2,46376307
99,1,46402324
100,0,46579706
101,0,46856763
102,0,47699148
103,0,47995706
104,0,48112777
105,0,49331605
106,1,49592434
107,2,49909667
108,2,50011090
109,0,50012507
110,1,51546084
111,0,51547581
112,2,51576010
113,2,52084054
114,2,52533530
115,0,52923729
116,0,53210435
117,0,53771621
118,0,54308256
119,0,54656190
120,0,54663643
121,0,55303395
122,1,55869608
123,2,55905616
124,2,56005005
125,2,56336027
126,1,57663989
127,0,57929209
128,0,58437629
129,2,58970413
130,0,59109679
131,1,59214302
132,1,59740440
133,0,59820246
134,0,61243894
135,0,61495536
136,1,62565745
137,1,64851001
138,0,64887549
139,0,64992238
140,2,68127036
141,2,68226026
142,2,68371002
143,1,68680634
144,1,69506404
145,0,69754005
146,2,70697975
147,1,71343595
148,2,71831600
149,0,73549518
150,0,73973101
151,2,74508747
152,1,74525840
153,0,75865283
154,2,75865530
155,1,76197363
156,2,77101310
157,2,77121808
158,1,77265195
159,0,78265627
160,2,78832803
161,1,80172303
162,0,80382559
163,1,80476282
164,2,80477519
165,1,80553078
166,2,80695692
167,2,81171566
168,0,81353108
169,1,82009759
170,1,82210660
171,2,82900506
172,1,85356290
173,0,85390336
174,2,85592466
175,2,86591886
176,1,88155373
177,2,88179774
178,1,88347454
179,1,88969742
180,0,89435229
181,0,90913624
182,0,92180212
183,0,92378534
184,1,92388910
185,0,92906185
186,0,93371970
187,0,93373363
188,1,96181620
189,1,96199284
190,2,97377740
191,1,98374425
192,0,99512482
193,1,99825720
194,1,100018491
195,0,100250915
196,1,101119973
197,2,101460176
198,0,101705601
199,1,102060323
200,2,103696746
201,1,103765862
202,1,104011727
203,1,105150202
204,1,105150299
205,1,105150399
206,1,105150703
207,1,105240709
208,1,105273956
209,1,105424182
210,1,106021640
211,1,106236213
212,2,106577676
213,1,106681460
214,0,107323714
215,0,109113117
216,0,109679348
217,1,109822848
218,1,110043649
219,0,110699048
220,1,112347245
221,2,113655247
222,1,113879507
223,2,115049640
224,2,115717876
225,0,115848477
226,0,117601903
227,0,117640860
228,0,119203496
229,0,119249737
230,1,124307692
231,2,124396081
232,2,124621789
233,2,125888059
234,2,126791584
235,0,126986318
236,1,127212916
237,2,127250752
238,1,127760296
239,2,127836211
240,1,128522622
241,0,129063035
242,2,131342845
243,2,132809420
244,2,133446157
245,0,133478197
246,0,133500310
247,1,133819125
248,2,135447712
249,0,135533940
250,1,135876792
251,2,137147336
252,0,137500133
253,0,138842004
254,1,138842463
255,2,139094337
256,2,139589986
257,0,140629986
258,1,141359031
259,2,141631566
260,0,141735869
261,0,141907828
262,1,142864502
263,0,143019135
264,0,143041786
265,1,143954438
266,1,144038412
267,2,145063776
268,2,145226741
269,0,145434694
270,2,146287371
271,1,146322905
272,1,146333023
273,1,146334609
274,2,146337206
275,2,148060736
276,1,148491806
277,0,150038216
278,1,150154761
279,0,150468060
280,0,150859324
281,0,151318956
282,2,151431171
283,2,152091472
284,0,153425764
285,2,153627755
286,0,154912476
287,2,155265990
288,0,155482621
289,1,155510252
290,0,156100652
291,1,156200641
292,2,156628765
293,1,156632791
294,1,156660673
295,0,157412638
296,0,157557015
297,0,158244547
