,cat,id
0,1,504912
1,1,823900
2,1,1513884
3,0,2758998
4,1,3335322
5,1,3674385
6,0,5311041
7,1,5694669
8,1,7048710
9,1,7981108
10,0,8957697
11,1,9031428
12,1,9908346
13,1,10171910
14,1,10388477
15,1,10504305
16,1,10802837
17,0,11261283
18,1,12261173
19,1,13663784
20,0,15711890
21,0,17160260
22,1,17313278
23,1,18893548
24,1,19200006
25,1,19939153
26,1,20360789
27,1,20581965
28,1,22346276
29,1,22478361
30,1,22925262
31,1,23442659
32,1,23564634
33,1,23819354
34,0,24093064
35,1,24272557
36,1,24338147
37,1,28334096
38,1,29165684
39,0,30420567
40,1,31068217
41,1,31304159
42,1,32513108
43,1,32610947
44,1,32999562
45,0,33439265
46,1,33648909
47,1,34370252
48,1,35688801
49,1,35816729
50,1,36123643
51,0,36705165
52,1,36927550
53,1,37087667
54,1,37218584
55,0,37621270
56,1,37728053
57,1,38019639
58,1,39062016
59,1,39215279
60,1,40009592
61,0,40784783
62,1,41633390
63,1,41633424
64,1,42073613
65,1,42929107
66,1,45794055
67,1,46961190
68,1,47114394
69,1,47688902
70,1,47808425
71,1,48197598
72,0,48255734
73,0,48452410
74,1,48644363
75,1,49182150
76,1,49364987
77,1,49467377
78,1,49504001
79,1,49732144
80,1,50165180
81,1,50467262
82,1,51396248
83,0,51397617
84,1,51465769
85,1,52153100
86,1,53278010
87,0,53785158
88,1,55046807
89,1,56478957
90,1,56641939
91,1,56737176
92,1,57524885
93,1,58497246
94,1,59135139
95,1,59386673
96,1,59858444
97,0,60077472
98,1,60391098
99,0,61380193
100,1,61931795
101,0,61932126
102,1,62228331
103,0,62724655
104,1,63216946
105,1,63773292
106,1,64479434
107,0,65756261
108,1,65952290
109,1,66219719
110,1,66497402
111,1,66565101
112,0,67569790
113,0,67708873
114,1,68587109
115,1,70688900
116,1,71107532
117,1,73522824
118,1,73736842
119,1,73853539
120,1,74637366
121,1,74682679
122,1,75260311
123,1,76078713
124,1,77015335
125,1,78401281
126,1,78678140
127,0,79129755
128,1,79129791
129,1,80211799
130,1,80229808
131,1,80251150
132,0,80756603
133,1,80756920
134,0,81375028
135,1,81892313
136,0,82096420
137,1,83034706
138,0,83252969
139,0,83370868
140,1,83634693
141,1,83902982
142,1,84561092
143,1,85038245
144,0,85943204
145,1,89389697
146,0,89518659
147,1,91079728
148,1,91834949
149,1,91893439
150,1,92170710
151,0,92430785
152,1,93479877
153,1,94448158
154,1,94850809
155,1,96444810
156,1,98284395
157,1,99047580
158,1,99933819
159,0,100409154
160,1,100506156
161,1,100506351
162,1,101245316
163,1,101360734
164,1,101721121
165,0,102076893
166,1,102980365
167,1,103147324
168,0,103563156
169,1,104298006
170,1,104330372
171,1,104389283
172,1,104583111
173,1,104963728
174,1,105079564
175,1,105308818
176,1,105312156
177,1,105470799
178,1,105568981
179,1,105916712
180,1,106644112
181,1,108868273
182,1,109557191
183,1,109910890
184,1,110394704
185,1,112819630
186,1,114058086
187,1,114595735
188,0,114920952
189,1,114944029
190,1,116910814
191,1,116918822
192,1,118336557
193,1,118760295
194,1,121699358
195,1,121859725
196,1,122307009
197,1,123799871
198,1,124876485
199,1,125304779
200,1,125369781
201,1,125829644
202,0,126136256
203,1,126207011
204,1,126451892
205,1,126984640
206,1,129540188
207,1,131188369
208,1,131999191
209,1,132004047
210,1,132205132
211,0,132569400
212,1,133937324
213,0,134117120
214,1,134791125
215,0,135489531
216,1,135737302
217,0,136486612
218,1,136619568
219,1,137770790
220,1,138048540
221,1,138130841
222,1,138306913
223,1,138913568
224,1,139526855
225,1,139617039
226,1,140229389
227,1,140337975
228,1,141123135
229,1,141141263
230,1,141467426
231,1,144022181
232,0,144203119
233,0,144331256
234,1,145956809
235,1,148627654
236,1,148641185
237,1,148728385
238,1,148901575
239,1,149305406
240,1,150078973
241,1,150328556
242,1,152405788
243,1,153740378
244,1,153924298
245,1,154162936
246,1,154294435
247,1,154787044
248,1,155204101
249,1,155211140
250,1,155614166
251,0,155762067
252,1,156665799
253,1,156776326
254,1,157105312
255,1,157292953
256,1,160678322
257,1,160902435
