,cat,id
0,3,505062
1,3,960347
2,3,1217426
3,1,2310042
4,1,2312836
5,3,2463745
6,3,2833960
7,3,2935081
8,0,3070373
9,3,3149035
10,0,6032912
11,0,6517601
12,2,6796056
13,1,8328413
14,1,8638174
15,3,11786221
16,3,12314113
17,3,12432931
18,3,13707301
19,0,13842273
20,0,14043152
21,0,14540403
22,3,15118863
23,3,15641370
24,3,16183734
25,0,16818770
26,1,18687120
27,3,19106543
28,1,19814338
29,0,20048313
30,3,20305954
31,3,21799462
32,1,22879712
33,0,26079590
34,3,27025185
35,3,28446923
36,1,29071749
37,1,29201555
38,1,29201963
39,3,29704912
40,1,29877130
41,0,30124856
42,1,33535861
43,0,33632075
44,0,34430999
45,1,36263246
46,3,36723976
47,3,37440600
48,3,37440854
49,0,38169929
50,2,39070048
51,2,39119656
52,0,39323491
53,3,40084898
54,0,41538993
55,2,44156291
56,3,45807027
57,3,47813134
58,1,48226974
59,3,48245002
60,1,48779964
61,3,48790914
62,1,48896842
63,3,49209089
64,3,49644272
65,1,50671103
66,3,50699482
67,3,51298833
68,0,53335902
69,1,53379941
70,3,56078666
71,1,57169818
72,0,57585049
73,1,59726612
74,3,59800246
75,0,61411858
76,1,62015419
77,0,62129242
78,1,62722124
79,0,64901771
80,0,64954842
81,0,66764939
82,1,67470784
83,1,67737546
84,0,68337903
85,0,68985043
86,3,69951605
87,1,70702556
88,0,72972732
89,1,73004843
90,3,73021003
91,1,73821080
92,3,74907102
93,0,75176211
94,1,75715864
95,0,76019253
96,3,76047055
97,3,77157508
98,3,77943048
99,0,77954884
100,3,78250900
101,1,78368924
102,3,81039291
103,0,81167739
104,1,81307605
105,0,81466842
106,1,82105227
107,0,82577256
108,0,82601546
109,3,85700282
110,1,87872919
111,1,88473597
112,3,88509093
113,3,88643962
114,3,89098525
115,0,92081668
116,0,92636134
117,3,93802103
118,3,95007232
119,3,95612917
120,1,96324761
121,1,96338387
122,3,97481393
123,3,98293593
124,1,98518936
125,0,98863137
126,3,99595940
127,0,99986375
128,0,100616639
129,1,100794501
130,0,101506306
131,3,103298716
132,0,104596856
133,3,105059161
134,3,106680610
135,3,106893751
136,3,107364986
137,0,107517205
138,3,108352747
139,3,108483151
140,3,108618236
141,0,108898372
142,1,109237658
143,1,109296375
144,3,109443424
145,0,110746844
146,0,110862268
147,3,111672884
148,1,112532848
149,1,114208446
150,1,114365446
151,2,114638875
152,3,114953627
153,3,116620358
154,3,118365709
155,3,118716064
156,3,119868623
157,3,121029415
158,3,123899329
159,3,125316636
160,3,125938338
161,3,126083260
162,3,126688528
163,1,126904583
164,3,126955978
165,3,128380941
166,0,129340841
167,3,130135074
168,3,130668734
169,1,131065128
170,0,131327843
171,0,131448803
172,2,131909851
173,3,132339421
174,3,132342195
175,1,132558896
176,3,133655030
177,3,134203243
178,1,134315648
179,0,136391691
180,0,137271341
181,1,138119451
182,0,139316850
183,2,139355500
184,1,140037262
185,0,140074557
186,2,140366816
187,3,142778491
188,0,144403932
189,3,145182324
190,3,145315201
191,3,145557163
192,1,147031416
193,0,147367499
194,0,148229211
195,1,150059712
196,0,151711265
197,0,153474596
198,0,154716954
199,1,156995725
200,0,157843576
201,0,157847448
202,3,157900541
203,3,158948588
204,3,159254858
205,0,159828873
206,0,160006402
207,0,161045488
208,3,161120311
209,1,162299145
210,1,162592686
211,1,164122902
212,0,164214951
213,0,164308956
214,0,164813120
215,0,165026488
216,1,165885778
217,3,165912091
218,2,166136858
219,1,166308114
