,cat,id
0,0,626201
1,0,788197
2,1,1958645
3,1,2761150
4,0,3099197
5,0,3399853
6,2,3711928
7,0,4499383
8,1,6065875
9,0,6142786
10,0,6324405
11,1,6961856
12,1,7739230
13,1,8100546
14,0,8242115
15,1,9940610
16,0,10619101
17,0,12228678
18,1,12773659
19,1,13074759
20,0,13885283
21,2,14551676
22,0,14998153
23,2,15597049
24,2,16603924
25,0,17887576
26,0,18613578
27,1,19237573
28,1,20127895
29,2,20328300
30,0,21160228
31,1,22019455
32,0,22132909
33,1,22570040
34,1,22600863
35,0,23469607
36,0,25561573
37,2,26405948
38,0,26432566
39,0,26601462
40,0,26723863
41,0,26826217
42,2,28739701
43,0,28953859
44,0,28970901
45,2,29016036
46,1,29628699
47,2,31650676
48,2,33243206
49,0,34506691
50,2,34710951
51,1,34954874
52,1,34996136
53,0,35869192
54,1,38507145
55,1,39988253
56,2,41306408
57,0,41381220
58,1,41584954
59,2,43863534
60,1,44609435
61,0,45065488
62,0,47131501
63,2,48190648
64,0,49470807
65,2,49937296
66,1,50537438
67,1,51412848
68,1,51951502
69,0,51972907
70,1,52930827
71,2,53243532
72,1,54334369
73,1,54526082
74,1,55541061
75,0,55673314
76,1,56592468
77,0,56843251
78,1,58356494
79,0,59800438
80,1,60278886
81,1,60483375
82,1,60922099
83,1,61204304
84,0,61821342
85,0,61867737
86,1,62349736
87,0,64101301
88,0,65667703
89,2,66690527
90,0,67270707
91,1,67990861
92,0,68073520
93,2,69940056
94,2,70666428
95,1,71347499
96,2,71941358
97,2,72112177
98,0,72574314
99,1,73022265
100,0,73252430
101,0,74968254
102,0,76944250
103,0,77173959
104,1,79414833
105,1,79495111
106,0,80875498
107,1,80959438
108,0,81613314
109,1,81918880
110,0,81925479
111,1,82479912
112,0,84405634
113,0,84458243
114,1,85172757
115,1,86009814
116,1,86778648
117,1,87848721
118,2,88081206
119,0,88452269
120,0,88782217
121,2,90373901
122,0,90401896
123,2,91848935
124,2,94298421
125,0,94330697
126,0,95556045
127,1,97234916
128,2,97878199
129,0,98497104
130,0,98674565
131,1,98754488
