,cat,id
0,1,506222
1,0,907154
2,2,2162228
3,1,3400566
4,0,3929178
5,2,4314296
6,1,6117690
7,2,6344471
8,2,6991981
9,2,7412659
10,2,8514847
11,2,8830170
12,1,9316269
13,1,9631942
14,2,9661713
15,2,9887703
16,0,10355019
17,2,11826913
18,1,13077973
19,0,15360168
20,1,16184056
21,2,16261008
22,2,17329661
23,2,17475378
24,0,18788888
25,2,18893234
26,1,19242358
27,2,20761551
28,1,20925998
29,1,21303463
30,0,21690071
31,2,22288429
32,1,22804072
33,0,23252222
34,1,23326336
35,0,27104407
36,2,28005927
37,2,28982042
38,1,29729610
39,0,30462185
40,2,32073367
41,0,32227763
42,1,32508543
43,0,32760149
44,1,33575055
45,2,34819323
46,0,34836647
47,0,34985488
48,1,35083420
49,2,35235626
50,2,35405447
51,1,35780768
52,2,36507699
53,2,36863573
54,0,36952516
55,1,37845804
56,1,38115250
57,1,38333932
58,1,39436248
59,0,40612521
60,0,40620783
61,2,40926732
62,1,42196778
63,1,44942691
64,0,46012909
65,2,46035896
66,0,46843172
67,2,47399748
68,1,47948762
69,0,47991680
70,1,48322783
71,1,48797661
72,1,49092498
73,1,49353631
74,1,49427657
75,1,49612720
76,0,49905706
77,0,50375861
78,2,50436605
79,1,51895051
80,0,52443604
81,1,52547104
82,2,53062453
83,2,54701752
84,0,54889510
85,0,56583412
86,2,56730149
87,0,56780652
88,0,57981866
89,2,58940477
90,1,59487851
91,2,60300439
92,1,60823645
93,1,61230438
94,1,61559632
95,1,62099551
96,0,62714006
97,1,62827437
98,0,62943302
99,2,63161610
100,2,63677564
101,0,63716507
102,0,64206062
103,0,64867933
104,0,65219365
105,0,65455942
106,0,65838549
107,2,65959686
108,2,66987829
109,2,67137189
110,1,67906397
111,0,70518901
112,2,73808083
113,1,73843350
114,0,74041059
115,0,74892617
116,0,75670864
117,1,76697198
118,2,77285599
119,2,78518797
120,0,78670442
121,1,79457109
122,2,79470806
123,2,80804618
124,1,80846795
125,1,80852644
126,2,81540911
127,0,81591555
128,0,81793014
129,1,82056294
130,1,82441497
131,0,83711261
132,2,84122564
133,0,84614524
134,2,84843282
135,1,85314775
136,0,85847992
137,2,86732808
138,2,89502563
139,1,90678819
140,0,91313251
141,2,91354964
142,0,91653789
143,1,91927625
144,0,92802398
145,0,93814527
146,1,94178306
147,0,97206018
148,0,98579313
149,0,99305318
150,0,100083661
151,0,100780269
152,1,100831613
153,2,101552322
154,0,101705499
155,1,101844597
156,1,102062663
157,1,103324290
158,1,103372439
159,0,103816284
160,0,105121802
161,0,105306610
162,1,105316559
163,0,105521016
164,2,105799199
165,2,106083875
166,2,106233376
167,0,106383456
168,1,106665620
169,1,106941847
170,2,107000889
171,2,107734866
172,0,108865385
173,2,109387448
174,0,109537567
175,0,110147534
176,1,112391933
177,0,113736411
178,0,114561897
179,1,114860229
180,0,114867147
181,2,116180899
182,0,116185852
183,2,116736887
184,1,117045339
185,2,119506886
186,0,119668646
187,0,119884224
188,2,121028055
189,0,121826856
190,1,122064650
191,0,122410083
192,2,122666074
193,0,122906085
194,0,122938673
195,0,123229606
196,2,123578538
197,1,125218350
198,0,126893814
199,1,127628605
200,1,127684984
201,1,127685504
202,0,128091869
203,0,129929088
204,1,130155634
205,2,131024277
206,2,132035984
207,0,132306811
208,0,132742181
209,2,133080584
210,0,134121926
211,1,134370909
212,0,134742964
213,0,134828117
214,0,135617263
215,0,135991930
216,2,136007811
217,0,137003515
218,0,137254856
219,2,137781669
220,2,137798126
221,0,137861385
222,2,140402832
223,1,140644864
224,2,140719877
225,2,143232140
226,0,144834959
227,0,144895561
228,1,145280363
229,1,145517838
230,0,145941313
231,1,146457907
232,2,146654214
233,1,148354583
234,2,149634441
235,2,150078612
236,1,150220874
237,1,150226600
238,0,150752148
239,2,150883412
240,2,150961324
241,2,151781050
242,2,151784180
243,1,152083828
244,1,152187263
245,2,152553406
246,0,152571166
247,2,155523840
248,2,155663425
249,0,155924269
250,1,156128871
251,1,156240789
252,2,157526344
253,0,158241438
254,2,158410389
255,0,159707738
256,1,160489951
257,1,160846156
258,0,163480518
259,1,165266989
260,0,165873859
261,0,166367885
262,2,167094576
263,0,168195462
264,1,168257075
265,0,168369182
266,2,168809071
267,0,169285548
268,2,169711676
269,0,170018234
270,2,170597779
271,1,171006647
272,1,171233360
273,2,171684280
274,2,171763017
275,1,172620496
276,2,173139003
277,1,173896341
278,0,175791264
279,1,175862851
280,1,176104771
281,0,176482895
282,1,178348953
283,0,178937596
284,2,179242159
285,1,180084054
286,2,180706930
287,0,182092514
288,0,182351583
289,2,184022337
290,0,184085804
291,0,184133613
292,0,185547145
293,1,186313310
294,0,186354382
295,1,187664256
296,1,188308595
297,2,188661754
298,1,188746025
299,0,189197413
300,0,189309003
301,2,190436670
302,2,190710790
303,1,191522055
304,0,191595815
305,1,192042410
306,1,192042451
307,0,192831838
308,0,193498643
309,0,196035555
310,2,196737700
311,2,197122921
312,2,197724230
313,0,197997930
314,2,198564823
315,0,199370355
316,0,199372326
317,0,200275701
318,0,202166103
319,2,202415528
320,2,203019568
321,0,203217553
322,1,204078356
323,0,204492027
324,0,204773594
325,1,205071804
326,0,205332005
327,0,205781039
328,0,206058550
329,0,206802572
330,0,206951841
331,2,207155285
332,1,207156386
333,2,207692489
334,1,207881422
335,2,209180915
336,2,209265093
337,1,210149195
338,1,210209718
339,0,210295617
340,1,210557931
341,1,212506319
342,0,212858618
343,1,214143367
344,2,214731811
345,2,216072072
346,1,217250117
347,0,217633405
348,1,218228196
349,0,218602836
350,1,219078163
351,2,219552948
352,0,220420260
353,0,222072579
354,0,222361379
355,2,222500196
356,0,222561245
357,2,222965313
358,0,223630207
