,cat,id
0,0,250895
1,2,588790
2,2,692075
3,3,1517027
4,3,1766210
5,0,2109721
6,1,2360432
7,1,2498780
8,1,2626045
9,1,2725326
10,3,4864988
11,0,5359254
12,2,5485759
13,0,6156956
14,0,6723470
15,3,7005735
16,1,9412341
17,2,9777460
18,0,9966508
19,2,10601865
20,0,10644555
21,2,10930009
22,0,10960649
23,2,11296506
24,0,11716830
25,0,11948560
26,2,12574797
27,1,13034012
28,2,14408134
29,0,14703978
30,0,15063026
31,0,15212852
32,0,15380258
33,2,16509175
34,3,17485613
35,2,19339878
36,0,20312726
37,1,20679530
38,0,21359783
39,0,21676818
40,0,21771417
41,1,21846277
42,2,22072370
43,1,22160950
44,0,22536271
45,0,24912186
46,0,24989444
47,2,25617601
48,0,27262353
49,1,27765171
50,0,27765220
51,0,27900055
52,2,27914812
53,0,28935012
54,0,29230599
55,2,29404648
56,0,29448087
57,0,29599320
58,0,30234587
59,2,31732252
60,0,32731727
61,0,33260460
62,0,34683767
63,3,35902142
64,0,36090644
65,0,36119713
66,1,36546886
67,0,36600581
68,0,36618083
69,0,36692555
70,0,37078237
71,0,38000738
72,0,38101898
73,0,38191759
74,0,38330044
75,0,38620141
76,1,39772279
77,2,39933617
78,2,41443912
79,0,42111403
80,2,42549031
81,1,44007172
82,2,44153968
83,3,45452775
84,2,45517060
85,0,45734997
86,0,45753866
87,3,45944846
88,2,47211590
89,0,47222175
90,0,47342788
91,0,48141112
92,1,48585726
93,0,48646936
94,0,49020163
95,1,49097221
96,2,49689065
97,1,50291327
98,2,50839836
99,2,52453704
100,1,52475710
101,0,52482082
102,0,52923781
103,0,53714237
104,0,54027244
105,0,54359530
106,0,54559039
107,2,54588298
108,0,55280300
109,0,55781640
110,2,55805105
111,0,55940454
112,2,55982143
113,0,57648825
114,0,57876320
115,2,57934916
116,2,58033737
117,2,58644467
118,0,59145841
119,2,59145948
120,3,60021400
121,0,61117073
122,3,62200385
123,2,62579734
124,3,62873462
125,1,62991543
126,0,63066531
127,0,63384680
128,0,63988039
129,0,65109347
130,3,65614363
131,0,65871053
132,2,66446400
133,2,66772584
134,0,67711086
135,3,68196145
136,0,68627065
137,2,68635735
138,2,69569702
139,0,70314027
140,0,70733054
141,1,71193013
142,1,71230229
143,1,71830213
144,1,71966558
145,3,72397557
146,2,72440828
147,2,73125304
148,2,74279746
149,0,74608467
150,0,75668287
151,2,76058415
152,2,77208935
153,2,77390085
154,1,77856355
155,2,78021243
156,1,78676458
157,0,78758884
158,0,78773264
159,0,78868773
160,1,79101425
161,2,79113466
162,1,79198363
163,1,79999915
164,3,80001571
165,0,80167831
166,0,80601288
167,0,81279466
168,0,82550278
169,0,82662998
170,2,82930828
171,3,83076393
172,2,84772296
173,2,85860708
174,2,86147446
175,2,86872775
176,0,87244079
177,0,87252121
178,2,87757546
179,0,89049898
180,3,89602789
181,1,90027581
182,2,90919057
183,3,91376430
184,1,91478622
185,0,91965448
186,2,92305647
187,0,92389839
188,2,93554333
189,2,94269886
190,2,95053379
191,0,95333981
192,2,95335101
193,2,95592368
194,0,95660525
195,0,96012890
196,0,96428980
197,2,96979274
198,2,97178208
199,2,97362948
200,0,99361060
201,2,100485588
202,0,100652329
203,2,101963598
204,0,102758773
205,0,103080378
206,0,103465645
207,1,104006246
208,2,104093909
209,0,104607777
210,0,104635289
211,0,104746370
212,2,104760405
213,2,107476995
214,3,108746413
215,0,109367662
216,1,109516272
217,1,109740871
218,1,110642921
219,0,110729974
220,0,111394405
221,2,112623209
222,2,113451970
223,0,114699433
224,2,115287339
225,0,116867995
226,2,118366655
227,0,118606267
228,2,118619217
229,1,118673214
230,0,118674029
231,0,119411624
232,2,119803877
233,2,120322882
234,0,120369901
235,1,120652325
236,1,121172301
237,1,121295493
238,2,121936113
239,2,122163658
240,3,122240046
241,0,123220878
242,1,123351955
243,2,123359797
244,2,123810628
245,0,123993548
246,0,124610022
247,2,124618757
248,2,124842298
249,0,125008966
250,2,125765380
251,2,126072969
252,0,127095876
253,0,128567763
254,0,128935239
255,2,129381702
256,0,129768299
257,2,130279740
258,2,131094515
259,0,131338876
260,2,131940235
261,2,132113369
262,2,133068308
263,3,133627070
264,0,134523173
265,2,134541838
266,0,135273651
267,2,137414498
268,0,138533108
269,2,138738040
270,0,139139836
271,2,139712839
272,0,139734952
273,2,140038834
274,3,140298349
275,0,140959555
276,2,141009225
277,3,141709283
278,0,141951387
279,2,142722949
280,0,142947990
281,2,143037049
282,0,143054706
283,0,143072507
284,0,143684678
285,0,143711635
286,2,143722947
287,0,146149804
288,0,146265773
289,1,146351009
290,0,146650727
291,2,146841061
292,0,146952328
293,0,147569254
294,0,147569671
295,2,148337710
296,0,149032461
297,2,151401595
298,2,153924506
299,2,153956496
300,1,153964287
301,0,155392682
302,0,155558684
303,0,155581053
304,1,155918005
305,0,156049306
306,0,156202207
307,0,156770180
308,0,157284449
309,2,157611627
310,0,158175755
311,2,158318623
312,3,158455917
313,1,159917662
314,0,160071083
315,0,161778504
316,0,161786403
317,2,162379287
318,1,162407569
319,1,163802907
320,0,167510616
321,2,167839901
322,3,167859284
323,1,167981975
324,3,168066979
325,1,168815038
326,0,169257557
327,1,170146713
328,1,170178670
329,1,172521721
330,2,173021679
331,1,173447848
332,1,174036590
333,0,174102270
334,0,174204766
335,0,175261026
336,2,175900613
337,0,176119460
338,0,177481437
339,0,178864054
340,2,179453369
341,0,181219373
342,1,183372310
343,0,183377716
344,0,183407570
345,0,184307127
346,2,184309032
347,0,185208023
348,2,185234611
349,0,185649847
350,0,186266691
351,2,186570363
352,1,186872468
353,2,187754461
354,2,188167969
355,2,189579205
356,0,190680789
357,2,191505973
358,0,191709987
359,2,192904010
360,3,193552459
361,0,194207101
362,1,195447291
363,2,195689925
364,0,196335272
365,0,196348801
366,3,197976546
367,1,199133779
368,0,199601182
369,1,200080672
370,2,200102429
371,1,200212816
372,2,200586861
373,0,201118136
374,2,201341941
375,2,201983171
376,0,202177843
377,2,202772566
378,1,202782466
379,0,203009761
380,0,203844501
381,0,205407636
382,0,208641135
383,0,208856789
384,1,208970609
385,2,210055363
386,3,210083274
387,0,210752493
388,3,211317056
389,2,211500266
390,0,211580549
391,2,211912151
392,2,211986890
393,0,212080785
394,2,212138683
395,1,213345543
396,0,213855305
397,1,215013249
398,0,215664685
399,0,216266701
400,0,216409034
401,1,217154051
402,2,217175064
403,2,217378311
404,0,217408646
405,2,217439380
406,2,218032089
407,0,219625541
408,0,219665503
409,0,220873043
410,2,221511524
411,1,223216316
412,3,223520526
413,0,224380779
414,3,224705599
415,1,224744244
416,1,225457321
417,0,225789962
418,2,226194721
419,0,226495837
420,2,226538273
421,1,227795414
422,1,228006399
423,0,228437631
424,3,229603212
425,0,229702255
426,1,229869422
427,1,231875316
428,0,235122068
429,1,235244713
430,0,235453725
431,0,235576493
432,0,235897289
433,1,236772851
434,2,237438369
435,1,238450584
436,1,238984289
437,0,239699043
438,0,240438435
439,1,240813133
440,3,242007425
441,0,242102172
442,2,242691422
443,0,242709743
444,0,243761521
445,1,243815815
446,1,244440867
447,0,245801543
448,0,245896156
449,0,246310965
450,0,246345438
451,0,246988354
452,1,247652770
453,0,248496633
454,0,249140050
455,2,250498096
456,2,251255057
457,1,251830875
458,2,251997071
459,0,253460789
460,0,254046368
461,2,254931693
462,2,256119380
463,0,256567451
464,0,257543673
465,0,257623300
466,1,259264121
467,0,259643137
468,0,259682762
469,1,261043414
470,2,261454963
471,0,262531557
472,1,262673822
473,2,263114273
474,0,263404793
475,2,263409232
476,1,263415846
477,2,263492680
478,0,263885223
479,3,264239955
480,3,264473588
481,0,265116751
482,0,265208257
483,2,265602411
484,2,265661591
485,2,265706581
486,2,266302172
487,2,266697449
488,0,267336477
489,1,267415555
490,0,268178098
491,0,268581315
492,2,268883940
493,0,268989980
494,0,269289638
495,1,269866223
496,3,270080808
497,1,270746133
498,2,270826971
499,0,272783984
500,0,272873807
501,0,272960088
502,2,273074547
503,0,273171734
504,1,274395637
505,0,275243960
506,2,275285878
507,1,275888044
508,2,276098465
509,2,276363290
510,2,276425681
511,3,276475650
512,0,276537893
513,1,276682578
514,0,277580446
515,0,279792665
516,0,280849709
517,1,281167036
518,2,281279802
519,1,281770565
520,0,282303362
521,1,282393919
522,2,283092687
523,1,283345826
524,0,284089981
525,1,284244581
526,2,284318433
527,2,284667612
528,3,285217102
529,0,285570847
530,0,285707846
531,1,285718997
532,2,287087650
533,0,288492330
534,2,289381821
535,0,289908167
536,0,290196166
537,2,290217875
538,3,291010460
539,2,291330594
540,0,291790376
541,0,292476377
542,2,292737575
543,0,293050460
544,3,293688350
545,3,293729496
546,2,293804385
547,2,293965115
548,0,294578169
549,0,294602082
550,2,295445914
551,0,296650122
552,0,296692216
553,0,297391985
554,3,297676761
555,3,298102225
556,1,298106569
557,2,299384273
558,2,299998780
559,2,300161418
560,0,301474356
561,1,302242003
562,2,302872107
563,1,303465572
564,1,303514142
565,3,303564218
566,0,303996314
567,0,304831349
568,1,305025519
569,0,305308337
570,2,305395035
571,0,305452563
572,1,307134105
573,0,307440386
574,1,307549019
575,2,307699814
576,0,307874110
577,3,308020330
578,1,308567232
579,3,308857312
580,0,310068965
581,0,310873683
582,0,311387450
583,0,312156085
584,0,313475792
585,1,313702162
586,2,315308372
587,0,315401648
588,0,316368517
589,0,316953094
590,0,317023577
591,2,317158960
592,0,318547927
593,3,319437277
594,0,319688660
595,1,319738986
596,1,320551090
597,2,320791405
598,0,321969135
599,0,322705659
600,0,323186219
601,0,324209655
602,2,324942424
603,3,325309603
604,0,325341268
605,2,326116188
606,0,327126345
607,2,328085713
608,1,328313753
609,1,328394101
610,3,328931676
611,2,329013454
612,0,329016571
613,0,329967942
614,3,331013123
615,0,333779217
616,0,333979503
617,1,334479075
618,1,335592658
619,1,336869014
620,3,337822706
621,0,338020597
622,1,340155334
623,2,341230439
624,2,342363198
625,0,342469856
626,0,342583538
627,1,342965463
628,3,343145678
629,3,343374850
630,1,344064611
631,3,344142535
632,1,344531031
633,1,344756154
634,2,346213235
635,0,346605286
636,2,346720715
637,0,346774949
638,3,347280553
639,1,347549239
640,1,347835284
641,1,349032205
642,2,351107614
643,2,352178960
644,2,353201012
645,1,353455467
646,2,353608311
647,0,356052736
648,0,356877911
649,2,357305406
650,3,357511515
651,0,357621265
652,0,357864322
653,0,358947833
654,0,359491547
655,3,359753816
656,0,359904362
657,2,360277990
658,0,360452846
659,2,361811747
660,0,362233613
661,2,362777098
662,2,362968221
663,2,363203461
664,0,363338668
665,1,363338782
666,2,363801373
667,0,363885892
668,2,363982531
669,3,364237195
670,0,364284593
671,2,365797390
672,3,366010703
673,2,366204616
674,2,366424241
675,0,366550994
676,1,366578944
677,2,367503650
678,0,369271551
679,0,370866029
680,0,370974034
681,1,371091255
682,0,371932736
683,2,372329848
684,0,372755826
685,0,373563211
686,2,374415099
687,2,374635057
688,0,375488797
689,2,375578025
690,2,375817467
691,0,376769045
692,1,377086708
693,0,377117373
694,0,377704037
695,1,378310531
696,1,378747463
697,2,378925605
698,2,379192718
699,1,379940039
700,1,380197327
701,0,380495383
702,1,382165866
703,2,383059547
704,0,384183979
705,0,384292976
706,0,384754590
707,1,387165928
708,3,387244714
709,2,387584884
710,1,388047745
711,1,388054782
712,1,388538972
713,0,388980572
714,2,389126162
715,2,389126193
716,0,389319482
717,2,389515295
718,3,390039076
719,3,391073777
720,0,391264677
721,0,392316479
722,0,392641497
723,0,393354980
724,1,393635875
725,3,394393976
726,1,394550306
727,0,394754677
728,1,395162417
729,0,395949731
730,0,396076818
731,0,396563379
732,3,396588352
733,2,397936903
734,2,398439116
735,1,398614307
736,0,398622012
