,cat,id
0,3,494637
1,0,1321359
2,0,1466300
3,0,2694831
4,2,2859082
5,0,3149891
6,0,3532531
7,0,3784911
8,1,4088893
9,0,4251699
10,3,7234725
11,2,7840678
12,2,7950424
13,0,9533909
14,0,10023697
15,0,13015490
16,0,13584983
17,0,13886464
18,2,14783048
19,3,14817502
20,0,14975994
21,2,15356141
22,0,15927506
23,0,16144297
24,1,17036904
25,0,17713914
26,0,19277240
27,0,19744828
28,0,20362962
29,2,20741976
30,0,20900478
31,0,22111937
32,0,23036077
33,1,26271109
34,1,27433417
35,0,28173977
36,0,28657477
37,0,28752279
38,0,28810035
39,3,29304373
40,3,29306977
41,0,29814718
42,0,31296917
43,1,31359311
44,1,31916174
45,3,34463104
46,1,34765183
47,0,35219605
48,0,35235767
49,0,36525288
50,1,37143154
51,0,37201369
52,0,37276597
53,0,38023022
54,0,39026309
55,0,40854546
56,0,42586943
57,0,44305506
58,0,44577564
59,0,44589795
60,3,45022803
61,3,45101674
62,0,45265707
63,0,45371897
64,0,45642068
65,0,46703532
66,3,46724196
67,0,47255516
68,1,49169563
69,0,49338471
70,1,51572046
71,0,52206760
72,1,52565581
73,0,54255686
74,0,54383475
75,0,55196807
76,0,55475711
77,1,55673294
78,1,55980365
79,1,58219228
80,1,58219359
81,0,58349054
82,1,59730363
83,0,60303817
84,0,60473436
85,0,60698997
86,1,60792226
87,3,60797615
88,1,61394059
89,0,61664176
90,1,63302287
91,0,63384689
92,0,63390289
93,0,63929136
94,3,65142419
95,0,65333572
96,1,65761679
97,3,65970182
98,1,65992837
99,0,66998309
100,1,67687907
101,0,67757726
102,2,68058748
103,0,68280459
104,1,70649874
105,0,70784514
106,1,70860731
107,0,70933583
108,0,71710177
109,0,72052627
110,0,72054160
111,0,74119204
112,1,75422542
113,0,75797413
114,1,75799341
115,0,75801343
116,1,76098169
117,1,77896948
118,0,78396199
119,0,78791325
120,0,79803830
121,2,80601085
122,0,81446384
123,1,82091844
124,0,82122134
125,1,82729609
126,0,82858613
127,3,83282610
128,0,83602268
129,0,84051889
130,0,84203744
131,0,84827404
132,0,84841328
133,0,85671137
134,0,87433358
135,3,88580716
136,1,89010018
137,1,90064795
138,0,90324806
139,1,90603683
140,0,90663161
141,1,91385127
142,0,91410282
143,0,91467257
144,2,91594264
145,0,92000979
146,0,92004543
147,0,92081508
148,1,93340837
149,0,93539664
150,0,93942648
151,2,94376673
152,0,95732562
153,0,95752502
154,0,96008832
155,0,96138839
156,1,97364609
157,0,98435167
158,0,98687909
159,0,99303183
160,0,99767582
161,0,100446651
162,0,102016842
163,1,103453567
164,1,103983690
165,0,104243800
166,1,104716312
167,0,105121386
168,2,105187613
169,3,105857077
170,0,106414899
171,0,107294359
172,1,107472197
173,0,107718870
174,0,107800256
175,0,108034453
176,0,108355045
177,1,108913759
178,0,109115614
179,3,109347687
180,1,111478925
181,1,112319326
182,0,112460652
183,2,113336914
184,0,114087594
185,1,114538520
186,2,115366400
187,0,116042539
188,0,116179637
189,0,116803068
190,1,116829512
191,0,116864290
192,2,116973815
193,1,119122428
194,1,120496208
195,0,121092287
196,0,121173575
197,0,121404566
198,0,122416387
199,0,122598425
200,0,123626808
201,1,125315599
202,1,126510700
203,0,127948850
204,0,129896916
205,0,131325732
206,0,131655253
207,0,131655885
208,0,131808277
209,0,131814541
210,0,132506084
211,0,132857304
212,1,133425127
213,0,133582447
214,1,134158712
215,1,134278108
216,0,135287655
217,1,135481270
218,3,136023620
219,0,136269438
220,0,136310719
221,0,136860373
222,2,136989534
223,0,137601635
224,1,137631679
225,3,137710119
226,0,137847037
227,1,138383576
228,2,140315603
229,1,142111640
230,0,142534778
231,0,143121712
232,1,143578566
233,0,144529024
234,0,144592483
235,1,145107425
236,0,145240455
237,0,146484716
238,0,147312361
239,0,148357228
240,1,148426622
241,1,149111940
242,3,152090668
243,1,152987889
244,0,153337272
245,0,154097744
246,2,154675461
247,3,154706206
248,1,155004356
249,1,155490614
250,0,156220363
251,0,156326259
252,0,157223625
253,1,158053075
254,1,159085601
255,0,159563915
256,1,159914799
257,1,159930447
258,2,160100502
259,0,160530215
260,1,160695467
261,1,164269591
262,2,164393378
263,0,164747544
264,0,165206818
265,0,165498203
266,2,165656234
267,3,166384524
268,1,166459804
269,2,167645947
270,1,168259817
271,0,170749014
272,2,172806965
273,0,172880175
274,1,172993805
275,0,174508135
276,0,174715424
277,0,174806476
278,0,175345127
279,1,175416024
280,0,176045878
281,3,176512772
282,1,176902805
283,1,177750481
284,0,178062481
285,0,178350773
286,0,180233432
287,0,180349069
288,2,182271998
289,3,182272752
290,1,183468273
291,0,183559988
292,1,184753987
293,0,188115039
294,3,188488178
295,1,188615586
296,0,188942695
297,0,189063414
298,2,189483029
299,0,190223971
300,0,191001638
301,1,191206002
302,0,193453810
303,0,193995971
304,1,194641621
305,1,195501339
306,1,195724964
307,1,195829573
308,1,197162444
309,1,197543473
310,0,199198013
311,0,200647877
312,1,203127281
313,0,205495911
314,0,205628536
315,0,206016416
316,1,206704829
317,3,206733973
318,0,208077947
319,0,208932244
320,1,209091700
321,0,209487337
322,0,210227470
323,3,210478904
324,0,211964693
325,0,213195196
326,0,213791485
327,3,213880813
328,2,215225389
329,0,215802418
330,0,216791899
331,3,218090742
332,1,218610446
333,0,219373691
334,1,219410259
335,0,221296930
336,1,222314009
337,3,222712348
338,0,223001949
339,0,223059634
340,0,223333049
341,2,223846863
342,0,224340446
343,0,224653340
344,0,225683510
345,0,226135872
346,3,226838613
347,0,226856516
348,3,226998256
349,0,228311385
350,0,230392244
351,1,233822877
352,0,233942029
353,1,234104367
354,0,235640967
355,0,235683419
