,cat,id
0,1,270854
1,0,734758
2,0,734917
3,1,950240
4,1,1166870
5,0,1420218
6,1,1420268
7,3,2324563
8,0,3500879
9,1,3500957
10,1,4641011
11,1,7723125
12,1,8426800
13,0,8472893
14,1,8662424
15,2,9089843
16,3,9192358
17,3,9519735
18,0,9638237
19,1,10459316
20,1,12310355
21,1,12498106
22,2,12876532
23,1,13324591
24,0,13737986
25,1,14123923
26,3,14403317
27,3,15309964
28,3,15422147
29,1,16473514
30,3,17435620
31,0,18639961
32,0,18641602
33,1,20517911
34,1,20518323
35,1,20518382
36,1,20518724
37,0,20519521
38,1,20519558
39,1,20519748
40,1,20861434
41,1,21042832
42,3,21725331
43,0,22634885
44,1,24766548
45,2,25040424
46,0,25448172
47,0,25448508
48,1,26022252
49,1,27380742
50,2,29333018
51,2,29549244
52,1,30003815
53,2,30673868
54,2,31411795
55,3,31471158
56,1,31828934
57,2,32760857
58,1,33468795
59,3,35002155
60,0,35048579
61,1,35791688
62,1,36981509
63,1,36982348
64,1,36983702
65,2,37011935
66,2,38495514
67,1,39476168
68,2,41636050
69,2,42070236
70,3,43089964
71,3,43642212
72,3,44183641
73,2,44244633
74,3,45487941
75,3,47457239
76,1,47534586
77,1,48705801
78,0,48706953
79,0,50426825
80,3,50706157
81,3,51229855
82,0,51645490
83,1,51655440
84,0,55772216
85,1,56908231
86,3,56908490
87,2,60822175
88,0,61151106
89,3,64548747
90,2,66713139
91,1,68613077
92,0,69044952
93,2,69334395
94,1,73779101
95,0,74423017
96,1,75185870
97,3,75187088
98,2,75535703
99,1,78040854
100,1,79650810
101,1,80649102
102,0,80675163
103,0,80783052
104,1,81940129
105,2,82601159
106,0,83031003
107,1,83312928
108,0,83367157
109,3,86403951
110,3,89136512
111,0,89202893
112,0,90987731
113,1,91674627
114,3,92694640
115,0,92810109
116,3,93504874
117,2,93641897
118,3,94759797
119,2,96082912
120,0,96455443
121,0,96570566
122,0,96654949
123,0,96655487
124,1,98686483
125,3,100395028
126,1,103944056
127,2,104601947
128,1,105307179
129,2,106383697
130,3,107893561
131,0,108084974
132,1,109017068
133,0,109087619
134,1,110326441
135,1,110639606
136,0,110875377
137,1,111134958
138,3,111250569
139,1,111754503
140,1,111805413
141,1,112039321
142,0,113536078
143,2,113992516
144,2,114900954
145,1,115113891
146,2,115559030
147,0,116995295
148,3,117569064
149,2,118484364
150,2,118557167
151,3,118742528
152,0,118746836
153,1,119124475
154,2,119398692
155,1,119567729
156,3,120220179
157,2,120844849
158,0,122149992
159,3,122957812
160,2,123227302
161,2,124898974
162,1,124989244
163,0,125853163
164,2,125934780
165,3,127467554
166,1,128011522
167,1,128758004
168,1,128758013
169,1,129269373
170,1,129510658
171,1,129846620
172,0,129887599
173,1,130227602
174,1,131847456
175,1,131876566
176,0,133700560
177,0,134125464
178,3,135523684
179,3,136441437
180,0,138550391
181,1,139657911
182,3,139915628
183,1,140850258
184,1,141910074
185,2,142045117
186,0,144946060
187,0,145415975
188,3,147530674
189,1,147650600
190,0,147697602
191,0,147881360
192,3,149571897
193,1,150446236
194,0,150446332
195,0,150446379
196,2,150849436
197,2,151169980
198,1,151282426
199,2,151421457
200,0,151630752
201,0,151631538
202,1,151631568
203,0,151631947
204,1,152264775
205,0,154062508
206,1,156828055
207,2,156829021
208,0,156829371
209,1,159241502
210,0,159266342
211,1,159274581
212,2,159341617
213,2,159341679
214,2,160322131
215,1,160530789
216,1,160563202
217,1,160563765
218,1,160563964
219,2,160564400
220,2,161131941
221,2,161994848
222,1,162024380
223,1,162167213
224,1,163392790
225,1,163602751
226,3,164831458
227,1,166145570
228,1,166999409
229,0,168833509
230,3,171406271
231,0,174428147
232,1,174644659
233,1,175173261
234,0,175863145
235,0,177800253
236,3,178946363
237,1,179948467
238,0,180968818
239,1,181294315
240,2,181306535
241,0,181549954
242,1,181849686
243,1,181936884
244,1,181999795
245,2,182942879
246,3,183888966
247,1,184019701
248,3,184647313
249,0,185398492
250,0,185412817
251,1,186259608
252,0,186396684
253,1,186738719
254,2,187262684
255,3,187708520
256,3,187708729
257,1,188099341
258,1,188295152
259,1,188799123
260,1,190402299
261,3,190870195
262,1,190915983
263,3,195629524
264,2,196840919
265,2,197361482
266,1,198852039
267,2,199186286
268,1,201397775
269,1,201398323
270,1,201761281
271,3,203328129
272,1,203759514
273,0,206059957
274,1,206478733
275,2,206622007
276,1,206622197
277,0,206624061
278,1,206940098
279,1,207173404
280,1,210133359
281,2,210397366
282,3,211239471
283,1,211288632
284,1,211288643
285,0,211290568
286,3,211687722
287,3,212242277
288,3,212469475
289,3,212565003
290,3,212565303
291,3,213485329
292,1,213946270
293,1,214112541
294,0,214411788
295,1,214501063
296,1,214651740
297,1,214651788
298,1,214930889
