,cat,id
0,2,635308
1,0,1111320
2,0,1869304
3,2,2059780
4,4,2299633
5,0,2808926
6,1,2934556
7,4,3229889
8,0,5525546
9,2,5863114
10,2,5949954
11,2,7253411
12,2,10155578
13,0,10561393
14,2,10693264
15,2,11272572
16,4,12435234
17,2,12687094
18,2,13375939
19,2,13723574
20,4,15133449
21,4,15208900
22,0,15470915
23,2,15696256
24,2,15888520
25,2,17130865
26,2,18066635
27,0,20320440
28,2,21348728
29,1,22485800
30,4,22613008
31,2,22627638
32,4,22927461
33,2,23327558
34,4,25250229
35,2,25281437
36,2,25811705
37,2,27661455
38,4,28142148
39,4,28163218
40,1,28712812
41,2,29210150
42,0,29390218
43,2,29887246
44,2,32484414
45,2,35016951
46,2,35234120
47,0,35268233
48,2,35660973
49,1,35710685
50,4,35801036
51,2,36029788
52,0,37021017
53,0,37031431
54,2,37415227
55,2,38576498
56,2,38647771
57,0,40266451
58,4,41043738
59,1,41184411
60,1,42338096
61,2,42384235
62,2,43493945
63,2,43824102
64,2,44059531
65,4,45621598
66,1,45625358
67,4,46419428
68,4,46863147
69,2,46973499
70,0,47298574
71,2,47631852
72,4,48084059
73,1,48413657
74,4,49760131
75,4,49823881
76,2,49843255
77,2,50480657
78,0,51366964
79,0,51571277
80,2,51772681
81,2,52051754
82,4,52638213
83,1,53297989
84,0,53384666
85,4,53596222
86,1,53675922
87,2,55418984
88,2,55499773
89,2,55991303
90,2,56181333
91,2,56240098
92,4,58673261
93,2,58774275
94,2,58947271
95,2,59176059
96,2,61595656
97,2,63134346
98,0,63534478
99,1,64110465
100,0,64156835
101,4,65498130
102,0,65985766
103,0,66293884
104,4,66743398
105,1,66872052
106,1,67171519
107,1,67182349
108,2,67734235
109,2,68823730
110,2,70213351
111,0,70522302
112,2,70888713
113,4,70939562
114,2,71836361
115,0,71992621
116,1,72202060
117,1,72232972
118,0,72387712
119,2,73423199
120,2,73439965
121,2,73741552
122,0,74092367
123,0,75130860
124,1,75202060
125,0,75482929
126,0,75547433
127,4,76477206
128,4,77341565
129,4,77349578
130,1,77884234
131,1,78528820
132,4,80219412
133,0,81308739
134,4,81576208
135,0,82129558
136,2,82458833
137,1,83041889
138,2,84040572
139,1,84536141
140,4,84790212
141,0,84901348
142,0,85244495
143,2,85662711
144,4,86167664
145,0,86674770
146,4,88554167
147,0,89503341
148,2,89631518
149,4,90845222
150,2,91912492
151,0,92578475
152,1,93281618
153,2,93283568
154,1,93469591
155,2,95302394
156,4,96619510
157,2,97030455
158,2,97134119
159,4,97289598
160,2,98095236
161,0,98892927
162,1,100182740
163,2,101274491
164,2,102740891
165,2,103681453
166,2,105379668
167,4,105817530
168,4,105938530
169,1,106080276
170,0,107133003
171,0,107594028
172,2,107811737
173,2,108280298
174,2,108483863
175,1,108941685
176,1,109106638
177,4,109672558
178,2,109877021
179,0,109885040
180,2,110350514
181,0,110541605
182,4,111148480
183,4,111161979
184,4,111296779
185,0,111354312
186,0,111944302
187,0,113377411
188,0,114271474
189,0,114687243
190,2,115213088
191,2,115783031
192,2,116941884
193,2,117064144
194,0,117941904
195,0,118549906
196,4,119728673
197,2,123149673
198,2,123985587
199,2,124250389
200,4,125310018
201,0,125386543
202,1,126035637
203,1,126587817
204,4,127219805
205,0,127808849
206,1,128802969
207,2,129545106
208,1,129638947
209,2,129673329
210,0,130067846
211,4,132739722
212,0,133241294
213,2,133797020
214,4,134067183
215,0,134847741
216,2,134888376
217,2,135688909
218,0,136298283
219,0,141056922
220,0,142278834
221,2,142617946
222,2,143156955
223,2,143648238
224,2,143806064
225,0,144111021
226,1,144199783
227,0,144462346
228,2,146264182
229,2,146279896
230,0,147970966
231,0,148707600
232,0,148739432
233,4,149440451
234,2,152692486
235,0,152925602
236,2,153124319
237,2,153233442
238,0,153444942
239,2,154435748
240,2,154949220
241,4,155675771
242,0,157355960
243,4,158271520
244,1,158738102
245,4,159020385
246,4,160937651
247,2,162103132
248,2,163605640
249,4,165999120
250,0,167902510
251,2,168118778
252,0,168832767
253,0,168837890
254,1,169983005
255,0,170672829
256,4,170848105
257,0,170994519
258,0,171620893
259,2,171775626
260,0,173337898
261,4,174808963
262,2,175628897
263,4,177043916
264,1,177391049
265,4,178425763
266,1,179368227
267,2,179778629
268,4,180497164
269,0,180503033
270,0,182289389
271,4,183372753
272,4,183390901
273,4,183407661
274,4,183408572
275,4,183504418
276,4,184026455
277,2,184628648
278,0,184784777
279,2,185582009
280,0,186036025
281,2,186642288
282,2,186907435
283,4,187628325
284,0,189604857
285,2,192341150
286,0,192544464
287,2,193684073
288,1,194640280
289,0,197276683
290,1,197592743
291,2,197830971
292,2,197965749
293,2,198969018
294,0,199623847
295,1,200311067
296,2,201854707
297,2,202007325
298,4,202938691
299,0,203021323
300,2,203369139
301,2,203440349
302,2,203952458
303,2,205339172
304,1,205356746
305,2,206361514
306,4,207285026
307,0,208832934
308,2,209333669
309,1,210028879
310,1,210406805
311,0,210493037
312,4,211213938
313,2,211506432
314,4,213450557
315,1,214251852
316,2,214579156
317,2,219872249
318,1,219975738
319,4,220281505
320,0,220386359
321,4,220707091
322,4,221653504
323,0,222538129
324,0,223129956
325,4,223482363
326,2,224199075
327,2,224779158
328,0,225654719
329,2,225751758
330,0,226213935
331,2,226249728
332,1,226701723
333,1,228289903
334,4,228343454
335,2,228686423
336,0,229936866
337,4,231871852
338,2,233782381
339,4,234747792
340,2,235185653
341,2,235604096
342,2,237349237
343,4,237657047
344,2,238345832
345,0,240141340
346,1,241135560
347,0,241374015
348,2,243604972
349,0,244024741
350,0,245192922
351,0,245637652
352,0,246662219
353,2,247358784
354,2,247868987
355,0,247885163
356,2,247905026
357,4,247913747
358,2,248303787
359,2,249563984
360,0,249610868
361,2,250114603
362,0,251429984
363,0,251526680
364,1,251990279
365,2,253572664
366,0,254125243
367,2,254687279
368,2,255156918
369,0,256442320
370,1,256561287
371,2,256586528
372,2,256726086
373,2,256834665
374,1,257991521
375,0,258821567
376,2,259052351
377,1,259158636
378,4,259593771
379,2,259607115
380,2,259982845
381,0,260138379
382,1,262385234
383,2,263468466
384,1,264058750
385,4,264413719
386,4,264950696
387,4,265018855
388,2,266078610
389,0,266575348
390,1,266833457
391,1,267040073
392,0,267558008
393,2,267644058
394,2,267787949
395,2,270681254
396,0,270934496
397,4,271167133
398,1,271191783
399,2,271796419
400,0,272050727
401,2,272328934
402,2,273347456
403,2,273576616
404,2,274048927
405,1,274139087
406,4,275458384
407,4,275465833
408,0,275990122
409,2,276432583
410,2,276482805
411,2,277604518
412,2,279554213
413,2,280235947
414,2,281586950
415,2,282441748
416,1,283130135
417,0,283568204
418,2,283618589
419,2,284126179
420,4,285239895
421,4,285893816
422,2,285969956
423,4,286188240
424,0,287814797
425,1,288036973
426,4,288182680
427,1,288463740
428,4,288542718
429,1,289029125
430,4,289180608
431,0,290530163
432,2,291357213
433,2,291699781
434,2,292288696
435,4,293313035
