,cat,id
0,1,1250710
1,1,1465642
2,0,2590401
3,0,2796697
4,1,3257745
5,1,4787214
6,0,5028076
7,0,5542531
8,0,6069683
9,0,6137910
10,0,6708075
11,0,7775280
12,0,8580236
13,2,10846315
14,1,10882515
15,1,10883030
16,0,11121132
17,0,12124335
18,0,13261739
19,0,13887066
20,0,14021086
21,1,16436933
22,1,16552923
23,1,16571612
24,0,16750788
25,1,17813251
26,0,17861721
27,1,20042216
28,2,20063797
29,2,20999476
30,0,21740843
31,0,21757136
32,0,22243572
33,1,22490442
34,1,22954591
35,1,24039058
36,0,24072629
37,1,24285426
38,0,24619247
39,0,24691134
40,1,25473953
41,1,25831204
42,0,25896030
43,0,26787482
44,0,27048450
45,1,27169434
46,0,28918417
47,1,29887833
48,0,30615093
49,0,30843899
50,0,31198728
51,2,31993440
52,1,32125273
53,0,32319702
54,1,32555926
55,0,32575868
56,0,32834750
57,0,33639350
58,1,34814229
59,1,35260566
60,0,35395681
61,0,35427841
62,1,35819187
63,0,35852968
64,0,37694500
65,1,38774096
66,1,38848376
67,1,41389323
68,0,42803476
69,0,42829678
70,0,43007934
71,0,43305460
72,0,43477092
73,1,46246404
74,1,46559235
75,1,46882983
76,1,46883197
77,1,46960729
78,1,47996996
79,0,48690521
80,2,49402686
81,1,50878611
82,0,52781038
83,1,53074391
84,0,54002043
85,0,55145709
86,0,55245609
87,1,55686093
88,0,55970109
89,0,56064027
90,0,57507779
91,0,57735981
92,0,58658486
93,1,59492553
94,1,59928203
95,1,61367345
96,2,61772871
97,0,62347807
98,0,62676312
99,0,64572031
100,0,64583136
101,0,65826961
102,2,66242977
103,0,66420350
104,0,66757986
105,0,66838383
106,0,69824474
107,0,70793251
108,1,72008470
109,0,72751729
110,2,73973979
111,0,76556272
112,0,76595205
113,0,77593154
114,0,78432757
115,0,81117375
116,1,81530705
117,1,82476775
118,0,83429984
119,0,83934584
120,0,84588666
121,0,84960562
122,0,85063463
123,0,86113584
124,1,86397783
125,0,87802368
126,1,88017276
127,2,88399597
128,2,88421873
129,1,89240266
130,0,89747786
131,0,89938402
132,0,90063941
133,1,90159779
134,0,90554056
135,1,91068768
136,0,91447349
137,0,92409876
138,0,93748115
139,0,95451733
140,2,96316402
141,0,96780574
142,0,97522764
143,2,97598603
144,1,98077027
145,0,99269064
146,0,99306564
147,2,100158372
148,0,102802447
149,0,103299104
150,0,105999475
151,0,106062568
152,1,107543454
153,1,107747534
154,0,108807961
155,0,109707593
156,0,109915603
157,0,110317007
158,2,112826390
159,0,113623239
160,0,113923879
161,0,115156478
162,1,116361966
163,0,116556469
164,0,117282748
165,0,118194320
166,0,118377681
167,0,118381958
168,2,118620075
169,0,119247718
170,1,120762694
171,0,121600822
172,0,121879073
173,0,123501535
174,0,125213073
175,0,125506951
176,1,128820378
177,0,128936987
178,0,129097114
179,1,131247129
180,0,132221682
181,0,132433192
182,0,133156400
183,1,133428726
184,2,133457209
185,0,133994997
186,0,134012187
187,0,134838272
188,0,134857451
189,0,135473731
190,0,138259597
191,1,138919365
192,2,139236840
193,1,139302315
194,2,139420438
195,2,140186983
196,0,140455417
197,2,140687427
198,1,141942803
199,1,142286307
200,0,143453542
201,0,143768220
202,0,143912084
203,0,143925564
204,1,144009839
205,0,145100173
206,0,145474038
207,0,145817272
208,0,146318867
209,0,149159110
210,1,149205621
211,0,151620133
212,0,152053361
213,0,152723512
214,0,156050908
215,0,156696842
216,0,156904108
217,1,157357602
218,0,159600143
219,0,161277085
220,0,161450020
221,0,161808289
222,0,162086147
223,1,162820226
224,0,163026316
225,1,163138486
226,1,164044849
227,0,164272380
228,0,164428417
229,0,164573809
230,0,164760783
231,0,164860821
232,1,165033734
233,0,165054591
234,0,165747814
235,1,165890485
236,0,168250867
237,0,168258701
238,1,168262142
239,0,169265664
240,1,170251154
241,0,170783678
242,2,171161593
243,0,171964516
244,0,172122693
245,0,172830556
246,0,174211740
247,0,174604555
248,0,174713791
249,0,175600261
250,0,175831015
251,0,176219228
252,0,176695480
253,2,176695496
254,0,176909177
255,1,178522644
256,0,178905608
257,1,179382309
258,0,179442984
259,0,179636478
260,0,181329435
261,1,181330006
262,1,181621740
263,0,181917720
264,0,184345130
265,0,184494721
266,0,186275354
267,0,186964226
268,0,187008396
269,2,187367932
270,2,188133756
271,0,188549811
272,0,189007796
273,1,189422049
274,0,189639058
275,0,189668868
276,0,189681085
277,0,189932876
278,1,190700531
279,0,191032350
280,0,192025106
281,2,193140177
282,2,193149633
283,2,193153234
284,0,193269096
285,0,193302817
286,0,194333396
287,0,194397496
288,1,194512044
289,1,194775233
290,1,194818422
291,2,195168876
292,0,195309762
293,0,196056242
294,0,198548463
295,1,199469183
296,1,199958710
297,0,203171803
298,0,204245039
299,2,204556095
300,0,204667962
301,2,205328025
302,2,205453191
303,0,210117684
304,2,210417246
305,0,211209581
306,1,211365065
307,0,212319571
308,0,212503931
309,0,212546480
310,1,213878884
311,0,215328177
312,0,215438016
313,1,216213513
314,0,217398435
315,2,217651439
316,0,218138854
317,0,218331059
318,0,218908607
319,0,219801574
320,0,220848989
321,0,220849393
322,0,221293689
323,0,221392798
324,1,222476793
325,0,223504924
326,0,225496112
327,1,225601524
328,0,227100051
329,1,228864029
330,0,228977252
331,0,229309660
332,1,230532535
333,0,230804236
334,0,231519809
335,0,231610816
336,1,231891386
337,0,232920821
338,1,233751750
339,1,235455353
340,0,236177433
341,0,236257544
342,1,237049150
343,1,237306873
344,0,239321259
345,1,240197730
346,0,241065312
347,0,241475171
348,0,241517939
349,0,242480862
350,0,242824275
351,0,244284443
352,0,246681213
353,1,246965522
354,1,246981555
355,0,248353827
356,0,248565956
357,1,249463396
358,0,250245797
359,0,250931332
360,0,251577202
361,0,251578723
362,0,251790332
363,1,251920665
364,1,252108133
365,0,252619658
366,0,253429555
367,1,253986258
368,0,254138402
369,0,254743591
370,0,254835605
371,0,255354086
372,0,255848330
373,0,256606545
374,0,257014438
375,0,258233243
376,0,258257500
377,0,259030810
378,2,260001475
379,1,260588254
380,2,260881324
381,2,261326054
382,0,263228877
383,1,263228927
384,0,264471558
385,0,264808653
386,0,267232695
387,0,267247385
388,2,267282839
389,0,269499905
390,1,269713195
391,2,272645038
392,0,272768621
393,0,273296932
394,0,273754377
395,1,274399777
396,1,275049051
397,0,275242890
398,1,275663379
399,1,276391866
400,1,276972051
401,0,277891709
402,0,278483878
403,0,278642135
404,0,279273910
405,0,279532731
406,2,280012541
407,0,280933433
408,0,281106643
409,0,281821098
410,1,282866020
411,0,283778753
412,1,284348465
413,1,284924679
414,2,285420349
415,2,285539469
416,1,286951979
417,1,288835975
418,2,289824626
419,2,291218311
420,0,293786816
421,0,294707244
422,0,295415944
423,1,297000996
424,0,300504367
425,0,301233003
426,0,302501420
427,0,302710368
428,1,302871609
429,0,303026431
430,1,303066786
431,0,303091168
432,0,305743038
433,0,306272837
434,0,306311329
435,0,307088041
436,1,307733876
437,1,308431328
438,1,309348482
439,1,309403532
440,0,309812355
441,2,310077040
442,0,310210498
443,0,311681916
444,0,311776679
445,1,313756315
446,0,313906012
447,0,314367450
448,0,314834228
449,0,316152696
450,0,316988252
451,1,317928051
452,0,318506138
453,0,319902548
454,0,320263039
455,1,320434181
456,1,321015161
457,0,321895198
458,0,322205377
459,0,322923583
460,0,323082214
461,0,323679678
462,1,324425517
463,0,324883522
464,0,326165822
465,0,327520687
466,0,327708068
467,0,328269183
468,0,329011594
469,0,330378757
470,2,330723965
471,0,330947167
472,0,331251391
473,1,331798604
474,0,333121778
475,0,333782997
476,0,334458951
477,1,335353941
478,1,337139236
479,2,337433927
480,1,337446571
481,0,337873418
482,2,338067330
483,2,338866867
484,0,338996674
485,0,339302944
486,1,339376124
487,0,340629451
488,0,340988237
489,1,341092300
490,0,341284254
491,1,341749887
492,0,342606971
493,0,343710279
494,0,343994553
495,2,344497139
496,0,344832980
497,0,345162265
498,0,346234965
499,1,346240381
500,2,346448530
501,0,347798594
502,0,348402393
503,0,350806122
504,0,351748662
505,0,353539368
506,1,354270459
507,0,354482403
508,1,354591508
509,1,354592684
510,1,356174306
511,0,356478627
512,2,356480142
513,2,356482048
514,1,356646615
515,0,357728984
516,1,358183660
517,0,358251879
518,1,358700363
519,0,358783888
520,1,358789213
521,0,358808276
522,1,359912582
523,0,360825156
524,2,363421730
525,0,363557861
526,0,366271975
527,0,366784055
528,0,366983720
529,0,367418597
530,0,369069122
531,0,369965387
532,0,370392574
533,0,370459370
534,0,370701595
535,0,371284747
536,0,371327414
537,1,371830674
538,0,372718132
539,0,373612747
540,2,373734793
541,1,373918621
542,1,374060880
543,1,375045112
544,1,375739796
545,0,376064974
546,1,376413922
547,0,376868296
548,2,378074372
549,0,378886284
550,0,380184430
551,2,380551041
552,0,384576657
553,0,385215478
554,1,385453073
555,0,385466814
556,2,385471088
557,1,385594590
558,0,386158165
559,0,389005416
560,0,389139222
561,0,390462139
562,0,390781303
563,2,391222471
564,1,391365257
565,0,393978142
566,0,394232879
567,2,394344970
568,0,394731292
569,0,395309001
570,0,396986624
571,1,397316648
572,0,398868827
573,1,399105982
574,0,399446156
575,0,399550136
576,2,400013999
577,0,400050254
578,1,400202580
579,0,400576830
580,0,400683223
581,1,401436990
582,1,401769455
583,0,402274479
584,0,402354953
585,1,402717173
586,0,403098640
587,0,403769354
588,0,405059700
589,0,406697134
590,0,408122235
591,0,408287056
592,0,409231064
593,0,410592994
594,0,412942977
595,0,413587401
596,1,413724802
597,0,414762891
598,0,415435300
599,0,418048391
600,0,418650536
601,0,419855640
602,0,420544942
603,0,420615147
604,0,421499457
605,1,423179538
606,0,428755659
607,1,430301816
608,0,430431969
609,0,430433344
610,1,431276974
611,0,432531345
612,1,433195076
613,0,433620588
614,1,435569686
615,1,436238656
616,0,437738458
617,1,439017800
618,0,439247347
619,0,442977441
620,0,443529388
621,1,444701427
622,0,445396660
623,1,445446727
624,1,445607859
625,0,446911700
626,1,447482956
627,0,448451330
628,0,449920271
629,1,450509216
630,1,451257253
631,1,452051717
632,1,452316248
633,0,452754416
634,0,453567519
635,0,453679855
636,1,453781365
637,1,454843317
638,1,455785023
639,1,458002782
640,1,458283190
641,1,458595407
642,0,458941956
643,1,459865488
644,2,460654075
645,0,461029258
646,0,462557930
647,1,467190073
648,1,470345818
649,0,470658097
650,1,471267147
651,0,471354911
652,1,471834410
653,0,472171438
654,1,472182760
655,0,472399640
656,1,472635347
657,0,473190248
658,0,474250400
659,1,474937767
660,0,474971640
661,1,474983484
662,0,475006984
663,1,476038946
664,0,476846569
665,0,478800883
666,1,480218902
667,1,480845174
668,0,481200519
669,0,481208269
670,0,481316057
671,0,481328056
672,2,481340613
673,0,482775999
674,1,483141548
675,1,483301423
676,1,483787095
677,0,484181648
678,1,484293458
679,0,485401140
680,1,485607887
681,0,485710981
682,0,485842134
683,0,486013969
684,0,487387276
685,0,487508470
686,1,489867161
687,0,491807182
688,1,492248673
689,1,492446422
690,1,494400985
691,0,495679753
692,1,495854425
693,0,496410621
694,1,496698834
695,0,497410352
696,0,497944311
697,1,498172462
698,0,498977818
699,0,499730654
700,1,500381157
701,1,500682037
702,1,500745839
703,0,501379431
704,0,501417039
705,0,502390535
706,1,502771782
707,0,503452744
708,1,503767789
709,0,504008005
710,0,504298339
711,1,504326736
712,1,504502459
713,0,504682913
714,1,505160557
715,1,506061046
716,0,507797717
717,1,508119158
718,1,508184393
719,0,508338533
720,1,508587238
721,0,509919947
722,2,510393549
723,2,510621438
724,1,511565326
725,2,511799066
726,0,512951288
727,0,513069752
728,1,513702153
729,1,515395978
730,1,515881563
731,1,516266726
732,0,517013035
733,1,517826712
734,2,518839750
735,0,519607269
736,0,519660035
737,0,519850173
738,1,520088539
739,0,520214425
740,0,520220101
741,0,520465451
742,2,520847693
743,0,522681393
744,0,523677796
745,1,525137927
746,1,525458092
747,1,525551070
748,1,526404779
749,0,526688721
750,1,526913661
751,1,526932545
752,1,527201550
753,0,527217336
754,1,527260010
755,0,527276465
756,1,527287382
757,0,529298896
758,2,529326741
759,0,529452811
760,0,529542147
761,0,529845531
762,0,530036744
763,0,530311499
764,0,530475158
765,0,531748016
766,0,532000324
767,2,532811019
768,1,533013663
769,1,533062117
770,1,533062710
771,0,533544521
772,1,533934996
773,1,534276479
774,1,534276572
775,0,534998454
776,0,535101570
777,1,535669068
778,1,536816427
779,0,536965680
780,0,536979459
781,0,537493243
782,0,537625227
783,0,537772364
784,1,537788866
785,0,537803369
786,0,538117720
787,0,538453930
788,0,539670699
789,0,539935981
790,0,540312876
791,0,540624432
792,1,541285593
793,0,541417202
794,1,542138440
795,1,544015903
796,0,544358694
797,0,544670172
798,1,545179748
799,0,545573749
800,0,545850212
801,0,545871161
802,2,546831364
803,1,548022311
804,1,549377196
805,1,549902521
806,0,550365517
807,1,551161798
808,2,551260445
809,0,551897277
810,1,552144989
811,0,552396171
812,1,552522630
813,1,552728581
814,1,552789602
815,1,552877032
816,0,553853675
817,0,554272693
818,1,554296180
819,0,554414871
820,0,555875650
821,0,556007501
822,1,557080399
823,0,558137647
824,2,558787328
825,0,558996147
826,0,559026104
827,0,559469031
828,1,559474875
829,1,559542745
830,1,559867905
831,1,559872134
832,1,561074916
833,0,561838138
834,1,562092158
835,0,562227140
836,1,562709886
837,0,564230256
838,0,564366400
839,1,564443793
840,1,565993447
841,0,567049117
842,0,567191696
843,1,568315166
844,0,569126697
845,0,569442479
846,1,571303110
847,0,571564321
848,0,571655809
849,0,572111521
850,1,572128456
851,1,572156510
852,0,573058171
853,1,573234723
854,0,574163553
855,0,574321923
856,1,574867662
857,0,576024995
858,0,576275802
859,0,577246813
860,0,577561872
861,0,577869944
862,0,578130135
863,0,579341331
864,1,579945321
865,0,580335562
866,1,580987871
867,0,581074968
868,1,581349008
869,1,581737446
870,0,582253371
871,1,583991861
872,1,584020437
873,1,584021253
874,1,584901605
875,1,585005155
876,1,585023097
877,1,585521489
878,1,587920326
879,1,588693587
880,1,588714618
881,1,589145548
882,2,589439853
883,0,589813348
884,0,589846398
885,0,591292552
886,0,591449845
887,1,591611175
888,0,592062943
889,0,592443734
890,0,593360074
891,2,593823180
892,0,593850963
893,0,594326673
894,1,594859442
895,1,595046210
896,1,595565245
897,0,595585679
898,2,596513220
899,2,596705407
900,1,597859731
901,0,598579670
902,0,598667947
903,1,598715857
904,1,598774801
905,1,599359030
906,0,599369481
907,1,599952158
908,1,600118147
909,0,600488694
910,0,600889856
911,1,601542029
912,1,601806618
913,0,605021293
914,0,605890039
915,0,606140016
916,0,606956769
917,0,607669470
918,1,608538060
919,0,608611128
920,1,609405293
921,1,610091422
922,0,610582450
923,1,611144875
924,0,611150143
925,1,611338967
926,1,611788498
927,1,613129757
928,0,613183894
