,cat,id
0,2,359200
1,3,360774
2,3,908765
3,3,948567
4,2,1174533
5,1,1205681
6,1,1306330
7,3,2057863
8,1,2083733
9,2,2351843
10,2,2741385
11,0,2984675
12,1,2999080
13,0,4439779
14,3,4462785
15,0,5042141
16,0,5071773
17,1,5724598
18,1,6538533
19,0,7087503
20,1,7450028
21,1,7525223
22,0,7776225
23,0,7777973
24,3,8051015
25,3,8567747
26,0,9250465
27,2,9252729
28,0,9611979
29,0,9744507
30,3,10108803
31,1,10852329
32,0,11600800
33,3,11609677
34,1,11715703
35,1,11863191
36,2,12773531
37,3,13093632
38,2,13633823
39,2,16871064
40,1,17928564
41,3,18081462
42,3,18540485
43,2,19132093
44,3,19248960
45,2,19438107
46,3,19806463
47,2,21768711
48,3,22198321
49,2,22382565
50,1,22761391
51,3,22935751
52,3,23459093
53,3,25703418
54,3,26104143
55,3,26337107
56,1,27143905
57,0,27614742
58,3,28918110
59,2,28918612
60,3,29254142
61,1,30644809
62,0,30689153
63,2,31297062
64,3,32599471
65,1,33098489
66,3,33407266
67,2,33407751
68,3,33409888
69,3,33841639
70,3,35394548
71,3,35394599
72,2,38346081
73,1,38489379
74,3,38849452
75,3,39275493
76,0,39720328
77,1,39748655
78,0,40538326
79,2,41599922
80,3,42200117
81,1,42499016
82,2,43156816
83,2,43741055
84,2,44791445
85,3,45839018
86,3,46110399
87,0,46375891
88,0,46376100
89,1,48317137
90,3,48545656
91,1,48672759
92,2,49266350
93,0,51299137
94,0,51299323
95,3,51486977
96,3,52053656
97,2,52055126
98,3,54069727
99,1,54150504
100,0,55397066
101,3,56140930
102,0,56954147
103,3,57176177
104,1,57478346
105,1,58335815
106,0,58366656
107,2,58452700
108,1,61028639
109,1,61082581
110,1,63488720
111,3,63987658
112,2,65668148
113,1,65675628
114,2,65692282
115,2,68330202
116,1,70669717
117,3,71529280
118,0,71727178
119,0,72132051
120,0,72133490
121,0,72133742
122,0,72134042
123,0,72134332
124,0,72134359
125,0,72134449
126,0,72134795
127,0,72135101
128,0,72135166
129,0,72135218
130,0,72135254
131,0,72135588
132,0,72135594
133,0,74837975
134,0,75723699
135,0,75723803
136,2,76558302
137,2,76701437
138,1,78803638
139,1,78803721
140,3,78812133
141,3,79962929
142,3,80605499
143,3,80617216
144,3,81365723
145,3,81510863
146,1,81566628
147,0,82050456
148,0,82053572
149,0,82053687
150,0,82055292
151,1,82227149
152,1,82448522
153,1,82586136
154,1,82592328
155,1,82869649
156,0,83336415
157,1,83419059
158,3,84757994
159,3,84759256
160,1,87589800
161,1,87815380
162,1,87974958
163,3,88610327
164,1,88669730
165,3,89389260
166,3,90614316
167,0,90969621
168,3,92033542
169,3,92033623
170,3,92033655
171,0,93029313
172,3,93351374
173,0,93552665
174,0,94226795
175,0,94227326
176,1,94458950
177,0,95424139
178,2,95424695
179,1,98585870
180,2,99491957
181,2,99493015
182,2,99616956
183,1,99665927
184,3,99693860
185,3,99694611
186,3,99897430
187,2,101598584
188,2,101644075
189,3,102443357
190,0,104460549
191,1,104474979
192,3,105048074
193,1,105076451
194,3,105348846
195,2,106154565
196,2,107162792
197,0,108435553
198,0,108435686
199,0,108435815
200,3,108589154
201,2,110308671
202,0,111282609
203,1,111611265
204,2,111613362
205,3,112904572
206,3,112915897
207,2,113175694
208,0,113687117
209,0,114656738
210,0,114657381
211,1,116233861
212,0,116558711
213,2,118358956
214,1,118529594
215,1,118661419
216,2,120471526
217,3,121779988
218,0,122738068
219,1,125046504
220,3,126073791
221,0,127234513
222,2,127269548
223,3,127963327
224,3,127964124
225,3,127964350
226,3,127964446
227,3,128072431
228,2,128505338
229,0,130519086
230,2,130962150
231,3,133519656
232,0,134029179
233,1,134808507
234,0,134929053
235,0,135652552
236,3,135983808
237,3,137088502
238,3,137088849
239,3,137455857
240,0,138224014
241,3,138254467
242,3,139538927
243,3,139539012
244,3,139539204
245,0,139926295
246,2,140958955
247,3,141489105
248,0,141539811
249,1,141591338
250,0,141945273
251,3,142379682
252,1,143204312
253,1,147480919
254,3,148769616
255,3,149008175
256,2,149142993
257,2,149144058
258,3,149926146
259,3,150200643
260,3,150289734
261,3,150750605
262,3,150806899
263,3,151068664
264,0,151276523
265,0,151276743
266,3,151948475
267,3,151948604
268,0,152153591
269,3,152172995
270,3,152906526
271,2,152906639
272,3,153114825
273,1,153143295
274,3,154120252
275,3,158222528
276,3,158660517
277,3,159183652
278,3,159183683
279,3,159582724
280,3,160366670
281,1,161878642
282,2,163927671
283,3,166636287
284,3,167527163
285,1,168712369
286,2,169478677
287,0,170422272
288,0,170422497
289,0,170422548
290,0,170422572
291,0,170423687
292,0,170423725
293,0,170423968
294,0,170427755
295,0,170428760
296,1,170635624
297,1,170635800
298,0,170650969
299,0,171289437
300,3,171438504
301,1,172080062
302,1,172387204
303,0,172522879
304,1,173002216
305,0,173177908
306,1,173233412
307,0,173272039
308,3,173356743
309,3,173675363
310,1,174232611
311,3,174932563
312,0,179650199
313,0,179650265
314,0,179650268
315,2,185014844
316,3,188008691
317,3,188097075
318,0,189018374
319,2,189116793
320,3,189293476
321,3,192582492
322,3,192585264
323,1,195583749
324,1,195854982
325,0,199089976
326,0,199148594
327,0,199148613
328,0,199233478
329,1,199271341
330,0,199273142
331,3,200237382
332,0,201106277
333,2,201469336
334,1,202027485
335,0,202569541
336,1,203168797
337,3,204395692
338,1,204860190
339,0,205657538
340,0,206220312
341,2,206430598
342,2,206648826
343,0,206659115
344,0,207401940
345,0,209484706
346,0,209604583
347,0,209606083
348,0,210206615
349,1,212194915
350,2,212625054
351,0,213378317
352,0,213395133
353,2,213395212
354,2,213395415
355,2,213395549
356,2,213395595
357,3,213479191
358,3,213708925
359,0,214109503
360,0,215099515
361,1,215619222
362,1,217067928
363,3,217140177
364,0,218373535
365,1,219787464
366,3,220925273
367,2,221303338
368,3,221802609
369,0,221865245
370,3,222647190
371,0,223393176
372,3,224207619
373,3,224207833
374,3,224552576
375,3,224552742
376,2,226895306
377,2,227322297
378,0,228240924
379,0,228625418
380,2,228664048
381,2,228762655
382,0,229410545
383,0,229573535
384,0,229573591
385,0,232221798
386,3,232543846
387,3,232544146
388,3,233198284
389,3,233335686
390,1,233646770
391,3,234067152
392,3,234067347
393,0,234582320
394,1,234726704
395,0,234969264
396,2,235381678
397,0,235741981
398,0,237726009
399,1,238277487
400,2,240967123
401,0,242325598
402,1,244128873
403,3,245709646
404,3,248433754
405,3,249243533
406,2,250978198
407,1,252822493
408,1,253007784
409,1,253548371
410,3,253858889
411,3,254121878
412,0,254225111
413,2,254469224
414,3,255279016
415,2,255332513
416,0,256045641
417,0,256297833
418,2,256619472
419,2,257848773
420,1,258364135
421,1,258621257
422,1,260657156
423,1,261318455
424,3,263342125
425,3,263542285
426,3,263953297
427,3,263953529
428,3,263953622
429,2,265146061
430,2,266991239
431,2,267220710
432,3,267313429
433,3,267313459
434,3,267579204
435,0,268794319
436,3,269208340
437,1,269583009
438,3,269901742
439,3,271840935
440,3,271842333
441,2,272099858
442,3,272295389
443,1,275109564
444,1,275525521
445,0,278343433
446,3,278644896
447,0,278831769
448,2,279068613
449,1,279202134
450,1,279213293
451,3,281164626
452,3,282311309
453,2,282477099
454,3,282477139
455,3,283792062
456,1,285288675
457,1,285766537
458,0,287697015
459,1,287926446
460,0,288299484
461,3,289225016
462,1,289654754
463,1,290585248
464,3,291784334
465,1,291830802
466,1,291961807
467,0,292328577
468,3,294124177
469,3,295889553
470,3,295889574
471,3,295889596
472,1,298055965
473,3,298835853
474,0,298891556
475,0,300298386
476,0,300556846
477,0,301038003
478,3,301717647
479,3,301717667
480,3,301997814
481,1,302569857
482,0,304319584
483,3,305505094
484,2,307135656
485,0,308071756
486,1,309047906
487,0,309218495
488,2,309495126
489,0,309580278
490,1,309832054
491,0,310302549
492,3,310541717
493,3,310750235
494,3,311175345
495,0,311185290
496,0,312379021
497,0,312893409
498,0,313231030
499,1,313487388
500,0,314048616
501,0,314049378
502,1,314773931
503,0,315395806
504,1,317228194
505,1,317422296
506,1,317893844
507,1,318271470
508,2,319213829
509,3,320914544
510,3,322064866
511,0,322067660
512,2,322084202
513,3,323933684
514,0,324122752
515,3,324679750
516,2,325044615
517,2,325543720
518,1,326039374
519,0,326100066
520,2,327517942
521,0,327887649
522,2,328634022
523,0,329362406
524,0,330605780
525,0,330605876
526,0,331003939
527,0,331316000
528,0,331317112
529,0,331317291
530,0,331317892
531,0,331318303
532,1,331350273
533,0,331811191
534,3,331968405
535,0,332337178
536,0,332338151
537,0,332569625
538,0,332569760
539,0,332569776
540,0,334050262
541,0,335354225
542,0,336389859
543,0,336389890
544,1,337795557
545,0,339370721
546,2,339392843
547,1,339462196
548,2,339718555
549,2,340845665
550,1,340873167
551,1,342559085
552,0,342982357
553,3,344455206
554,1,345390827
555,1,345391485
556,3,345566499
557,1,346872914
558,0,348987479
559,1,349392016
560,2,349400276
561,3,349539240
562,1,350039969
563,3,351529910
564,0,352058859
565,0,352058957
566,0,352203636
567,0,352839858
568,2,353773752
569,3,354554731
570,0,355287895
571,1,356521139
572,3,357456651
573,2,357587363
574,2,357968508
575,3,358732371
576,2,359579675
577,0,360580878
578,1,360642261
579,0,360839405
580,0,360839594
581,0,360949390
582,0,360950473
583,1,361064158
584,2,362597672
585,3,363038940
586,2,363513162
587,2,363966927
588,3,364704295
589,3,364704326
590,1,365464512
591,3,366401364
592,2,367593052
593,2,367801799
594,1,368456896
595,0,368586248
596,3,368959908
597,3,368960072
598,3,369511754
599,3,369511923
600,3,369511954
601,3,369511960
602,3,369511972
603,3,369512595
604,3,369513667
605,3,370658539
606,0,371256443
607,0,371256459
608,1,371638346
609,2,372382690
610,1,372890234
611,2,373620806
612,2,374849648
613,3,375451505
614,1,375771042
615,3,376491901
616,2,378594265
617,3,378927275
618,3,379850743
619,3,380464010
620,0,380881744
621,0,382362095
622,0,382816211
623,3,383094357
624,3,383094398
625,3,383673404
626,3,383673446
627,0,384347164
628,2,384693167
629,2,384813508
630,0,388494063
631,0,388494070
632,0,388495388
633,0,388495413
634,0,388495486
635,2,389860286
636,1,393282122
637,2,393305847
638,0,393946771
639,1,394304954
640,3,395661882
641,3,397491181
642,3,397616245
643,1,397617609
644,0,397814833
645,0,397816009
646,3,398732589
647,1,398732793
648,3,398733031
649,3,399606715
650,0,399773206
651,0,401793965
652,2,402360977
653,0,403360680
654,2,404264708
655,3,405193649
656,2,405262179
657,3,405528321
658,1,406815841
659,2,406816509
660,2,407464509
661,1,408173171
662,1,409351781
663,0,411451787
664,0,411451822
665,0,411451916
666,0,411452168
667,0,411453019
668,0,411453178
669,0,411885175
670,0,411885193
671,0,411885231
672,0,412146478
673,3,412166591
674,1,412275304
675,0,412558855
676,1,413429012
677,0,414201997
678,1,414916867
679,1,416481330
680,0,417008793
681,0,417056025
682,1,417549073
683,3,419304410
684,0,419973680
685,1,420987346
686,1,421656237
687,1,423450597
688,3,436469374
689,2,439874703
690,2,443900079
691,1,447880790
692,3,450150968
693,1,456294731
694,2,457333417
695,2,458187226
696,2,458251401
697,2,458252553
698,2,458513641
699,2,458658913
700,1,459730661
701,2,459735838
702,2,459745160
703,2,459765761
704,2,460429643
705,2,463530455
706,3,465575489
707,3,469274903
708,2,474162503
709,2,474487288
710,3,474527209
711,2,474527301
712,3,474527490
713,3,474527646
714,3,474527750
715,2,474528233
716,2,474528322
717,3,474528477
718,3,474528772
719,2,474528960
720,3,474529347
721,3,474529485
722,3,475107812
723,3,475109279
724,3,475122445
725,3,479058815
726,3,479058987
727,2,487057311
728,2,491253529
729,2,494140763
730,2,494261358
731,2,495753665
732,1,497414372
733,3,497642766
734,2,497644997
735,0,497829713
736,2,497909447
737,2,497925980
738,2,497937224
739,3,498878233
740,1,499968022
741,2,500758998
742,3,501054490
743,2,501055915
744,3,501114631
745,3,501114665
746,3,501115321
747,1,506207705
748,2,507446997
749,2,507691558
750,1,512865138
751,1,513423600
752,2,517549771
753,2,518423060
754,2,518424992
755,3,519184096
756,3,520508398
757,3,521157917
758,3,521300387
759,2,521615226
760,0,525921821
761,2,526301203
762,3,526821031
763,2,526821078
764,2,526821094
765,1,526821343
766,3,526822233
767,3,526822294
768,3,526822378
769,3,527041710
770,3,531081615
771,1,531896265
772,0,533549276
773,2,535513763
774,2,535574816
775,3,537290499
776,2,540215879
777,3,542284565
778,1,542484977
779,3,542527981
780,3,543780685
781,2,546285026
782,3,546403881
783,0,546475057
784,1,546562059
785,2,547514203
786,1,548995834
787,2,551283494
788,3,554743545
789,2,554744097
790,3,554744693
791,3,554752896
792,2,554777683
793,1,556355008
794,2,558282509
795,2,559950265
796,3,561905226
797,2,563043614
798,3,563209811
799,1,564289803
800,2,564473027
801,3,564473070
802,2,564976947
803,1,567154069
804,3,567991573
805,0,580861437
806,2,582036751
807,3,587071049
808,2,587917154
809,1,589714594
810,2,589996629
811,3,590002640
812,2,591914792
813,1,597631451
814,3,597950993
815,2,598726918
816,2,599178026
817,2,599963320
818,2,599963565
819,1,599965518
820,0,599965847
821,2,599966041
822,2,601092743
823,3,602372077
824,1,605071274
825,1,605167781
826,2,605377313
827,2,606374958
828,2,609199933
829,1,610518356
830,2,610640075
831,2,610640148
832,2,610640580
833,2,610652793
834,2,610767654
835,2,611454637
836,2,613688725
837,2,615561602
838,0,615662041
839,2,615665806
840,2,616435998
841,1,616600273
842,3,617741390
843,1,617818213
844,2,618992202
845,2,619006377
846,1,619006839
847,3,619020204
848,3,620119287
849,1,621909544
850,2,621909883
851,0,622568871
852,3,622767611
853,3,622767658
854,3,624216940
855,2,624251483
856,3,625807055
857,1,628929692
858,1,629529906
859,3,629531108
860,3,633126646
861,2,634812394
862,2,634813820
863,2,634834854
864,2,638691809
865,3,640706961
866,2,642135817
867,1,645106313
868,2,646955258
869,2,649923754
870,2,651626075
871,3,654721624
872,2,662854590
873,2,662944361
874,1,664994212
875,3,665172789
876,3,665194649
877,1,665793649
878,2,665819574
879,3,667551910
880,3,668439543
881,3,668439578
882,1,669196202
883,3,669551130
884,2,673388459
885,2,673397430
886,2,673877253
887,3,674184945
888,3,674592482
889,2,678389213
890,0,678395124
891,3,678453029
892,3,683973897
893,2,684063430
894,2,684618957
895,2,684621609
896,2,685406444
897,3,685704316
898,3,692152439
899,1,694927747
900,3,696570968
901,2,696908366
902,2,697395628
903,3,699021084
904,1,699073298
905,3,699450616
906,3,699819956
907,3,700672436
908,2,700747102
909,2,701253730
910,1,704278337
911,3,704286232
912,2,705846277
913,3,708262505
914,2,708513446
915,2,708514031
916,3,708913023
917,3,711924382
918,3,711924680
919,2,713296413
920,1,714125981
921,3,714835378
922,2,715409029
923,2,715410597
924,3,719281210
925,2,719335246
926,3,719478426
927,2,719893764
928,0,720541749
929,1,720657629
930,2,720660945
931,3,721187162
932,3,721189965
933,3,721190081
934,1,721191243
935,2,721191399
936,2,721196279
937,2,721196302
938,2,721196329
939,1,721202088
940,1,721211877
941,1,721212881
942,1,721221264
943,2,728795658
944,1,729152758
945,0,731493202
946,2,732759513
947,2,735196706
948,2,735634278
949,2,737789216
950,2,742297104
951,2,742531187
952,1,743665479
953,3,746460545
954,2,746476195
955,1,746705316
956,2,748183915
957,3,748878458
958,1,748886738
959,2,750074621
960,2,751286958
961,3,752273578
962,3,753519253
963,3,754983686
964,2,755474537
965,2,755643334
966,1,756437733
967,3,758184991
968,3,758185042
969,3,758883073
970,3,758885325
971,2,759044374
972,3,764355900
973,3,767847764
974,2,770414111
975,3,770968653
976,3,770972051
977,2,771533719
978,2,771615578
979,2,772636694
980,3,773072505
981,3,773072582
982,1,773487491
983,2,773530305
984,0,774838679
985,2,775098096
986,3,775144188
987,2,775150852
988,2,775151548
989,2,775614810
990,2,776042295
991,3,776297756
992,2,776321548
993,3,778563576
994,2,780616741
995,2,780656723
996,2,780731732
997,2,781056727
998,2,781440431
999,3,782476504
1000,3,782477290
1001,3,782477350
1002,3,782478900
1003,2,783003952
1004,1,783327254
1005,2,786078148
1006,3,791984967
1007,3,792579183
1008,1,794706704
1009,3,802977100
1010,2,804058997
1011,3,804492529
1012,2,806406626
1013,1,807113038
1014,2,807855363
1015,3,808188451
1016,2,808403129
1017,2,810517044
1018,1,811741862
1019,1,813371571
1020,2,813908329
1021,1,814366335
1022,1,814395226
1023,2,818383872
1024,2,818539732
1025,2,818708762
1026,2,818769414
1027,0,822417605
1028,2,822604118
1029,2,823528268
1030,3,823613314
1031,2,823615431
1032,1,823615541
1033,2,823615559
1034,1,825036514
1035,3,825582488
1036,2,825945768
1037,1,829831559
1038,1,834302279
1039,2,835200993
1040,3,836127538
1041,3,839321766
1042,3,840482772
1043,3,840589144
1044,3,840591631
1045,3,840608794
1046,1,841192943
1047,0,841669840
1048,2,843076386
1049,0,843102561
1050,2,848546617
1051,2,849297096
1052,2,849784128
1053,1,851557403
1054,3,854729468
1055,3,854730272
1056,2,854873271
1057,3,854873464
1058,3,855244838
1059,3,855245253
1060,3,855266299
1061,2,855475935
1062,2,856539573
1063,2,856916059
1064,3,856968124
1065,3,857048591
1066,3,857049041
1067,3,857049058
1068,2,858986119
1069,2,859330181
1070,2,861121234
1071,0,861145882
1072,1,861175108
1073,1,862666594
1074,3,863278421
1075,3,863281277
1076,3,865157085
1077,2,865438879
1078,3,866013274
1079,2,866045860
1080,3,866468321
1081,2,866524073
1082,1,866524258
1083,2,866532426
1084,2,866613803
1085,3,869820680
1086,3,869820722
1087,2,869820779
1088,1,870480126
1089,3,870501872
1090,3,870576179
1091,3,870977183
1092,2,873875106
1093,3,875390857
1094,1,877091999
1095,3,882913777
1096,3,882913836
1097,3,882913916
1098,3,882914180
1099,3,882915126
1100,3,882915152
1101,2,883084096
1102,1,883084149
1103,2,883247592
1104,2,884210880
1105,1,884601796
1106,1,885802770
1107,2,886534278
1108,2,886637631
1109,3,888508672
1110,2,888788989
1111,2,888828713
1112,2,888845991
1113,1,888854613
1114,3,888868874
1115,3,888868960
1116,3,888869271
1117,3,888895479
1118,3,888895515
1119,2,889189909
1120,2,889602302
1121,2,890846167
1122,3,891214764
1123,3,891214906
1124,2,891215197
1125,3,892513556
1126,3,892763352
1127,1,894054858
1128,3,895837626
1129,1,901905744
1130,1,901905785
1131,1,901925175
1132,3,904006146
1133,2,904122241
1134,3,904138055
1135,3,904150026
1136,3,904151892
1137,3,904153613
1138,3,904159879
1139,2,904179724
1140,3,904336442
1141,3,905412711
1142,2,906344979
1143,2,906439410
1144,3,908572046
1145,1,909301625
1146,2,909347102
1147,1,912531426
1148,1,912531884
1149,1,912532061
1150,2,917398455
1151,2,917606232
1152,2,918495796
1153,1,918962106
1154,0,919247937
1155,2,920319365
1156,2,920392842
1157,2,922530560
1158,2,922562240
1159,2,922609435
1160,0,924287927
1161,2,925771049
1162,2,927172746
1163,2,927592303
1164,2,929825926
1165,1,930046231
1166,1,933321461
1167,1,933356091
1168,3,933380452
1169,3,934409365
1170,2,934573470
1171,3,935269135
1172,2,936738766
1173,3,936949438
1174,3,940886858
1175,3,941133605
1176,1,941600083
1177,1,941600565
1178,3,947014206
1179,3,947014215
1180,2,947014664
1181,3,947014678
1182,3,948967987
1183,2,948994823
1184,1,948995408
1185,3,949000734
1186,2,950160553
1187,2,950649508
1188,1,950672512
1189,2,952263488
1190,2,952918049
1191,2,960602316
1192,3,962682857
1193,2,962687075
1194,3,962705819
1195,2,969908875
1196,2,970492389
1197,2,971214369
1198,2,972158420
1199,3,972280713
1200,3,972552540
1201,2,972554783
1202,3,972554873
1203,3,974991578
1204,3,975643443
1205,3,982159337
1206,3,983677107
1207,2,984397083
1208,2,984402149
1209,3,986217897
1210,2,987402709
1211,3,987469768
1212,2,990660815
1213,2,992381345
1214,2,992436336
1215,1,992436345
1216,2,992479859
1217,2,996626706
1218,2,997058127
1219,3,997349252
1220,3,997349352
1221,2,997378212
1222,3,997492451
1223,1,997527216
1224,3,997535155
1225,2,997571290
1226,2,998280848
1227,2,998740431
1228,2,999791269
1229,1,999889576
1230,1,999894423
1231,0,1004536199
1232,0,1004960914
1233,0,1005048354
1234,3,1006174165
1235,3,1007902223
1236,2,1010139464
1237,3,1010907054
1238,2,1011189521
1239,2,1011189818
1240,2,1011190391
1241,1,1011311072
1242,3,1012048103
1243,3,1012103250
1244,1,1012105686
1245,0,1012422138
1246,2,1013487385
1247,1,1014439208
1248,1,1014439240
1249,2,1014851477
1250,2,1014852017
1251,2,1017045602
1252,2,1017642771
1253,3,1024010188
1254,3,1024348158
1255,2,1026082842
1256,2,1026249665
1257,3,1026856200
1258,3,1026856221
1259,2,1032565145
1260,3,1034810620
1261,3,1038884896
1262,3,1038885227
1263,2,1041344388
1264,3,1042379537
1265,1,1048124608
1266,2,1051803244
1267,1,1051803266
1268,3,1053051511
1269,2,1053754729
1270,3,1056787290
1271,2,1058490329
1272,1,1058634363
1273,2,1059870620
1274,2,1059878000
1275,2,1061129936
1276,2,1067338948
1277,3,1071997244
1278,1,1071997566
1279,0,1075351422
1280,2,1079403315
1281,2,1079507090
1282,2,1095180817
1283,2,1095180843
1284,1,1100129160
1285,1,1103036711
1286,2,1108552189
1287,1,1109470344
1288,3,1109848859
1289,2,1111762903
1290,3,1114985887
1291,2,1117812559
1292,3,1119166099
1293,3,1119179512
1294,2,1122456758
1295,3,1123620165
1296,2,1124260654
1297,3,1126116531
1298,2,1126494377
1299,2,1129892337
1300,2,1130165186
1301,2,1131484832
1302,1,1132934946
1303,3,1133189427
1304,3,1143449679
1305,1,1145065481
1306,1,1148316473
1307,1,1148316685
1308,2,1149304910
1309,2,1149324788
1310,0,1158461229
1311,2,1159366330
1312,3,1159367563
1313,2,1160085846
1314,2,1161501212
1315,3,1162502616
1316,3,1163074215
1317,3,1163151456
1318,3,1163626012
1319,3,1163626301
1320,3,1164858982
1321,2,1169018724
1322,2,1170475044
1323,2,1170864566
1324,3,1186423531
1325,3,1186424195
1326,3,1186424728
1327,3,1186424906
1328,0,1189663090
1329,2,1192841072
1330,1,1193104735
1331,3,1193160791
1332,2,1193185935
1333,1,1196252114
1334,3,1200318952
1335,2,1201979635
1336,3,1201979928
1337,3,1201980299
1338,0,1208724652
1339,2,1210424378
1340,2,1211773049
1341,2,1215090158
1342,3,1215208361
1343,3,1215723453
1344,3,1215930478
1345,1,1216283673
1346,1,1217416624
1347,3,1217488971
1348,1,1217583036
1349,3,1218990633
1350,3,1219953611
1351,3,1222239711
1352,1,1224830170
1353,2,1224930177
1354,1,1225022622
1355,1,1225237348
1356,1,1225258838
1357,2,1225680227
1358,2,1226795174
1359,1,1226795951
1360,2,1228997247
1361,1,1230279177
1362,2,1230802233
1363,2,1232766628
1364,2,1237368641
1365,3,1243627746
1366,2,1244653814
1367,2,1245894822
1368,3,1246731274
