,cat,id
0,2,1111420
1,3,2141678
2,3,2449409
3,2,4082095
4,0,4284574
5,0,4713693
6,0,5205852
7,0,5481932
8,2,5659233
9,0,6031956
10,0,6309567
11,0,8758763
12,3,9273370
13,0,10284583
14,2,10384514
15,3,11037595
16,3,11392305
17,2,12381766
18,3,13325577
19,2,13527034
20,0,14269016
21,0,19120743
22,1,19845951
23,0,20288223
24,0,21677573
25,0,21731319
26,1,22036746
27,0,22210841
28,2,22255243
29,3,22355942
30,0,22960708
31,0,24017530
32,3,24310951
33,1,25427289
34,3,25577128
35,0,25827820
36,3,26291683
37,2,27872932
38,0,28788194
39,3,29257184
40,3,29801968
41,0,30642134
42,0,30847955
43,0,30975423
44,3,31694500
45,1,32992175
46,1,34821433
47,1,38390180
48,1,40104195
49,1,40523834
50,0,40798938
51,2,41693759
52,0,42608407
53,1,42847629
54,1,42862700
55,3,43480688
56,0,43693705
57,1,44496131
58,1,48072822
59,0,48284066
60,0,49220157
61,0,51363290
62,1,51975868
63,0,52041626
64,1,52635787
65,0,52728173
66,0,52844701
67,2,54170217
68,2,54794655
69,0,54932410
70,3,55078067
71,3,55210826
72,0,56122713
73,0,58642768
74,0,59708844
75,0,60459989
76,0,60900255
77,0,61532205
78,3,64210518
79,1,65969351
80,2,66508579
81,2,66571660
82,3,67241911
83,0,67381140
84,0,67496485
85,2,67686403
86,1,68741470
87,1,68986840
88,3,69911073
89,0,70071670
90,2,70217652
91,1,70543172
92,1,71157709
93,1,72578878
94,2,72743818
95,3,76928991
96,0,78135476
97,0,79192713
98,0,80969038
99,1,80978591
100,2,82503866
101,0,82663481
102,3,82825608
103,0,83128753
104,3,83296925
105,0,83963841
106,0,87313695
107,1,87336074
108,2,87336186
109,3,87511496
110,0,88216615
111,3,88388302
112,0,88741089
113,1,89673886
114,3,89946701
115,1,90392210
116,1,90731480
117,0,91798489
118,3,92076072
119,1,92825050
120,2,92862733
121,0,93080988
122,1,94843744
123,3,94928045
124,1,94942574
125,2,95889156
126,1,97336055
127,3,97460468
128,3,97590178
129,0,97918297
130,1,98089076
131,1,98229498
132,0,99326244
133,0,100369230
134,0,100404421
135,0,100727770
136,3,101089835
137,3,102675502
138,3,105103395
139,3,105194544
140,3,105222442
141,2,105246210
142,0,106045990
143,3,106363638
144,3,106381674
145,0,106996459
146,0,107685236
147,0,107776177
148,0,109956089
