,cat,id
0,2,765287
1,0,908620
2,2,1827380
3,0,2254715
4,2,3171873
5,1,3255059
6,0,3524063
7,0,3869342
8,0,4375309
9,1,5325407
10,1,6838451
11,0,6852487
12,1,6853567
13,1,7066944
14,1,7435473
15,1,8204939
16,1,8669545
17,1,8846796
18,1,10255623
19,0,11066573
20,1,12618888
21,2,12654400
22,1,13096704
23,0,13503907
24,0,13505167
25,2,14225609
26,0,14800943
27,0,14809449
28,1,15139938
29,1,15481762
30,2,16117733
31,0,16404929
32,1,17646893
33,1,18331930
34,0,18820656
35,0,19248744
36,1,19652085
37,0,19693466
38,0,19795751
39,0,20697139
40,1,21413303
41,0,21502955
42,0,21551157
43,0,21611262
44,1,21615732
45,2,22387179
46,1,23005260
47,1,24387480
48,0,25197553
49,0,25231540
50,0,25346427
51,0,25451156
52,0,25502317
53,0,27107952
54,2,27225160
55,0,27231917
56,0,27324892
57,1,27892703
58,0,28284066
59,0,29282672
60,1,30506739
61,0,31808835
62,1,31843717
63,0,32072857
64,1,32215231
65,0,32279557
66,1,32949755
67,1,33046551
68,0,33587738
69,1,34269775
70,0,35060809
71,2,35389426
72,0,36550430
73,2,36560447
74,1,37219742
75,2,37538681
76,1,37647908
77,0,37964957
78,1,37972408
79,0,40007943
80,0,40653177
81,2,41031878
82,1,42896518
83,1,43472931
84,2,44000383
85,1,45149298
86,1,45578475
87,1,46070016
88,2,46505258
89,1,46634730
90,1,47163253
91,1,47191392
92,0,48202983
93,1,48534701
94,0,49499060
95,0,49592224
96,0,50356533
97,2,50469205
98,2,51263780
99,0,51514427
100,0,52727071
101,0,54166141
102,1,54665686
103,0,54901301
104,0,55285291
105,1,55435226
106,1,56209916
107,1,56239213
108,1,56685153
109,2,58661284
110,2,60104763
111,1,61550753
112,1,61717958
113,1,62415752
114,1,63043555
115,2,63063540
116,2,64771759
117,0,65450285
118,0,66007220
119,0,66661669
120,0,66797541
121,0,67402955
122,2,67808754
123,0,67840038
124,1,67993210
125,0,69027449
126,0,69449070
127,0,69564183
128,0,70508280
129,0,71360017
130,2,71666663
131,0,73724514
132,2,73793782
133,1,73847674
134,2,75025164
135,1,75478594
136,1,75501870
137,1,75864475
138,1,76404035
139,2,76410114
140,1,76797266
141,1,77195151
142,2,78635667
143,1,79092127
144,1,79279029
145,1,79453306
146,0,79945886
147,0,80308793
148,0,81168259
149,0,81903980
150,0,82358368
151,1,83121073
152,1,83380975
153,0,83739582
154,2,84057185
155,1,85663650
156,2,85680883
157,0,87460153
158,0,90470258
159,1,90580715
160,1,90803049
161,0,92238553
162,2,93639203
163,1,93752737
164,2,94412295
165,1,94440705
166,1,94831967
167,0,95039839
168,2,95100820
169,0,95155092
170,0,95250428
171,2,95333318
172,0,95401676
173,0,95409372
174,2,95816231
175,2,97045975
176,0,97052597
177,0,97053679
178,1,97536926
179,1,97992390
180,2,98262491
181,1,98461573
182,1,98839032
183,0,98985332
184,1,99348145
185,1,100457684
186,1,100562651
187,1,101186702
188,1,101413209
189,2,101667377
190,1,102475108
191,0,102689970
192,2,102968801
193,2,102997399
194,1,103014694
195,0,103441897
196,0,103448373
197,0,103606247
198,0,105511649
199,2,106895467
200,2,107574203
201,2,107616393
202,2,107938637
203,2,108330870
204,1,108529595
205,1,108803519
206,1,109070478
207,1,109384103
208,0,109874833
209,0,110037229
210,1,110535114
211,0,111225916
212,1,111315788
213,0,111366104
214,0,112128335
215,1,112204657
216,2,112421138
217,0,112461764
218,2,112608652
219,0,112692677
220,1,113150495
221,0,114749850
222,0,115198545
223,1,117292973
224,2,117801193
225,1,117962452
226,0,118487669
227,0,118536661
228,1,121758421
229,1,121877366
230,2,122271039
231,0,122554346
232,0,123261158
233,1,123448854
234,0,123492959
235,1,123997828
236,1,124882279
237,0,126330324
238,0,126478101
239,2,126681444
240,2,126794010
241,2,127126352
242,0,127657407
243,1,128305398
244,1,128623218
245,0,128691644
246,0,129235716
247,0,131153340
248,0,131160044
249,0,132094806
250,2,133704495
251,0,133912312
252,0,134634123
253,2,134806838
254,1,135416457
255,0,135610744
256,1,136129045
257,1,136571599
258,0,137787916
259,0,138362809
260,0,138413691
261,0,138906095
262,1,139107861
263,0,140310353
264,1,140916402
265,1,141368181
266,0,141373978
267,1,142161551
268,2,142923303
269,1,144288663
270,1,144474966
271,1,144482954
272,1,146746784
273,0,147049331
274,2,147053289
275,1,147218080
276,1,147331608
277,0,147486839
278,0,148393321
279,1,148814898
280,2,148940259
281,1,149371797
282,0,149382633
283,1,149445976
284,0,149758258
285,0,150432761
286,0,150678370
287,1,151235555
288,1,152098992
289,0,152593647
290,1,153043363
291,0,153485658
292,0,154563155
293,2,154580026
294,0,155423751
295,2,155785958
296,2,157572684
297,1,157582993
298,0,159144624
299,1,159339935
300,0,161402671
301,2,161483294
302,2,161770389
303,0,161935104
304,2,162374898
305,1,162635406
306,2,163012110
307,1,163436557
308,0,164544382
309,2,164970708
310,0,165361854
311,1,165647329
312,1,166237230
313,0,166808475
314,1,166870640
315,2,167213037
316,0,167789213
317,0,168480354
318,0,168839865
319,2,169164396
320,2,169506006
321,0,169609074
322,2,171455806
323,1,172153565
324,0,173679599
325,0,174218191
326,1,174554335
327,1,174871812
328,0,177338139
329,1,177740811
330,2,178551095
331,2,178636473
332,0,178724632
333,1,178893678
334,1,178913563
335,2,180478896
336,2,180835123
337,1,180840607
338,1,181348605
339,1,181652099
340,0,181984878
341,2,182371624
342,0,182419687
343,2,182609436
344,2,182832375
345,0,182953611
346,1,183397036
347,1,184549509
348,0,184569295
349,0,185156468
350,0,186140556
351,1,186660516
352,0,187455381
353,0,187867773
354,1,188706300
355,0,188931652
356,0,189080769
357,0,189472214
358,2,189693892
359,1,189846602
360,1,190309348
361,0,190363949
362,1,190860370
363,1,191491872
364,1,191658453
365,1,193262279
366,0,193721132
367,2,194144076
368,0,194933298
369,0,195252199
370,2,195416446
371,1,195642159
372,0,195818907
373,0,196562449
374,1,196913968
375,1,197988459
376,1,199513688
377,1,199755958
378,0,199766124
379,0,199976705
380,2,200013509
381,0,200526764
382,2,200800117
383,2,200838575
384,0,201707171
385,1,201831155
386,0,202090388
387,0,202404672
388,0,203563453
389,0,203668263
390,0,203973527
391,0,205133381
392,0,205147855
393,1,205268509
394,2,205493608
395,1,206697072
396,1,207133937
397,1,208099062
398,1,208775020
399,1,208908782
400,1,208977304
401,1,208977912
402,2,209257499
403,1,209294803
404,2,209362838
405,0,209982697
406,0,210121171
407,0,210233203
408,1,210634728
409,2,210704220
410,1,210763475
411,0,211480324
412,0,212005795
413,0,213786871
414,2,215294476
415,2,216939146
416,2,217419624
417,1,217691923
418,2,217893482
419,2,218201263
420,1,218275141
421,0,219273919
422,0,219825192
423,1,219945322
424,1,220065803
425,0,220867026
426,1,221302387
427,1,221622519
428,0,221645320
429,1,222634313
430,0,223242703
431,0,223986950
432,2,226947388
433,2,227392971
434,0,227556173
435,1,227691766
436,1,228044268
437,0,229992124
438,2,230239446
439,0,231301447
440,2,231482611
441,1,231734480
442,2,231842570
443,1,233533021
444,1,233643635
445,0,233886949
446,0,234349523
447,0,235132734
448,0,235493668
449,0,236334918
450,1,236416398
451,2,236957129
452,0,236981564
453,0,237014865
454,0,237266642
455,1,237335188
456,0,237780182
457,0,238289259
458,0,238418776
459,0,238828270
460,2,239035872
461,0,239487969
462,1,240192796
463,2,240894029
464,1,242183518
465,0,242868457
466,1,243985627
467,1,245291649
468,0,245794102
469,0,245948842
470,1,246599477
471,0,249083063
472,0,249932793
473,1,250139496
474,0,250178156
475,2,251659501
476,1,252351587
477,1,253623141
478,0,253822321
479,0,253837593
480,1,255339466
481,2,255609181
482,0,256630242
483,0,257239945
484,0,258208590
485,2,258317813
486,1,259460742
487,0,259956910
488,1,260917362
489,2,261230176
490,1,262421993
491,0,264104345
492,0,265042675
493,0,265434363
494,0,266287168
495,2,266844322
496,0,266935402
497,1,267649395
498,0,267747637
499,0,267776952
500,1,268808160
501,2,270782814
502,0,271141500
503,2,271269186
504,1,271409698
505,0,272383483
506,1,273103269
507,1,273429510
508,0,274098337
509,1,277002989
510,2,278541768
511,2,279874572
512,2,280034223
513,1,280131897
514,0,280142947
515,2,280303982
516,0,280803082
517,2,281531605
518,2,282722078
519,0,283374368
520,2,283546895
521,2,284070659
522,0,285043104
523,1,285645664
524,1,286185144
525,0,286776499
526,0,287055468
527,1,287351142
528,2,287505786
529,1,288655715
530,0,288774009
531,1,288925399
532,0,289125118
533,1,289929025
534,0,290060617
535,1,290109156
536,1,290176575
537,1,290255050
538,1,291008533
539,1,291250862
540,0,292772724
541,1,294690531
542,1,295068396
543,0,296349259
544,1,296951974
545,1,297329660
546,1,297518162
547,0,298563833
548,0,299917729
549,0,300363198
550,0,300668782
551,0,301528845
552,1,301580586
553,1,302301598
554,1,302427568
555,1,302557565
556,0,302593339
557,1,302716799
558,1,303007963
559,1,303760939
560,2,304746203
561,0,304948124
562,1,304955721
563,0,305113998
564,1,305235955
565,1,306232628
566,2,306775290
567,1,307493211
568,1,307498037
569,0,307788845
570,0,308740027
571,2,309145282
572,2,309300937
573,0,309929365
574,2,310714345
575,0,311384695
576,0,311997603
577,1,312414884
578,0,312415304
579,1,312721738
580,0,313992536
581,2,314765833
582,2,315793996
583,0,315967199
584,2,316040438
585,0,316643269
586,1,316900492
587,2,317010545
588,2,317574109
589,1,317637326
590,2,317880409
591,0,318474504
592,1,318590016
593,0,319952464
594,1,320483300
595,2,320679753
596,1,320729502
597,1,322016048
598,0,322041201
599,2,322630450
600,2,322897505
601,0,323433215
602,0,323593288
603,1,323810292
604,0,323814302
605,1,324431481
606,0,324531742
607,0,324768540
608,1,325427387
609,1,325430171
610,1,325832495
611,0,325868610
612,2,326103229
613,0,326135806
614,0,326211369
615,0,327168244
616,1,327547613
617,1,327683021
618,0,327962167
619,1,328385388
620,2,329168808
621,0,329285630
622,0,329847992
623,0,331214407
624,1,331393014
625,0,331707409
626,0,332090430
627,0,332196050
628,2,332210122
629,0,332681790
630,1,333297163
631,1,334245102
632,0,334742370
633,0,335019694
634,1,335622519
635,0,335832814
636,2,336236682
637,1,336451472
638,0,336683512
639,1,336778202
640,2,336818798
641,1,337579068
642,0,337986620
643,1,338023114
644,0,338126611
645,2,338827317
646,1,338845466
647,1,339873399
648,1,340938021
649,1,341766328
650,1,341975789
651,0,342058010
652,1,342536429
653,0,342544346
654,0,342601160
655,0,342803070
656,1,342803180
657,0,344669135
658,2,344949081
659,2,344976994
660,2,345182869
661,0,346416036
662,0,346535867
663,0,347319125
664,0,348395202
665,0,348568314
666,0,349218225
667,0,350109485
668,0,350625813
669,0,352723454
670,0,352755950
671,0,353435097
672,0,353456451
673,0,354390071
674,0,354629156
675,2,355464510
676,0,355857793
677,2,356608989
678,1,357191754
679,2,358246592
680,1,358453388
681,1,360603140
682,2,361165558
683,2,361208992
684,1,361340919
685,1,361771452
686,1,362984839
687,0,363037905
688,2,363051056
689,2,363454596
690,0,363975436
691,1,365784621
692,1,366488182
693,1,366546718
694,1,367061667
695,1,367219177
696,2,367455232
697,0,367482960
698,1,368865338
699,2,369179959
700,0,369464542
701,0,370220395
702,2,370649741
703,1,371238109
704,0,371776505
705,0,372219007
706,2,372250044
707,2,373090711
708,1,373275410
709,0,374703264
710,2,374753043
711,2,374784208
712,0,375286908
713,0,375720889
714,0,376561047
715,1,377166612
716,0,377402459
717,0,379860370
718,1,380606512
719,0,380859813
720,1,381405855
721,1,381819952
722,1,382405367
723,1,382479544
724,2,382898153
725,1,383114986
726,1,383449459
727,1,384012833
728,1,384396176
729,0,384751439
730,1,385442299
731,1,385447889
732,1,385830437
733,1,386520502
734,0,387043933
735,1,387435415
736,1,387901565
737,2,388283890
738,0,388301552
739,0,388435746
740,0,388600526
741,1,388737283
742,0,388988955
743,1,389244727
