,cat,id
0,0,45944
1,0,227589
2,0,727953
3,0,727976
4,0,943251
5,0,1182060
6,0,1333196
7,1,1424027
8,0,1755533
9,0,2243826
10,0,2541449
11,1,2991762
12,1,3023773
13,0,3397605
14,0,3588778
15,1,3753560
16,1,4031665
17,0,4470503
18,0,4754249
19,0,4912584
20,0,5358328
21,0,6222823
22,1,6476231
23,1,7724650
24,0,7804339
25,0,8320004
26,0,8675089
27,0,8853045
28,0,8962423
29,0,9117945
30,0,9326586
31,0,9626361
32,1,9781615
33,0,10839795
34,0,10871129
35,0,11193369
36,0,12279639
37,0,13481446
38,0,13616194
39,0,14424436
40,0,14610070
41,0,14848140
42,0,15129590
43,0,16103227
44,0,16179699
45,1,17674389
46,0,18455100
47,0,18782709
48,0,18833750
49,0,19358291
50,0,19785930
51,0,19787824
52,0,19787919
53,1,20116462
54,0,21882677
55,0,22249514
56,1,22336004
57,0,22773904
58,0,23152975
59,0,23196284
60,0,23770611
61,1,24027538
62,0,24133104
63,1,26565807
64,0,27698416
65,0,29226094
66,0,29226145
67,0,29228788
68,1,31729684
69,0,32049073
70,0,32090969
71,1,32534050
72,0,32789087
73,0,33071998
74,0,35033373
75,0,35338835
76,0,35584489
77,0,36623541
78,0,37472469
79,1,37817313
80,0,38202533
81,0,38491076
82,1,39224653
83,0,39224711
84,0,39847923
85,0,39849247
86,0,40209907
87,0,40871854
88,0,42712289
89,1,43476013
90,0,43960566
91,0,44253206
92,0,44255664
93,0,44273847
94,0,44292370
95,0,44323974
96,0,44819323
97,0,45144014
98,0,45648728
99,0,45650128
100,0,45747277
101,1,46431685
102,0,46622457
103,1,46744986
104,1,47378466
105,0,48376397
106,0,48564171
107,0,50725227
108,1,51137546
109,0,51783170
110,0,52473146
111,1,52515476
112,0,52574341
113,0,52730240
114,0,52874022
115,0,54665167
116,0,55023160
117,0,55715298
118,0,56071976
119,0,58138423
120,0,58245778
121,0,59965134
122,1,60170310
123,1,60693620
124,0,60812156
125,0,61009693
126,0,61058125
127,1,63694299
128,0,64391053
129,1,65728785
130,1,66985703
131,1,67174155
132,0,67334153
133,1,67419174
134,1,67893728
135,0,68155206
136,0,68312666
137,1,69798644
138,1,69975440
139,0,70437113
140,0,70704058
141,0,71335247
142,0,72863986
143,0,73290521
144,0,73345460
145,0,73449088
146,0,73810512
147,0,74387176
148,0,74465238
149,0,75532996
150,0,75550046
151,0,75579667
152,0,75580927
153,0,76095078
154,1,76722863
155,0,77191956
156,0,77243713
157,0,77676431
158,0,78204806
159,0,79127636
160,0,80065809
161,1,80773433
162,1,80858678
163,0,81624259
164,0,81634288
165,0,81787878
166,0,82191951
167,0,82597614
168,0,82817855
169,0,84714639
170,1,87188976
171,0,87751437
172,0,88413037
173,0,88445360
174,0,88570131
175,0,88570186
176,0,88816010
177,0,89780539
178,0,89815406
179,0,91492969
180,0,92064865
181,0,92225401
182,1,92744081
183,0,93415028
184,1,93891327
185,0,94745942
186,1,95064464
187,0,95830301
188,1,96607065
189,0,96634717
190,0,96944855
191,0,97608042
192,0,97804203
193,0,97851954
194,0,98585129
195,0,98833495
196,1,99167223
197,0,100087852
198,0,100139076
199,0,103077869
200,0,103080899
201,0,103084958
202,0,103084991
203,0,103085037
204,1,103377083
205,0,103726954
206,0,104348409
207,0,104401149
208,0,104889355
209,0,105010523
210,0,105423509
211,0,105502732
212,0,106190383
213,1,106220220
214,0,107465607
215,0,108109432
216,1,108623198
217,0,109191550
218,0,109274273
219,0,109615044
220,0,111366202
221,1,111481874
222,0,112183680
223,0,112609098
224,1,112626218
225,0,113555624
226,0,115224407
227,0,117100515
228,0,117147315
229,0,117182811
230,0,117236886
231,0,117598726
232,0,118363225
233,1,118564556
234,1,118906786
235,0,119770283
236,0,120530560
237,1,120747112
238,0,120747453
239,0,124697613
240,0,124718391
241,1,124921997
242,0,124955549
243,1,125889606
244,1,126439124
245,0,127437933
246,0,128293433
247,1,128425498
248,0,129431112
249,0,129708642
250,0,132405492
251,1,132742040
252,0,132861470
253,0,132901185
254,0,133024883
255,1,133092238
256,0,134486271
257,0,134721483
258,0,136470670
259,1,137710159
260,0,138448382
261,0,138560720
262,0,139370584
263,0,139920679
264,1,141793322
265,0,142350517
266,1,142558137
267,0,142622200
268,1,142923351
269,0,143432154
270,0,143474559
271,0,143593512
272,0,144305524
273,0,144394163
274,0,144394191
275,0,144394248
276,0,144394568
277,0,144655087
278,0,145021483
279,0,145206776
280,0,145551500
281,0,147835423
282,0,148921289
283,1,148978571
284,0,149046633
285,0,149136786
286,0,149440097
287,1,150627319
288,1,151091226
289,0,151278740
290,0,151663098
291,1,152227317
292,0,152356543
293,0,152877363
294,0,153993380
295,0,154202183
296,0,154230445
297,0,155234083
298,1,155765551
299,0,156188504
300,1,156432521
301,0,157134720
302,0,157250446
303,0,159290399
304,0,160107292
305,0,160422035
306,1,162018982
307,0,163206403
308,0,163331810
309,0,163863528
310,0,164739582
311,0,164880284
312,0,165416402
313,1,166645489
314,0,168519576
315,0,169604525
316,0,170284036
317,0,170617788
318,0,170688886
319,0,170690210
320,1,170923812
321,0,170950744
322,1,171969245
323,1,171969913
324,1,173678026
325,0,174264638
326,0,174694805
327,0,174744236
328,1,174901538
329,1,175316150
330,0,175660323
331,0,176955358
332,0,177594960
333,0,178078658
334,0,178248153
335,0,178649285
336,0,180046261
337,0,180307787
338,1,181113581
339,1,181311976
340,0,181370149
341,0,181422766
342,0,181757688
343,0,181757695
344,1,183513202
345,0,183608931
346,0,183748712
347,1,187130708
348,0,189211591
349,1,189466839
350,0,189659078
351,0,191022356
352,0,191376246
353,0,192179510
354,1,193362298
355,1,193383762
356,1,193666119
357,0,195306380
358,0,195306830
359,1,197097693
360,1,197240482
361,0,197415168
362,0,199591089
363,0,199832217
364,0,200133377
365,1,200253725
366,0,200674967
367,0,202658242
368,0,204423468
369,0,204436956
370,1,205206308
371,1,205464895
372,0,205601803
373,0,205639790
374,1,206332949
375,0,207724223
376,1,208047718
377,0,208114344
378,0,208186396
379,1,209754665
380,0,210452927
381,0,211091676
382,0,211129630
383,0,211181807
384,1,211765482
385,0,212762528
386,0,212821088
387,0,213035537
388,0,213406283
389,0,213966314
390,1,214121224
391,1,214389146
392,0,214917432
393,0,214918678
394,0,215764906
395,0,215881076
396,0,216553811
397,1,219376387
398,0,219877864
399,0,221857470
400,0,222762461
401,1,223246750
402,1,223401236
403,0,223538524
404,1,223737803
405,1,223738032
406,1,224357373
407,0,226252146
408,0,226882514
409,0,226917465
410,0,226945815
411,0,227324453
412,1,227886374
413,0,230116736
414,0,230502490
415,0,230764370
416,1,231271509
417,0,231273544
418,0,231273606
419,0,231275901
420,1,231694653
421,0,233295999
422,0,233975656
423,0,234657516
424,0,235188584
425,0,236333983
426,0,236964152
427,1,237370793
428,0,237953690
429,0,238174454
430,0,238176872
431,0,238695193
432,1,239414266
433,1,239697668
434,0,240318054
435,0,241707873
436,0,242179380
437,0,242402213
438,0,243205985
439,1,244237970
440,0,244421561
441,0,244650635
442,0,244784779
443,0,245162490
444,1,246131670
445,0,246857356
446,1,246920545
447,0,248511785
448,0,248671028
449,1,248767759
450,0,248816423
451,0,248983587
452,0,249960086
453,0,250242916
454,0,250495972
455,0,250785507
456,0,250839934
457,0,251009464
458,0,251630521
459,0,252777969
