,cat,id
0,0,468917
1,0,1443483
2,0,1608331
3,1,2075041
4,1,2230705
5,1,4366301
6,0,4628713
7,1,5517488
8,1,7641582
9,1,7904301
10,1,8158112
11,0,8614117
12,1,9289485
13,0,9501573
14,0,10320949
15,0,11124401
16,1,11365845
17,1,11532757
18,1,12438567
19,1,12991086
20,0,14310666
21,1,14910497
22,1,15630277
23,0,15702465
24,1,15705382
25,1,15970403
26,0,16236052
27,0,17968579
28,1,18066965
29,1,19643869
30,1,20429285
31,0,20594486
32,1,20939339
33,1,24411397
34,1,24505224
35,1,24515483
36,1,24756663
37,1,24896476
38,0,26018823
39,0,26065083
40,1,26266657
41,1,28682583
42,1,29957778
43,1,29968002
44,0,31433271
45,0,32290051
46,1,32295839
47,0,32914753
48,1,33426956
49,1,33701654
50,1,33939152
51,1,35243696
52,1,35263360
53,1,35594343
54,0,36006031
55,1,36100415
56,1,36261065
57,0,37072458
58,0,37627983
59,1,37744591
60,1,38896138
61,1,39400281
62,1,39513413
63,1,39525666
64,1,42101851
65,0,42170968
66,1,42371423
67,0,43802279
68,1,44583365
69,1,44825763
70,0,45252527
71,1,45260266
72,1,46117883
73,0,46352496
74,1,46390475
75,1,46563235
76,1,46587705
77,0,46716210
78,0,46727011
79,1,47054349
80,1,48308844
81,0,49218359
82,1,49378229
83,1,49450312
84,0,49958272
85,0,50152213
86,1,50220108
87,0,50282135
88,1,50907011
89,0,50982939
90,1,52590142
91,1,52909747
92,1,53539369
93,1,54107519
94,1,54245854
95,1,54676974
96,0,56788432
97,1,57551932
98,1,58236326
99,0,59106623
100,1,59186211
101,1,59199704
102,0,59277059
103,1,59591787
104,1,59947076
105,1,60143770
106,1,61297786
107,1,61692795
108,1,61791811
109,1,62632055
110,0,63257565
111,1,63677208
112,1,64137970
113,0,64159354
114,1,64239510
115,1,65352517
116,1,66578633
117,0,66618955
118,1,66747733
119,0,67404166
120,0,69540395
121,0,70511513
122,1,72202324
123,1,72457262
124,1,72470419
125,1,73199521
126,1,73660236
127,1,74042496
128,0,74497542
129,1,75098735
130,1,75192620
131,1,75587985
132,0,75724797
133,1,75891345
134,1,75893873
135,1,76068631
136,1,76219943
137,1,77667523
138,0,78081682
139,1,78541355
140,1,80042755
141,1,81063032
142,1,81682436
143,1,83537821
144,1,84206942
145,1,85554275
146,1,85594927
147,0,86086750
148,1,87333905
149,0,88302462
150,0,88329966
151,1,88350152
152,0,88761249
153,0,90298043
154,0,90607797
155,1,91001062
156,1,91167881
157,1,91483400
158,0,91540306
159,1,92031073
160,1,95279885
161,1,96316641
162,0,96535198
163,1,97470157
164,0,98363666
165,1,99227801
166,1,99780092
167,1,99802887
168,1,100492715
169,1,102397878
170,0,102555173
171,1,102658757
172,0,102726869
173,1,103860265
174,1,105019110
175,0,106183205
176,1,108191516
177,1,108736590
178,1,110036099
179,1,111403459
180,1,111629249
181,0,111903547
182,1,111914003
183,1,112527961
184,1,113112991
185,1,113205419
186,0,113930841
187,1,114118239
188,0,115605967
189,1,116116781
190,1,117362719
191,1,117938319
192,1,118186718
193,0,118517527
194,1,118554978
195,1,119661561
196,1,120365557
197,0,120543321
198,1,120848739
199,1,120854175
200,0,121042258
201,1,121298137
202,1,121659893
203,1,122105453
204,1,122299727
205,1,122604219
206,1,122691796
207,0,123062422
208,1,124225814
209,1,125911943
210,1,126578318
211,0,126954977
212,1,128814920
213,0,129061760
214,1,129542009
215,0,129949765
216,1,130584211
217,1,131552414
218,1,131624422
219,1,132235344
220,1,132305200
221,0,132481245
222,1,132583804
223,1,132890420
224,1,133909504
225,0,133943110
226,0,134569253
227,1,134873605
228,1,135762873
229,1,136042904
230,1,136568228
231,1,137368033
232,1,138550171
233,0,139198597
234,1,139358113
235,1,142985123
236,1,143032038
237,1,143562449
238,0,143956764
239,1,144869919
240,1,145063133
241,0,145490850
242,1,146184527
243,1,146347229
244,1,146754362
245,0,148092258
246,1,148283967
247,0,148693635
248,1,150036171
249,1,151331406
250,1,152338495
251,0,153418938
252,0,154022557
253,1,155100305
254,1,155746638
255,0,155864121
256,1,157080759
257,1,157538919
258,0,158550542
259,1,159068005
260,1,159518252
261,1,159695073
262,1,159704665
263,0,159710887
264,0,160043618
265,0,160693302
266,0,160762529
267,1,162042639
268,0,162078857
269,1,163197183
270,1,163564237
271,1,165292249
272,0,165333766
273,1,165397291
274,1,165460911
275,1,166231808
276,1,166788479
277,0,167559095
278,1,167926560
279,1,168068629
280,1,169784475
281,1,171423709
282,1,173047252
283,1,173075614
284,0,173237790
285,0,173889374
286,1,175722505
287,0,175908094
288,0,176099329
289,0,176566414
290,1,176754157
291,1,177485583
292,1,177942538
293,1,177987917
294,0,178684216
295,1,178688951
296,1,179036913
297,1,179298338
298,1,179301608
299,1,180007514
300,1,181009481
301,1,181517638
302,1,182249630
303,1,182717603
304,0,183124832
305,1,183174237
306,1,183626622
307,0,184119802
308,0,184517995
309,1,184561309
310,0,184614291
311,1,185454437
312,0,185775223
313,1,185959527
314,1,186302988
315,1,186530518
316,0,187143631
317,1,187834396
318,1,188243906
319,1,189096196
320,1,190178993
321,1,190538277
322,1,190737325
323,1,190760802
324,1,190931988
325,0,192452411
326,1,192886817
327,0,193002807
328,0,193700989
329,1,194495669
330,1,195001895
331,1,195526908
332,0,195923671
333,1,198762172
334,1,198859528
335,1,199217323
336,0,202305577
337,1,203013931
338,0,203944316
339,1,204397908
340,0,205770860
341,1,207360558
342,1,208208156
343,1,208456258
344,1,208693622
345,1,209485973
346,1,209697436
347,1,210061029
348,1,210301356
349,0,212578861
350,1,213432000
351,1,214128506
352,0,214266189
353,1,215726160
354,0,215999381
355,1,216255801
356,1,216693082
357,0,217093095
358,1,217347236
359,1,217548826
360,1,217667100
361,1,217787772
362,1,218484397
363,1,218572845
364,0,218862381
365,1,218942333
366,0,219091381
367,1,219303874
368,1,219304970
369,1,219396538
370,1,219598749
371,1,219605093
372,1,220482302
373,1,220607081
374,1,220791373
375,1,220841807
376,1,223206824
377,1,223222195
378,1,223238872
379,1,223897460
380,0,224486398
381,1,225632530
382,0,226538829
383,0,227035239
384,1,227824896
385,1,228117498
386,0,228396317
387,1,229250348
388,1,230703086
389,0,231491147
390,1,232031571
391,1,232188641
392,1,233205566
393,1,233490995
394,1,233888569
395,0,234363504
396,1,234379165
397,1,234483574
398,1,234591571
399,0,236723334
400,1,237271075
401,1,237918831
402,1,238024931
403,0,238348396
404,0,239084149
405,1,240517364
406,1,240518837
407,0,241071177
408,1,241642370
409,1,242220404
410,1,243410392
411,0,243598035
412,1,244464898
413,0,244626568
414,0,244720495
415,0,244970865
416,1,246680874
417,0,247837203
418,1,248356144
419,1,249342702
420,1,249419741
421,0,250052120
422,1,250928599
423,0,251096814
424,0,251281036
425,0,251308500
426,0,251506953
427,0,251798727
428,0,251990234
429,1,252002312
430,0,252458779
431,1,252664029
432,1,252716717
433,0,252762417
434,1,252819174
435,1,253157089
436,1,253286592
437,1,254020450
438,1,254088988
439,0,254342839
440,1,254764080
441,1,255161297
442,0,255405624
443,1,256224169
444,1,256438094
445,1,256462383
446,1,256590718
447,1,256649848
448,0,256706834
449,1,258006539
450,1,258194114
451,1,258392037
452,1,258605434
453,1,258803615
454,1,258821019
455,1,258821373
456,1,258821770
457,1,259234900
458,1,259387506
459,1,259646084
460,1,259987525
461,1,260098345
462,1,260203554
463,0,263206682
464,1,264029296
465,0,264074411
466,1,264393978
467,1,265085155
468,1,266052251
469,1,267916931
470,1,267930606
471,0,267974444
472,1,268158104
473,0,269023428
474,0,269139076
475,1,269324114
476,0,269515241
477,1,270830515
478,0,270921452
479,0,271459475
480,1,273869389
481,1,275842484
482,1,277573680
483,1,277995299
484,1,278911671
485,0,279601879
486,1,280748350
487,1,281050065
488,0,281073215
489,1,281408056
490,1,282879545
491,1,282890621
492,1,282927475
493,1,284610201
494,0,284748912
495,0,284983976
496,1,286214579
497,1,286239432
498,1,287117426
499,1,287563603
500,0,287660447
501,1,287852759
502,1,288217590
503,1,288479987
504,0,289015815
505,1,289340128
506,1,289987876
507,1,290196952
508,1,291036572
509,1,291682680
510,1,291726300
511,1,292281267
512,1,292429423
513,1,293088146
514,1,293892987
515,1,293897372
516,0,295426082
517,1,296061777
518,1,296510139
519,1,297232747
520,1,297578755
521,0,297894461
522,1,298004310
523,0,299161681
524,0,299243960
525,1,299412622
526,1,299615395
527,1,300238453
528,1,301339916
529,1,301916416
530,1,302351661
531,1,302825058
532,0,302967932
533,0,303509819
534,0,305065362
535,1,305447684
536,1,306440560
537,0,306693361
538,0,307074189
539,0,308137206
540,0,308413768
541,1,309441942
542,1,309563687
543,0,309954341
544,1,312085940
545,1,313180062
546,1,313277058
547,1,314075328
548,1,314113281
549,0,314471011
550,1,314554287
551,1,315660189
552,1,315660235
553,0,317174954
554,1,318357909
555,0,319119023
556,1,319307093
557,0,319587746
558,0,319698935
559,1,320888044
560,0,321401309
561,0,322514979
562,0,323456437
563,0,324076351
564,0,325188239
565,1,325705331
566,1,325969763
567,1,326760018
568,0,327233651
569,1,327266120
570,1,328985178
571,1,329330462
572,0,330125269
573,1,330668386
574,1,330821423
575,1,331339621
576,1,331737972
577,1,332542692
578,1,332730652
579,0,333734681
580,1,333767351
581,1,333872897
582,1,333952435
583,0,334346682
584,0,334772973
585,0,335511195
586,0,336559507
587,0,336570279
588,0,337161860
589,1,337214091
590,1,337402532
591,1,338359060
592,0,338667669
593,0,339444997
594,1,339529797
595,1,340398265
596,1,340527895
597,1,341794800
598,0,342309838
599,0,343803066
600,1,343811001
601,1,344933824
602,1,345820061
603,1,346564572
604,1,346652440
605,1,347488767
606,1,347850229
607,1,348575171
608,0,349147052
609,1,349351467
610,1,349744227
611,1,350452222
612,0,350730106
613,1,351337157
614,1,351342132
615,1,353213078
616,1,353386573
617,1,353856656
618,1,354237135
619,1,355719895
620,0,357555324
621,0,357555835
622,1,357677811
623,1,359493891
624,1,360598293
625,1,360770009
626,1,360824099
627,1,361473303
628,0,362836148
629,1,363128630
630,1,365163636
631,0,365414645
632,1,365943044
633,0,366337152
634,1,366535805
635,1,367104922
636,0,367201663
637,1,367716398
638,0,367980822
639,1,368314847
640,1,368808082
641,1,369119844
642,1,369612442
643,1,370000215
644,0,370034771
645,1,370562307
646,1,371206800
647,1,372621192
648,1,373549494
649,0,373581149
650,1,373668692
651,1,373963406
652,1,374262650
653,1,374607757
654,0,375283899
655,0,376295223
656,1,376634384
657,1,377204116
658,0,377652235
659,1,377861118
660,1,378020959
661,1,378629632
662,0,379316613
663,0,379984463
664,1,380073159
665,1,380784645
666,1,381179021
667,1,382004711
668,1,382711514
669,1,383469655
670,1,383769131
671,1,384284157
672,1,385573397
673,1,387510488
674,0,387745135
675,1,388107202
676,0,388221281
677,1,388818090
678,1,388902159
679,0,389011036
680,1,389305858
681,1,390357551
682,0,390437179
683,0,390483719
684,0,391739488
685,1,393047494
686,1,393184857
687,1,393270433
688,1,394749184
689,0,395865294
690,1,396053423
691,0,397456035
692,1,401883447
693,0,402509181
694,1,402863132
695,0,404458493
696,0,404512959
697,1,404582552
698,1,404772376
699,1,405028274
700,1,405045340
701,0,405049200
702,0,405104759
703,1,406289015
704,1,408222643
705,1,408950975
706,1,408962616
707,1,409276802
708,1,409570530
709,1,409857883
710,1,410607493
711,1,411196080
712,1,412297240
713,1,412405149
714,1,412428379
715,1,412428850
716,1,412883657
717,1,413281452
718,1,413426449
719,0,414191155
720,1,414963609
721,0,415179184
722,0,415761116
723,1,416273688
724,1,416559355
725,0,417336808
726,0,417530099
727,0,418076304
728,1,418795334
729,0,419510526
730,1,419794785
731,0,419818973
732,1,420677315
733,1,421133001
734,1,421402325
735,1,422639529
736,1,423720371
737,1,428836052
738,0,428942292
739,0,436636359
740,1,437769099
741,1,438297552
742,1,439253885
743,1,439439031
744,1,444093782
745,1,447532311
746,1,448194457
747,0,448326718
748,1,448702395
749,0,450141531
750,1,450175355
751,1,450439643
752,1,451613345
753,1,452478836
754,0,454678767
755,1,457637454
756,1,457744016
757,1,461496646
758,1,461535810
759,0,461888865
760,1,463381112
761,1,465646049
762,1,466104571
763,1,469483634
764,0,470780903
765,1,471674668
766,0,473028388
767,1,474164746
768,0,477179008
769,0,477762966
770,1,479618891
771,1,480033466
772,0,481918693
773,1,484667115
774,1,485585633
775,1,489355377
776,1,490317522
777,0,490447004
778,0,491266682
779,0,491593847
780,1,491959687
781,0,494059256
782,0,494283880
783,1,495341828
784,0,495438579
785,1,498022254
786,0,498110749
787,0,498844407
788,0,498870335
789,1,499069968
790,0,499633052
791,1,501016691
792,1,503155222
793,1,503156497
794,0,503617413
795,0,505331925
796,1,505771206
797,0,508031944
798,1,508940655
799,0,509118554
800,1,510269000
801,0,512126227
802,1,512160059
803,0,513029118
804,1,513622812
805,0,513634533
806,1,514527813
807,1,518742109
808,1,519463937
809,1,522169005
810,1,522825978
811,1,522999536
812,0,524572371
813,1,526578016
814,1,526793864
815,0,526990729
816,1,527015079
817,1,529197642
818,0,531813331
819,1,532131070
820,1,532422659
821,0,532423422
822,1,532426301
823,1,532481445
824,1,533665703
825,0,534451720
826,0,534492366
827,0,534889127
828,0,536148597
829,1,536498578
830,1,536698918
831,1,536796281
832,1,540311505
833,1,541633032
834,0,545295665
835,0,546722312
836,1,548273618
837,1,549180359
838,1,549280955
839,1,549427568
840,1,549714545
841,1,552150970
842,1,552906935
843,0,553433268
844,1,554448746
845,1,555270144
846,1,556818304
847,1,556846899
848,1,557286910
849,1,557715143
850,1,559269813
851,0,559440305
852,0,559923642
853,0,560129394
854,1,560577611
855,1,560907802
856,1,561303572
857,0,563188611
858,0,563880689
859,1,564959526
860,1,566853388
861,1,566899782
862,1,567014754
863,1,567153862
864,1,567157962
865,1,567348532
866,1,571801354
867,0,572055378
868,0,575150729
869,0,575459158
870,1,575680403
871,0,576424329
872,1,580709976
873,1,580711766
874,0,581089330
875,1,582262119
876,0,583075507
877,1,588351221
878,1,588439843
879,0,588661866
880,1,596083355
881,0,597866918
882,1,598137659
883,1,598271702
884,1,598320095
885,1,598413893
886,1,598718654
887,1,598721399
888,0,599986111
889,1,607445521
890,1,608088468
891,0,611169686
892,0,611901008
893,0,612897168
894,0,613285157
895,0,614560154
896,1,615186245
897,1,617614676
898,0,617677132
899,1,618069156
900,1,619419229
901,1,619432053
902,1,619970715
903,0,620059335
904,0,621991906
905,0,623324084
906,1,623849863
907,1,627589669
908,1,627904352
909,1,628286393
910,0,628941554
911,1,629449203
912,1,629467942
913,1,629484555
914,1,633119728
915,0,633661059
916,1,635391812
917,0,636189563
918,0,636292740
919,0,636313438
920,0,637600950
921,0,637954547
922,1,639073006
923,1,639483314
924,1,639986539
925,1,640204146
926,1,642423216
927,1,642801241
928,1,645387099
929,0,645697409
930,1,647954711
931,1,648063399
932,1,648676459
933,0,648992405
934,1,649613190
935,1,651167077
936,1,651168215
937,1,651860232
938,1,664703371
939,1,665053778
940,1,665607269
941,0,666587936
942,0,667151349
943,0,668419366
944,0,669608082
945,1,671911580
946,1,678254789
947,1,680342562
948,1,680404328
949,0,683631914
950,0,685046257
951,1,685800805
952,0,685820554
953,1,686610435
954,1,686907959
955,1,687690586
956,1,687835073
957,1,687886348
958,1,691270034
959,1,691473880
960,1,694380430
961,0,695929218
962,1,697134462
963,1,697385564
964,1,697403894
965,0,698718316
966,1,699677567
967,1,699792635
968,1,699829946
969,1,699955030
970,1,700061473
971,0,700061923
972,1,700294065
973,0,700991201
974,0,701788757
975,0,702414505
976,1,703349539
977,1,704927290
978,0,707409756
979,0,708303028
980,0,712981062
981,0,714837078
982,1,715060208
983,1,715088642
984,1,715984302
985,0,716139856
986,0,720512413
987,1,720637385
988,1,723170784
989,1,723187748
990,0,723206359
991,0,726171757
992,1,729087242
993,1,729122606
994,1,730598697
995,1,731143804
996,1,732748224
997,1,734582304
998,1,735243239
999,1,735834525
1000,0,737456154
1001,0,737587726
1002,1,741862760
1003,0,742970681
1004,1,743986822
1005,0,744820543
1006,0,747982293
1007,1,749245836
1008,0,749372253
1009,0,751440739
1010,1,751996483
1011,1,753375730
1012,1,753971297
1013,1,754662652
1014,1,755276226
1015,1,755606424
1016,1,757803127
1017,0,757888922
1018,1,758264412
1019,1,766873093
1020,1,767702980
1021,1,767856623
1022,0,767941986
1023,0,768154890
1024,1,769084978
1025,0,772743540
1026,1,773154785
1027,1,775702643
1028,0,778020986
1029,1,781533696
1030,0,782334713
1031,1,782930226
1032,1,792834727
1033,0,793077848
1034,1,793142444
1035,1,793774036
1036,1,795927494
1037,0,797659899
1038,1,797806052
1039,0,797940787
1040,1,799035092
1041,0,799167468
1042,1,799717362
1043,0,799784919
1044,1,800892040
1045,0,802193887
1046,0,802715426
1047,1,804168558
1048,1,804668465
1049,1,804701051
1050,1,807272550
1051,0,808089699
1052,0,808394627
1053,1,808940018
1054,1,809104280
1055,1,809215215
1056,1,809309441
1057,0,811384533
1058,1,812191566
1059,0,812321115
1060,0,813071400
1061,1,814061224
1062,1,814454224
1063,0,817631003
1064,0,818704588
1065,1,819303575
1066,1,821294067
1067,1,822425396
1068,0,822617188
1069,0,822823625
1070,1,823054280
1071,1,823462616
1072,0,824628063
1073,0,825502756
1074,1,826196267
1075,1,829600063
1076,1,830387518
1077,1,831894799
1078,1,832858101
1079,0,834564257
1080,0,834941245
1081,0,836535696
1082,1,836908496
1083,1,837628794
1084,1,837963825
1085,1,837988856
1086,1,838195896
1087,0,838199389
1088,0,838210639
1089,1,838401199
1090,0,840594426
1091,1,840657117
1092,0,841227461
1093,1,842303006
1094,1,842785937
1095,1,843128140
1096,1,848515758
1097,0,849123143
1098,0,849148368
1099,1,849626939
1100,1,850102250
1101,1,850181761
1102,1,850249518
1103,0,850930256
1104,0,851053955
1105,0,851874989
1106,1,852304969
1107,1,853092865
1108,1,853224487
1109,1,855193722
1110,1,855376902
1111,1,855407923
1112,1,856278497
1113,0,857323254
1114,1,859916691
1115,0,861679752
1116,1,862375874
1117,1,863285683
1118,1,863966733
1119,1,867994988
1120,1,868239156
1121,0,870779197
1122,1,871043597
1123,1,871379320
1124,1,873016902
1125,0,874369436
1126,1,877023303
1127,1,880175488
1128,0,881445575
1129,1,882899520
1130,0,884417303
1131,1,884689412
1132,0,885052175
1133,0,887207873
1134,1,887744527
1135,0,887839646
1136,0,888819276
1137,0,892486234
1138,1,892515323
1139,1,892551607
1140,1,892685499
1141,1,893603415
1142,1,894734318
1143,1,894889127
1144,0,895906394
1145,1,896189725
1146,1,896539526
1147,1,896889405
1148,1,897235585
1149,1,897263725
1150,1,897283904
1151,1,897859384
1152,1,897863138
1153,1,898159983
1154,1,899175984
1155,1,900414845
1156,1,901977909
1157,1,902055029
1158,1,904549332
1159,0,906515852
1160,0,907293863
1161,1,907407953
1162,1,908035993
1163,1,908671707
1164,0,910958762
1165,0,912685159
1166,1,912902339
1167,0,913834296
1168,1,914221647
1169,1,916164557
1170,1,916388106
1171,1,916808084
1172,1,917076085
1173,1,917696827
1174,0,917724585
1175,0,918758833
1176,0,920018418
1177,1,920323464
1178,1,921346926
1179,0,921745218
1180,1,922454658
1181,1,927346510
1182,1,928957047
1183,1,929982977
1184,0,931585624
1185,1,931759559
1186,1,933347751
1187,0,934057837
1188,1,934852140
1189,0,935859660
1190,1,935871939
1191,1,936245662
1192,1,938805929
1193,0,939155531
1194,0,939996031
1195,1,941367652
1196,0,942428009
1197,1,942470838
1198,0,944059152
1199,0,945259497
1200,1,945989198
1201,1,952282279
1202,1,952620715
1203,0,953623535
1204,0,953676028
1205,1,956290070
1206,1,957776868
1207,0,958494136
1208,1,958630977
1209,1,961046977
