,cat,id
0,1,915169
1,1,1758344
2,2,2039367
3,2,3845062
4,0,4483977
5,1,5236746
6,1,5694946
7,0,5995001
8,1,6257087
9,1,6402275
10,0,9745844
11,3,10220101
12,1,10484343
13,2,11629343
14,1,12275726
15,3,12913867
16,3,16654713
17,1,17026455
18,1,17093488
19,2,17757341
20,3,17764733
21,2,17977480
22,0,18027733
23,1,18543154
24,1,19402899
25,3,19818502
26,0,20691690
27,2,21591120
28,0,22832069
29,0,23239051
30,2,23607619
31,0,23939624
32,0,24074211
33,2,25772422
34,3,26576677
35,0,29655505
36,3,31077949
37,0,31355781
38,1,32229741
39,1,32919257
40,1,33173677
41,2,33185562
42,1,33303090
43,1,33354997
44,1,33663772
45,2,36119889
46,2,36295038
47,1,36612287
48,1,38119061
49,1,38386362
50,1,38875643
51,2,38903521
52,2,40041199
53,1,40736950
54,1,40771276
55,1,40970334
56,1,41123258
57,3,42482414
58,2,43650149
59,1,44444841
60,1,46056157
61,0,47447207
62,1,47697840
63,1,47698448
64,1,48326568
65,3,48416970
66,3,48491194
67,2,48880425
68,2,49156316
69,3,50273624
70,1,50321113
71,0,50407627
72,1,50743700
73,0,51984492
74,3,52261570
75,1,53843489
76,1,53846174
77,1,53847529
78,1,53852757
79,1,53852979
80,1,53857032
81,0,54204898
82,1,54592096
83,1,54751587
84,2,56113640
85,2,56129772
86,1,56289255
87,1,57027454
88,0,57452322
89,2,57579783
90,1,57691290
91,0,57797844
92,0,58488787
93,1,58988884
94,1,59631206
95,3,61351066
96,0,61439887
97,0,61457893
98,1,62053209
99,1,62770251
100,2,63022814
101,0,63364893
102,0,63429569
103,1,63527834
104,3,64372222
105,3,65380353
106,0,65431740
107,3,65744975
108,1,65890303
109,2,67885048
110,1,68021779
111,0,68092082
112,1,68168719
113,0,68752351
114,0,69194932
115,2,69206199
116,1,70522698
117,2,71790785
118,1,72884331
119,1,73326102
120,1,73470981
121,0,73515724
122,0,73899441
123,3,74231890
124,1,74820677
125,2,75670571
126,0,76138444
127,0,76758676
128,1,77341885
129,0,77473377
130,3,78543081
131,0,79305594
132,3,80019509
133,3,80149130
134,1,81569994
135,1,82376093
136,1,82667867
137,0,82896693
138,1,82912570
139,1,83150146
140,1,83324870
141,0,83673881
142,0,83758693
143,2,84667777
144,0,86428849
145,3,86816082
146,1,87751240
147,3,87953795
148,0,88926074
149,3,89014528
150,0,89299632
151,1,89361985
152,2,90420259
153,1,90529640
154,0,90616933
155,2,90630791
156,0,90792745
157,1,90837129
158,1,90849213
159,1,92226937
160,1,92227095
161,2,92294187
162,0,93132800
163,0,93840864
164,0,95284818
165,1,95497728
166,3,95635217
167,3,95825894
168,1,96802288
169,1,98130189
170,0,98456701
171,1,99101722
172,0,99802809
173,3,99889728
174,1,100402199
175,1,102218405
176,1,102922784
177,0,103214997
178,1,104326144
179,1,104642245
180,0,104851581
181,2,105371173
182,1,105680525
183,1,105683146
184,1,106386693
185,0,106944899
186,1,107616077
187,0,108070732
188,1,108089525
189,0,108547293
190,0,108633354
191,3,109069531
192,0,109442860
193,3,110286458
194,0,110832728
195,1,110980117
196,3,113390345
197,1,114454690
198,2,114577158
199,0,115183414
200,1,115817513
201,0,116270658
202,1,117088784
203,0,117708488
204,1,117887906
205,0,118760162
206,0,118789676
207,0,118866199
208,0,118875620
209,0,121192130
210,1,122358896
211,0,123059731
212,3,123143468
213,1,123330273
214,0,124042857
215,3,124158486
216,0,124736866
217,0,126012477
218,1,127176864
219,0,128246725
220,3,128545848
221,1,129847661
222,2,131438343
223,0,132292245
224,1,132356019
225,0,132461273
226,0,132480652
227,1,133165216
228,0,133479589
229,0,133857893
230,1,133870381
231,3,134217757
232,3,134974285
