,cat,id
0,0,22677
1,0,393493
2,0,1214483
3,1,1325069
4,1,1622105
5,0,1684251
6,2,1693993
7,0,1695217
8,1,1711286
9,2,2569015
10,2,3004407
11,0,3453516
12,1,3555705
13,0,4673699
14,2,4691918
15,0,6221612
16,1,6895729
17,2,7379676
18,0,7669201
19,1,8229747
20,1,9197456
21,1,9216331
22,0,11153093
23,0,11225940
24,0,11891846
25,0,12149922
26,0,12329688
27,0,13107569
28,1,13445060
29,1,13519025
30,1,13526183
31,1,14116627
32,0,14449123
33,2,15544997
34,0,15657346
35,0,15923256
36,1,15931840
37,0,17250374
38,0,19180751
39,1,19232578
40,1,21756215
41,1,22683587
42,1,22913759
43,1,23848379
44,0,24180658
45,1,24497743
46,1,24847651
47,0,25577618
48,1,26471862
49,0,26634153
50,2,26838174
51,1,27068494
52,0,27651774
53,1,27742697
54,2,28142924
55,1,28593505
56,0,28680567
57,2,29143077
58,2,30514375
59,0,32169297
60,0,33442119
61,2,33502500
62,2,34071673
63,1,34080033
64,1,34504025
65,1,34799901
66,1,34824445
67,1,35103236
68,1,36126735
69,1,36902320
70,1,37271123
71,1,37656559
72,1,39201523
73,1,39536859
74,1,40404498
75,1,40456472
76,1,40549140
77,0,40565569
78,0,40657543
79,2,41420940
80,2,43734438
81,1,45951188
82,1,46424418
83,2,47268327
84,0,47803597
85,1,48054982
86,0,48832196
87,1,50330185
88,2,50411514
89,1,50504125
90,0,50841246
91,1,52234392
92,1,53456821
93,2,53467635
94,2,53863556
95,0,54283829
96,1,54388211
97,1,54537198
98,2,54732819
99,1,54771808
100,1,55410075
101,1,55586405
102,2,56858924
103,0,57337554
104,1,57524066
105,0,57854236
106,1,58239253
107,1,61071252
108,1,61182759
109,0,61366195
110,1,62780067
111,0,62822270
112,0,65731228
113,2,65932050
114,0,66296879
115,0,68681042
116,0,69173211
117,0,73773343
118,0,74476767
119,1,75103294
120,1,75721303
121,1,75727562
122,0,76030254
123,1,78144480
124,1,79449166
125,1,80165550
126,0,80295183
127,2,80403285
128,0,81972944
129,1,82504746
130,0,82610062
131,0,82708724
132,1,82864751
133,1,83721339
134,1,84258551
135,2,88393683
136,0,88632103
137,0,88935862
138,1,89246442
139,0,89582125
140,0,89779158
141,0,89947741
142,0,90835351
143,0,91675436
144,2,92484886
145,1,93778159
146,2,93924718
147,1,93960173
148,0,94215439
149,1,94420832
150,0,95028652
151,0,95142174
152,1,95860019
153,0,96354845
154,0,97146918
155,0,97212149
156,0,97212639
157,0,97769413
158,0,97821684
159,0,98276457
160,1,98466296
161,1,98624293
162,0,100290918
163,1,100664117
164,1,100754788
165,2,101274462
166,0,101285655
167,1,101478097
168,0,101619266
169,1,102191341
170,0,103721276
171,1,103789345
172,0,104500026
173,2,105413328
174,0,105509624
175,2,105551672
176,0,106810560
177,1,107306933
178,1,107307093
179,0,108094910
180,2,108691442
181,1,111421424
182,1,112023130
183,2,112453118
184,2,112459629
185,0,112636771
186,1,112719712
187,1,113337273
188,0,114342672
189,0,114777462
190,0,114894156
191,0,114934705
192,0,115058972
193,1,115705949
194,2,116487198
195,1,116671563
196,0,117163726
197,1,117314443
198,0,119855163
199,1,119878763
200,1,120339869
201,0,120527370
202,0,120891470
203,1,123551248
204,1,125180471
205,0,125743561
206,1,125811133
207,2,125915835
208,0,126763091
209,2,126899769
210,1,127176032
211,2,127556507
212,1,129379889
213,1,129702327
214,0,130232222
215,1,131571155
216,2,132801206
217,0,133014839
218,1,133596678
219,1,133660511
220,1,136034688
221,0,136801193
222,0,136876761
223,0,140504353
224,1,140715880
225,0,141822619
226,0,141826424
227,1,142397877
228,2,142462042
229,0,142654742
230,0,142669018
231,1,142793192
232,2,143694979
233,1,144835010
234,1,145125383
235,1,145890153
236,2,146380852
237,2,146639354
238,0,146721638
239,1,146836540
240,0,147488000
241,1,148525295
242,0,148867808
243,1,148919654
244,1,150026694
245,1,150225303
246,1,150744611
247,0,150962758
248,0,151323469
249,1,151612899
250,0,151690180
251,1,151736532
252,1,152057584
253,2,152918878
254,1,154221819
255,0,154951040
256,1,155196704
257,1,158176895
258,1,158810011
259,1,159062885
260,0,159105232
261,1,159397010
262,0,159711382
263,0,160406081
264,0,160734322
265,0,160838278
266,2,160994233
267,1,161973636
268,0,162106397
269,0,162726409
270,0,163011165
271,0,163453202
272,2,163484632
273,0,163618735
274,1,163734172
275,1,163765938
276,2,164621965
277,1,164883469
278,0,165159833
279,1,167756684
280,0,168861050
281,2,170556743
282,2,172599906
283,1,172830838
284,1,173206674
285,1,173500761
286,0,175813446
287,0,176751115
288,0,178015652
289,2,178571577
290,0,179088884
291,1,179337381
292,0,179557646
293,1,179775889
294,0,179776286
295,1,179776438
296,1,180676039
297,1,181054635
298,0,181579997
299,2,181888756
300,2,182176566
301,2,182398825
302,0,182784231
303,1,182960333
304,0,183225555
305,2,183470489
306,0,183596399
307,1,183810778
308,1,184416800
309,2,185730562
310,0,186301826
311,1,186400566
312,2,186554418
313,1,187058074
314,1,187338173
315,0,187423917
316,1,187580769
317,1,189346250
318,1,189762156
319,0,189808175
320,1,193674862
321,1,196246830
322,1,196757134
323,2,197893134
324,1,197910142
325,1,197932292
326,0,201428326
327,0,201428542
328,1,202098795
329,0,202175800
330,1,202833120
331,0,202954077
332,1,203044158
333,0,204494551
334,1,204519836
335,2,204619172
336,0,204668091
337,0,204847443
338,0,206639655
339,0,206640015
340,1,207019446
341,1,207893289
342,1,208668063
343,1,208760473
344,0,210313400
345,2,210619212
346,1,210810504
347,0,211299729
348,1,211349906
349,1,212614628
350,1,213693014
351,0,213806406
352,2,214064316
353,1,214458811
354,1,215433917
355,0,216476667
356,1,217186526
357,1,217561630
358,0,217796974
359,0,218347789
360,0,219551763
361,0,219751212
362,1,220819728
363,1,221149110
364,0,221161221
365,0,221823185
366,0,221899650
367,1,223366404
368,1,223945123
369,1,226357227
370,0,226478090
371,1,226831329
372,1,226898962
373,1,227178589
374,0,227228954
375,1,227445927
376,2,227756589
377,2,228413094
378,0,228591244
379,1,228819775
380,2,228862310
381,0,229598768
382,2,230540489
383,2,231369826
384,2,232422479
385,1,232523815
386,0,232594132
387,0,232621517
388,2,232818350
389,1,232836463
390,0,234713923
391,1,236078539
