,cat,id
0,1,55980
1,1,284414
2,0,1548429
3,0,1819183
4,0,2011254
5,0,2319591
6,0,3568026
7,1,4040423
8,1,4169028
9,1,5224083
10,0,6589955
11,0,7238546
12,0,7285614
13,0,9938164
14,1,10760817
15,2,11116153
16,0,12951678
17,0,13441363
18,0,14488036
19,0,14904469
20,0,14956724
21,0,16393189
22,2,16464292
23,1,18258670
24,1,18676480
25,2,19505172
26,0,19762618
27,1,20123285
28,0,20689150
29,2,21158098
30,1,21567755
31,0,21920562
32,1,22437087
33,1,22505381
34,0,22684503
35,0,22692492
36,0,23564871
37,1,23786009
38,0,23786111
39,0,23786743
40,0,24238612
41,1,24516435
42,0,25233247
43,0,26459873
44,0,26570394
45,1,28264966
46,0,28822723
47,0,29068489
48,0,29260719
49,0,29278198
50,0,29284871
51,0,29291731
52,0,29292398
53,0,29586127
54,0,30851504
55,0,31340101
56,0,31850926
57,1,32621659
58,1,32670888
59,2,33089715
60,0,34176740
61,2,34761694
62,0,34811798
63,1,35706822
64,0,37975061
65,0,40296356
66,2,41027952
67,0,41459195
68,0,43131170
69,0,43284655
70,1,43474857
71,0,43656579
72,0,43882136
73,0,44710122
74,0,48204500
75,1,49498202
76,0,49757456
77,1,50163850
78,0,51265890
79,0,51528329
80,0,51915031
81,0,52354694
82,2,53742252
83,0,53797451
84,0,54625232
85,0,54862551
86,0,55091628
87,0,57495154
88,1,58816430
89,1,59091184
90,0,59941591
91,0,60885429
92,0,61193533
93,1,62167851
94,0,62761605
95,0,63331252
96,1,65967470
97,0,66111696
98,0,67590731
99,0,67780614
100,1,67781037
101,0,68792416
102,1,69650886
103,2,69761971
104,0,70198741
105,1,71255332
106,0,71445456
107,0,72901410
108,0,73136271
109,1,73718899
110,0,74380898
111,0,75361519
112,0,75382935
113,0,75416643
114,1,75432159
115,0,77320941
116,2,77529587
117,2,77533792
118,0,77765696
119,0,79321993
120,0,79651588
121,0,81072053
122,0,81138487
123,1,81787558
124,0,82106479
125,1,82751255
