,cat,id
0,0,1390546
1,0,2501126
2,0,3180644
3,2,3212735
4,1,4497103
5,0,5417375
6,0,6706726
7,2,7396238
8,0,7830079
9,0,8603541
10,0,8653636
11,0,9476023
12,2,9840276
13,2,11961873
14,2,12203167
15,0,12751338
16,1,12944435
17,1,13567060
18,1,15087542
19,1,15997452
20,1,15997605
21,1,15999664
22,0,19921199
23,0,21245282
24,2,21562974
25,0,21789129
26,0,22824815
27,1,23321970
28,0,23669971
29,0,23945479
30,1,25329790
31,0,25576907
32,0,26040726
33,0,26897403
34,0,27544442
35,0,28565031
36,0,29301875
37,0,29743125
38,1,31594902
39,0,32862703
40,0,34452076
41,1,34459669
42,0,35931762
43,0,37271858
44,0,37949073
45,2,38052813
46,0,38450084
47,2,38748807
48,0,38926080
49,1,39478193
50,0,41462119
51,0,41666435
52,0,42147108
53,1,42286018
54,0,42611949
55,0,43034309
56,2,43536679
57,1,44009393
58,0,45350159
59,0,45452586
60,2,46924774
61,0,46981027
62,0,46982327
63,1,46983681
64,0,51201496
65,0,52198746
66,2,54809776
67,1,54821960
68,1,60235880
69,1,64123693
70,1,64124118
71,0,64496917
72,0,64662743
73,2,66095290
74,1,67487626
75,1,67975345
76,0,68154913
77,0,68300811
78,1,69447887
79,0,69995361
80,0,70001198
81,0,70113889
82,0,72204810
83,0,74374228
84,0,74394019
85,0,74769215
86,2,74946019
87,0,75126598
88,0,75135679
89,2,75604366
90,0,75808661
91,2,77785559
92,0,78135202
93,2,79466709
94,0,80642328
95,0,81993011
96,1,82405591
97,1,82681902
98,0,82682102
99,0,82682335
100,1,82683013
101,1,82685107
102,1,82685306
103,2,82688194
104,2,83021130
105,2,83184376
106,2,83384688
107,2,83892715
108,0,84246352
109,2,84526481
110,1,85219427
111,0,85717223
112,0,86349756
113,2,86938369
114,0,87943398
115,0,88200399
116,0,91084308
117,1,91438263
118,1,91654073
119,2,91814251
120,0,91814985
121,2,92991221
122,2,93654235
123,2,93654934
124,1,96038661
125,0,96147633
126,0,97600297
127,2,97620902
128,1,98973911
129,0,99523652
130,1,100163801
131,2,100483010
132,0,101440417
133,2,102138638
134,0,102456452
135,0,102673054
136,0,102946763
137,1,104409626
138,0,106937703
139,0,107984910
140,0,108639105
141,0,109489702
142,0,112883823
143,1,113560163
144,0,114694464
145,1,115915786
146,2,116077081
147,1,116713897
148,2,118271903
149,0,118310036
150,0,119857807
151,2,120536886
152,0,121005666
153,0,122183640
154,2,122426155
155,1,122470531
156,2,122904110
157,0,123900854
158,2,124493375
159,2,124748448
160,1,124857855
161,2,124972488
162,0,125242463
163,0,125511282
164,0,126826523
165,2,127403966
166,0,127885307
167,1,129469581
168,2,130739808
169,2,130836777
170,0,130915273
171,1,131154022
172,1,132785191
173,1,133309036
174,2,133937154
175,2,134474397
176,0,134748730
177,2,135896279
178,0,136238013
179,0,136274275
180,2,136449734
181,2,136570865
182,0,136890776
183,2,137203954
184,0,137483801
185,0,139651192
186,0,140655460
187,0,141809715
188,0,141990247
189,2,142024252
190,2,143021747
191,0,144659556
192,0,146982546
193,0,147518427
194,0,148244525
195,0,149438735
196,1,149476210
197,1,149476245
198,0,150828097
199,0,151087377
200,2,151482306
201,2,151735074
202,0,152596472
203,0,152893694
204,0,153124449
205,2,155240844
206,0,155435580
207,0,155577154
208,0,156026155
209,0,157578871
210,0,157579085
211,0,157579174
212,1,163122107
213,1,167925655
214,0,168998694
215,0,171802104
216,0,173449245
217,0,173497101
218,2,175501963
219,1,176402600
220,0,177255628
221,2,178736269
222,2,181708859
223,0,181940701
224,0,182044742
225,1,182194596
226,1,182194690
227,2,185156799
228,1,185384530
229,1,185385024
230,0,185428691
