,cat,id
0,0,1317106
1,1,2410805
2,0,2713196
3,0,4300828
4,2,4752031
5,0,5302028
6,0,6161614
7,0,6558119
8,2,7136045
9,0,7201553
10,1,10927535
11,2,11461279
12,2,11618158
13,0,12848495
14,2,13386562
15,1,14072042
16,0,17578066
17,1,18196932
18,2,18744558
19,1,19872212
20,0,19873300
21,1,20095886
22,2,20168199
23,1,20530234
24,1,21483964
25,1,21874659
26,1,23782765
27,2,24935778
28,0,26748823
29,1,27393859
30,0,27844017
31,2,28687882
32,0,29399870
33,1,29641957
34,1,30369763
35,0,32204406
36,1,35461880
37,1,36550645
38,0,36895650
39,1,37738983
40,2,38510442
41,0,38949616
42,1,39000234
43,1,39587749
44,2,39676811
45,0,39952402
46,2,42580516
47,1,42784753
48,1,43543938
49,0,45843165
50,1,46168829
51,1,46224955
52,0,46715845
53,1,46766066
54,1,47574507
55,1,48531329
56,0,48917963
57,0,48979199
58,0,48994246
59,1,49855686
60,1,51604834
61,1,53185412
62,0,54964643
63,1,56767696
64,2,58104453
65,1,58121948
66,1,58125544
67,1,58292575
68,2,58405819
69,1,58558574
70,2,58613727
71,2,59026570
72,0,60047468
73,0,60138067
74,1,60256192
75,1,60264663
76,1,60282145
77,1,61011022
78,1,61204785
79,2,63800074
80,1,63983899
81,2,64444809
82,0,66071711
83,1,66208207
84,2,67358240
85,1,67461040
86,0,67748140
87,0,67891814
88,1,68140597
89,1,69981185
90,1,69981203
91,1,69984660
92,0,70354352
93,0,70962390
94,0,71041295
95,0,71472972
96,0,71536048
97,2,72090887
98,1,72936407
99,0,73874790
100,0,75906237
101,0,76154079
102,0,76210581
103,1,76829591
104,0,77910240
105,2,78213412
106,1,78414309
107,1,78423832
108,1,78426161
109,1,78927744
110,0,79945102
111,1,80023063
112,0,80152899
113,0,80445702
114,0,83397316
115,1,83656732
116,1,83729472
117,1,83822982
118,0,84598773
119,0,84845307
120,0,84886256
121,1,85978618
122,2,87587497
123,1,88100854
124,0,88140152
125,1,88292120
126,1,88292630
127,1,88294098
128,1,88295352
129,1,88748492
130,0,90517239
131,2,90631080
132,0,90809431
133,1,91298092
134,1,91449766
135,1,92393044
136,1,93209353
137,0,94658549
138,1,94675994
139,1,95757711
140,0,95765023
141,2,96671294
142,1,97042950
143,1,97507771
144,1,97561181
145,0,98090479
146,2,98313941
147,2,98824216
148,1,99147309
149,0,100049827
150,2,101453878
151,1,101698372
152,2,102074602
153,2,102920523
154,1,103160257
155,1,104312996
156,1,104399551
157,0,104689795
158,0,104737849
159,0,105669732
160,1,105720996
161,1,105801847
162,1,105838082
163,1,105914475
164,1,105999093
165,2,106165846
166,1,106196312
167,2,107464488
168,1,107483926
169,1,107562933
170,0,108232952
171,0,109181311
172,1,111332247
173,0,111550844
174,1,111970154
175,1,112355775
176,2,114028139
177,0,115137769
178,0,115271143
179,0,115350368
180,1,116198336
181,1,116565787
182,1,116722556
183,1,117651774
184,1,119081753
185,2,119738778
186,1,120111296
187,1,121214886
188,1,122131649
189,0,122202027
190,0,122800579
191,1,123148572
192,0,123223172
193,1,123996859
194,0,124724649
195,2,125200015
196,1,125530742
197,1,125531634
198,0,125835136
199,1,125883076
200,0,125961311
201,1,126401068
202,1,127192864
203,1,127743086
204,0,127899334
205,1,129595642
206,0,130628656
207,1,130811119
208,1,131901036
209,2,131978385
210,1,132336069
211,2,133123716
212,1,133992735
213,1,134216576
214,0,135220877
215,1,135235336
216,1,135354139
217,2,135471230
218,1,138145446
219,2,139101240
220,0,139913303
221,1,140043802
222,1,140365969
223,0,142126415
224,0,142336998
225,0,143268894
226,1,145614748
227,1,146718595
228,2,148438177
229,1,148869063
230,0,150738825
231,1,152455873
232,1,153253015
233,1,153254816
234,2,153340347
235,2,153348183
236,0,154022340
237,1,154472021
238,1,154849985
239,1,155025585
240,0,155172461
241,1,155989645
242,2,156068543
243,1,157039801
244,1,157249906
245,0,157450693
246,1,158789961
247,2,159040715
248,1,159043697
249,0,159735565
250,2,159943678
251,0,160584390
252,1,160591923
253,2,160780945
254,1,161018611
255,0,161875104
256,1,162309890
257,1,163184086
258,2,164686057
259,1,165272038
260,1,165477614
261,2,165819076
262,1,166109722
263,1,167277614
264,1,167356931
265,0,167787287
266,0,167914767
267,0,169004318
268,1,169367695
269,1,170489446
270,1,170489842
271,0,170940799
272,1,174647420
273,0,176402966
274,1,176798609
275,1,177849567
276,0,178279801
277,0,178297113
278,1,178510836
279,1,178846763
280,2,179841013
281,1,179911402
282,0,180954887
283,0,181785313
284,0,183587942
285,1,184036743
286,2,184378952
287,0,184390376
288,0,184526256
289,0,185235080
290,0,185419030
291,0,185431321
292,1,187299439
293,1,188231717
294,0,188635278
295,0,189171293
296,0,189648340
297,0,190092465
298,0,190365186
299,1,191206772
300,0,191376626
301,1,191500691
302,1,192514241
303,1,193632256
304,1,196840439
305,1,199661292
306,1,199717059
307,1,199813584
308,2,201145331
309,0,201322592
310,2,201350645
311,1,201910601
312,0,201942826
313,0,202080363
314,0,202600538
315,2,203055532
316,0,203129535
317,1,204134921
318,0,204349633
319,1,204682095
320,0,205518166
321,0,206848977
322,0,206955270
323,1,210114391
324,2,210114512
325,0,211054454
326,1,211223835
327,1,212367829
328,0,217761446
329,2,218342207
330,1,218449432
331,1,218497603
332,1,218665164
333,1,219898533
334,1,220475003
335,1,221130871
336,1,221139365
337,0,221886323
338,0,223967685
339,1,224551415
340,1,225302380
341,0,225359041
342,1,225629529
343,0,225690731
344,1,227423401
345,1,227964016
346,0,228326124
347,1,229972442
348,2,232030869
349,1,232611663
350,1,235055382
351,1,237925808
352,1,238013701
353,0,238406109
354,0,239336104
355,1,239421690
356,1,240994902
357,2,240997670
358,0,241181220
359,1,241683881
360,0,242045871
361,0,242278581
362,1,242625218
363,1,243710669
364,0,244174579
365,0,246525173
366,0,247952895
367,1,248800944
368,1,249198638
369,1,251406988
370,1,252006960
371,0,252889272
372,1,254405450
373,2,255109590
374,0,256467746
375,0,256481807
376,2,259216641
377,0,260869990
378,2,261425326
379,0,262112691
380,0,262155025
381,0,262576655
382,0,263501149
383,0,263990596
384,1,264421885
385,0,265357922
386,0,266058623
387,1,266508827
388,1,266520655
389,1,266525993
390,1,267849892
391,0,269931366
392,1,274318013
393,1,274567117
394,1,274686002
395,0,276935484
396,2,277011549
397,1,277834944
398,0,280538897
399,1,280862818
400,1,280863609
401,0,281151362
402,0,281175212
403,2,281238569
404,0,281514408
405,2,281824399
406,2,282716076
407,2,283066981
408,2,283855421
409,2,284331544
410,0,285593494
411,1,285615981
412,0,286440004
413,0,286474698
414,0,286572568
415,0,286573839
416,0,286575444
417,1,286821465
418,1,287088670
419,0,287640442
420,1,289883874
421,0,289954636
422,1,291918110
423,1,292672799
424,1,295072507
425,1,295683578
426,1,297046314
427,0,297397863
428,0,297581133
429,1,298160405
430,0,298227887
431,0,298659516
432,2,298969570
433,2,299214915
434,0,300775852
435,1,301162096
436,1,301368175
437,1,302234811
438,2,302343069
439,0,302743546
440,2,305852571
441,1,310073877
442,2,310228978
443,1,311133731
444,0,311217557
445,0,311441585
446,0,311521171
447,0,311908755
448,0,312407984
449,1,313781937
450,2,314553742
451,0,314801081
452,2,315440903
453,1,316068620
454,0,317225596
455,1,317465273
456,0,317775074
457,2,317777065
458,0,318761567
459,2,318830681
460,1,319422071
461,1,320536168
462,2,320558321
463,0,320879860
464,0,320879907
465,0,322090349
466,2,323251067
467,1,324729079
468,1,325724615
469,0,326983224
470,2,327919457
471,2,328512309
472,2,329002556
473,1,330926984
474,1,331895031
475,0,332947688
476,0,334574439
477,2,335289812
478,2,336863757
479,1,337025151
480,2,337972383
481,0,338322592
482,0,338405418
483,2,338474450
484,2,340362300
485,2,341018497
486,1,342526623
487,1,342763109
488,0,343117059
489,1,343827119
490,1,343855973
491,1,343905393
492,0,343941436
493,1,344144965
494,1,344463198
495,0,344813566
496,0,345012031
497,0,346149440
498,0,346268242
499,1,346784072
500,1,347247707
501,1,347327907
502,1,348028325
503,1,348480547
504,1,349521619
505,1,349540233
506,1,349558896
507,0,349981341
508,0,350533471
509,0,350970323
510,1,351363027
511,0,352476145
512,1,353607822
513,1,353980025
514,1,354249312
515,0,354422653
516,1,356226666
517,0,356517804
518,1,356586091
519,0,356917650
520,0,357229450
521,0,358953815
522,1,359685019
523,0,359846037
524,1,360548855
525,0,360775278
526,1,361665065
527,1,361775283
528,1,362116684
529,1,362227518
530,2,362413281
531,1,363238164
532,1,365714401
533,0,366664369
534,1,367157300
535,1,367340793
536,0,368036498
537,2,369055082
538,1,369218570
539,1,370152430
540,0,370320922
541,1,371035213
542,1,371280052
543,0,371296139
544,0,371567955
545,0,372478898
546,1,372633165
547,0,372812983
548,0,372827047
549,2,373503839
550,0,374041734
551,0,375176952
552,1,375573478
553,1,375714494
554,0,375811066
555,1,377117792
556,1,377495354
557,0,378307858
558,0,378728955
559,1,379196366
560,0,379619528
561,1,380496852
562,2,380533867
563,2,380582379
564,1,380681726
565,1,382009232
566,2,382012107
567,2,382532760
568,0,383474496
569,0,384495434
570,2,384499699
571,0,385174439
572,1,385710525
573,0,386262075
574,0,386308075
575,2,387873331
576,0,388337991
577,0,388551218
578,1,390013645
579,0,390568610
580,1,391614075
581,1,392277399
582,1,392278855
583,0,392290961
584,0,392818886
585,2,394273550
586,0,394470955
587,2,395114509
588,1,395191803
589,2,395235257
590,1,396121063
591,2,396460347
592,1,396545295
593,2,396796384
594,1,397095912
595,2,397151026
596,1,398057998
597,2,398408775
598,1,399954132
599,1,400251162
600,1,400852773
601,2,401241785
602,1,402055754
603,1,402851401
604,1,403215307
605,0,404697397
606,2,404862292
607,1,406172998
608,0,406993016
609,0,407033233
610,0,407297148
611,0,408866666
612,1,409784462
613,2,409981868
614,0,409984280
615,0,411040758
616,0,411160025
617,1,412430439
618,2,413578407
619,1,413981807
620,1,415708468
621,1,417018732
622,0,417837357
623,0,417847328
624,1,418782051
625,1,419799329
626,1,421702613
627,0,421891184
628,1,422048283
629,0,422837011
630,1,422992397
631,0,423015208
632,1,427576400
633,1,430362763
634,2,432406139
635,2,432452439
636,0,432608577
637,0,433075158
638,1,433994506
639,1,434574420
640,1,434662320
641,2,436247285
642,1,436770018
643,2,436901659
644,2,437365560
645,2,437525320
646,1,437559476
647,1,437661515
648,2,437994225
649,1,438076704
650,1,438445463
651,2,439635136
652,2,439677359
653,2,439791753
654,0,439936737
655,0,440145452
656,2,440203277
657,1,440211493
658,2,440218861
659,2,440268856
660,2,440306826
661,1,440330727
662,2,440611085
663,2,440633135
664,1,441025373
665,0,441280176
666,2,441565982
667,1,441704702
668,1,441774537
669,2,444998496
670,1,445898318
671,1,446302683
672,1,446878801
673,1,447188669
674,2,447717520
675,1,447831740
676,1,449212995
677,1,449929114
678,1,451025684
679,1,451756336
680,1,451959189
681,0,452576842
682,2,452901378
683,1,455124510
684,0,455161994
685,1,455434777
686,2,455473739
687,0,455569784
688,1,455745757
689,1,455746489
690,0,456263730
691,1,456326850
692,2,456360820
693,0,456559534
694,1,456596522
695,1,457425744
696,2,457557882
697,1,457987258
698,1,458486488
699,2,458573714
700,1,458601860
701,1,458613559
702,0,459412559
703,0,461792790
704,1,463736280
705,2,463737812
706,0,463891844
707,1,464443476
708,2,465043332
709,2,465481176
710,1,466293763
711,1,466415885
712,2,466424920
713,2,466532805
714,1,466546028
715,1,466639033
716,2,466683507
717,1,466687785
718,1,466688236
719,1,466897562
720,1,466932723
721,1,467017896
722,1,467032071
723,2,467071086
724,1,467213245
725,2,467229830
726,1,467251007
727,1,467446085
728,1,467706599
729,1,467832379
730,2,467855344
731,1,467917742
732,1,468321985
