,cat,id
0,1,180433
1,2,204490
2,1,756453
3,1,1117458
4,0,1224191
5,1,1320462
6,2,1416649
7,2,2318874
8,1,2515364
9,1,2729855
10,1,2736986
11,1,3448601
12,1,3801010
13,1,3833305
14,1,4600807
15,1,4600834
16,1,5423788
17,0,6007720
18,1,7526463
19,2,8643014
20,2,8772315
21,1,9857455
22,1,9866416
23,0,10573863
24,2,12202006
25,1,12844127
26,1,13248441
27,1,13630488
28,2,13757672
29,0,14095514
30,1,14191956
31,1,14910675
32,0,15297053
33,0,15298767
34,0,15299689
35,0,15770948
36,0,15772594
37,0,15903027
38,2,15964976
39,1,15966874
40,0,16806629
41,0,17140225
42,0,17145448
43,1,18184129
44,1,18559852
45,0,18968788
46,0,19527377
47,1,19956725
48,0,20193124
49,0,21827351
50,1,22474395
51,2,22935029
52,2,22935075
53,2,22935179
54,1,24040635
55,2,24075277
56,1,24891928
57,0,26046986
58,1,28516784
59,0,28662688
60,0,28758056
61,1,30971017
62,1,31050817
63,1,31050980
64,0,31204566
65,2,31286748
66,1,31289984
67,1,31290197
68,1,31291127
69,1,31306546
70,1,31903195
71,2,33627663
72,0,33937994
73,0,34211767
74,1,34324224
75,2,34331339
76,0,35126018
77,0,35656540
78,1,37947364
79,0,37964602
80,0,38064242
81,1,38182378
82,0,39087876
83,1,39239304
84,1,40727849
85,1,40900926
86,1,41588594
87,1,41732254
88,1,41826025
89,1,42372996
90,0,42946762
91,1,43456825
92,1,45731116
93,0,47028892
94,0,47805190
95,0,48201886
96,0,48237639
97,2,49778326
98,1,50443645
99,0,50534150
100,1,50989298
101,0,51936465
102,1,52006598
103,1,52433706
104,1,52433809
105,2,53005399
106,0,53100551
107,2,53101963
108,2,53890849
109,2,53892999
110,2,54285024
111,1,54762544
112,0,56325053
113,1,56729544
114,0,57058439
115,1,57058849
116,0,58479217
117,0,58600133
118,1,59033458
119,0,60477569
120,2,61081243
121,0,61589345
122,0,61589352
123,0,62217873
124,2,64118573
125,0,65142471
126,0,65485575
127,1,65674900
128,0,65683493
129,2,65997192
130,0,66106008
131,1,66233524
132,1,66744134
133,0,67751466
134,0,67848714
135,2,68955453
136,1,69040673
137,2,69115093
138,0,69779493
139,1,69870981
140,1,70077211
141,0,70225638
142,2,76222974
143,1,76552615
144,2,76809467
145,2,76894233
146,1,77440617
147,1,77608067
148,1,77611889
149,1,77612305
150,1,78402194
151,1,78637945
152,0,79048979
153,0,80821803
154,0,82478448
155,0,82940439
156,0,82940830
157,1,83035141
158,0,83157358
159,2,83421188
160,1,83653725
161,1,83896352
162,1,85159991
163,0,87690513
164,0,88399537
165,2,88746690
166,0,88880996
167,2,89286872
168,1,89419059
169,0,89496376
170,0,90882228
171,1,94690016
172,0,95253729
173,2,95963424
174,1,96383011
175,1,96383530
176,2,97402245
177,0,98807735
178,1,99138672
179,0,99658829
180,0,99658952
181,0,99660165
182,0,100561044
183,0,100633837
184,0,100657898
185,0,100680993
186,0,100683061
187,0,100710578
188,2,101113455
189,0,104483259
190,1,105285751
191,0,105286534
192,1,108390992
193,1,110891700
194,1,111797642
195,2,112873095
196,1,113307150
197,2,113311412
198,0,113807219
199,1,114294085
200,1,114577330
201,1,115319352
202,1,115322258
203,2,115837112
204,1,116769261
205,0,117320342
206,2,118406492
207,0,118730120
208,1,120043208
209,1,120150928
210,1,120800465
211,0,122317412
212,2,123250730
213,0,124151562
214,0,124219014
215,1,125140436
216,0,126206421
217,0,128473729
218,2,128685432
219,0,130052229
220,0,130607204
221,0,131305122
222,0,131426192
223,0,131776701
224,2,132003161
225,0,132004376
226,2,133018722
227,1,133995516
228,0,134452360
229,0,135056962
230,0,137767429
231,0,139341280
232,0,141490069
233,2,141617661
234,1,142452961
235,2,142738984
236,1,143871248
237,1,144404800
238,0,145611323
239,1,146041026
240,2,146689527
241,1,146948037
