,cat,id
0,2,733459
1,2,733571
2,0,1202702
3,0,2354038
4,2,2703517
5,1,3498561
6,1,3869048
7,1,3962389
8,1,3964874
9,0,3999510
10,1,4456265
11,2,4642329
12,1,5398467
13,2,6392696
14,2,6873988
15,1,7629090
16,1,7722298
17,0,8453569
18,1,8726860
19,0,8881312
20,1,10410539
21,0,10646768
22,0,10745751
23,1,11824827
24,1,13800991
25,1,13958083
26,1,14973162
27,0,15292777
28,1,16309253
29,2,16474112
30,1,16528589
31,1,16528621
32,0,16528703
33,0,16528724
34,1,17434583
35,2,18039047
36,0,18284305
37,1,19486518
38,2,21491652
39,2,21491662
40,1,21802259
41,0,23084863
42,0,23084924
43,0,25691116
44,1,27861898
45,0,28468315
46,1,28928624
47,2,28928661
48,2,29356646
49,1,30693273
50,1,31861961
51,0,32210093
52,1,32826763
53,1,35046789
54,1,35153607
55,1,35153934
56,1,35770268
57,1,37111037
58,0,37924763
59,2,38314620
60,1,39270732
61,0,39297372
62,1,39298708
63,1,39477328
64,1,39526617
65,1,39914047
66,1,40599180
67,1,40926966
68,0,41643932
69,1,41644450
70,2,42259193
71,2,42326990
72,1,42668144
73,0,43065759
74,0,43587779
75,1,44644754
76,1,45438779
77,0,46584271
78,0,47540045
79,1,47557877
80,1,48481320
81,1,49644344
82,2,50365178
83,2,50768331
84,2,51621106
85,0,51665004
86,1,51715189
87,2,53457823
88,2,53491802
89,1,54343387
90,0,56368284
91,2,57216817
92,1,57414794
93,1,58547990
94,2,59500995
95,2,61223676
96,0,61271689
97,1,61503220
98,2,62450694
99,1,62610014
100,0,62768606
101,0,62969850
102,1,63219296
103,1,64974411
104,2,65324596
105,1,66035537
106,1,66035671
107,1,67210677
108,1,67539829
109,1,67940988
110,0,68151517
111,1,68604651
112,1,68678151
113,0,68879735
114,1,69371507
115,0,69664880
116,0,70684310
117,1,71281695
118,0,71880319
119,1,71982344
120,2,72325844
121,2,72514952
122,2,72839208
123,1,73761535
124,1,74093572
125,1,74094443
126,0,74266452
