,cat,id
0,0,258828
1,2,762231
2,0,3528115
3,1,3623328
4,0,4043987
5,0,4255212
6,0,4255232
7,0,4973363
8,0,5607035
9,1,5904966
10,1,5904982
11,0,7534694
12,0,8379562
13,0,8385858
14,1,8629355
15,0,8672920
16,0,8672946
17,1,8672960
18,1,8673253
19,0,8673870
20,0,9049988
21,0,9051935
22,2,9053626
23,0,9417558
24,0,9708812
25,2,10922296
26,1,10922335
27,0,11471089
28,0,12034637
29,0,12035452
30,0,12066566
31,0,12066810
32,0,12066862
33,0,12067009
34,0,12067074
35,0,12210225
36,0,12226715
37,0,12893809
38,0,13182491
39,0,13182652
40,0,13569102
41,1,15731439
42,0,15824352
43,0,16108521
44,0,17221397
45,0,17221424
46,1,18678066
47,2,19220910
48,0,21385312
49,1,21385637
50,0,22646203
51,0,23131729
52,1,23268089
53,0,23376793
54,1,23625522
55,0,24272025
56,1,25699832
57,0,25713172
58,1,25780039
59,1,25780227
60,0,26187060
61,2,26849168
62,0,28174243
63,1,28330162
64,0,29100308
65,2,29131764
66,0,30062990
67,0,30377021
68,1,32592056
69,0,32611932
70,2,32873958
71,2,32874047
72,2,32981444
73,1,34861172
74,2,37580777
75,0,38896398
76,2,41259256
77,1,41861206
78,2,41861325
79,1,41861364
80,0,42295498
81,0,42559063
82,0,42727695
83,0,42865725
84,2,42994595
85,2,42994617
86,2,42994687
87,2,42994707
88,2,42994726
89,0,42994742
90,2,42994811
91,1,42994849
92,2,42995081
93,0,42995089
94,2,43572608
95,1,43572632
96,1,43572736
97,2,43572761
98,0,43657584
99,1,43871260
100,0,43888842
101,0,45292304
102,0,47126062
103,0,48350411
104,0,48498788
105,2,48508031
106,0,49925728
107,0,50137562
108,0,50216022
109,1,51014545
110,1,51457723
111,2,51988281
112,0,53172351
113,0,53175337
114,2,55047307
115,0,55047625
116,0,55048230
117,0,56172544
118,0,56208082
119,1,57404097
120,0,57526333
121,0,58352833
122,2,59158662
123,0,59167402
124,2,59811617
125,0,60246144
126,1,60332740
127,2,61215739
128,0,61223317
129,0,61224807
130,1,62248241
131,2,62473908
132,0,62473975
133,2,62689963
134,0,63363896
135,0,63363962
136,0,64103551
137,2,65305276
138,0,66402687
139,1,66564242
140,1,66564296
141,1,66564730
142,1,66564826
143,1,66564950
144,1,66564992
145,2,67034563
146,2,67700031
147,1,68097713
148,1,68127460
149,1,68448364
150,0,69090983
151,0,70761123
152,0,70793676
153,1,73283854
154,2,73286248
155,2,73970996
156,0,77453679
157,0,77794885
158,0,77848648
159,0,77848742
160,0,79734281
161,0,80004683
162,1,81109352
163,2,81662849
164,0,82503840
165,0,82691770
166,0,82691795
167,2,84251449
168,2,84593738
169,1,85177172
170,2,85786267
171,0,88328846
172,0,88547460
173,0,89714306
174,0,89977477
175,0,90290705
176,0,90290793
177,0,90710001
178,0,92633154
179,0,92633193
180,0,92633253
181,0,93116041
182,0,93298329
183,0,93298473
184,1,93669843
185,0,94402347
186,0,94851272
187,2,95503634
188,1,96836356
189,2,96853249
190,2,97695027
191,0,97904641
192,1,98631952
193,2,98881252
194,1,98883169
195,2,100482991
196,0,100834526
197,2,101579203
198,0,102037568
199,0,102388011
200,0,102932315
201,2,102976089
202,2,102976099
203,0,102982640
204,0,103099427
205,2,103336944
206,0,104248445
207,1,106637206
208,0,107102034
209,1,107458795
210,0,107460909
211,2,108232761
212,0,108274402
213,0,108842542
214,0,110696415
215,0,111173866
216,0,111688868
217,0,113997999
218,0,113998132
219,0,113998185
220,1,114923840
221,0,115412658
222,0,115975404
223,0,117344799
224,0,117348856
225,0,118171057
226,0,120375141
227,0,120375538
228,1,121247347
229,0,121701811
230,0,121701819
231,1,122395596
232,0,123369954
233,1,123486091
234,0,123956375
235,2,123957534
236,1,123957596
237,1,124573449
238,0,124874747
239,0,125101967
240,2,126856804
241,2,127680236
242,0,127680263
243,0,127868533
244,0,128376005
245,0,129561147
246,0,129784974
247,2,129970488
248,0,130885163
249,0,130966587
250,0,131188564
251,0,131193348
252,0,131915308
253,0,131958877
254,2,132466447
255,1,132934638
256,1,133607494
257,2,134111117
258,0,134447102
259,0,135269039
260,0,135269051
261,1,135584140
262,1,135975522
263,0,136339893
264,0,136477450
265,2,137546089
266,2,139366058
267,0,139489822
268,0,139512682
269,0,142287293
270,0,143079969
271,0,143642385
272,0,143904189
273,0,144807950
274,0,144859972
275,2,145264000
276,0,146209690
277,0,146209823
278,0,146209844
279,0,146209938
280,0,146210067
281,0,147516371
282,1,148657163
283,1,148657425
284,0,148749622
285,0,148859298
286,0,150737689
287,0,150852264
288,0,151473871
289,1,151475193
290,1,153026957
291,0,153243563
292,0,153429186
293,1,154158429
294,0,154159388
295,0,155333740
296,1,155417864
297,0,155613295
298,0,155614377
299,0,156815895
300,0,156838669
301,0,157692146
302,1,158534236
303,1,158534378
304,2,158626622
305,1,158737880
306,0,158867252
307,0,159668428
308,0,162641866
309,1,162641929
310,0,165952291
311,1,166288116
312,0,166594467
313,0,166707880
314,0,166973576
315,0,168207422
316,0,169273386
317,2,170870486
318,0,170928933
319,1,171659025
320,0,171723343
321,0,171725992
322,2,172188079
323,0,172331832
324,0,172671680
325,0,172672331
326,0,172672344
327,0,173206620
328,0,173354813
329,0,174508990
330,0,175203110
331,0,177852576
332,0,179233691
333,1,179556550
334,1,179981146
335,0,179987446
336,0,180008165
337,1,180008200
338,1,180312444
339,0,181258398
340,2,185287150
341,0,186232116
342,0,186647466
343,1,186821957
344,0,186924984
345,2,188319573
346,0,189559742
347,0,189793824
348,1,190021926
349,1,190381107
350,1,190389299
351,1,190389356
352,0,190546762
353,0,191469019
354,1,191469162
355,0,191469238
356,0,191672503
357,1,191876007
358,0,192811569
359,0,193326154
360,0,194577488
361,1,194643508
362,0,194960593
363,0,197965777
364,0,198510573
365,0,198515108
366,0,199480273
367,1,201009900
368,0,203076967
369,2,203179996
370,0,203823648
371,0,203823671
372,2,204440307
373,0,204440405
374,0,204890248
375,0,204900145
376,0,204970483
377,1,206842569
378,0,209440818
379,0,209516777
380,0,210531490
381,0,211691296
382,2,212320932
383,1,213376876
384,0,214094854
385,0,214703442
386,2,215091192
387,0,215132955
388,0,215806500
389,1,215992994
390,0,216206596
391,0,218233393
392,0,218236787
393,0,219140340
394,0,219140376
395,0,219278923
396,1,219668519
397,0,219766918
398,0,220155745
399,0,220304255
400,0,220304411
401,0,220970975
402,1,221201220
403,1,221223599
404,0,221372420
405,0,221745036
406,0,221944869
407,0,222946594
408,2,224344826
409,0,224627586
410,0,224676542
411,0,224687134
412,0,224787362
413,1,225268064
414,1,225447207
415,0,225447211
416,2,226716992
417,0,226758137
418,0,227199860
419,0,227199870
420,0,227413754
421,2,227495730
422,0,227981569
423,0,229121563
424,0,230369781
425,0,230506729
426,2,232202836
427,0,233989339
428,0,234839980
429,1,235030217
430,1,235720929
431,0,235921205
432,0,236004850
433,0,236908258
434,0,237484580
435,0,237484894
436,0,237769198
437,0,238713850
438,1,239164719
439,0,239717479
440,0,240129440
441,0,240307414
