,cat,id
0,0,215270
1,0,514275
2,2,1147349
3,0,2654869
4,1,3019979
5,1,5072189
6,0,5651161
7,2,6252759
8,2,6875045
9,1,7332809
10,0,7423726
11,0,7767484
12,1,8111943
13,1,11363811
14,1,12235938
15,1,12308368
16,2,13500326
17,0,13692208
18,1,15261181
19,0,15473357
20,0,15588039
21,0,17246970
22,2,17316356
23,1,18413828
24,1,18876611
25,1,18964067
26,1,19321257
27,2,25608143
28,1,26582052
29,2,27362609
30,0,27758375
31,0,27934082
32,2,28370728
33,1,29741181
34,1,29851050
35,1,29891906
36,0,30154606
37,1,30404762
38,1,30527192
39,1,31134741
40,1,31486880
41,1,32949620
42,1,33209939
43,2,33530335
44,1,34287647
45,1,35124620
46,0,35128899
47,1,35505199
48,0,36650666
49,1,38885893
50,0,40089845
51,1,40817705
52,0,41662676
53,1,42223373
54,2,42431559
55,1,42636425
56,1,42708107
57,0,43508750
58,0,43668305
59,1,45236001
60,0,45584447
61,2,47456215
62,1,49384317
63,2,49425273
64,1,50810335
65,1,51655415
66,0,52964185
67,0,53919776
68,1,54410372
69,0,55273331
70,0,55590144
71,2,55638723
72,1,56026879
73,1,56320889
74,0,56498069
75,0,56981643
76,1,57586188
77,0,57902333
78,1,58186995
79,1,58208101
80,0,58924425
81,1,59253601
82,2,60666184
83,0,63226579
84,1,66401342
85,0,66531573
86,0,66730551
87,0,67917820
88,1,69074496
89,1,69992813
90,1,72241772
91,1,72960219
92,1,73001350
93,0,74486375
94,1,74494157
95,0,74533826
96,0,75410788
97,1,76350427
98,0,76526873
99,0,77670966
100,0,78237241
101,1,78364482
102,1,78797601
103,0,79188359
104,1,79540507
105,0,80236008
106,1,83948652
107,0,85295010
108,0,86146411
109,0,86264775
110,0,86798305
111,1,87562537
112,1,91424034
113,1,94153409
114,1,94579523
115,0,94662149
116,1,95648530
117,2,95745953
118,1,95974168
119,0,96285399
120,0,96956176
121,1,96971494
122,1,97692286
123,1,99098122
124,2,99446655
125,1,99588090
126,0,100193471
127,1,100332164
128,1,100573563
129,1,100610545
130,1,100618100
131,2,100732581
132,0,103343160
133,1,103632477
134,2,106451873
135,2,107636599
136,1,108283929
137,1,109980998
138,1,110874662
139,0,113655117
140,1,113884815
141,0,115417493
142,1,115968741
143,0,116192587
144,1,116416610
145,1,116810490
146,1,117354050
147,2,118207553
148,1,119817281
149,2,121492597
150,2,121492647
151,1,121554867
152,1,121919624
153,0,123361033
154,2,123409023
155,0,124299301
156,2,125466170
157,0,125767258
158,1,126246384
159,0,126738717
160,2,127722358
161,0,127914578
162,1,128075642
163,2,128248432
164,0,128778968
165,1,128979438
166,1,129035135
167,1,130063566
168,1,131447859
169,0,133380270
170,1,133574099
171,1,133580270
172,1,135336577
173,0,137680388
174,2,137725305
175,0,137850638
176,2,137914228
177,0,138478936
178,1,138752337
179,0,138981372
180,0,140634411
181,2,141572044
182,1,141876393
183,1,142523622
184,1,142608140
185,1,142909682
186,0,143203270
187,1,143437634
188,0,145518269
189,0,145785195
190,1,145808383
191,1,148051065
192,1,148523307
193,1,148621957
194,1,148743520
195,2,150264170
196,1,151017657
197,1,151078121
198,1,152213402
199,2,153242757
200,1,153408110
201,1,155500647
202,0,157843906
203,1,158152315
204,1,158918086
205,2,159492292
206,2,159630460
207,1,159992165
208,1,160489049
209,1,160842371
210,1,162013574
211,1,162098700
212,1,162151649
213,1,162447858
214,0,162703560
215,2,163389082
216,2,164420823
217,1,165147667
218,1,165268333
219,1,165537472
220,1,165863619
221,1,167318254
222,1,167832751
223,0,168052466
224,0,169208505
225,0,170351609
226,0,171151325
227,0,171385498
228,0,172340205
229,0,172356511
230,1,172397488
231,0,173964710
232,0,174165701
233,2,175688003
234,0,176686651
235,1,177402853
236,2,177469248
237,0,178241697
238,0,178824150
239,1,179737963
240,0,179902637
241,0,180117167
242,1,180957796
243,1,181461256
244,0,183515137
245,0,184001626
246,1,184471072
247,0,185136430
248,1,185459039
249,1,186327073
250,1,187038152
251,0,190048273
252,1,190248930
253,1,191036060
254,1,191207388
255,0,192467995
256,1,192644762
257,2,192774759
258,1,193226417
259,1,193623008
260,2,193808748
261,0,193973557
262,1,193975185
263,1,194426923
264,0,195609155
265,1,195609497
266,0,196844331
267,1,196968871
268,1,197046096
269,2,197389520
270,2,198841527
271,1,200025015
272,1,200620342
273,1,201252637
274,2,202816147
275,1,203007333
276,1,203799907
277,1,204273105
278,2,205734206
279,2,206215220
280,1,207014403
281,1,207397075
282,1,208056525
283,1,208900124
284,1,209581827
285,2,209889169
286,1,209948754
287,0,209989495
288,1,210056299
289,2,210546480
290,0,211158049
291,0,211984660
292,2,212052790
293,1,213296058
294,0,213335779
295,0,214662051
296,1,215839946
297,1,216004055
298,0,216877410
299,0,216986049
300,0,218280944
301,1,219259742
302,2,219648906
303,0,221049464
304,1,222201097
305,0,222545625
306,2,223470496
307,0,224583194
308,1,224735431
309,1,227038015
310,0,227737593
311,1,228274749
312,0,228307113
313,1,230035965
314,1,230035978
