,cat,id
0,3,563752
1,3,1391462
2,1,2178037
3,3,2373988
4,2,2510704
5,3,2982085
6,0,4166244
7,1,5083484
8,1,5434596
9,0,6271643
10,3,7766944
11,3,8074816
12,1,8372892
13,0,8818233
14,3,9225505
15,0,9471785
16,0,11122508
17,0,11583759
18,0,11885069
19,1,12461740
20,1,12546456
21,3,13048110
22,1,13720800
23,1,13740916
24,2,14332478
25,3,15728765
26,1,16270997
27,3,16278866
28,3,16390574
29,2,16475398
30,2,16541108
31,1,17455564
32,0,17577205
33,2,17914454
34,1,20736248
35,1,20894724
36,0,20980576
37,3,20997234
38,2,23138301
39,0,24161622
40,3,24914385
41,1,24950891
42,3,26323667
43,1,26720916
44,0,26970711
45,3,29979747
46,3,30332571
47,2,30869540
48,2,31885699
49,3,33438035
50,2,33476600
51,2,33939622
52,1,35986284
53,1,37113299
54,0,37126596
55,3,38489309
56,3,39502434
57,2,40506993
58,2,40833387
59,2,40899978
60,0,42103724
61,1,42526798
62,0,43609001
63,2,43942264
64,0,48060950
65,0,48921486
66,1,49320816
67,3,51971097
68,2,52513194
69,1,53093252
70,0,54041087
71,2,54208437
72,0,55379126
73,1,55409985
74,1,56535500
75,0,58263396
76,1,58481820
77,2,59414924
78,3,60671425
79,1,61067002
80,2,61173916
81,1,61236916
82,0,61329182
83,2,61610688
84,1,62425189
85,2,62800730
86,0,63366788
87,3,63510503
88,0,63863309
89,1,64172299
90,1,64875865
91,1,65302857
92,3,65428274
93,3,65608319
94,3,67047967
95,2,67050497
96,0,69440680
97,1,69566123
98,0,69766848
99,0,70879644
100,0,71177768
101,3,72128660
102,3,72259442
103,2,72268777
104,0,72416677
105,2,73517103
106,0,75009194
107,0,75341328
108,3,75798063
109,1,77524097
110,2,77811908
111,0,80176991
112,2,80361970
113,1,80954691
114,3,81444446
115,1,81651218
116,1,81693589
117,0,83462770
118,0,84077633
119,1,85201233
120,3,85481515
121,3,85516646
122,3,85908538
123,0,87229219
124,2,87456716
125,3,87491758
126,0,90334568
127,3,91109411
128,3,93005953
129,1,93068752
130,0,93773532
131,0,94015807
132,1,95427140
133,0,95884372
134,1,96324865
135,1,97098410
136,1,97372843
137,2,99984477
138,1,100876158
139,2,100988231
140,3,102171850
141,1,102243593
142,3,102652226
143,0,103019767
144,3,104636579
145,3,105293530
146,3,105576785
147,0,105627703
148,0,106564980
149,3,106707487
150,0,106848376
151,0,108302143
152,0,108940004
153,1,110345459
154,3,112243280
155,3,112828822
156,1,112966349
157,1,113097724
158,0,114225809
159,3,114621841
160,0,115265779
161,2,116409372
162,1,116454382
163,0,116837480
164,0,117555995
165,1,118128476
166,0,118966469
167,1,119287037
168,1,120029652
169,3,121946054
170,0,122532494
171,2,123717551
172,1,124980105
173,1,126244997
174,3,126666507
175,1,128128574
176,0,128897166
177,0,130672187
178,1,130941153
179,0,131001573
180,0,131070707
181,1,131077675
182,3,132367527
183,2,132980119
184,1,133318256
185,1,136552552
186,0,136696795
187,3,136795696
188,2,136969692
189,2,137465393
190,3,137832015
191,0,139748529
192,1,140373398
193,3,141817464
194,1,142143727
195,2,143251271
196,1,144032744
197,1,145924895
198,2,146031028
199,1,146991770
200,3,147044735
201,2,147212823
202,3,147863433
203,1,148045444
204,1,148193453
205,1,148771632
206,2,149373494
207,1,150315920
208,1,150815881
209,0,151911185
210,2,153513619
211,0,154083688
212,0,154330791
213,0,156498124
214,1,157366728
215,3,159003053
216,1,159106320
217,3,159893359
218,1,160142442
219,3,160822513
220,3,163540541
221,2,163820746
222,0,164573862
223,3,164922347
224,3,165531523
225,3,165554269
226,3,167081403
227,0,167287864
228,3,169625284
229,1,172792461
230,3,172993270
231,0,173112110
232,3,173210309
233,2,174910418
234,1,176829495
235,2,177328738
236,1,177709689
237,3,178090244
238,0,178126758
239,3,178802912
240,3,179102792
241,1,179685474
242,2,180200129
243,3,180302332
244,3,183724300
245,3,184613321
246,3,185286190
247,3,186158757
248,0,186297554
249,2,186795834
250,3,187372844
251,1,187471343
252,1,187519144
253,1,187822973
254,0,188172410
255,3,189018905
256,2,189088737
257,0,189621557
258,3,190970209
259,0,191896460
260,3,192189103
261,2,193680406
262,0,193818026
263,1,196059513
264,1,196130940
265,2,196140723
266,2,196549955
267,2,197118441
268,0,197311997
269,3,197596600
270,1,197652590
271,3,199363346
272,2,199665809
273,0,200094600
274,1,200187552
275,3,200488447
276,0,201369916
277,1,201749726
278,2,202471137
279,2,203322249
280,2,203423429
281,2,203741093
