,cat,id
0,2,614318
1,0,963047
2,1,1138025
3,0,1543830
4,1,1731534
5,2,1949417
6,1,2189188
7,3,2260722
8,1,2479194
9,2,2676140
10,1,4906252
11,3,5498435
12,1,5555906
13,1,6612828
14,3,7014533
15,1,9940373
16,0,10454551
17,3,10750836
18,3,11598820
19,2,11626222
20,1,11752301
21,3,11887799
22,2,12350276
23,0,12512974
24,3,13366400
25,2,14116726
26,3,15322754
27,3,15594696
28,3,16114031
29,2,16318471
30,3,16595457
31,1,17918988
32,3,18813390
33,2,21005293
34,3,21910996
35,0,22805514
36,2,23096400
37,0,23151646
38,1,23184601
39,2,23501389
40,2,23583742
41,0,23849717
42,1,26398412
43,1,26459761
44,2,26954910
45,1,28895807
46,2,29137516
47,1,29265312
48,1,29265348
49,0,29435596
50,3,29892011
51,1,29955570
52,0,30110621
53,0,30651685
54,1,31936751
55,0,34232786
56,2,35969599
57,3,37746282
58,0,37935589
59,0,37992634
60,0,38452071
61,2,38452558
62,1,38605197
63,1,38700295
64,1,39234205
65,1,40213479
66,1,40213671
67,2,40245606
68,2,41636776
69,0,41643857
70,0,43076983
71,3,43786669
72,0,44011718
73,2,45065016
74,1,45224541
75,2,46013666
76,0,46484271
77,0,46595393
78,0,46932840
79,1,48324558
80,1,48324621
81,0,48351019
82,1,49063076
83,1,49817388
84,3,50211584
85,3,50415844
86,3,50514820
87,3,50990990
88,0,51999668
89,3,52326310
90,0,53496203
91,0,53511389
92,2,53531291
93,1,54137611
94,0,55105955
95,2,55225484
96,2,55619174
97,0,55684984
98,0,55730224
99,0,56314240
100,0,56708168
101,0,56709451
102,0,56784018
103,3,56892411
104,2,59413932
105,1,59570133
106,2,59628166
107,2,59749644
108,0,60235797
109,3,60455086
110,0,60483584
111,2,62523648
112,2,63584558
113,0,63614272
114,2,63622562
115,3,63701958
116,3,63909981
117,2,65389391
118,1,66030584
119,2,66853578
120,2,67588226
121,2,68049311
122,3,68580203
123,2,68600218
124,2,69507503
125,0,70029373
126,0,70599327
127,3,70966705
128,0,71275664
129,0,71374091
130,2,71566053
131,0,71631752
132,2,72261318
133,2,73085845
134,1,73729862
135,3,73832597
136,2,74863027
137,0,74880169
138,0,75145251
139,3,75186821
140,0,75873991
141,3,76008717
142,2,76055424
143,3,76216340
144,0,76423483
145,0,76549601
146,0,76733107
147,2,77885344
148,2,77926126
149,3,78569409
150,1,78928642
151,2,79586169
152,0,79680549
153,3,79907562
154,0,80110064
155,0,81042394
156,3,81759620
157,2,81984460
158,3,82458822
159,1,82836534
160,2,83605504
161,2,85334558
162,0,86097484
163,2,86507404
164,0,86617326
165,1,86945682
166,0,87170634
167,3,87170991
168,3,87546337
169,2,88147376
170,2,88555209
171,0,88859957
172,3,89111232
173,0,89112219
174,3,89116728
175,0,89584895
176,1,90057318
177,0,90274599
178,2,90420642
179,3,91691005
180,1,92358640
181,3,92573028
182,0,93530527
183,3,94534096
184,0,95006921
185,3,95767749
186,3,96423743
187,1,96576004
188,3,97050142
189,2,97056772
190,2,97329859
191,2,97365656
192,0,98875377
193,2,100091886
194,3,100849688
195,0,100893522
196,2,100952334
197,0,102176476
198,3,102497262
199,2,103470556
200,2,104940313
201,2,106032125
202,0,107632107
203,0,108775776
204,1,109829415
205,0,110370504
206,0,110396381
207,2,110456320
208,1,110469915
209,2,110759875
210,3,110766670
211,0,110988798
212,0,111230094
213,2,111747808
214,0,111840785
215,1,112752163
216,0,112896349
217,0,113456049
218,3,113536304
219,3,113536773
220,1,113864401
221,0,114080030
222,2,114420313
223,0,114420394
224,0,114548697
225,0,114717868
226,0,115247830
227,0,116523198
228,2,117377056
229,1,117435396
230,0,117818543
231,2,118149867
232,0,118475477
233,0,118478470
234,0,118589160
235,0,118643012
236,0,119352029
237,2,119815570
