,cat,id
0,3,395169
1,2,740283
2,4,1480876
3,4,1623741
4,1,1881756
5,0,2135261
6,1,3595197
7,2,4003198
8,4,4102821
9,2,4740044
10,3,6893388
11,2,7297946
12,2,7307024
13,1,7657195
14,4,8478846
15,2,8597114
16,2,9024820
17,0,9263489
18,3,10132903
19,0,10305569
20,2,10535630
21,2,11785952
22,3,12423711
23,1,14222815
24,4,14790157
25,0,15753985
26,1,15862173
27,4,15873040
28,0,16310050
29,3,16688390
30,2,18378015
31,4,18401543
32,0,18785110
33,1,20421156
34,0,20424875
35,0,20849162
36,4,21226814
37,4,21383765
38,1,21902641
39,1,24089410
40,1,26003437
41,3,26223633
42,3,26245791
43,1,26594601
44,3,26629752
45,2,26667163
46,2,27715203
47,1,27772206
48,0,27978540
49,1,30590499
50,2,31446303
51,1,31620941
52,2,32618735
53,3,32777063
54,3,33187137
55,2,33208114
56,2,33229513
57,2,33292420
58,2,33292510
59,2,33323550
60,2,33332414
61,2,33346195
62,2,33366927
63,2,33841289
64,3,35366349
65,2,35438069
66,1,35819855
67,1,36675463
68,4,36864862
69,1,37062398
70,4,37197811
71,4,37989537
72,4,38495703
73,1,38645176
74,4,40416939
75,0,40919511
76,0,41061654
77,2,41091715
78,1,43856286
79,0,43921122
80,3,44062401
81,0,44318075
82,4,45835527
83,2,47450428
84,4,47937411
85,3,48486056
86,4,48537924
87,3,49753391
88,0,50021809
89,0,50219176
90,3,50490367
91,3,50626422
92,2,50778703
93,3,50779984
94,1,51506969
95,0,53064771
96,3,54112018
97,3,54127211
98,2,54451865
99,0,54504345
100,1,55064220
101,4,55118530
102,0,55435305
103,2,55464389
104,0,56398224
105,1,56444334
106,1,56945574
107,0,57552743
108,4,58436300
109,1,58546561
110,2,58722813
111,0,59071460
112,1,60009369
113,0,60602549
114,4,60697235
115,3,61394857
116,3,61863353
117,2,63456686
118,1,64278217
119,3,64952861
120,0,65702964
121,2,66882826
122,4,67122952
123,0,67151742
124,1,67314874
125,0,67678784
126,3,68029192
127,0,68338460
128,2,69969039
129,3,70594370
130,0,70712849
131,2,71750815
132,4,72753721
133,1,73214483
134,1,73881534
135,0,73889709
136,3,73934004
137,0,75574255
138,2,76904394
139,2,76943046
140,4,77130248
141,2,77849802
142,2,79185101
143,0,79483222
144,3,80373865
145,1,82132980
146,4,82692689
147,0,82789177
148,0,82946852
149,3,83695280
150,2,84081925
151,2,84401758
152,1,84839148
153,2,84932216
154,4,85701798
155,2,86347303
156,4,86412513
157,1,86414306
158,2,87013707
159,3,87160065
160,2,87503440
161,2,87503467
162,0,87642271
163,0,87773502
164,1,89506146
165,4,90300398
166,1,90574765
167,1,92282029
168,2,93044325
169,1,93541527
170,4,94293679
171,3,96676438
172,2,97386512
173,1,97526799
174,4,98428636
175,2,98456959
176,4,98965514
177,3,99461515
178,2,99985834
179,4,100410706
180,0,101224237
181,1,101747760
182,2,101787588
183,2,101812375
184,3,102062726
185,1,104070761
186,2,104468373
187,1,104979560
188,1,105358409
189,4,105886041
190,4,105931597
191,0,106797261
192,1,107302348
193,0,110979976
194,0,111883954
195,2,112012290
196,2,112523545
197,0,112743664
198,4,113410778
199,2,113549701
200,4,113551806
201,2,115001851
202,1,116467007
203,1,117025051
204,1,117117237
205,3,118189715
206,0,121045335
207,0,121250887
208,2,121263490
209,4,121282904
210,2,121432117
211,2,122213960
212,3,122861554
213,2,123979598
214,2,124663603
215,4,125287049
216,0,125387108
217,4,128033907
218,4,129287960
219,4,131319760
220,3,133598767
221,4,133776794
222,2,134400306
223,1,134418778
224,1,135206917
225,3,135913801
226,3,136075431
227,2,136311699
228,1,136884718
229,3,137005444
230,0,139175993
231,0,139929345
232,2,141960178
233,2,142616386
234,2,142893503
235,2,143369899
236,3,143387492
237,3,144653926
238,0,145325711
239,1,145548958
240,2,145804567
241,2,145824592
242,1,146003127
243,1,146210116
