,cat,id
0,1,693991
1,0,1067221
2,1,1787589
3,1,2085697
4,0,2601334
5,1,2814121
6,0,2881953
7,1,3022435
8,1,3448923
9,2,3762625
10,2,4216743
11,2,4346343
12,0,7778908
13,2,8088920
14,2,8670143
15,1,9280694
16,1,9494404
17,2,9923701
18,1,10892259
19,2,12796872
20,0,13281242
21,2,13639123
22,0,13854381
23,2,14155467
24,1,14325627
25,2,15356102
26,0,15406405
27,1,16018999
28,2,16241426
29,2,16491497
30,0,16505180
31,2,17239649
32,0,17762283
33,0,18181874
34,1,19115475
35,1,19130678
36,1,19130743
37,1,20250149
38,1,20468387
39,2,20472557
40,0,20774800
41,1,21914609
42,0,22155904
43,0,22156464
44,1,22926827
45,2,22927802
46,1,22982706
47,1,24069368
48,2,25263323
49,2,25263884
50,1,27221668
51,1,27221721
52,1,27221891
53,1,27222465
54,2,27708960
55,1,27977037
56,2,28406003
57,2,28574712
58,1,28574825
59,2,28669345
60,1,29194071
61,1,30493293
62,1,30837919
63,2,31102747
64,0,31561811
65,2,31934374
66,1,33202090
67,1,33305316
68,1,33305495
69,1,33322017
70,2,33359835
71,2,33395064
72,1,33872037
73,2,35584582
74,1,36548365
75,1,36604868
76,1,36612637
77,1,36648170
78,2,37308848
79,1,37744721
80,2,38276773
81,0,38432188
82,2,38510539
83,0,38885351
84,1,39792714
85,1,39849325
86,1,39850152
87,2,39856763
88,2,39857031
89,2,40467576
90,0,40726248
91,1,41454784
92,0,42213341
93,2,44106722
94,2,44118369
95,1,44121439
96,0,44282016
97,2,44398549
98,0,44591765
99,2,45515905
100,0,46984291
101,2,47112073
102,2,47312138
103,0,48202883
104,1,48607356
105,0,49213657
106,1,51228747
107,1,51354996
108,1,51416531
109,1,52556650
110,2,52672513
111,1,54659806
112,1,55014322
113,2,55209132
114,0,56277895
115,0,56800129
116,1,57013654
117,1,57061305
118,2,57474609
119,1,59006875
120,2,59706442
121,1,62130547
122,0,62416667
123,0,62630489
124,2,62633446
125,0,62634004
126,0,62634793
127,0,62636862
128,1,62952492
129,2,63409868
130,0,63750480
131,2,64029025
132,1,64893241
133,2,65061570
134,1,65145051
135,0,65655193
136,0,65875914
137,0,65875944
138,2,66298523
139,1,66599690
140,2,67514025
141,1,68100982
142,1,68422036
143,2,68668937
144,1,68840872
145,0,69633313
146,0,69701652
147,0,70389400
148,2,71846134
149,2,72277483
150,1,73965441
151,1,74413131
152,1,74895324
153,0,75152836
154,0,75214178
155,1,77041234
156,1,77043737
157,0,77277531
158,2,77702633
159,0,77778726
