,cat,id
0,1,2099664
1,1,2216048
2,0,3544862
3,1,4345024
4,1,4617463
5,1,6450039
6,0,7229147
7,1,7420673
8,0,7937561
9,2,8613739
10,1,8732331
11,0,10406403
12,2,11091882
13,1,11517573
14,2,12482890
15,2,13007506
16,1,14053868
17,1,14141110
18,0,14705810
19,0,14706097
20,1,15331238
21,0,16239083
22,2,18902909
23,1,19134264
24,0,20586626
25,0,20826270
26,1,21321603
27,0,21376269
28,0,21376531
29,1,21518507
30,2,21540088
31,1,22410654
32,1,23330611
33,1,24198341
34,0,24849532
35,1,26007212
36,1,26012102
37,2,28033843
38,0,28034781
39,1,30886112
40,1,34262730
41,1,34476917
42,1,34662335
43,0,34720088
44,0,35984552
45,1,36875954
46,0,37671074
47,2,38547638
48,0,38821370
49,0,40853847
50,0,40853898
51,0,40854882
52,1,41159094
53,2,42752171
54,1,43162492
55,0,44310977
56,0,44571238
57,0,44666924
58,1,44735323
59,1,45098656
60,2,46008883
61,1,46922190
62,1,47324864
63,1,47823534
64,1,48025160
65,0,48805653
66,0,48968504
67,2,49434066
68,1,49566690
69,2,51147054
70,1,51689700
71,2,52715259
72,1,53515267
73,2,54303260
74,1,54473945
75,0,55263432
76,1,55532041
77,0,56198385
78,0,56198773
79,1,56673021
80,0,56692749
81,0,56806306
82,1,59876399
83,0,61669596
84,1,62511454
85,1,64043127
86,1,64609200
87,2,65586576
88,0,65877661
89,0,66038470
90,2,66041887
91,2,66823048
92,1,67139273
93,0,67462408
94,0,67462517
95,2,67659017
96,1,67848094
97,0,69942812
98,2,71848898
99,2,72002816
100,1,72021628
101,1,73148594
102,1,73740481
103,1,74017328
104,2,74407695
105,0,75451798
106,1,75507976
107,0,75747914
108,2,75909701
109,1,76988691
110,1,77473589
111,1,78191049
112,0,78431924
113,0,78739941
114,0,78746561
115,1,79710900
116,1,79969522
117,2,80793327
118,1,81140825
119,0,82635169
120,2,82994400
121,1,83020868
122,0,83957522
123,1,84054828
124,1,84157920
125,1,85643440
126,0,85643849
127,2,85661574
128,1,87891451
129,1,89252300
130,1,91863191
131,1,93806082
132,0,93812437
133,0,95358584
134,1,96189072
135,1,96431760
136,1,96480847
137,1,96484879
138,0,97951146
139,0,98023250
140,2,98927591
141,1,99098598
142,1,99483166
143,0,100557181
144,0,100557492
145,0,100691479
146,1,101367194
147,2,101434380
148,1,102192887
149,0,102379513
150,1,102778299
151,1,102906339
152,1,103009605
153,2,103437517
154,1,105445678
155,1,106064995
156,2,106066673
157,0,106355240
158,0,106868572
159,1,107813866
160,1,109057677
161,0,109922123
162,2,110254000
163,1,110333676
164,0,110709926
165,1,111290358
166,2,112169393
167,0,113052323
168,1,113401444
169,1,114030777
170,0,114107281
171,1,115780000
172,1,116729685
173,0,116787913
174,0,117291977
175,1,117331900
176,0,118316658
177,0,118377246
178,1,118405082
179,1,118723920
180,1,118842189
181,0,119265505
182,2,119336046
183,1,121057178
184,2,121539866
185,2,122130248
186,0,122282397
187,1,122481801
188,1,123312826
189,2,124577408
190,0,125214349
191,0,125530007
192,0,126140972
193,1,127124455
194,1,128046127
195,1,129446365
196,2,129663057
197,0,129878094
198,1,130192573
199,1,130222851
200,2,131111612
201,1,131620832
202,2,132724515
203,2,132821862
204,1,133519330
205,2,134260955
206,0,134273878
207,1,134794909
208,2,134910416
209,0,135416108
210,1,135564987
211,1,135935654
212,2,136380206
213,0,138431358
214,2,138598705
215,2,139006670
