,cat,id
0,3,781580
1,3,1129648
2,2,1319236
3,0,2487904
4,3,2972170
5,3,3117912
6,3,3393343
7,2,3466770
8,3,3574593
9,3,3755713
10,3,3897521
11,0,6917620
12,1,7742573
13,3,8551748
14,1,8645840
15,0,9253278
16,3,9834436
17,1,10958090
18,0,11476822
19,1,11609546
20,3,11925592
21,3,16366948
22,1,17227314
23,3,17569929
24,1,18506168
25,3,18596280
26,2,18646024
27,1,18754607
28,1,18849216
29,2,18924235
30,2,19668108
31,2,20305957
32,3,20688020
33,3,21799617
34,1,21831208
35,3,22038964
36,2,22597213
37,3,24190649
38,3,24913253
39,0,25370576
40,0,25889910
41,3,26394370
42,2,26562197
43,2,26651633
44,1,27363093
45,1,27933533
46,1,29680179
47,3,34099813
48,2,36210559
49,3,36613754
50,3,37116057
51,0,37835945
52,2,38623415
53,2,38624698
54,3,38624809
55,0,38922492
56,3,39058067
57,0,39739400
58,3,43205758
59,2,43207306
60,1,43632796
61,0,45970255
62,0,46106102
63,0,46106294
64,1,46711168
65,2,46714827
66,1,46715748
67,2,47956451
68,1,48449097
69,2,48660912
70,3,48726567
71,0,49140213
72,3,49847731
73,0,51936567
74,2,52667220
75,0,53341725
76,1,53722382
77,1,54429008
78,2,57260057
79,3,58541413
80,1,58948179
81,0,59030633
82,1,59868734
83,3,59920489
84,1,59973421
85,2,60375653
86,0,60941274
87,3,60959628
88,3,62167538
89,1,62298594
90,1,62332021
91,2,62634830
92,0,63068769
93,0,64730519
94,2,64935014
95,2,68042881
96,0,69438728
97,1,69472378
98,0,71046162
99,3,71189320
100,0,72356550
101,3,72541336
102,3,72721504
103,1,72877665
104,3,73108702
105,0,73544740
106,1,76023772
107,2,76047545
108,1,76084744
109,1,76152846
110,3,77188456
111,0,77228799
112,0,77818707
113,3,78388608
114,1,78491444
115,1,78862011
116,0,79202590
117,1,79989338
118,3,80083507
119,2,80826897
120,3,80880998
121,2,81433253
122,3,83506883
123,0,83712377
124,1,83712406
125,3,84806837
126,3,85376946
127,1,85585398
128,0,85686117
129,1,85934713
130,3,86243120
131,3,86416465
132,2,87870108
133,1,89110911
134,2,89115257
135,0,89117986
136,1,89266255
137,3,90429903
138,3,92112178
139,1,92441583
140,1,92473164
141,1,92552944
142,0,93289182
143,0,93999399
144,3,94004970
145,3,94859389
146,2,95619655
147,2,95694916
148,0,97666443
149,3,99328810
150,0,99855423
151,0,100379607
152,2,100460048
153,3,100790890
154,0,101246792
155,3,102144497
156,3,102190495
157,2,102643913
158,1,103112997
159,1,103633426
160,3,104280818
161,1,104394649
162,3,104555322
163,0,105241877
164,1,105539749
165,3,106114435
166,2,106808598
167,3,107287318
168,3,107400351
169,0,108280352
170,3,108320157
171,2,108362615
172,0,109421966
173,0,109422099
174,3,110270673
175,0,110745749
176,1,111099349
177,2,111155554
178,0,111846943
179,3,112149662
180,0,112752981
181,1,112920908
182,2,113741113
183,1,115660078
184,3,115965286
185,0,116507567
186,2,116947707
187,2,117354149
188,0,118415214
189,3,118434879
190,3,118943713
191,1,118965187
192,1,120737351
193,1,120851583
194,3,120993409
195,3,121487895
196,3,121819886
197,1,121926118
198,2,121961950
199,0,121963058
200,3,123470366
201,3,123470521
202,1,123696228
203,2,124398950
204,0,125430561
205,3,126169226
206,1,127101703
207,1,127288834
208,1,127434669
209,2,127825153
210,2,129643309
211,2,130231063
212,3,130835334
213,1,131181556
214,1,131393346
215,2,131430421
216,2,131720938
217,3,132125721
218,0,132696822
219,1,132721005
220,0,133458784
221,1,133484685
222,1,134202559
223,0,134651815
224,3,134712791
225,3,135725247
226,1,136652113
227,0,137357528
228,0,137758492
229,3,138743809
230,3,139550211
231,1,139730893
232,2,140245797
233,3,140623182
234,2,140704001
