,cat,id
0,3,448101
1,2,1763751
2,3,2073471
3,0,2332111
4,1,2499582
5,1,4163819
6,0,4562630
7,2,4625064
8,3,5369508
9,2,7188870
10,0,7579333
11,1,7759362
12,2,8243250
13,2,9185572
14,1,9344523
15,1,9976857
16,2,10456573
17,0,11578394
18,1,11805032
19,2,12085763
20,3,13553240
21,3,14356284
22,3,16240401
23,3,16893180
24,2,17700243
25,1,17764478
26,3,17775228
27,3,18087558
28,3,18463780
29,1,19802709
30,0,19868151
31,2,20092442
32,2,21574902
33,1,21589156
34,1,21991472
35,2,22550077
36,1,22674829
37,3,23154039
38,2,25121694
39,2,27445757
40,2,27594440
41,0,27647043
42,3,27962995
43,2,27979677
44,2,28012529
45,2,28860004
46,2,28872277
47,0,28998516
48,3,31228696
49,2,31557065
50,1,32497283
51,3,32523101
52,2,33117209
53,3,33279830
54,3,33529184
55,1,34728746
56,2,34745151
57,1,35522260
58,1,35820312
59,2,36250489
60,2,36422769
61,1,37407787
62,1,37429990
63,2,37662310
64,1,38299263
65,3,38387529
66,1,38622506
67,0,39542328
68,1,40011882
69,1,40075579
70,0,41667069
71,3,42081065
72,3,42293443
73,1,42314300
74,0,45152218
75,1,45302172
76,1,45471557
77,1,45608588
78,2,47607908
79,2,49001498
80,2,49332773
81,0,49544665
82,0,49546514
83,2,50463293
84,2,50694155
85,1,50814508
86,1,51066395
87,0,51215276
88,0,51485306
89,0,51495433
90,3,51788657
91,3,53282998
92,2,53830853
93,2,54000223
94,3,54266976
95,2,54330682
96,3,54918782
97,1,55022448
98,1,55138918
99,3,55165354
100,2,55545656
101,0,55618938
102,0,55832804
103,1,56181131
104,1,56993156
105,1,57013744
106,2,57063947
107,3,57152252
108,3,58094198
109,3,58624218
110,0,58769312
111,2,59245099
112,3,59704169
113,3,60625788
114,2,61723736
115,0,62284408
116,3,63277301
117,0,64104805
118,0,64265568
119,0,64329956
120,0,64509873
121,2,64716149
122,3,65111538
123,1,65418445
124,1,66768279
125,3,67326642
126,1,67392478
127,1,68314116
128,3,69091735
129,2,69632305
130,3,70243048
131,2,70246835
132,0,70319993
133,3,71661055
134,3,72771967
135,0,72845499
136,2,72966978
137,3,73676732
138,1,74886147
139,3,75520119
140,2,76755830
141,2,78389234
142,1,78692214
143,2,78739632
144,0,79578770
145,0,79847204
146,1,79956123
147,3,80191707
148,3,80270773
149,1,80795359
150,2,81466497
151,3,81546226
152,2,81600292
153,2,81900353
154,2,82048774
155,3,82416816
156,1,82425743
157,1,82506278
158,0,82583711
159,0,83975592
160,2,84804938
161,0,85171953
162,1,87117455
163,0,87640752
164,0,87956194
165,0,88635854
166,0,90619574
167,2,91050841
168,2,91273994
169,3,92081106
170,0,92126602
171,2,92350653
172,2,92808666
173,3,93241717
174,1,93770071
175,0,94328878
176,2,94646007
177,3,94744421
178,1,94776698
179,1,94949084
180,1,96635438
181,0,97039516
182,2,97396323
183,0,97609649
184,0,98131252
185,3,98142064
186,1,98758548
187,2,102032904
188,1,103076423
189,0,103527433
190,1,104008331
191,0,104665181
192,3,105832537
193,3,107129801
194,2,107428060
195,2,107532735
196,1,108266298
197,2,110729230
198,3,110872668
199,0,110935556
200,1,111016312
201,2,111713352
202,1,112353589
203,3,113663247
204,2,114690058
205,3,114784429
206,3,117044370
207,0,117794870
208,2,119415516
209,1,120705742
210,3,120801196
211,1,121154176
212,3,121154485
213,3,121732299
214,1,122248456
215,1,122376351
216,2,122530048
217,3,123123495
218,2,123229922
219,0,124730423
220,1,125436687
221,0,127107776
222,1,127794218
223,1,128074660
224,0,128278551
225,1,128279446
226,2,129136994
227,3,130025863
228,2,130440432
229,1,130769015
230,1,130769887
231,0,130970443
232,1,131147417
233,0,131500656
234,2,131959606
235,3,132078351
236,2,132467384
237,1,132686243
238,0,133388612
239,1,134693875
240,3,136835602
241,0,137854506
242,3,138427196
243,3,140302856
244,2,140487610
245,3,140562779
246,1,140600032
247,0,141167980
248,3,141387266
249,2,141860707
250,1,142955236
251,2,143059410
252,3,143755690
253,3,143821708
254,1,143970511
255,2,144015578
256,2,144412786
257,1,145831608
258,3,145881398
259,2,146342629
260,0,146925437
261,0,147861778
262,2,147969020
263,1,148519260
264,3,148621900
265,1,148686819
266,0,149208594
267,3,150104714
268,0,150629001
269,0,150651991
270,1,153891108
271,0,153975149
272,2,154210669
273,2,154422328
274,3,155005480
275,1,155813587
276,0,156027440
277,0,156303495
278,1,156632568
279,2,157629927
280,1,157708515
281,0,158001928
282,1,159440937
283,2,159510640
284,2,159750636
285,3,160408982
286,2,161653772
287,0,162936276
288,2,164061713
289,2,165221022
290,1,165503381
291,1,166461015
292,0,166992227
293,0,167177326
294,3,168216941
295,3,168616573
296,0,169722264
297,1,170480542
298,1,170845437
299,2,171091710
300,3,171110926
301,1,171116173
302,2,171243796
303,3,172065160
304,0,172151956
305,2,172673797
306,1,173699182
307,2,173724425
308,2,174636747
309,3,175013494
310,2,175468211
311,0,175805105
312,2,176846673
313,3,176886371
314,3,176953784
315,3,177125049
316,3,178074242
317,1,178550722
318,1,179014657
319,2,179276252
320,3,179497063
321,1,179722697
322,1,181621840
323,0,182329300
324,0,183019099
325,0,183372272
326,3,184725918
327,1,184792598
328,2,185055267
329,0,185788935
330,3,187871128
331,0,187931905
332,0,187989647
333,3,187998841
334,1,188758270
335,1,188986072
336,2,189653693
337,1,189983608
338,3,190010998
339,1,190883686
340,1,190883766
341,3,191364019
342,2,191753538
343,0,191773426
344,3,192548791
345,1,193741423
346,1,194182098
347,0,195048751
348,3,195774432
349,2,195907751
350,1,196201208
351,0,196220087
352,3,196435071
353,0,197061422
354,2,197237728
355,3,197275127
356,2,197407956
357,1,198436976
358,0,198636272
359,1,198681621
360,2,199161583
361,2,199293538
362,3,199977222
363,0,200417582
364,3,200680156
365,1,201293999
366,3,202320166
367,2,202676985
368,3,203783084
369,0,204307931
370,2,204654621
371,0,204770885
372,0,204956715
373,3,205599034
374,3,206049931
375,0,206168052
376,0,206835455
377,1,207634753
378,0,208237393
379,0,208877872
380,0,209275333
381,0,211614847
382,2,211692288
383,1,212157546
384,3,214936585
385,3,215304112
386,2,216422156
387,2,217087306
388,0,217187855
389,3,218530863
390,0,220914217
391,1,221647803
392,0,221856131
393,3,222273658
394,3,222974103
395,2,223246987
396,1,223481730
397,2,223857946
398,2,226083071
399,2,226777917
400,0,227795091
401,2,227857291
402,2,229810413
403,2,229919103
404,3,229981798
405,0,230217625
406,3,230906941
407,2,231314372
408,1,231679863
409,3,231778508
410,2,231958527
411,2,232867416
412,0,232966729
413,0,233068729
414,3,233355129
415,1,233425350
416,1,233648048
417,1,233654349
418,1,233700751
419,3,233941184
420,2,233982483
421,2,235011535
422,1,235120461
423,2,235231248
424,2,235341781
425,2,238291743
426,1,238313352
427,1,238353765
428,1,238931241
429,1,239535013
430,2,240472543
431,1,241326029
432,1,241831595
433,2,242781361
434,1,243120677
435,0,243602433
436,3,244321442
437,3,245396339
438,2,246414049
439,2,247127835
440,1,247576809
441,1,249387822
442,3,249895692
443,2,250080963
444,3,250400755
445,0,250418526
446,1,250602411
447,2,250742039
448,3,252868464
449,3,253284116
450,1,254094525
451,0,254180986
452,3,254273376
453,3,254441321
454,0,255269757
455,3,255343532
456,1,256653754
457,0,256703515
458,0,257546107
459,2,258328549
460,1,259063859
461,2,260097122
462,0,260553060
463,0,260734221
464,1,261585041
465,0,261705101
466,3,261788521
467,1,261895924
468,3,264113218
469,1,264997224
470,3,265635236
471,3,265834669
472,0,266196902
473,1,266231720
474,3,266881682
475,2,267689411
476,2,267947027
477,1,268372726
478,0,268400429
479,0,268412587
480,2,268533409
481,1,268746369
482,2,269183343
483,3,269210596
484,3,269582357
485,1,269948205
486,3,270181681
487,1,270193774
488,2,270200231
489,1,270220436
490,0,270341018
491,2,270484748
492,2,271349771
493,1,271546635
494,0,271997536
495,1,272241522
496,3,272724509
497,2,273141511
498,0,274001503
499,1,274266220
500,1,274313031
501,0,274536115
502,0,274661098
503,2,274696006
504,3,276623433
505,0,276860649
506,0,277144255
507,1,277241694
508,0,277691031
509,1,277694079
510,1,277694206
511,2,277835376
512,2,278171392
513,0,278404370
514,1,278786814
515,1,279873938
516,1,280035133
517,1,280125717
518,2,283560938
519,2,284320984
520,3,284474107
521,2,284931388
522,3,285816270
523,1,286952997
524,3,288902143
525,1,288913156
526,1,288951074
527,2,288994745
528,0,290287918
529,0,290687852
530,2,290892066
531,2,291244068
532,3,291931441
533,2,292014889
534,2,292528723
535,0,294735535
536,2,296521467
537,1,298872263
538,3,299430098
539,1,300265390
540,3,300422522
541,0,300798282
542,1,301961249
543,2,302247652
544,1,302319530
545,1,302725795
546,0,304402546
547,0,304402567
548,2,304462733
549,3,305865609
550,0,306063811
551,1,306291358
552,1,307252214
553,2,307361949
554,1,308211106
555,2,308728971
556,2,308856784
557,2,309194505
558,2,309866054
559,0,310147791
560,1,310787380
561,0,311106226
562,2,311796987
563,2,311976480
564,1,312943405
565,3,313122274
566,0,313519802
567,1,313534335
568,0,314347379
569,0,314452811
570,0,314748525
571,3,315467604
572,1,315478328
573,3,316312484
574,0,317344724
575,2,318172083
576,3,318860157
577,3,319795336
578,2,320295531
579,3,320693457
580,2,320773338
581,3,322551416
582,3,322713975
583,2,322762092
584,0,323171398
585,0,323432729
586,1,324054978
587,1,324750159
588,0,324948008
589,2,325185738
590,1,325559352
591,3,325684583
592,2,326039831
593,1,327282056
594,3,327327011
595,3,327354834
596,3,327360338
597,3,327371488
598,3,327397793
599,3,327403238
600,3,328029009
601,0,328253443
602,1,328760680
603,3,330778800
604,1,331232048
605,0,331626070
606,0,331739810
607,3,332611331
608,1,332715557
609,0,333036294
610,3,333129621
611,2,334631350
612,1,334631762
613,1,335834537
614,2,336862530
615,3,337113793
616,2,337793370
617,3,337945728
618,2,338111987
619,3,338160735
620,0,339317040
621,3,339806761
622,3,340858921
623,1,341820941
624,1,342679050
625,2,342683673
626,0,342893867
627,1,343661399
628,2,343789032
629,1,344337887
630,1,344613715
631,2,345675656
632,0,346204276
633,3,346238396
634,1,348020447
635,2,348430536
636,2,349036238
637,1,349122651
638,2,349214808
639,0,349280005
640,3,349563719
641,2,349785457
642,3,350176780
643,3,351007899
644,2,351353815
645,2,352416865
646,1,352462852
647,3,352651163
648,2,352767552
649,0,352987954
650,2,353372686
651,0,354229038
652,2,354321457
653,1,354342826
654,0,355173127
655,2,355675732
656,2,355676463
657,1,356355794
658,1,356377325
659,1,356492602
660,0,357256225
661,2,357459362
662,3,358153826
663,3,358177486
664,3,359067912
665,0,359375503
666,3,359382675
667,1,360381435
668,1,360919302
669,1,360938239
670,1,361172144
671,2,361539475
672,3,363738458
673,2,363750427
674,2,365292001
675,0,366325681
676,2,367315439
677,0,367444281
678,3,368306568
679,3,368306690
680,1,368739604
681,1,369188922
682,3,369989458
683,3,370178043
684,1,370886371
685,2,371553725
686,2,371915292
687,1,372380256
688,0,372380563
689,0,374224686
690,1,374298585
691,3,375068736
692,2,375693566
693,1,375891926
694,0,375970168
695,1,376996629
696,3,377057561
697,3,377130983
698,1,377734935
699,2,379620790
700,0,380020903
701,0,381037705
702,0,381227039
703,1,381251526
704,3,381713073
705,1,383303317
706,0,383431990
707,3,385048641
708,3,385604843
709,2,385910529
710,2,386352217
711,1,386705520
712,2,387047430
713,3,387449902
714,1,387604099
715,1,387800655
716,3,388098160
717,2,388141156
718,0,388386941
719,1,388737792
720,1,389297637
721,1,389309025
722,3,389581396
723,1,389603222
724,1,390132971
725,2,390621977
726,3,390758951
727,1,391504585
728,2,392151178
729,3,393016299
730,2,393605594
731,2,393609081
732,1,393732569
733,0,394115324
734,2,394270241
735,3,394840921
736,0,395690394
737,3,396597113
738,2,397000698
739,0,397865868
740,1,398178575
741,3,398262622
742,2,398590454
743,1,398828833
744,3,399761540
745,1,399930027
746,3,400607555
747,2,401214405
748,2,401433759
749,0,402367701
750,0,402587648
751,1,403328353
752,1,403382690
753,1,403988174
754,3,404052818
755,0,404935461
756,2,405201870
757,3,405869288
758,2,407482840
759,2,408763632
760,2,409273550
761,3,409541061
762,3,410004758
763,3,410109551
764,3,410873995
765,2,410979292
766,0,411213681
767,2,411407341
768,2,411938573
769,2,412248744
770,1,412441689
771,0,412496364
772,2,414046629
773,1,415032238
774,0,415274060
775,2,415427038
776,0,417038989
777,1,418261625
778,0,418558298
779,1,419603412
780,3,420156965
781,2,423409735
782,3,430168759
783,1,432832089
784,0,442742274
785,1,443018966
786,0,443918992
787,1,447321516
788,2,449392434
789,1,449539267
790,1,449775566
791,2,449884394
792,3,454165970
793,1,454201612
794,1,458713748
795,1,459497360
796,3,459512515
797,3,460586357
798,0,461070865
799,2,461478623
800,0,462433226
801,1,463464682
802,3,466348514
803,1,466428824
804,2,466486781
805,1,466489866
806,1,466863362
807,0,467246175
808,1,467403312
809,3,467999663
810,0,468930095
811,3,469030193
812,1,469794320
813,1,470017771
814,3,471149823
815,2,471786951
816,0,474702447
817,0,475399844
818,1,477848881
819,0,480544758
820,0,483769912
821,3,485233837
822,2,485451724
823,1,488197837
824,3,488828727
825,3,490861023
826,3,492435680
827,2,493821725
828,3,495688388
829,2,497393787
830,3,498480098
831,3,498806265
832,2,504118154
833,1,504407446
834,0,505550780
835,1,506456737
836,1,507317574
837,0,507642279
838,1,510696408
839,2,513528306
840,3,513889348
841,1,514151443
842,3,514447012
843,1,518202607
844,0,518434107
845,2,519655122
846,2,522982649
847,3,524353510
848,1,526759557
849,2,530887611
850,3,531031516
851,0,536762729
852,1,536795011
853,0,537450909
854,3,538910506
855,1,540808678
856,3,542279698
857,1,544092402
858,3,544359467
859,2,545778942
860,3,547090016
861,0,548720380
862,3,550756359
863,0,555920524
864,1,556271998
865,3,560465243
866,1,561131562
867,0,564534110
868,1,566142522
869,0,567665218
870,1,568863180
871,1,574298285
872,0,575908984
873,1,576309914
874,1,579353161
875,3,579401550
876,0,580898448
877,3,584462892
878,0,585056953
879,2,586612217
880,0,587014433
881,1,587615452
882,2,592303756
883,1,592621238
884,2,593736571
885,1,594111494
886,3,594570220
887,1,595862914
888,1,599004634
889,2,603199988
890,1,603215188
891,1,603718112
892,3,606293615
893,2,608100054
894,1,610497692
895,1,612396247
896,2,612764669
897,3,613366706
898,3,617547749
899,1,617577680
900,3,618781099
901,3,619537743
902,0,619558148
903,2,621051003
904,3,626123969
905,2,626486257
906,2,627766064
907,3,637016920
908,1,640882370
909,1,643808187
910,0,650581728
911,2,657396118
912,2,662185249
913,3,663017167
914,0,663096223
915,3,665563731
916,1,668964610
917,1,670456634
918,1,672093029
919,2,672095710
920,3,672117527
921,0,673036386
922,0,677937351
923,2,678600383
924,3,678604069
925,3,678798238
926,3,682707886
927,3,683770577
928,2,683947025
929,1,684085470
930,1,692067019
931,1,696029517
932,3,700217926
933,1,702788876
934,0,705041971
935,2,707641835
936,3,708103745
937,2,708437635
938,1,710220531
939,2,711723970
940,3,715377461
941,1,717898791
942,3,718788113
943,3,719228977
944,1,719236068
945,0,719443035
946,2,719886518
947,3,721011063
948,3,725067184
949,2,725555690
950,3,727844477
951,0,728580393
952,2,729813198
953,3,730106943
954,1,730442550
955,3,730696267
956,3,730947521
957,0,731496038
958,1,731618756
959,1,732615823
960,1,733075936
961,3,735462526
962,2,737708564
963,1,738060128
964,2,738377069
965,3,738892457
966,2,739780733
967,3,741642368
968,1,745114976
969,2,745181199
970,1,746487473
971,3,747288539
972,3,748135537
973,1,749277727
974,0,752796837
975,1,755053750
976,1,755202833
977,0,756192541
978,2,757447441
979,3,760576255
980,3,768028301
981,1,768353924
982,2,768518708
983,3,769551169
984,3,769828926
985,1,775547302
986,2,781460872
987,1,782929961
988,1,786598679
989,2,789418675
990,1,790479722
991,2,790494373
992,1,790499805
993,2,791179804
994,1,791246562
995,1,793439874
996,2,801205929
997,0,802524498
998,3,803228213
999,1,806971221
1000,0,807428897
1001,3,808379192
1002,3,809256305
1003,1,811492673
1004,1,813886217
1005,1,819520407
1006,1,820612525
1007,1,821223956
1008,2,822054236
1009,2,822070616
1010,1,823645740
1011,0,824040412
1012,3,824272834
1013,3,829109159
1014,2,830311452
1015,0,831764772
1016,1,832613495
1017,3,837221498
1018,1,838090821
1019,2,838734809
1020,3,838792606
1021,3,841349952
1022,2,841829420
1023,0,842406699
1024,2,843631265
1025,1,843786311
1026,3,846882600
1027,2,847248816
1028,2,847425934
1029,1,847728875
1030,1,849192245
1031,0,849624331
1032,3,851169063
1033,2,852562403
1034,1,855514822
1035,2,856057394
1036,1,860178995
1037,0,860958069
1038,3,862300086
1039,1,869868814
1040,1,870614708
1041,3,874409217
1042,3,876419638
1043,2,876842956
1044,2,879322675
1045,3,879685401
1046,3,880784222
1047,2,882714568
1048,3,886590203
1049,3,886590918
1050,0,887242602
1051,1,888729872
1052,0,895014900
1053,1,896367586
1054,3,898267514
1055,3,900979019
1056,1,902831678
1057,1,903492479
1058,1,905593627
1059,0,906145744
1060,3,906740617
1061,2,908089860
1062,3,910920750
1063,2,925465250
1064,1,928416420
1065,1,928549952
1066,3,933444902
1067,2,934923816
1068,3,936026821
1069,3,936260976
1070,1,936785644
1071,3,937604811
1072,2,938650688
1073,3,939509025
1074,3,939613548
1075,1,939680537
1076,3,945864413
1077,3,946734337
1078,1,947037733
1079,3,950430134
1080,2,950534592
1081,1,955585521
1082,1,960108284
1083,2,960651554
1084,3,960710827
1085,1,967988802
1086,3,972986631
1087,1,975056477
1088,3,975700360
1089,3,977642095
1090,3,978378265
1091,3,978465444
1092,3,979164368
1093,3,980766267
1094,2,981346748
1095,3,982030354
1096,1,982301038
1097,1,983010029
1098,1,985699493
1099,3,987126963
1100,3,988360307
1101,0,995842732
1102,0,996497001
1103,3,998213990
1104,0,998302680
1105,3,998325068
1106,3,998689686
1107,0,998865930
1108,1,999273416
1109,1,1005473710
1110,1,1005809521
1111,2,1009377950
1112,3,1009492062
1113,1,1009821572
1114,1,1012079080
1115,2,1013998794
1116,2,1014462680
1117,3,1016848558
1118,2,1017363016
1119,1,1019310934
1120,1,1020287107
1121,1,1021518463
1122,1,1022270776
1123,1,1023432362
1124,2,1023660367
1125,2,1024988909
1126,2,1026451794
1127,3,1026784699
1128,3,1031234276
1129,0,1033854291
1130,3,1036539224
1131,2,1039976072
1132,1,1045692892
1133,1,1048218094
1134,0,1048809865
1135,1,1051707695
1136,2,1053407977
1137,0,1055936466
1138,1,1059441411
1139,3,1061592240
1140,1,1063304793
1141,1,1063365525
1142,2,1069277261
1143,2,1071334777
1144,2,1074547160
1145,0,1077147359
1146,2,1082861246
1147,3,1087390693
1148,2,1089529706
1149,1,1090646948
1150,2,1093891389
1151,0,1094919308
1152,0,1096516772
1153,2,1098938820
1154,1,1106024726
1155,3,1107454805
1156,3,1110504598
1157,3,1113062084
1158,3,1117624965
1159,2,1118846573
1160,1,1121060872
1161,1,1133886833
1162,1,1136606556
1163,3,1137218071
1164,1,1137741270
1165,3,1139296368
1166,1,1143311308
1167,3,1144692260
1168,1,1145086405
1169,0,1145325460
1170,0,1147608690
1171,0,1148050317
1172,1,1149427825
1173,1,1149631552
1174,1,1151050583
1175,1,1152491488
1176,3,1153320934
1177,3,1155111778
1178,3,1155652745
1179,3,1155735459
1180,2,1156826697
1181,3,1158413852
1182,0,1159035449
1183,0,1160603037
1184,3,1161021113
1185,1,1161174372
1186,2,1161459532
1187,0,1166499852
1188,1,1167597372
1189,3,1167706162
1190,3,1168312038
1191,3,1170116073
1192,3,1170732396
1193,0,1171724311
1194,1,1177000074
1195,3,1180402691
1196,3,1182272057
1197,2,1184729588
1198,3,1187407032
1199,0,1187699330
1200,1,1187928474
1201,3,1188386466
1202,1,1188748935
1203,1,1190832660
1204,1,1192306481
1205,1,1193492147
1206,3,1193937659
1207,1,1195473867
1208,3,1196163929
1209,2,1200151645
1210,2,1202150009
1211,3,1204146352
1212,3,1206374098
1213,1,1210118226
1214,0,1210532538
1215,2,1213396337
1216,0,1215840316
1217,0,1216011488
1218,1,1217133756
1219,0,1217271339
1220,1,1217336079
1221,0,1217982078
1222,1,1220695206
1223,0,1224920602
1224,0,1225286756
1225,2,1225728571
1226,2,1227045329
1227,1,1229393471
1228,1,1229861981
1229,3,1234247673
1230,0,1234268615
1231,2,1235688338
1232,3,1236923722
1233,3,1237067865
1234,2,1237258071
1235,0,1237273205
1236,0,1237945014
1237,1,1239768566
1238,1,1240400359
1239,2,1243381076
1240,1,1243597642
1241,3,1243726860
1242,1,1244898899
1243,3,1245559646
1244,3,1247641010
1245,0,1249578726
1246,1,1253208981
1247,0,1253666544
1248,3,1255956932
1249,2,1259444450
1250,1,1263126325
1251,3,1267102133
1252,1,1269039184
1253,2,1272553814
1254,0,1276282459
1255,0,1277188747
1256,1,1278378294
1257,1,1282412815
1258,1,1285956168
1259,1,1287150354
1260,0,1293171505
1261,3,1293585343
1262,2,1293952207
1263,1,1296402476
1264,1,1297794548
1265,2,1304008284
1266,0,1304905275
1267,2,1307049056
1268,1,1307106361
1269,3,1307484611
1270,1,1309599907
1271,0,1313575279
1272,1,1313847496
1273,0,1314301533
1274,0,1314373546
1275,2,1316720772
1276,3,1317593233
1277,1,1317847534
1278,2,1319312222
1279,1,1327975290
1280,1,1328278771
1281,3,1328321541
1282,0,1329930409
1283,3,1331097186
1284,2,1332559817
1285,1,1333266945
1286,1,1335129910
1287,2,1335240878
1288,2,1335627833
1289,2,1336048480
1290,1,1336069776
1291,3,1336620476
1292,1,1336628034
1293,1,1336710564
1294,1,1337274714
1295,0,1337603530
1296,2,1338102400
1297,3,1339292023
1298,3,1340258030
1299,3,1342212184
1300,0,1342214535
1301,2,1344739933
1302,0,1351265723
1303,1,1352305417
1304,1,1352406697
1305,1,1352807537
1306,1,1353628720
1307,2,1355232604
1308,0,1356365404
1309,3,1357936581
1310,1,1358395379
1311,2,1359806989
1312,3,1360815705
1313,2,1364825325
1314,1,1365392023
1315,3,1367259457
1316,1,1367778825
1317,1,1368483796
1318,0,1368666244
1319,3,1368834070
1320,3,1370407835
1321,3,1371494558
1322,3,1371893051
1323,3,1374842952
1324,3,1375341505
1325,2,1376265520
1326,1,1376965327
1327,2,1379362507
1328,1,1385831126
1329,3,1385908360
1330,2,1388506333
1331,1,1389706708
1332,1,1392539620
1333,2,1393451567
1334,0,1395642777
1335,1,1396045784
1336,3,1397568387
1337,3,1401848416
1338,1,1403757171
1339,2,1403765079
1340,3,1404230446
1341,3,1406438904
1342,0,1406667220
1343,1,1407576341
1344,0,1409399337
1345,0,1409998970
1346,3,1409999760
1347,0,1411866401
1348,2,1413282954
1349,0,1414240193
1350,0,1416440764
1351,2,1424874562
1352,3,1426537349
1353,3,1428948753
1354,3,1429225712
1355,3,1430723827
1356,0,1434376214
1357,3,1437696678
1358,2,1438849109
1359,1,1438990917
1360,3,1441785000
1361,3,1443229678
1362,2,1443768100
1363,1,1444253801
1364,2,1444308368
1365,3,1446075525
1366,3,1446412766
1367,1,1447056908
1368,3,1447277421
1369,1,1447657483
1370,0,1451406385
1371,1,1451920597
1372,0,1452528512
1373,2,1452607573
1374,3,1453474173
1375,1,1456612490
1376,2,1457879804
1377,3,1461514768
1378,0,1461521029
1379,3,1462760955
1380,3,1463076327
1381,0,1463562791
1382,1,1463575087
1383,3,1463917027
1384,1,1464464930
1385,2,1468310315
1386,1,1468528072
1387,0,1469209733
1388,2,1469309531
1389,3,1471650044
1390,0,1472456509
1391,1,1474145925
1392,3,1474392734
1393,0,1474462229
1394,0,1477590081
1395,3,1478681064
1396,2,1479705355
1397,1,1479716869
1398,0,1479945692
1399,0,1483448423
1400,3,1483826208
1401,0,1486851176
1402,1,1488486134
1403,2,1489384539
1404,3,1492116366
1405,3,1497476458
1406,2,1499364729
1407,3,1499477295
1408,1,1503954135
1409,0,1504333093
1410,2,1508605113
1411,0,1509359565
1412,2,1510550417
1413,1,1510604292
1414,2,1512495357
1415,2,1512632338
1416,2,1513631192
1417,0,1514487808
1418,1,1514731403
1419,3,1515532716
1420,3,1516262288
1421,2,1516320622
1422,3,1516883436
1423,3,1518667643
1424,2,1521138835
1425,2,1521216655
