,cat,id
0,1,347325
1,0,554015
2,0,1019814
3,0,1234564
4,0,1340809
5,2,1500714
6,1,1619033
7,2,1624298
8,2,1628272
9,0,3233225
10,2,3519702
11,0,3657072
12,0,4462148
13,0,4594812
14,0,5885644
15,2,6072725
16,0,6126903
17,0,6436845
18,1,7295555
19,0,7313379
20,0,7637705
21,0,7852704
22,2,8560939
23,0,8649199
24,0,8802006
25,2,9062716
26,2,9119773
27,1,9779797
28,0,10235037
29,1,11560120
30,0,11948174
31,2,12594338
32,0,12711461
33,0,12720502
34,1,13008829
35,0,13187594
36,2,14221865
37,0,14255952
38,2,14382038
39,0,14954104
40,0,15065344
41,0,15435111
42,0,15442917
43,0,15778419
44,0,15830955
45,0,15950269
46,0,16152982
47,0,17855189
48,0,18974671
49,2,19019375
50,0,19022134
51,0,19240077
52,1,19259250
53,2,19272081
54,2,19450379
55,0,19667472
56,0,20105689
57,1,20139413
58,1,20427584
59,1,21182642
60,0,21238447
61,1,22253104
62,2,22604885
63,0,22686814
64,0,23239702
65,2,23250699
66,0,23656426
67,0,23881926
68,0,24010222
69,0,24117084
70,0,24901416
71,0,24901518
72,0,25781105
73,0,25882454
74,0,26053633
75,0,26252578
76,1,26594380
77,1,26891407
78,0,27082950
79,0,28121866
80,0,28224706
81,0,28224848
82,0,28403852
83,0,28944808
84,2,29011320
85,0,29056789
86,1,29156641
87,0,29639565
88,1,30006137
89,0,30014584
90,0,30073693
91,0,30111440
92,1,31489629
93,2,31620333
94,0,31634187
95,0,31670078
96,1,32052237
97,1,32174251
98,0,32211272
99,0,34703002
100,0,34726443
101,0,34875022
102,0,35054876
103,1,36674149
104,0,38021634
105,0,38310988
106,0,38819907
107,1,38835854
108,0,39636790
109,2,40137483
110,0,40419902
111,0,40697533
112,0,40938055
113,0,40994113
114,1,41111587
115,0,41138429
116,0,41371773
117,0,42983817
118,2,44183148
119,2,44327378
120,0,44585412
121,0,44623329
122,2,45181552
123,0,45289030
124,0,45494940
125,0,45504462
126,0,45581354
127,2,46374078
128,0,46428797
129,0,46848871
130,0,47328892
131,0,48056532
132,0,48121216
133,1,48354731
134,0,48428065
135,0,49089547
136,0,49782709
137,0,49914117
138,0,50707622
139,0,51432152
140,0,52768065
141,1,53431422
142,0,53886679
143,2,53925077
144,2,54198630
145,0,54576929
146,0,54907644
147,1,55244413
148,2,55515163
149,0,55890057
150,0,55912420
151,0,56039645
152,0,56305413
153,1,56710844
154,0,57168092
155,0,58309314
156,0,59115628
157,0,59197059
158,1,59845898
159,0,60445384
160,0,61120895
161,1,61556902
162,0,61586881
163,0,61720395
164,0,63290376
165,1,64222586
166,2,64721485
167,0,64743217
168,0,64845865
169,1,66005265
170,0,66712354
171,2,67455982
172,0,68389762
173,2,69399911
174,0,70415117
175,2,71742690
176,0,72044514
177,0,72125255
178,0,72278587
179,0,72981719
180,0,73366137
181,2,73607817
182,0,73987359
183,1,74057582
184,0,74339120
185,1,74519341
186,0,75255834
187,1,75403876
188,0,75407920
189,1,76084298
190,0,76256716
191,1,76674063
192,2,76680795
193,1,76740005
194,1,76842074
195,0,77423194
196,2,78190577
197,1,79036823
198,0,79116378
199,0,79621339
200,0,79875111
201,0,80396502
202,0,80452339
203,2,80822210
204,0,81035320
205,0,81611183
206,0,82013567
207,1,82943347
208,0,85406063
209,1,86333645
210,1,86481889
211,0,87379607
212,2,87440357
213,1,87855860
214,0,88469645
215,1,88470883
216,0,89090729
217,0,89438973
218,0,90211254
219,0,90804356
220,1,90861918
221,2,90908992
222,0,91381384
223,2,93250647
224,0,93731316
225,0,94236365
226,0,94570167
227,1,95002274
228,0,95064239
229,1,95717098
230,0,96301288
231,1,98223588
232,0,99598672
233,1,99604447
234,0,100501406
235,0,101029593
236,0,101475486
237,2,101769681
238,1,101993214
239,0,102581493
240,2,102801874
241,2,102944036
242,0,104296773
243,0,104368058
244,0,105967573
245,0,105972077
246,0,106282541
247,1,106364193
248,1,107216570
249,1,109362447
250,0,109428614
251,1,109476603
252,0,109529006
253,0,109594777
254,0,109965967
255,0,110127067
256,2,110475487
257,0,110564743
258,0,111844038
259,0,112396639
260,0,112581026
261,2,112715312
262,2,113928134
263,0,115046371
264,0,115949177
265,0,117714669
266,0,119336651
267,0,119580637
268,0,120242030
269,0,120262713
270,0,121173193
271,0,121770917
272,1,121841938
273,2,122087062
274,0,122659757
275,0,122750482
276,1,123319885
277,0,124520171
278,0,125131478
279,0,125805262
280,1,126170163
281,0,126823500
282,1,127401559
283,2,127779574
284,0,128389722
285,0,128430960
286,1,129978014
287,0,130748399
288,0,130931779
289,0,131107339
290,1,131110029
291,0,131265992
292,0,131447440
293,0,132140733
294,0,132311889
295,0,132957443
296,0,133158804
297,0,133504589
298,1,133594943
299,0,134005766
300,0,135168595
301,1,137411177
302,0,137456830
303,1,137523565
304,1,138588951
305,1,139145992
306,2,141594173
307,0,141774402
308,0,141789737
309,0,141843562
310,0,141922795
311,2,142309746
312,0,142587401
313,0,143056189
314,0,144052932
315,2,144226769
316,2,144973642
317,0,144985718
318,2,145052624
319,0,145069691
320,0,145140205
321,0,145568392
322,0,146849107
323,0,146910721
324,0,147698797
325,0,147971232
326,2,149146626
327,0,149673951
328,2,150157712
329,0,150231451
330,0,150373624
331,0,150899531
332,0,151095197
333,0,151424524
334,1,152413512
335,0,152485814
336,2,153320500
337,0,153449120
338,1,155515129
339,0,157879710
340,1,157915269
341,2,158129351
342,0,158158806
343,0,158380485
344,0,158696125
345,0,159055517
346,0,159380872
347,1,159647253
348,0,160083462
349,1,160535513
350,0,160884757
351,1,161617200
352,0,161697917
353,0,162107050
354,0,162120624
355,1,162618435
356,2,163521464
357,1,163524921
358,1,163809297
359,0,163821606
360,0,164395588
361,0,165756949
362,0,167656704
363,0,168399972
364,0,168718642
365,2,168936223
366,2,170265723
367,0,170630620
368,0,171124168
369,1,173130999
370,1,173875487
371,2,173991425
372,0,175737945
373,0,175986745
374,0,176110429
375,1,176890008
376,2,177105350
377,0,177886271
378,2,178433930
379,0,178616154
380,0,178619984
381,1,178626242
382,1,178631070
383,1,179063596
384,0,179736813
385,1,179769364
386,0,180413541
387,0,181554166
388,0,181621533
389,0,182239625
390,0,183061462
391,2,183699885
392,1,184257296
393,0,184493179
394,0,185900586
395,1,186033726
396,0,186055980
397,0,186248419
398,0,186627017
399,0,187766952
400,1,188102939
401,0,188512388
402,1,188613093
403,0,189041568
404,2,189061467
405,0,189296339
406,1,189409846
407,1,189476410
408,0,191953550
409,2,192902013
410,0,193179809
411,0,193420548
412,2,193862860
413,0,194341655
414,0,194603037
415,0,195600139
416,0,196258268
417,2,196327245
418,0,196589516
419,0,197073039
420,0,197192886
421,0,197362651
422,0,197379362
423,1,200548386
424,0,200981310
425,1,201258723
426,0,201290984
427,0,201969928
428,0,202278967
429,2,202676249
430,2,203002805
431,1,203169393
432,0,203453403
433,2,204002656
434,1,204011302
435,0,205051190
436,0,205080761
437,0,205747665
438,0,206259530
439,1,206272762
440,0,206396175
441,1,206531724
442,1,206846150
443,0,208306123
444,0,208993704
445,0,210045936
446,0,210953326
447,2,211486658
448,1,211822136
449,0,211856442
450,0,212270626
451,0,212874584
452,2,213417151
453,0,213556994
454,0,213677520
455,2,215028495
456,1,215239151
457,2,215325689
458,1,215517287
459,1,215577034
460,0,215849441
461,0,215952107
462,0,216428745
463,0,216783065
464,1,216895471
465,2,217334343
466,0,218196521
467,0,218496279
468,1,219581978
469,0,219593222
470,0,220058341
471,2,220339887
472,0,220402608
473,2,220522051
474,2,221226316
475,2,222021895
476,1,222407260
477,0,223235859
478,2,223314579
479,0,224330709
480,0,225154909
481,2,225828735
482,0,226572797
483,1,226859207
484,1,226976167
485,0,227569568
486,0,228718395
487,0,228870882
488,2,229382632
489,0,229491993
490,0,229492406
491,0,231468133
492,1,233481766
493,0,233733450
494,1,234372269
495,2,235333337
496,1,236346888
497,2,236436363
498,1,237905340
499,0,238693584
500,2,239741812
501,0,239789378
502,1,240300072
503,0,240397061
504,0,240843057
505,0,241719997
506,2,241918349
507,0,242162472
508,0,242731297
509,0,242737742
510,0,242791526
511,2,243062719
512,1,243179961
513,1,243432716
514,1,245890136
515,0,246567208
516,0,246938675
517,0,247117525
518,0,247242283
519,1,248858812
520,1,249269652
521,0,249515844
522,0,249598802
523,0,249636846
524,0,249798935
525,2,250330125
526,0,250565900
527,0,250754093
528,0,250890737
529,0,251006842
530,1,251929111
531,0,252018035
532,0,252457868
533,1,252622702
534,0,252748653
535,0,252749911
536,2,252940536
537,1,252949693
538,2,253062379
539,0,253289932
540,0,253317874
541,0,253931690
542,0,254064360
543,1,254183457
544,0,254308072
545,0,254344924
546,1,254395534
547,0,254815276
548,0,256384621
549,0,256387015
550,1,256391620
551,0,256868329
552,2,257247903
553,0,257435308
554,1,258391132
555,1,259171445
556,0,259370100
557,0,259580522
558,1,259592414
559,0,259966508
560,0,260326592
561,0,260515313
562,0,260538055
563,1,260790551
564,2,261650335
565,0,261832526
566,0,262819405
567,0,263622985
568,0,264181073
569,0,264475123
570,0,265548105
571,0,266031769
572,0,266560887
573,1,267283856
574,0,267283884
575,0,267336108
576,2,267404119
577,0,268570254
578,0,269708851
579,2,270085705
580,2,270100113
581,0,270900477
582,0,270938756
583,1,271041315
584,0,271113830
585,2,271342852
586,2,271388899
587,0,271756619
588,0,271794774
589,2,272959629
590,2,273219766
591,1,273251878
592,0,273876966
593,0,274164318
594,0,274927519
595,0,274944219
596,0,275107889
597,0,275968477
598,1,276931408
599,0,277240172
600,1,277464376
601,0,278822266
602,0,278957758
603,0,278958553
604,1,279937115
605,0,280410562
606,2,282334333
607,0,283627047
608,0,284387967
609,0,284526189
610,2,285231372
611,2,285231818
612,0,285293410
613,0,285985844
614,0,286129357
615,0,286210145
616,0,286584072
617,0,286844496
618,2,287199653
619,1,287493913
620,0,287842847
621,0,287862652
622,1,287900155
623,0,288095202
624,2,288273968
625,0,288770769
626,0,289109327
627,0,289135656
628,0,289436176
629,0,289964652
630,0,290245926
631,1,290251810
632,2,290298421
633,1,290353947
634,2,290770823
635,0,291010803
636,0,291108744
637,0,292134863
638,0,292352268
639,0,292738285
640,1,293116937
641,2,293580039
642,2,293805899
643,1,294366772
644,1,294701803
645,2,295147885
646,0,295399671
647,2,295458209
648,0,295758759
649,1,295862895
650,0,295867268
651,0,296580343
652,0,297385859
653,2,298314152
654,1,298471247
655,0,298614692
656,0,298789698
657,0,299175856
658,0,299178233
659,2,299183994
660,0,299242063
661,0,299588065
662,0,299864136
663,0,300092183
664,2,300394941
665,0,300962288
666,1,300964628
667,1,301031174
668,0,302165812
669,0,305596282
670,1,305850020
671,0,306447758
672,1,307318533
673,2,307712461
674,1,308188219
675,2,308570713
676,2,309128638
677,0,310668858
678,0,313397137
679,0,313533243
680,0,313544803
681,0,313670682
682,0,313749360
683,0,314420551
684,0,315067688
685,0,315263291
686,0,315554243
687,0,316559491
688,1,316638947
689,0,317390276
690,0,319289904
691,0,320052435
692,0,320394057
693,1,321120859
694,0,321434137
695,0,321654359
696,1,322506657
697,0,322608698
698,1,325074339
699,0,325735081
700,0,326588613
701,2,327069513
702,0,327474405
703,2,327930276
704,0,329740135
705,0,330124594
706,0,330202791
707,0,330909054
708,0,332992265
709,0,332992426
710,0,333008188
711,2,333114680
712,2,334862968
713,0,335194291
714,1,335408672
715,0,336328423
716,1,336736036
717,1,336736960
718,0,337173599
719,0,338094590
720,0,338241670
721,2,338936598
722,2,339068918
723,0,339370280
724,2,339926315
725,2,340148141
726,0,340472991
