,cat,id
0,1,997412
1,0,999050
2,2,1132997
3,1,2274223
4,2,3710970
5,1,5718664
6,2,5938600
7,2,7134288
8,0,7142319
9,1,7442943
10,0,7451217
11,2,7469867
12,1,7962404
13,1,8633909
14,2,9834999
15,2,9910736
16,2,9924090
17,2,12303709
18,2,12814119
19,1,12883514
20,1,13010047
21,2,13758071
22,2,13942429
23,1,13943765
24,2,13945145
25,2,13945369
26,2,13948377
27,1,14363391
28,2,14562956
29,2,15001999
30,0,16448342
31,2,17534617
32,2,17911792
33,2,18044533
34,2,19493371
35,1,19883095
36,1,19887339
37,2,19887888
38,2,19953472
39,1,20097544
40,2,20202819
41,2,20346192
42,2,21381014
43,1,22939439
44,2,23388315
45,2,24047242
46,0,24472578
47,2,25765112
48,0,26228506
49,0,26915435
50,0,28981605
51,0,28997660
52,2,30653422
53,2,34787156
54,0,36527989
55,2,36528528
56,2,37034630
57,0,37295833
58,1,37907905
59,2,39120141
60,0,40071582
61,1,40762815
62,2,41343076
63,2,44601499
64,2,44601617
65,2,44906584
66,0,45172663
67,1,46097111
68,0,46569256
69,1,46712720
70,1,47085315
71,2,47086667
72,2,47086805
73,0,47524362
74,2,47850147
75,2,48403381
76,2,48403389
77,2,49442652
78,0,49813204
79,0,50963880
80,2,50964227
81,0,50976265
82,2,51648185
83,0,51757689
84,1,52984576
85,0,54091131
86,2,55166445
87,2,55675528
88,2,56667784
89,2,58056887
90,0,58611512
91,0,59195104
92,1,60382924
93,2,60589892
94,2,61762446
95,2,62915782
96,2,63441145
97,2,64115077
98,0,64530231
99,2,64663744
100,2,64663792
101,0,66748331
102,2,67422727
103,1,68724325
104,2,69948431
105,0,70111425
106,2,71632650
107,2,71820417
108,2,72346059
109,2,72549552
110,2,73305648
111,0,74367357
112,2,74367367
113,1,74456338
114,2,74931058
115,0,75356354
116,0,75356649
117,0,75356673
118,0,75360193
119,2,78157192
120,1,78352335
121,1,78376394
122,0,79967114
123,2,80162671
124,2,80613062
125,2,81529493
126,2,81781355
127,2,81781468
128,2,82056817
129,1,82210950
130,2,82306556
131,0,82446272
132,0,82897984
133,2,82987610
134,1,83229934
135,0,83856532
136,2,85773853
137,1,86039463
138,2,86595625
139,2,86741986
140,2,86832073
141,2,87624587
142,0,87866752
143,2,91002587
144,2,91837625
145,2,92132611
146,2,92857399
147,2,92857924
148,0,93028458
149,2,93525213
150,2,93526141
151,2,93526370
152,1,93527412
153,2,95925870
154,1,96373520
155,2,96381316
156,1,98156989
157,0,98831927
158,0,98892575
159,2,101892195
160,2,103133252
161,2,107926342
162,2,108171756
163,2,109824071
164,1,109971801
165,0,110034626
166,2,110216921
167,2,110614856
168,2,110825329
169,2,110850773
170,2,110850968
171,2,112333681
172,2,112471117
173,2,112635179
174,2,113641325
175,0,113650629
176,0,114430981
177,2,114842784
178,2,114842938
179,2,114967772
180,2,115208432
181,1,116190187
182,2,116343773
183,0,116920721
184,2,117080746
185,2,118926299
186,2,118926361
187,2,119814176
188,0,120096093
189,0,120096142
190,0,120097563
191,2,120804830
192,1,122217719
193,1,122456680
194,1,122808069
195,1,123005794
196,1,123115148
197,2,123164534
198,2,124574841
199,1,124763409
200,2,124962002
201,0,125084621
202,0,125695092
203,1,126604883
204,0,126624606
205,2,126764577
206,2,127184109
207,1,128182019
208,2,129619494
209,2,131318428
210,1,131390256
211,2,132013943
212,2,132911647
213,2,133126319
214,0,133687591
215,1,135464037
216,1,137381873
217,2,137682589
218,2,138355498
219,0,138520286
220,2,139580436
221,2,140284197
222,2,140284444
223,2,140285345
224,2,140465800
225,2,140465989
226,1,140943434
227,0,142477920
228,1,142642360
229,0,142860443
230,2,143239897
231,2,144790199
232,1,145319709
233,1,145319762
234,0,145398774
235,2,145538613
236,0,146032242
237,2,146883329
238,2,147716276
239,1,148379518
240,1,148937851
241,0,148939023
242,0,149428490
243,2,149523042
244,1,150202723
245,0,151114165
246,0,151465331
247,0,153209217
248,2,154506226
249,1,154528650
250,0,155967510
251,0,157144144
252,1,157672787
253,2,158038381
254,2,158514348
255,2,159153055
256,1,160208442
257,0,160635082
258,1,161583993
259,0,162486348
260,2,162955905
261,1,162956407
262,0,165182889
263,0,165767639
264,0,167138361
265,0,167855812
266,0,169514289
267,2,169533527
268,0,171863047
269,2,172037885
270,0,172901367
271,2,173813539
272,2,173863399
273,2,174223987
274,2,176587738
275,1,176692512
276,1,176857293
277,1,177722486
278,1,178264674
279,2,179209162
280,2,180375155
281,2,181898763
282,2,182153684
283,2,182804693
284,2,183651797
285,2,188058461
286,0,188092221
287,2,188567665
288,0,189391810
289,1,189521475
290,2,190663770
291,2,191429464
292,0,192936594
293,1,194075639
294,2,194262635
295,0,198007086
296,2,198852732
297,2,199928346
298,2,199931134
299,1,199935410
300,1,199936216
301,2,199938958
302,2,199939336
303,1,200888053
304,2,201347647
305,2,203055212
306,2,204022831
307,1,204389222
