,cat,id
0,0,972132
1,1,1662531
2,1,2003312
3,0,2004691
4,1,3786038
5,0,4977789
6,0,5514252
7,0,5541618
8,0,5541774
9,1,5775258
10,0,5777480
11,1,6030485
12,0,6398756
13,0,7469096
14,0,7523050
15,0,7770004
16,0,7826456
17,1,8247900
18,0,8852141
19,1,9373498
20,0,9377056
21,1,9424775
22,1,11566607
23,0,12011022
24,0,12227714
25,1,12466403
26,0,12824161
27,1,12843516
28,0,12959696
29,1,13318475
30,1,13782383
31,0,14227692
32,0,14679108
33,1,15351039
34,0,15760363
35,1,17808704
36,1,19172838
37,0,20591480
38,0,20767556
39,0,21629959
40,1,23382227
41,1,23637660
42,0,23901534
43,0,24756299
44,0,24931690
45,0,25230768
46,0,25261121
47,0,27070274
48,1,28094103
49,0,28932571
50,1,29866880
51,0,31391866
52,0,31391905
53,0,31586463
54,1,31810997
55,0,33535195
56,1,33580085
57,1,34974616
58,1,35323774
59,1,35706132
60,0,38723722
61,1,38943313
62,0,39947363
63,0,39981596
64,1,45487264
65,0,48326970
66,1,49239258
67,0,50377304
68,0,50397377
69,1,51187809
70,0,52192289
71,0,52943546
72,0,53658542
73,0,55399372
74,0,55550650
75,0,55553898
76,0,55563273
77,1,56945063
78,0,57051755
79,0,57185526
80,0,57520719
81,0,58119718
82,1,58539450
83,1,60649566
84,1,60920305
85,0,61020465
86,1,61101437
87,1,62066296
88,0,62387367
89,1,62935427
90,1,62936261
91,0,63201369
92,0,63450093
93,0,64542191
94,1,64753957
95,0,65643014
96,1,66835365
97,1,67100075
98,1,68800967
99,0,68801338
100,1,68829449
101,1,68939432
102,1,68955937
103,0,69789803
104,1,70049834
105,1,70757201
106,0,70806786
107,0,72525838
108,0,73563893
109,1,74262346
110,0,75405344
111,1,75617528
112,0,76857683
113,1,77052372
114,1,77586546
115,0,79091550
116,0,79557998
117,1,80628887
118,1,80629910
119,0,81589579
120,0,82396765
121,0,82819589
122,1,82844167
123,1,83374809
124,1,83847045
125,0,83924871
126,0,83951481
127,1,84235227
128,1,86394108
129,0,86872416
130,0,88265656
131,0,88767671
132,0,88870096
133,0,89612484
134,0,90200298
135,1,90500392
136,0,91217478
137,1,92872885
138,0,92988357
139,1,95142525
140,0,96419263
141,0,100993733
142,1,101150262
143,0,101680608
144,1,102468151
145,0,102619637
146,0,104338786
147,0,104479388
148,1,104479480
149,1,105459000
150,1,106884541
151,0,107755421
152,1,108206017
153,1,108375305
154,1,109413804
155,1,109673383
156,0,109804983
157,0,111913446
158,0,112229860
159,0,112389051
160,1,112660236
161,0,113243156
162,1,113995703
163,0,114427092
164,1,114601528
165,1,115446950
166,1,115582878
167,1,116488695
168,1,117084933
169,0,118947107
170,1,120673536
171,1,122212060
172,1,122747331
173,0,122883971
174,0,123421236
175,1,124117904
176,1,125471667
177,0,128562255
178,1,129101092
179,0,129149177
180,1,130390751
181,1,130731104
182,0,130993654
183,0,133058538
184,1,133259907
185,1,133542944
186,0,133900671
187,1,134714280
188,0,134795916
189,0,135187301
190,1,137466348
191,0,137855490
192,1,138403819
193,0,138722313
194,0,139922549
195,1,140276368
196,1,140334910
197,1,142468294
198,1,144118623
199,1,144836750
200,1,147945218
201,1,149054982
202,0,152059292
203,1,152392001
204,0,152989222
205,1,154102173
206,1,156286682
207,1,156289561
208,0,156461392
209,0,156541378
210,1,158444866
211,0,158494618
212,1,158915915
213,1,159098444
214,0,161547279
215,1,162408593
216,0,162596110
217,1,163125702
218,1,164127176
219,1,164225539
220,1,164811542
221,0,164812230
222,1,165485837
223,1,165713556
224,1,168432178
225,1,168687439
226,0,169271676
227,0,169660127
228,1,170508654
229,1,170592005
230,0,170896782
231,1,171048053
232,1,171723263
233,0,172484509
234,1,173268802
235,0,174691988
236,1,175050893
237,1,175419309
238,1,175811713
239,1,175896076
240,0,176436308
241,1,176470339
242,0,177246555
243,0,177545868
244,1,177619419
245,0,177986189
246,0,180356784
247,0,181261976
248,1,182099938
249,0,182800856
250,1,182960720
251,1,184363672
252,0,186417928
253,0,186680859
254,1,187689034
255,1,188451774
256,0,188886151
257,0,190957428
258,1,190959803
259,1,191181363
260,0,191592093
261,0,191702360
262,0,191801760
263,0,191896465
264,0,195039901
265,0,195739371
266,1,195828885
267,0,196230186
268,0,196507573
269,0,197338236
270,1,198127998
271,0,198165967
272,0,198322999
273,1,198917606
274,0,199619472
275,1,199911934
276,1,200762355
277,0,200764856
278,1,201101176
279,1,201478802
280,0,202041086
281,0,203651155
282,1,203937013
283,0,203986784
284,0,204333658
285,0,205205175
286,0,207427128
287,1,208078188
288,1,208354395
289,0,209519206
290,1,209565331
291,0,210178988
292,0,210281173
293,1,210812656
294,1,211787879
295,0,211789856
296,0,211793184
297,0,212443916
298,1,213200823
299,0,213825208
300,1,213973600
301,1,215131250
302,1,215822457
303,1,218963336
304,1,219053814
305,1,220526987
306,1,221433477
307,0,221673192
308,1,222114224
309,0,223554963
310,1,224796934
311,0,225949662
312,0,226032205
313,1,227255281
314,0,227432265
315,1,227699815
316,0,228002098
317,0,230079716
318,0,230080540
319,0,230081761
320,1,230087068
321,0,230706282
322,0,230708608
323,0,231327410
324,0,231426499
325,0,232865830
326,0,234544926
327,1,234826049
328,0,238419336
329,1,239610540
330,0,239619700
331,1,239998752
332,1,241118479
333,0,241235711
334,0,241424114
335,1,243855638
336,0,244729087
337,0,244783217
338,0,245150614
339,0,245399633
340,1,245931925
341,0,246750676
342,1,246757484
343,0,248231009
344,1,248468796
345,1,249155870
346,1,250273755
347,0,251053753
348,0,251130655
349,0,251229843
350,0,251229852
351,0,252174374
352,0,253074536
353,0,253461748
354,0,256301673
355,0,256354637
356,0,257505815
357,0,257663801
358,1,258031845
359,0,258219586
360,0,258363931
361,1,260252372
362,1,261646195
363,0,262051403
364,0,265848468
365,0,265976311
366,0,266649500
367,0,266663056
368,1,266739789
369,0,267450487
370,1,268194809
371,0,268195893
372,0,268403938
373,0,268820755
374,1,268821721
375,0,268821743
376,1,269413145
377,0,270023695
378,1,272452061
379,0,273833863
