,cat,id
0,1,510048
1,0,1479711
2,1,1494274
3,1,1811564
4,1,2194688
5,1,4467269
6,1,5550820
7,1,5785357
8,1,6577932
9,0,6647109
10,1,6964766
11,1,6974734
12,1,8117510
13,1,8886431
14,2,9211729
15,0,9296766
16,0,9416952
17,1,9818375
18,2,10134612
19,1,10286413
20,1,11263231
21,0,11354765
22,2,11669023
23,1,12626299
24,1,13820477
25,0,13957462
26,0,14278226
27,1,15559427
28,0,16381339
29,1,16573335
30,2,16898443
31,1,17415954
32,0,17672332
33,0,17953355
34,1,19357592
35,1,19511373
36,1,20232014
37,0,20316116
38,0,20316120
39,0,21134949
40,2,21929177
41,1,22733763
42,0,22962910
43,1,23775456
44,1,24088550
45,2,24121003
46,1,26020661
47,1,26363567
48,0,27813007
49,1,28860522
50,0,29524603
51,0,30488555
52,0,30691735
53,0,30898701
54,1,31022442
55,2,32735496
56,2,33473970
57,2,34284830
58,1,34906427
59,1,35160641
60,1,35310878
61,1,35634756
62,0,36261531
63,1,38073508
64,1,38073579
65,0,38632744
66,1,38703569
67,2,39055465
68,1,39740245
69,0,39740660
70,0,42365504
71,1,42651670
72,1,44673362
73,1,44790052
74,2,45745445
75,0,48029684
76,0,48388640
77,2,49869904
78,2,50047841
79,0,52510799
80,0,53041939
81,0,53214392
82,1,53236767
83,0,54059353
84,0,54922988
85,0,56117348
86,0,56153885
87,2,56761869
88,0,58237630
89,2,58540026
90,1,58561263
91,2,58602331
92,1,58605884
93,0,60171097
94,2,61577985
95,0,61612590
96,0,62002596
97,2,62250495
98,1,62913125
99,1,63112083
100,2,63401725
101,1,63598072
102,2,64280227
103,2,64624492
104,1,65324084
105,2,65333410
106,1,65654457
107,1,65654660
108,2,65733035
109,0,66942537
110,0,68749007
111,0,68908412
112,2,68938619
113,1,68954585
114,1,69042388
115,0,70180973
116,2,70758341
117,1,71207297
118,1,71425119
119,1,71818723
120,2,72271637
121,2,73266392
122,1,73322523
123,0,74250852
124,1,75906467
125,0,76041282
126,1,76431345
127,0,76547644
128,1,77966996
129,1,78125955
130,1,80554660
131,1,80929283
132,1,81078257
133,2,81112905
134,1,81196776
135,1,81196923
136,0,81582744
137,0,81760422
138,0,82068282
139,0,83174966
140,2,83406344
141,0,83700243
142,2,85737088
143,0,86461083
144,1,88146446
145,2,88263784
146,0,89376587
147,2,90657224
148,0,91150832
149,0,91238588
150,0,91638077
151,2,93218923
152,2,93566355
153,0,93723359
154,0,94371889
155,2,95483614
156,2,96316868
157,1,98545047
158,0,98660842
159,0,100443908
160,2,101148437
161,0,102901176
162,2,103712085
163,2,105765305
164,1,107327207
165,0,108209321
166,2,108707087
167,1,109850700
168,1,110201430
169,1,112002096
170,2,112765350
171,2,112815803
172,2,112815833
173,0,115377346
174,1,115420834
175,0,115472399
176,0,116490247
177,0,117078732
178,1,117087871
179,2,117805408
180,1,117805657
181,1,117806001
182,1,118205849
183,0,119161289
184,0,120096174
185,1,120695150
186,1,121381565
187,0,124586686
188,2,125221715
189,2,125221882
190,2,125323935
191,0,125353486
192,0,127028084
193,0,127241674
194,1,127413910
195,2,127581253
196,1,127719096
197,1,127856123
198,2,128221099
199,2,128458199
200,1,128528010
201,0,128825489
202,0,129300983
203,0,129520008
204,1,129899808
205,2,132839543
206,1,134122189
207,1,135077194
208,1,135227718
209,1,135867679
210,0,136515210
211,2,137319975
212,1,138986232
213,1,139405441
214,2,140196119
215,1,141486651
216,0,141898587
217,1,142011901
218,2,144919375
219,2,145011808
220,0,145012960
221,1,145607424
222,0,146226368
223,2,146582832
224,0,146694546
225,1,147450706
226,0,147604229
227,0,147764020
228,0,148152021
229,2,148330753
230,2,148672119
231,2,150879319
232,1,150880836
233,1,150944149
234,1,155140105
235,2,158035981
236,0,159570237
237,0,159570635
238,1,163822598
239,1,164657478
240,2,164755896
241,1,166177626
242,0,166444171
243,0,166979472
244,0,168883005
245,0,168883068
246,1,171094282
247,0,171748310
248,1,171811802
249,2,171888471
250,2,171896177
251,1,172556476
252,1,172575501
253,0,172610956
254,1,172613929
255,0,173752565
256,0,174130650
257,1,174360675
258,2,174470036
259,1,175642022
260,1,175642384
261,0,175808952
262,1,176429805
263,1,177018318
264,1,177459972
265,1,178362617
266,1,178367103
267,1,179404034
268,1,179676080
269,1,179725574
270,0,179778635
271,0,180025814
272,0,180120309
273,1,180452406
274,2,181369798
275,1,181467876
276,0,181702146
277,1,182290815
278,1,183026536
279,1,183439910
280,0,183621990
281,0,183815721
282,1,183838256
283,0,183945710
284,2,184515785
285,1,184661740
286,0,185461180
287,0,185652378
288,2,186175400
289,2,187105384
290,0,187159461
291,1,188365446
292,1,189135035
293,1,189386172
294,1,190771858
295,1,191348889
296,0,191464641
297,1,193461973
298,0,194086779
299,0,194717492
300,1,194982689
301,2,195467971
302,1,195558261
303,0,195977492
304,2,196493146
305,1,196728572
306,0,196913201
307,2,201825524
308,0,203151632
309,0,203305706
310,1,204450724
311,2,204489165
312,1,205012779
313,1,205012804
314,1,207647542
315,2,207856816
316,0,208096623
317,0,208292884
318,0,209087502
319,0,209323296
320,2,210583127
321,0,210668143
322,2,210978479
323,1,211591179
324,1,213005034
325,2,213327270
326,1,213941796
327,1,213952206
328,0,214057135
329,0,214554338
330,1,215440434
331,0,215635273
332,1,215849143
333,1,217004342
334,1,217455349
335,1,217532178
336,2,217758763
337,2,217844278
338,2,218665293
339,1,219303045
340,1,219586916
341,1,219765957
342,1,220292034
343,1,221457896
344,1,221507447
345,1,221998850
346,1,223449865
347,1,223786807
348,2,225239946
349,2,225438710
350,0,226019127
351,2,226119713
352,0,226140896
353,2,226509317
354,1,226812436
355,2,229174744
356,1,229384352
357,0,230019970
358,0,231723782
359,2,232539595
360,1,232742063
361,1,233959647
362,2,235258441
363,2,235281688
364,2,235770243
365,1,235774189
366,0,236214361
367,1,236691226
368,1,237223589
369,0,237254033
370,2,238087134
371,0,238727119
372,1,240238538
373,2,241111716
374,1,241575351
375,2,243476739
376,2,245347530
377,0,245663692
378,1,245773234
379,0,246187109
380,1,247217485
381,0,247554613
382,2,247769731
383,1,248088811
384,1,249298272
385,0,249810464
386,1,249930872
387,1,250346944
388,1,250347363
389,1,250487594
390,2,250779791
391,2,250979308
392,0,251507610
393,1,251881133
394,1,253643476
395,0,254300044
396,2,254861733
397,0,255592235
398,0,256309678
399,1,256600585
400,1,257040711
401,0,257939507
402,0,259473802
403,1,261303642
404,2,262291909
405,2,264259386
406,1,264285193
407,1,265801213
408,1,265916108
409,0,266964203
410,1,268174567
411,0,268614874
412,1,269677030
413,1,274362805
414,2,274379239
415,0,275162011
416,1,275490826
417,1,275586691
418,0,276929988
419,2,278493319
420,1,278869291
421,1,278902771
422,1,279819851
423,0,280169589
424,1,280781899
425,1,281058314
426,1,281896641
427,0,282736551
428,2,282830096
429,2,282830211
430,2,282838925
431,1,283467567
432,0,283583868
433,1,284009499
434,0,284282271
435,1,285584206
436,1,286483238
437,1,286966720
438,0,287088400
439,1,287726470
440,0,290777578
441,1,290901333
442,2,291013607
443,2,291300750
444,0,291662120
445,1,292353601
446,0,293738793
447,2,294147158
448,1,294749273
449,1,297007429
450,2,297362030
451,0,299716011
452,1,300102474
453,1,301200493
454,1,303398495
455,1,303633595
456,2,303635363
457,1,303852713
458,1,304981785
459,0,305324991
460,0,307270101
461,2,307338996
462,1,307576370
463,2,307778783
464,2,307849701
465,1,310201901
466,0,312599108
467,0,312693410
468,2,313794978
469,0,315277515
470,1,316263321
471,1,316409493
472,0,317044006
473,0,317218231
474,1,317218579
475,2,318459590
476,1,318550994
477,2,318819566
478,0,319157941
479,0,320413175
480,2,320783535
481,0,321184324
482,2,322758272
483,0,323218627
484,1,323606438
485,0,325017298
486,2,325412023
487,1,325918146
488,1,325993061
489,2,326018591
490,1,326363937
491,0,327205208
492,2,329120168
493,2,329281522
494,0,329453436
495,2,330531566
496,2,330862037
497,0,331529349
498,2,332417172
499,1,335319618
500,0,335763057
501,2,336186166
502,0,337137872
503,1,337292832
504,1,341692413
505,1,344356202
506,1,344359440
507,1,344705189
508,1,345326304
509,0,345908032
510,1,346033334
511,1,348889584
512,2,348971198
513,0,349364981
514,2,351824231
515,2,353165834
516,1,353920773
517,2,354010781
518,1,354362881
519,0,354778896
520,2,354854372
521,1,355298582
522,1,355463454
523,0,355537388
524,2,356984746
525,0,357030438
526,1,357729946
527,1,357729972
528,1,360295062
529,2,360809284
530,1,362012424
531,1,362012607
532,0,364348235
533,2,365359260
534,0,365628359
535,2,365795851
536,2,366631185
537,1,366653965
538,1,366863990
539,2,366966670
540,2,367014420
541,2,367031121
542,1,367523345
543,0,368274447
544,2,368354033
545,0,368823923
546,1,370704964
547,1,370978481
548,0,371619424
549,0,372517802
550,1,372563222
551,1,374229275
552,1,374517799
553,1,375358145
554,1,376764125
555,0,377201799
556,2,379100697
557,2,379783723
558,0,381064777
559,1,381073017
560,2,382113689
561,2,382115111
562,2,382433528
563,0,382716938
564,0,382843730
565,0,383834365
566,0,384638958
567,0,385043987
568,0,385079218
569,2,386930633
570,0,387487066
571,1,387977514
572,2,388559135
573,1,390581264
574,1,390902888
575,2,391316334
576,0,391486698
577,1,391587224
578,0,391663227
579,1,393590425
580,0,394982740
581,1,395374196
582,0,395442987
583,1,395555385
584,1,395558289
585,0,396282533
586,1,398046404
587,1,399106220
588,0,399634469
589,2,399831016
590,1,400070043
591,1,400070979
592,2,401844355
593,1,402051264
594,1,403335419
595,1,403455752
596,2,403652636
597,0,404194590
598,1,405104995
599,0,406291360
600,0,408237323
601,2,408425535
602,2,408877417
603,1,409606321
604,1,409772065
605,0,409914270
606,2,409995443
607,1,410063435
608,0,410121995
609,1,410381618
610,1,410997926
611,0,411501936
612,0,412491834
613,2,412653842
614,0,412654372
615,2,412718692
616,0,412864608
617,1,413726166
618,1,413977953
619,1,416339713
620,0,418090233
621,2,418398583
