,cat,id
0,2,753124
1,1,1961048
2,2,3412417
3,1,4640378
4,0,5156750
5,0,5767708
6,1,7420364
7,1,7583146
8,0,8786449
9,0,9747183
10,0,10517782
11,1,10580545
12,2,11320998
13,1,11398787
14,0,11555277
15,0,11674905
16,0,11804771
17,0,12523955
18,2,13196123
19,0,14500538
20,0,16162704
21,0,17971182
22,1,19735694
23,1,19839198
24,1,20179109
25,1,20605261
26,2,20758560
27,2,22100784
28,1,22184680
29,1,22318776
30,0,22549697
31,2,24302009
32,2,24339673
33,1,24994942
34,1,25632609
35,0,25803790
36,0,26379877
37,2,27227873
38,0,27769700
39,1,28067252
40,1,32166336
41,0,33178356
42,1,33221655
43,1,33254217
44,0,33275452
45,0,33299204
46,0,33316113
47,1,33322343
48,0,33341570
49,1,33348496
50,0,33349815
51,0,33351570
52,2,34049051
53,0,35725671
54,0,35936771
55,0,36111104
56,2,36307046
57,2,36439773
58,1,36463194
59,2,36506215
60,0,36549594
61,0,36568860
62,0,36574660
63,0,36617971
64,0,36621269
65,0,36632736
66,0,36664517
67,0,37345826
68,0,37433311
69,2,38085809
70,1,38972071
71,0,42063450
72,2,43156427
73,0,43273505
74,1,43981797
75,0,44162476
76,2,45462975
77,0,45543901
78,1,46092187
79,2,46524493
80,1,47118866
81,0,47166630
82,0,47172954
83,0,47181567
84,1,47213254
85,0,47563676
86,0,47569447
87,1,48143005
88,0,48462016
89,0,48615608
90,0,49065003
91,0,50678829
92,2,51067509
93,1,51154430
94,1,52699940
95,0,53223445
96,1,53773093
97,1,54209712
98,1,54253011
99,1,56018251
100,1,56072415
101,1,56072423
102,0,57077626
103,0,57580778
104,0,58247150
105,0,58754722
106,0,59527598
107,2,59906750
108,0,60292527
109,0,60746065
110,0,60798947
111,0,61075573
112,1,61495976
113,2,61940185
114,2,62553757
115,0,63084222
116,1,63792791
117,0,63876627
118,0,64268591
119,0,64958320
120,2,65091253
121,0,66466179
122,0,66657784
123,2,67628245
124,1,69975563
125,1,70108742
126,0,70284291
127,0,73098532
128,1,73419976
129,1,73568089
130,0,73852700
131,2,74487346
132,1,75038211
133,0,75481201
134,0,77192132
135,0,77847480
136,1,78925437
137,1,79234295
138,2,80483749
139,0,80540549
140,0,81893543
141,0,81896913
142,0,82168980
143,0,83632055
144,0,83634865
145,1,84078050
146,2,84254465
147,0,85050847
148,0,86142570
149,2,86426391
150,1,86554356
151,2,86592800
