,cat,id
0,2,915825
1,0,1061997
2,0,2169457
3,1,2351697
4,0,2721292
5,0,3646810
6,0,3822959
7,0,4185891
8,0,4616696
9,0,5004862
10,1,6392490
11,2,8128816
12,0,8166714
13,1,8172674
14,0,8465322
15,1,9394543
16,0,10330014
17,0,10954103
18,0,11122452
19,0,13130588
20,0,13212960
21,1,13214912
22,0,14030174
23,1,14148049
24,0,16479932
25,0,16483609
26,1,17278456
27,1,17852989
28,2,17865502
29,0,18194883
30,0,18771174
31,1,19700158
32,1,19724824
33,0,19983822
34,0,20304617
35,0,20376880
36,0,21004507
37,1,21080563
38,0,21967312
39,2,22374274
40,1,24021414
41,0,24767204
42,0,25527729
43,0,25846493
44,0,26553219
45,1,26675215
46,1,26790353
47,0,26965280
48,0,27990605
49,0,29198523
50,1,29304782
51,0,29321101
52,0,29697454
53,1,29730061
54,1,31024543
55,1,32071560
56,2,33987431
57,0,35018608
58,1,35093496
59,0,35279215
60,0,35534160
61,0,35790257
62,0,37941501
63,0,38315808
64,1,38455019
65,0,38464376
66,2,38558827
67,0,39312432
68,2,40055600
69,1,40607549
70,1,41685390
71,0,43105478
72,0,43254135
73,0,44707120
74,0,44768571
75,0,45093094
76,0,45302945
77,0,45354445
78,1,46435606
79,0,46540865
80,2,47510270
81,1,48323848
82,1,49569341
83,1,49983344
84,2,50548543
85,0,52233654
86,0,52256351
87,0,53506775
88,0,53886906
89,0,53993186
90,2,54235036
91,0,54248684
92,2,57464425
93,2,58463173
94,0,59104325
95,0,60086454
96,0,61854722
97,0,62619301
98,1,63265756
99,0,65093634
100,0,65723832
101,0,66506918
102,0,67472655
103,1,67769168
104,0,68158846
105,0,68615337
106,0,68667991
107,0,70122925
108,0,70465790
109,1,71845375
110,1,72156357
111,0,72157460
112,0,73256379
113,1,73375698
114,1,73496327
115,1,74546676
116,2,74837692
117,0,76869623
118,2,78664346
119,2,79395233
120,1,79750619
121,1,80291226
122,0,80702791
123,1,81582979
124,1,81583851
125,1,82328147
126,0,84402310
127,1,85644752
128,0,87090710
129,2,87316888
130,1,88152439
131,0,88910761
132,0,89045280
133,0,91665231
134,0,92330533
135,1,92574551
136,1,93772923
137,0,94668807
138,0,94899365
139,0,95697825
140,0,96292549
141,0,96463001
142,2,96745638
143,1,98279465
144,1,99203697
145,1,99463655
146,0,100764872
147,1,101943104
148,0,102321233
149,1,105642814
150,2,105737187
151,1,105824173
152,0,107456033
153,1,108217832
154,1,108383717
155,2,108844860
156,1,109073168
157,2,109118675
158,1,109519879
159,2,109529168
160,0,109874374
161,0,109894349
162,2,110384957
163,0,112590200
164,0,113115669
165,1,113443399
166,0,113533048
167,0,114093858
168,1,114554765
169,0,115729038
170,0,116297501
171,1,116793057
172,0,116943715
173,0,117774894
174,2,118064656
175,0,118508902
176,0,119056047
177,1,121043162
178,0,121086962
179,0,123575767
180,0,124031559
181,0,127371133
182,0,127488710
183,0,127820701
184,1,129390888
185,1,130901555
186,1,131218697
187,0,131519036
188,2,131848378
189,1,132575151
190,0,132639559
191,1,133314036
192,0,133431247
193,0,133573507
194,2,133640576
195,0,133835915
196,1,133974808
197,1,134079817
198,1,134080843
199,0,134588730
200,0,136641210
201,1,136663639
202,1,136667614
203,0,137396079
204,1,138256405
205,0,138827865
206,0,139151756
207,0,139668779
208,1,139886020
209,0,140679125
210,0,141712659
211,0,142240053
212,0,142372972
213,0,143200234
214,0,143443255
215,0,143700112
216,2,143987573
217,0,145417686
218,0,145687121
219,0,146037598
220,2,146203230
221,1,146405721
222,1,147631918
223,1,147633930
224,1,147975941
225,1,148310061
226,0,150090721
227,0,150275435
228,0,151861421
229,0,152734008
230,1,152760455
231,1,153095933
232,1,153701864
233,1,153962861
234,2,154262855
235,0,154893297
236,0,154925109
237,0,155170453
238,0,155781029
239,0,156014143
240,0,156786674
241,1,157705234
242,0,157720604
243,1,157793556
244,0,157819338
245,0,157842762
246,2,158798715
247,0,158902725
248,0,159054501
249,0,159217421
250,0,159225077
251,0,159292531
252,0,159459449
253,1,160078581
254,1,162101378
255,0,162749270
256,1,163090059
257,0,165926596
258,1,166679387
259,0,166986794
260,0,167587200
261,0,167629044
262,0,171097736
263,0,171374227
264,0,171811604
265,0,172042090
266,0,172869870
267,1,173081704
268,1,173142368
269,1,174178332
270,1,175408219
271,0,175487409
272,1,176142494
273,0,177168470
274,0,177380836
275,0,177747312
276,1,177957102
277,0,178278011
278,1,178962480
279,1,179863404
280,2,179898216
281,1,180197071
282,0,180251271
283,0,181100937
284,0,183683443
285,0,183748747
286,0,185172391
287,0,187057134
288,1,187102314
289,0,187402627
290,0,188383301
291,0,188624333
292,1,189377482
293,0,189730363
294,0,190510988
295,0,191139618
296,2,192475439
297,0,193120773
298,1,193225471
299,0,193954319
300,0,194217762
301,0,195719124
302,1,196305810
303,0,197044443
304,0,197066310
305,1,197948091
306,0,199117173
307,0,200766913
308,0,201130895
309,0,201156778
310,1,203914372
311,0,204626691
312,2,205097290
313,1,205112986
314,0,205302741
315,1,205444875
316,0,205700346
317,0,207060716
318,1,207503497
319,0,207652879
320,1,208329005
321,1,208488537
322,2,209205614
323,0,209648739
324,1,210643335
325,0,210997437
326,0,211996474
327,0,212032903
328,2,212994437
329,0,213943042
330,1,214404753
331,0,214690126
332,1,215046810
333,2,216513748
334,0,216524484
335,0,217631276
336,0,218060083
337,0,220242632
338,1,220242747
339,0,220299636
340,0,222758105
341,0,223031493
342,0,225644470
343,1,225840459
344,0,226281930
345,0,226679404
346,1,227189298
347,0,227505014
348,0,227654151
349,1,228213805
350,0,228793381
351,0,230042402
352,1,230487548
353,0,230536948
354,1,231249876
355,0,231612899
356,2,232315077
357,0,232940031
358,1,233046915
359,0,233612533
360,0,234418191
361,1,235132195
362,2,235792568
363,0,236189632
364,0,236610282
365,0,236774398
366,1,239358982
367,0,239801374
368,0,240864225
369,0,242644792
370,0,243437088
371,1,244114181
372,1,245186865
373,1,247568522
374,0,247997051
375,0,248834727
376,0,249051007
377,0,249220313
378,0,249302911
379,1,249337365
380,0,249355387
381,0,251082487
382,0,251400201
383,0,251424327
384,0,251972281
385,2,252286773
386,2,252703581
387,1,253322663
388,0,253365531
389,0,253725022
390,1,253936194
391,1,254040878
392,0,254803563
393,1,254938079
394,0,256164861
395,1,256244362
396,0,256610150
397,0,257068887
398,0,257950361
399,2,258400643
400,1,259206047
401,1,259738256
402,0,260976293
403,0,261192752
404,0,261473322
405,1,262082356
406,1,262858200
407,0,263248431
408,0,264187495
409,0,264355121
410,0,265027338
411,0,265764025
412,1,266028711
413,1,266820240
414,2,267930216
415,2,268113608
416,0,268592253
417,1,269212897
418,0,270493067
419,0,270680852
420,1,270760195
421,1,271003600
422,1,271451421
423,2,272340032
424,0,272836648
425,0,273342939
426,0,274215516
427,0,275798403
428,1,276065703
429,1,276132853
430,1,276672864
431,1,276787944
432,0,277622043
433,2,278048662
434,2,278077031
435,0,279109908
436,1,279687432
437,0,279961496
438,1,280397848
439,0,281203687
440,0,281884135
441,0,282082650
442,0,282548597
443,0,282839874
444,1,283890921
445,0,283911694
446,0,284132627
447,1,285326742
448,1,285567478
449,1,287387301
450,1,288029531
451,0,289491713
452,1,290216132
453,1,290346387
454,0,290469677
455,0,290479073
456,1,291812384
457,0,291832851
458,2,291945173
459,2,292600990
460,0,292886918
461,0,292939102
462,0,293440641
463,1,293491653
464,1,293519816
465,0,294407390
466,0,295019211
467,0,297628633
468,1,297736057
469,0,299663911
470,0,299978710
471,0,300174405
472,1,301864189
473,0,302657388
474,2,303091335
475,0,303135106
476,0,303289628
477,1,303730490
478,0,303815208
479,0,304425169
480,1,305171052
481,0,305884660
482,1,305993062
483,1,306154808
484,1,306429739
485,0,307088925
486,1,307723488
487,1,308184937
488,0,308505061
489,0,309533124
490,1,310146819
491,0,311403358
492,1,311826309
493,1,315200988
494,0,315603556
495,0,315712264
496,0,315741620
497,2,315798539
498,0,316318964
499,0,318877743
500,1,319146701
501,1,320567197
502,1,320785960
503,0,321040724
504,1,321115356
505,0,323004392
506,0,323211411
507,0,323337526
508,0,323622980
509,0,324180368
510,0,325259208
511,1,325528736
512,0,326763332
513,0,326963043
514,0,327142603
515,1,327387228
516,1,327443408
517,0,327556576
518,2,327967105
519,0,328096601
520,1,328762630
521,2,329037089
522,0,329387787
523,2,329481567
524,1,329754050
525,1,330028918
526,0,330561497
527,1,331488348
528,2,333123086
529,1,334351778
530,0,335101155
531,1,336399426
532,1,338337720
533,2,338739705
534,0,338910455
535,2,339976412
536,0,342652414
537,0,343870654
538,0,344154805
539,0,344182597
540,0,344783104
541,0,345991536
542,0,346694947
543,0,348017202
544,2,348171072
545,1,348192096
546,0,350163144
547,1,350424679
548,0,350844575
549,2,351626114
550,1,351895746
551,2,352514703
552,1,353512062
553,0,353907998
554,0,355427344
555,1,356065688
556,0,357451145
557,0,358244773
558,2,358345004
559,2,360007221
560,0,362050100
561,0,363613075
562,1,364320149
563,1,365576394
564,0,366124132
565,2,366432410
566,1,367051066
567,1,367693860
568,0,367823617
569,0,367827007
570,0,368695656
571,1,369126030
572,1,371193483
573,0,371518546
574,0,371840856
575,1,372096935
576,1,373167687
577,0,374345645
578,0,374919182
579,1,376413051
580,1,380147417
581,1,381634415
582,0,382162797
583,0,382998069
584,0,383092849
585,1,383701771
586,0,383867048
587,0,383884771
588,0,384100771
589,0,384382609
590,0,384835745
591,0,386183218
592,1,388425978
593,1,389379303
594,2,389756413
595,2,390358529
596,0,391923900
597,0,392678558
598,0,393673321
599,0,394445757
600,0,394886335
601,0,395219274
602,0,395404405
603,0,395409084
604,1,395452650
605,0,396603683
606,1,396893220
607,0,397108824
608,1,397477636
609,0,397931457
610,1,397963158
611,1,398821901
