,cat,id
0,0,1354412
1,0,1582213
2,1,1608395
3,0,2725595
4,1,3566458
5,1,3869496
6,0,4038025
7,0,4867755
8,1,6351432
9,1,7043139
10,0,7562287
11,1,7571104
12,0,7778384
13,1,8347595
14,1,9130163
15,0,9333489
16,1,10436377
17,1,11838851
18,1,12698316
19,0,13568221
20,1,14052309
21,1,14505271
22,1,14647581
23,1,15909576
24,0,16120719
25,0,16259668
26,0,16362667
27,0,17088316
28,1,17744988
29,1,18953810
30,0,20602995
31,1,20633006
32,0,22423405
33,1,22511159
34,0,23308814
35,1,24750895
36,0,25272645
37,0,25341117
38,1,25477139
39,0,25588498
40,1,25945681
41,1,26385614
42,1,27368016
43,1,28333233
44,0,28932218
45,1,29321290
46,1,29599604
47,0,30839047
48,1,30933585
49,1,32519721
50,1,35352049
51,1,35388982
52,0,36897285
53,0,39798384
54,1,41849585
55,1,42272596
56,1,42410087
57,0,42573923
58,1,43226720
59,1,43682587
60,0,44478031
61,1,45054449
62,1,45415437
63,0,47714847
64,0,47815035
65,1,48066843
66,0,48648199
67,0,50365940
68,0,50844377
69,1,52079072
70,0,53547396
71,0,54190012
72,1,54418045
73,1,54693618
74,1,55249204
75,0,55647609
76,1,55779624
77,0,56496521
78,0,56914316
79,1,57933032
80,1,58124446
81,0,58278218
82,1,58890065
83,1,59113796
84,1,59345469
85,1,59881225
86,0,61096520
87,1,62165368
88,1,64247280
89,0,65704292
90,1,66730952
91,1,66733708
92,1,67270115
93,1,67360429
94,0,67994723
95,1,68647825
96,1,68666344
97,1,68819040
98,0,69621951
99,1,69978838
100,0,70169869
101,0,72398282
102,0,72624532
103,1,74580417
104,0,75605545
105,1,75716440
106,1,77970073
107,0,78395394
108,0,80012672
109,0,80168238
110,1,81918972
111,1,83828109
112,1,83829685
113,0,84325474
114,1,84365598
115,0,84385305
116,0,84386205
117,0,84387142
118,1,84390783
119,0,84821297
120,1,85183630
121,0,85238621
122,0,86800228
123,0,86980898
124,0,87051934
125,1,87754049
126,1,88215848
127,1,88449846
128,0,88621274
129,1,88621797
130,0,88647850
131,1,88987793
132,1,89468213
133,1,89690930
134,0,90694058
135,0,91902829
136,0,93529279
137,1,93530781
138,0,95063124
139,1,95165998
140,0,95459087
141,1,95794330
142,1,97569335
143,1,99466911
144,0,99802355
145,0,100331523
146,0,101037457
147,1,101140050
148,0,101469761
149,1,102859763
150,1,103094925
151,1,103560632
152,1,104284437
153,1,106848364
154,1,107043233
155,1,107329044
156,0,108672421
157,1,108772611
158,0,108855093
159,1,111904584
160,0,115567799
161,1,117594110
162,1,118231903
163,1,118973132
164,0,119133209
165,0,119800860
166,1,120420453
167,1,121877285
168,1,121877478
169,1,121877525
170,1,121877548
171,0,123220022
172,1,123424372
173,0,123565420
174,1,124858339
175,0,124997063
176,1,125511754
177,0,126652870
178,1,126758254
179,1,127166797
180,1,127189633
181,1,127380271
182,1,127384570
183,1,128205100
184,1,128323060
185,1,129216217
186,1,129225048
187,1,129455521
188,0,129617788
189,1,129618340
190,1,129724662
191,0,130350049
192,1,132227826
193,0,132512270
194,0,133056849
195,1,133071836
196,1,133298999
197,1,133804405
198,1,134781010
199,1,135122352
200,0,135122932
201,0,135341825
202,0,136586127
203,0,137363319
204,0,137527148
205,1,137624605
206,1,137661593
207,1,137662456
208,1,137664694
209,1,138125765
210,0,139284714
211,1,139640909
212,1,139821508
213,1,139902982
214,1,140214090
215,0,143207429
216,0,144262631
217,1,144430185
218,1,145548565
219,1,145652940
220,1,146110364
221,1,148400133
222,1,148455536
223,0,148622654
224,1,148622941
225,1,148623479
226,1,148623773
227,0,148968912
228,1,148969536
229,1,149329980
230,1,149792407
231,0,150923177
232,0,151342778
233,1,151344073
234,1,151385593
235,1,151451879
236,1,151987147
237,1,152145942
238,1,152893522
239,0,153539871
240,0,153539947
241,1,153757237
242,0,153990728
243,1,154162284
244,1,154236824
245,0,154814210
246,0,154817878
247,1,154844576
248,1,155871876
249,1,156126816
250,1,156941090
251,1,157281872
252,1,157484160
253,0,158595276
254,1,159965156
255,1,160476422
256,0,162372881
257,1,163060636
258,0,163850193
259,0,164547303
260,1,164930766
261,1,165096538
262,1,167200044
263,0,167402239
264,1,167636956
265,1,168295542
266,1,170133453
267,1,170716954
268,0,174367990
269,1,174687362
270,1,175099708
271,1,177119717
272,0,177151128
273,1,177503115
274,0,179291072
275,1,179955538
276,0,180850729
277,1,181978918
278,0,182091805
279,1,183830017
280,0,185033802
281,0,185919737
282,1,186215638
283,1,186517286
284,1,187502267
285,1,194548249
286,0,194594816
287,0,195106770
288,0,195653358
289,0,195976981
290,1,196246379
291,1,197323374
292,0,199369326
293,1,200567036
294,1,201005513
295,1,203651505
296,1,203889494
297,1,204634911
298,1,205666329
299,1,206291885
300,0,206550722
301,1,206966908
302,1,207518078
303,1,208335601
304,1,209188450
305,0,209700390
306,1,210277035
307,1,212538016
308,0,212783413
309,1,212792767
310,1,213637991
311,0,213847619
312,1,214647571
313,1,214957321
314,1,216002236
315,1,217017173
316,1,217271563
317,1,219790947
318,1,219936701
319,1,222634814
320,1,223100212
321,0,223258765
322,1,224333753
323,0,226778226
324,1,226834335
325,1,227159857
326,1,227380212
327,0,230114163
328,0,230661884
329,1,230836581
330,1,233403213
331,0,233403386
332,1,233438743
333,1,233438992
334,0,233562977
335,1,234016582
336,1,234136267
337,1,234330493
338,1,234330792
339,1,235468801
340,0,236468739
341,1,236963644
342,1,238013579
343,0,238647441
344,1,239455933
345,0,240165967
346,1,240268118
347,0,240509917
348,0,241268998
349,0,242194291
350,0,242299804
351,0,244080722
352,1,244363353
353,0,246206493
354,0,246438432
355,1,246956408
356,1,248629766
357,1,249310875
358,0,252258967
359,0,253439557
360,0,253642096
361,0,255091549
362,1,255246554
363,1,256738548
364,1,256738907
365,0,257176385
366,0,259542894
367,0,260815354
368,1,261763625
369,1,261765512
370,0,262141453
371,1,263110706
372,0,263703722
373,1,264528856
374,0,265328722
375,1,266298430
376,1,267224618
377,0,267533366
378,0,269664736
379,1,271811251
380,1,271902436
381,1,273956691
382,1,273988722
383,0,274970514
384,1,275140463
385,1,275368481
386,0,275370952
387,1,276091305
388,1,276515595
389,0,277541396
390,0,278862312
391,0,279792583
392,0,280396734
393,1,282347995
394,0,283250242
395,1,284051492
396,0,284106238
397,0,285252318
398,1,286059245
399,1,288041881
400,0,288671905
401,1,289947334
402,0,290268619
403,1,290288371
404,0,292184916
405,0,292348326
406,0,292590252
407,0,292710416
408,0,293984368
409,0,294157622
410,0,294312151
411,0,294591514
412,1,294898914
413,1,295757728
414,0,298034285
415,1,298062313
416,0,298062633
417,1,298741735
418,0,299561040
419,0,300744519
420,0,300755457
421,1,300764200
422,1,303209892
423,0,303320330
424,0,303702377
425,0,304658683
426,0,304757042
427,1,304769932
428,1,305006715
429,1,305844119
430,0,306888005
431,1,306974499
432,0,307563351
433,1,308230163
434,1,308385472
435,1,308811734
436,1,308901366
437,0,308901378
438,0,308908125
439,1,309934384
440,0,310139608
441,0,310248320
442,0,310337252
443,1,310724784
444,1,310945069
445,0,311864276
446,1,312035583
447,0,312779920
448,0,313764287
449,1,313818960
450,1,314662361
451,0,315728235
452,1,316288993
453,1,316628051
454,0,319011337
455,0,319239598
456,1,320045578
457,1,320222417
458,1,321050429
459,0,321387759
460,1,321826578
461,1,323221026
462,0,323618711
463,0,324896882
464,1,325027384
465,1,325425290
466,1,325639031
467,1,326495970
468,0,326597501
469,0,329335982
470,1,329526418
471,1,330172963
472,1,331054848
473,1,331278570
474,0,331621783
475,1,332558275
476,1,333054725
477,0,333476349
478,0,334565292
479,1,334863045
480,1,336437469
481,1,337010100
482,0,337548423
483,1,339998880
484,0,340793811
485,1,341104852
486,1,341132329
487,1,345648840
488,0,345650562
489,0,346440221
490,1,346484333
491,1,346490717
492,1,347711266
493,0,349490536
494,0,349814134
495,1,349917762
496,1,350262610
497,0,350730952
498,0,354620814
499,1,355472397
500,0,356308419
501,1,357225662
502,0,357762259
503,1,358920291
504,0,359090002
505,1,359097652
506,1,359324011
507,1,359324082
508,0,360130559
509,0,360130600
510,0,360130619
511,1,361266012
512,1,361314617
513,1,361481278
514,0,362104071
515,1,362542075
516,1,362664407
517,1,363337595
518,1,363341138
519,0,364358250
520,1,364794017
521,1,365103806
522,1,366095460
523,0,368186688
524,1,368599674
525,0,369295300
526,0,370076868
527,1,370077924
528,0,370082651
529,1,370443132
530,0,371730928
531,0,372823679
532,0,374271850
533,1,375453791
534,1,375453837
535,0,376257608
536,0,376383734
537,1,376524303
538,0,377175234
539,0,377388366
540,0,377402764
541,0,378057596
542,1,383958430
543,0,384940475
544,0,385532966
545,1,385600002
546,0,387710005
547,0,388018133
548,0,390092589
549,1,390218745
550,1,390458688
551,0,391208780
552,1,391377765
553,1,392642806
554,1,392785798
555,1,393299289
556,1,393579594
557,1,393735920
558,1,393809312
559,1,394957331
560,1,395545287
561,1,396966145
562,0,397252914
563,1,398019065
564,0,398388246
565,1,398405285
566,1,398897655
567,0,401152845
568,0,401156298
569,0,402423136
570,0,402752091
571,0,404223230
572,1,404669321
573,1,405985256
574,0,406421056
575,0,406616137
576,1,406762389
577,1,406791403
578,0,407518708
579,1,407531945
580,1,408411986
581,1,408602491
582,1,409130660
583,0,409750590
584,0,411949473
585,1,413231182
586,1,415090558
587,1,416639473
588,1,417231290
589,0,417498014
590,0,417539979
591,0,417876939
592,1,419986973
593,0,420441405
594,1,420688974
595,0,421735756
596,1,422340375
597,0,422374791
598,1,422660639
599,1,422671558
600,1,422827121
601,1,428911807
602,1,430325695
603,0,431373120
604,0,433218811
605,0,434058074
606,0,434909775
607,0,435743265
608,1,437601753
609,0,440132027
610,0,440183542
611,0,440527927
612,0,440689571
613,1,440890890
614,0,441474769
615,0,442588001
616,0,444350880
617,0,444836880
618,0,446052426
619,1,446796702
620,1,447305195
621,1,449489605
622,0,449727244
623,0,449846143
624,0,450455397
625,0,451777622
626,0,452432818
627,0,456377660
628,0,457149382
629,1,458393105
630,0,458468265
631,1,458645272
632,0,458721662
633,1,459457341
634,0,459956643
635,0,462316776
636,0,462958867
637,0,463071413
638,0,466689761
639,1,466911222
640,0,467847504
641,1,468576908
642,1,469036785
643,1,469142552
644,1,469586044
645,1,469634731
646,0,470680607
647,0,470740263
648,0,471315049
649,0,473419642
650,1,473478884
651,0,476117375
652,0,481332402
653,0,481737509
654,0,483420565
655,0,484098159
656,0,485116688
657,0,485116697
658,0,485235526
659,1,486444334
660,0,487243633
661,0,487538722
662,1,490420200
663,0,491757252
664,0,495329437
665,0,495724983
666,0,496753080
667,1,497495173
668,1,498592178
669,1,498693555
670,0,500713380
671,0,501590092
672,0,506987957
673,0,507007523
674,0,511586674
675,0,512325071
676,1,513425225
677,0,515343933
678,1,519001629
679,0,520407099
680,0,520463083
681,0,523911295
682,0,524309848
683,0,524690780
684,0,524912283
685,1,526774116
686,0,526910904
687,0,527202681
688,0,527408741
689,0,527422937
690,0,527453324
691,0,527453548
692,0,527455629
693,0,527460650
694,0,527461221
695,0,527462517
696,0,527469651
697,0,527488212
698,0,527491569
699,0,527496302
700,0,527496470
701,0,527497099
702,0,527497307
703,0,527497801
704,0,527498822
705,0,527502525
706,0,527549115
707,0,527554578
708,0,527627786
709,0,527641533
710,0,527643404
711,0,527658103
712,0,527704743
713,0,527736631
714,0,527738103
715,0,527748630
716,0,527749348
717,0,527753498
718,0,527765694
719,0,527796237
720,0,527799939
721,0,527817763
722,0,527841386
723,0,527844957
724,0,527848029
725,0,527848488
726,0,527853340
727,0,527853549
728,0,527854065
729,0,527859873
730,0,527860578
731,0,527867389
732,0,527868716
733,0,527871272
734,0,527881702
735,0,527884043
736,0,527891401
737,0,527895668
738,0,527895846
739,0,527915758
740,0,527922479
