,cat,id
0,1,523873
1,1,592250
2,1,1879086
3,4,2419871
4,1,2741363
5,3,2741616
6,1,2999796
7,2,4241475
8,1,4540322
9,4,4599054
10,2,4671647
11,3,4984167
12,1,5329804
13,1,6026280
14,3,6144067
15,1,6402967
16,1,8633934
17,0,9412926
18,4,9630885
19,1,9809000
20,0,10163706
21,4,10599588
22,0,11084237
23,0,11698140
24,0,11716317
25,0,11950001
26,0,12432733
27,4,13010140
28,3,13262507
29,3,14114750
30,0,14663188
31,0,15296175
32,0,15334749
33,0,16785063
34,3,17548003
35,0,18024086
36,1,18048589
37,0,18179388
38,1,18186202
39,0,18446396
40,4,18477345
41,1,19570184
42,0,20135489
43,3,20266440
44,1,20417656
45,2,21085928
46,0,22512573
47,1,22642564
48,2,23324487
49,3,26380105
50,2,26573762
51,0,28363427
52,0,31738805
53,3,33326195
54,1,33348713
55,0,33358942
56,0,33362258
57,1,33419149
58,2,34581661
59,3,35546871
60,1,35947410
61,0,36232144
62,3,36979969
63,3,37017038
64,3,37275154
65,0,37771773
66,0,39338733
67,1,39668831
68,2,40067796
69,0,42192505
70,1,42882882
71,3,43074367
72,0,43262100
73,3,43684096
74,0,44443811
75,0,44444276
76,4,45759953
77,4,45760468
78,3,46600819
79,2,46625323
80,2,46625352
81,0,47164777
82,0,47164904
83,3,47172676
84,0,47199113
85,2,47901698
86,1,49081748
87,1,49699621
88,0,51611294
89,0,51867354
90,0,51867504
91,4,52842435
92,0,52965958
93,0,53623573
94,0,54372434
95,1,54401984
96,1,54580420
97,0,55227098
98,3,55337098
99,3,55390985
100,0,56704036
101,4,56822699
102,3,57840353
103,1,59127488
104,0,59360500
105,1,60988835
106,2,61822245
107,0,62494857
108,4,62621948
109,0,64847412
110,3,66322506
111,3,66353137
112,4,66938193
113,0,67563253
114,1,68527433
115,1,68527796
116,3,68545475
117,2,68822273
118,0,70403700
119,0,70529035
120,1,70637480
121,2,71584503
122,4,71734125
123,4,71737125
124,1,72860488
125,0,73270288
126,3,73904658
127,2,74223165
128,0,74286391
129,3,74366004
130,3,74959352
131,2,75235366
132,0,75273455
133,0,75671214
134,2,76023179
135,3,77347470
136,0,77781683
137,0,78418007
138,0,78420600
139,3,78514113
140,1,79348440
141,1,80874232
142,0,82802096
143,2,83158604
144,3,83573760
145,0,83866774
146,0,84604785
147,1,85873628
148,1,86049091
149,1,86245369
150,1,86440881
151,1,89680724
152,1,89798262
153,1,90092549
154,4,91872642
155,4,91872802
156,0,92014411
157,3,95090791
158,0,96648609
159,3,99034788
160,4,99604271
161,4,99637761
162,4,99646006
163,3,99902368
164,3,100249636
165,0,101422383
166,3,101594072
167,1,101599000
168,3,101772072
169,0,103951283
170,3,104176333
171,3,104233652
172,3,104659516
173,4,105327748
174,0,105840042
175,2,107116098
176,2,107116164
177,0,107195722
178,1,107703345
179,0,107888122
180,3,108149044
181,1,108327971
182,2,110160884
183,0,110262150
184,3,110988808
185,3,111259153
186,0,111302165
187,3,111319689
188,1,112506435
189,1,113400617
190,2,113555686
191,0,113741818
192,0,113817809
193,3,114158772
194,0,114207074
195,3,115185403
196,3,116198050
197,0,116216141
198,4,116484634
199,4,118072192
200,1,119089518
201,0,119244833
202,0,119476221
203,3,119578382
204,3,120105633
205,0,120732097
206,3,121114309
207,1,121245483
208,4,121468941
209,1,121805057
210,1,121805067
211,0,122039424
212,0,122479845
213,2,123411295
214,0,124085002
215,3,125409056
216,1,125609108
