,cat,id
0,1,559618
1,2,1079155
2,0,1443067
3,2,2713237
4,1,3024569
5,2,3891377
6,3,4758486
7,2,5403508
8,2,6802700
9,3,7394024
10,1,7592113
11,3,7666801
12,3,7886222
13,2,8227632
14,1,9341871
15,2,13125872
16,3,14539557
17,3,14742030
18,1,16286580
19,0,16361428
20,2,17548420
21,2,17559257
22,0,17575762
23,2,18135702
24,3,18279076
25,1,18653107
26,0,18976884
27,1,19432765
28,2,19812250
29,0,20162228
30,2,25323395
31,2,26992427
32,1,28074541
33,0,29297719
34,0,29570875
35,0,29651624
36,0,30085931
37,0,31002853
38,0,31325362
39,0,31524535
40,2,31629889
41,0,31753721
42,1,31928401
43,1,32515535
44,1,32730543
45,1,32957554
46,2,33280105
47,2,33300943
48,2,33406159
49,1,33829396
50,0,34281018
51,2,34297793
52,1,34627255
53,0,35250618
54,0,37252323
55,1,37892450
56,1,38455796
57,3,39042944
58,0,39434248
59,2,39823827
60,1,40437458
61,1,40640535
62,1,40689398
63,3,40905394
64,0,42157924
65,0,42270774
66,3,43107024
67,3,43982239
68,1,44718536
69,0,46049616
70,2,48490920
71,2,48698748
72,3,48795248
73,1,49813158
74,2,50887945
75,1,51445080
76,2,52194995
77,2,52878175
78,2,53743201
79,2,54267256
80,3,54290009
81,2,54529226
82,0,54605014
83,0,55137565
84,2,55404445
85,1,55910092
86,0,57173506
87,1,57416952
88,1,57491732
89,1,57492980
90,0,58181752
91,2,58532697
92,2,59662921
93,0,62168321
94,2,64950891
95,0,65143774
96,2,65312586
97,1,66693018
98,1,67558529
99,1,67987985
100,0,69712390
101,1,69951687
102,2,70456453
103,2,70481914
104,3,71408762
105,1,71435127
106,1,71543411
107,2,72244222
108,3,73327227
109,1,73703638
110,3,74936707
111,2,75135069
112,3,75348991
113,3,75468188
114,1,75561344
115,0,76059298
116,1,77052505
117,0,80226547
118,3,81248818
119,2,82295890
120,3,82392792
121,0,82807941
122,2,84222375
123,3,87442297
124,3,89596804
125,3,90167948
126,0,90182132
127,0,90975800
128,3,91043408
129,2,91235290
130,0,91850406
131,0,92615643
132,3,92677452
133,1,92957516
134,0,94361079
135,3,94571818
136,1,94802331
137,1,94960475
138,2,95295296
139,2,95539268
140,2,95920474
141,0,96152126
142,0,96405267
143,1,96781352
144,1,99177120
145,0,99465213
146,1,100578508
147,3,100637710
148,3,100646751
149,3,100651601
150,3,100687493
151,2,100689620
152,2,101548113
153,3,104585649
154,0,104593684
155,1,104645324
156,0,106275316
157,3,106844204
158,1,107185710
159,2,107509133
160,0,108091571
161,2,108485044
162,1,109180654
163,1,110848151
164,1,112453552
165,0,112977617
166,2,112999628
167,3,113008227
168,1,113301940
169,2,114467562
170,2,114590156
171,3,115647028
172,0,117033047
173,1,117327136
174,0,117731615
175,1,117988821
176,1,118910911
177,1,119237737
178,0,119327994
179,3,119413188
180,3,120178413
181,2,120540455
182,0,120549392
183,2,121006431
184,2,121629943
185,2,121854141
186,3,124629087
187,1,124910767
188,2,124972366
189,0,126219929
190,1,128069571
191,2,128110179
192,1,128155323
193,2,128345102
194,1,128879498
195,1,129613858
196,1,129921132
197,3,131855145
198,1,132383630
199,3,132621276
200,3,133002594
201,2,133034331
202,0,133494411
203,3,133982345
204,0,134084918
205,2,134713767
206,0,134935899
207,1,135917810
208,2,136261535
209,2,136276178
210,1,139367600
211,2,139559312
212,0,139857042
213,0,139903616
214,0,141202146
215,3,141816087
216,1,142002145
217,1,143646463
218,0,144525041
219,0,144709563
220,2,147242457
221,0,149346669
222,0,149542304
223,2,150031637
224,0,150641423
225,0,150925277
226,2,151382975
227,3,152045737
228,2,152218704
229,0,153049455
230,3,153146024
231,2,153317128
232,2,153421380
233,0,153540543
234,3,154287969
235,3,155886942
236,2,156790560
237,0,156830001
238,1,157202366
239,0,157966026
240,1,159838037
241,2,160577201
242,0,160873941
243,0,161888806
244,1,163156786
245,1,163994861
246,2,164130747
247,0,165921551
248,0,166073778
249,0,166109300
250,3,167375193
251,0,167885385
252,3,167956912
253,0,169276659
254,1,169719313
255,2,169905294
256,3,170357775
257,3,170358467
258,2,171172888
259,1,171512574
260,1,172191038
261,3,172250642
262,2,172749788
263,0,172755509
264,1,173465129
265,0,174094421
266,3,176516008
267,1,176937876
268,1,177337660
269,2,177941664
270,2,178209405
271,0,179044879
272,2,179833333
273,0,181110083
274,1,182931117
275,2,183749073
276,1,184551624
277,2,184913804
278,2,185653120
279,1,185677159
280,0,186029076
281,3,186232971
282,2,186410819
283,0,186535770
284,3,187107239
285,1,187222908
286,0,187239941
287,0,187314020
288,0,187772689
289,0,189088592
290,0,189150614
291,2,189765694
292,3,189853899
293,3,189858291
294,2,190091185
295,0,191537060
296,2,193314698
297,1,193694085
298,3,194586432
299,3,195787854
300,3,196013446
301,2,196727527
302,0,197283192
303,0,197698909
304,1,197986328
305,2,198310116
306,2,199710121
307,2,200115484
308,1,200748209
309,2,201620116
310,1,202250378
311,3,202548064
312,0,202701128
313,2,202910772
314,2,202982456
315,2,203450838
316,0,203786729
317,0,204512904
318,1,204659568
319,1,205519230
320,3,205597942
321,3,206707881
322,1,207633951
323,3,207872984
324,1,208896758
325,0,209128019
326,0,210626527
327,1,211348827
328,1,211698299
329,2,212954143
330,2,213996720
331,2,214291745
332,3,215390904
333,0,216436167
334,1,216529724
335,1,218594351
336,2,218656152
337,0,219677423
338,1,220198758
339,2,220242357
340,3,222096439
341,0,222128753
342,0,223302565
343,0,223444809
344,1,223499129
345,2,223538744
346,3,223802864
347,0,223833282
348,0,224398295
349,3,224772809
350,2,225108005
351,2,225152506
352,2,225525538
353,3,225543496
354,3,226403578
355,3,226619893
356,2,226939457
357,1,227345978
358,0,228450552
359,3,229465906
360,1,230208493
361,0,230401549
362,2,231966403
363,1,233576194
364,3,234010240
365,1,234080134
366,1,234615574
367,3,236330525
368,1,237236370
369,0,237288218
370,2,237898840
371,3,238333084
372,3,238958570
373,2,239771768
374,1,241025368
375,2,241127762
376,2,241554307
377,1,242745696
378,1,242805617
379,1,242928837
380,0,242993513
381,0,243172944
382,3,244109691
383,2,244632207
384,0,247692848
385,2,249967602
386,1,250159488
387,0,252038331
388,2,252398089
389,1,252788815
390,3,255424580
391,2,255673215
392,0,255907618
393,0,256136272
394,2,256138606
395,2,256431121
396,0,256906907
397,2,258635430
398,0,258931685
399,2,259738585
400,2,259762642
401,1,260570837
402,3,262207267
403,3,262653426
404,3,262968407
405,3,264928551
406,3,265024239
407,2,266587154
408,3,267590348
409,0,269733135
410,1,271538919
411,0,272416274
412,3,273191872
413,0,273977404
414,2,274022050
415,0,274111641
416,2,274136986
417,3,274215295
418,3,274329856
419,2,274885036
420,2,275900719
421,2,276371421
422,3,276743878
423,3,276832109
424,0,277142141
425,3,277319129
426,2,278475580
427,1,278755062
428,0,279112902
429,0,279241471
430,1,280036853
431,1,280593232
432,2,280745761
433,2,281400049
434,2,282223245
435,1,282353300
436,0,282616528
437,2,282706346
438,2,284129925
439,3,284582676
440,0,285392000
441,2,285487053
442,3,285721382
443,2,286394983
444,2,287602908
445,0,288328460
446,2,288409275
447,3,288662451
448,3,288873348
449,2,290286910
450,0,290382774
451,1,290807182
452,2,291367524
453,1,292508495
454,3,293249922
455,2,293887850
456,1,294156174
457,2,294877982
458,1,295398008
459,0,296559229
460,0,297334899
