,cat,id
0,1,75244
1,2,79706
2,0,1785038
3,3,1846318
4,0,2043170
5,1,2399111
6,0,3169294
7,2,3178678
8,0,3240036
9,1,3381664
10,1,3382010
11,3,3851144
12,3,5432153
13,0,5844954
14,0,5961473
15,2,7469770
16,2,7470267
17,0,7838869
18,0,8842066
19,2,9752435
20,0,10105944
21,2,10241311
22,2,10671309
23,0,10936426
24,1,11301057
25,2,12478280
26,1,12586515
27,3,13043944
28,3,13991705
29,0,14245117
30,3,14459573
31,0,15766806
32,1,16621892
33,0,16633323
34,0,17028412
35,0,17456870
36,0,18184419
37,3,19978229
38,2,20063434
39,2,20063722
40,1,20841438
41,3,21927948
42,3,22274395
43,0,23474436
44,3,25057836
45,0,25243607
46,1,25619154
47,1,26462531
48,2,30521495
49,0,30962780
50,3,34529835
51,0,35186871
52,2,35619265
53,3,36196024
54,0,37439566
55,3,37587871
56,0,38975982
57,3,39142373
58,1,39314573
59,0,39587485
60,3,39712075
61,1,40348605
62,1,42999791
63,1,43018506
64,0,43272979
65,0,43560977
66,0,44571505
67,2,45095712
68,2,45637998
69,0,45749426
70,0,45774435
71,2,45839339
72,3,46836172
73,3,47818510
74,0,51310002
75,2,52702170
76,0,54193811
77,3,54263007
78,1,55323511
79,2,55327487
80,3,56432813
81,2,56767803
82,2,56859723
83,3,58118965
84,2,58315518
85,1,59306794
86,3,60886070
87,2,60977698
88,2,61188700
89,1,61197877
90,3,62095027
91,2,63449136
92,3,64274958
93,0,64379047
94,1,64882793
95,2,65557131
96,2,66296855
97,0,66831328
98,3,67192056
99,3,68248120
100,2,68391947
101,2,69144204
102,2,70325640
103,0,72483606
104,0,72497030
105,2,72728584
106,1,73605011
107,2,74001532
108,0,74105672
109,2,75155209
110,2,75559924
111,3,75824567
112,3,76358438
113,2,76737585
114,1,78526487
115,3,79317858
116,0,79882039
117,2,80022451
118,0,80154093
119,0,80737498
120,0,81754136
121,2,81935176
122,1,82482896
123,3,82888710
124,2,83710797
125,3,84608648
126,3,84608769
127,3,85194146
128,3,85202529
129,0,85295928
130,0,86886127
131,2,87955843
132,2,88166149
133,3,88255054
134,3,88458264
135,2,88616453
136,3,89166423
137,1,90708154
138,2,91296244
139,2,91296323
140,0,91412286
141,3,92556857
142,0,92705842
143,3,94424831
144,0,94584683
145,2,96396979
146,3,96672506
147,1,97267429
148,1,97676005
149,0,98381307
150,1,99436266
151,0,99951627
152,0,100284945
153,1,106802628
154,1,107225827
155,2,108339384
156,1,110615900
157,1,111201106
158,2,111463131
159,1,112012780
160,0,112280932
161,0,112469820
162,3,112801316
163,0,112823063
164,0,113309974
165,2,115556774
166,2,115860124
167,3,116591438
168,3,116652563
169,0,117544837
170,0,117756793
171,3,119493302
172,0,119694888
173,3,120287285
174,1,120327519
175,1,120699238
176,3,120806825
177,3,121154289
178,0,122513182
179,1,122820800
180,0,124379880
181,3,125818236
182,0,126505767
183,2,128075933
184,0,128787692
185,3,128791945
186,1,129687258
187,3,130222070
188,0,130331572
189,3,130520657
190,0,130697232
191,0,130719485
192,3,131138695
193,0,131229634
194,3,132403498
195,1,132462488
196,2,132965248
197,0,133848840
198,0,134793172
199,0,135604341
200,2,135733393
201,0,135756542
202,2,135956114
203,2,136108837
204,0,136278181
205,3,136925784
206,1,139185115
207,2,139703890
208,1,139704016
209,1,139704489
210,1,140038449
211,1,140137323
212,2,140405789
213,1,141659988
214,2,141874151
215,0,143647268
216,2,143693754
217,1,143716572
218,2,144278582
219,0,144726502
220,0,144854381
221,1,146271058
222,1,146524926
223,0,147871528
224,2,149692422
225,3,149818266
226,2,149893437
227,2,150657829
228,3,150977286
229,3,151886390
230,0,151904754
231,0,151924466
232,3,152986352
233,3,153398241
234,2,153674798
235,2,153961390
236,2,154348589
237,2,154431716
238,1,156589141
239,3,157958847
240,2,157961422
241,3,158490535
242,1,159931468
243,3,159966415
244,1,160865293
245,0,160997465
246,0,161917585
247,2,161944124
248,1,161985816
249,2,162214805
250,2,162354762
251,3,162381820
252,2,162979425
253,1,163234896
254,0,164588446
255,2,165452786
256,2,167369135
257,1,167857612
258,0,168588088
259,3,168999032
260,0,170058907
261,1,171096295
262,3,171848794
263,2,172699161
264,0,173305661
265,0,173677069
266,0,173688875
267,2,175531124
268,3,175934409
269,0,176066519
270,2,177255613
271,0,177555846
272,2,177693329
273,1,179055986
274,1,182348952
275,3,183039324
276,3,183326664
277,2,184479928
278,0,185420191
279,2,188798034
280,3,189566212
281,3,190613679
282,2,191573098
283,0,194824191
284,1,194966803
285,2,195049558
286,2,195209230
287,1,195927850
288,0,196584898
289,1,196869358
290,3,197200388
291,2,197712118
292,2,198102498
293,0,198188950
294,3,198920488
295,1,199349593
296,0,199850575
297,3,200052387
298,0,201460847
299,2,201640031
300,0,202202129
301,2,202351611
302,0,202869644
303,3,203855244
304,3,204169562
305,2,207465195
306,2,209235462
307,3,212611069
308,1,213088483
309,1,213874775
310,0,214117292
311,2,214432651
312,2,215477216
313,2,216320952
314,0,216634216
315,2,216897138
316,1,218756246
317,1,218756296
318,0,218906686
319,3,219227868
320,2,219658448
321,0,222205502
322,2,222461875
323,2,222558527
324,0,223621603
325,2,223870512
326,1,223921388
327,2,224403126
328,1,225475960
329,1,226512424
330,1,227428612
331,3,227702764
332,1,228280991
333,0,228332340
334,3,228359265
335,3,228526991
336,3,229596379
337,1,235048125
338,0,235776329
339,1,236000391
340,0,236365067
341,2,236850299
342,0,239298975
343,3,240365958
344,3,240598235
345,2,240735173
346,2,241054576
347,1,241277741
348,3,241296823
349,2,242428123
350,1,243079522
351,2,243083165
352,2,243250392
353,2,243309992
354,1,243604264
355,1,244468906
356,1,244768381
357,1,246120224
358,3,246880717
359,3,248501263
360,0,250982119
361,0,251134511
362,3,251534469
363,0,252143858
364,3,252178665
365,1,252798355
366,3,253464708
367,3,253802781
368,3,254254605
369,0,254887224
370,3,255091160
371,3,255816666
372,1,255943006
373,1,256754091
