,cat,id
0,0,1780749
1,1,2649316
2,1,2649662
3,1,2714312
4,1,4302487
5,2,5127874
6,3,6195566
7,2,6217296
8,1,6217311
9,1,6477788
10,2,6482494
11,1,6775322
12,1,7161501
13,0,8116214
14,1,8313370
15,3,8369452
16,1,9780207
17,1,10027328
18,2,10278796
19,1,10821355
20,1,11001882
21,1,11441949
22,3,12947962
23,2,13865350
24,1,14619996
25,2,14774983
26,0,15096289
27,1,15755476
28,3,15896408
29,1,16061672
30,2,16439576
31,3,16568376
32,0,16719034
33,1,17819681
34,3,18230325
35,1,18354406
36,1,20892898
37,1,21769413
38,3,22554820
39,1,22866652
40,0,23750890
41,3,24411820
42,0,25442975
43,3,25816997
44,3,26033948
45,1,26042802
46,1,26473502
47,1,26680377
48,0,27911313
49,3,29360936
50,0,30112858
51,3,30438727
52,2,30498509
53,1,30593319
54,1,31068184
55,2,31096643
56,2,31097586
57,1,31097678
58,1,31183478
59,1,31191153
60,1,31298337
61,1,31830551
62,2,33652266
63,1,33652472
64,1,34040200
65,1,34082025
66,3,36939135
67,1,38137757
68,0,38223250
69,3,38735573
70,0,38735716
71,1,40050052
72,1,40390562
73,0,41062842
74,3,42070517
75,1,43396506
76,0,43806038
77,3,44477007
78,0,44738205
79,2,45495064
80,1,47946763
81,0,48054893
82,1,48666155
83,3,49041697
84,1,49218823
85,1,49397795
86,1,51031743
87,1,51428617
88,3,51483598
89,3,52021306
90,0,53469842
91,1,53706175
92,1,54346176
93,1,54397217
94,3,54926673
95,3,55601575
96,0,57238591
97,0,57319391
98,1,57828789
99,0,58494177
100,1,58905383
101,3,60159266
102,2,60391879
103,1,60393127
104,2,61198716
105,3,61304613
106,1,63026779
107,2,63300718
108,0,64290063
109,1,64496691
110,3,66827861
111,1,68257926
112,1,68870229
113,3,69911100
114,1,70155412
115,0,70834458
116,1,71329660
117,0,71356170
118,1,72277142
119,1,72351037
120,1,73722878
121,2,73746100
122,1,74636353
123,1,75228682
124,1,75838261
125,1,75844751
126,1,76061272
127,1,76500578
128,1,76681525
129,3,76767767
130,0,76915015
131,0,80393279
132,1,80917635
133,0,81271776
134,1,81578838
135,3,82562323
136,1,82604274
137,1,82787246
138,2,83016840
139,1,83271742
140,1,83635205
141,1,85387582
142,0,86460754
143,0,88206095
144,1,88514236
145,3,88693791
146,0,89667963
147,1,89814495
148,1,89824817
149,1,90275289
150,1,90993268
151,0,91019014
152,1,91577215
153,3,91764493
154,0,91784066
155,3,92000791
156,1,92157170
157,1,93033342
158,1,93512501
159,1,93512574
160,2,94978591
161,1,94996992
162,3,95041053
163,1,95043263
164,1,96179166
165,1,96187638
166,1,96189766
167,1,96194911
168,1,96195512
169,1,96203787
170,2,96383798
171,1,96391974
172,3,96571575
173,1,97034458
174,1,97140740
175,1,97243909
176,2,98228711
177,1,100799521
178,3,101513388
179,1,102589146
180,1,102648975
181,1,102903997
182,1,104477284
183,3,106053589
184,1,108002408
185,1,109051073
186,1,109611679
187,3,110914485
188,0,111176535
189,3,111185265
190,2,112445069
191,2,112445545
192,0,112909667
193,0,113784540
194,1,114462562
195,0,114785755
196,1,115033053
197,0,116754981
198,1,117661716
199,3,117686517
200,0,118156972
201,2,119922747
202,1,119956911
203,1,120544852
204,0,123498397
205,3,126191424
206,0,128022744
207,1,130017643
208,3,130798510
209,1,131004331
210,0,132764462
211,1,133015787
212,0,133207558
213,3,134115367
214,1,135081036
215,3,135305746
216,0,135385837
217,1,135410833
218,1,136837677
219,1,136988746
220,1,137516504
221,1,137826261
222,1,138994309
223,1,139300018
224,1,139616548
225,1,139616909
226,1,140973938
227,1,140973954
228,1,141289498
229,3,141824471
230,1,142533920
231,1,143061249
232,1,144683033
233,3,145120604
234,1,146926529
235,1,147614387
236,0,147806794
237,1,148096080
238,1,148494810
239,0,148510512
240,3,148552569
241,1,149066281
242,1,149111380
243,3,149969552
244,2,150588713
245,2,150590688
246,1,150614213
247,2,150614277
248,1,150614310
249,0,150624704
250,1,151563963
