,cat,id
0,1,412165
1,0,675817
2,0,1699406
3,0,1849019
4,0,2352331
5,0,2592419
6,2,4677506
7,0,5088607
8,1,5150387
9,1,6107767
10,1,8464419
11,1,8687005
12,0,8852264
13,3,9505735
14,0,10065554
15,0,10206234
16,2,10722142
17,0,11045454
18,0,12211478
19,0,12400776
20,2,12669391
21,2,13913622
22,0,14481648
23,1,16349976
24,0,17367477
25,2,18338073
26,1,18435465
27,0,18458169
28,1,18710985
29,0,18997125
30,1,20899367
31,3,20951955
32,0,21273019
33,0,22797532
34,0,22800153
35,1,23282185
36,2,23531173
37,3,23709067
38,2,24052330
39,1,26590052
40,1,28239140
41,2,28412032
42,3,28464469
43,1,28689396
44,3,28716959
45,0,28738944
46,0,29843419
47,1,29912687
48,0,30166047
49,0,33110854
50,2,34017728
51,1,34208956
52,1,35016896
53,0,35049348
54,0,35898362
55,2,36081401
56,1,36348464
57,0,37432961
58,3,37434676
59,0,38245390
60,2,38471386
61,2,38938116
62,2,39254418
63,1,39744597
64,3,40822052
65,2,40941475
66,1,41285180
67,0,41780259
68,1,41876905
69,0,42045782
70,0,42177831
71,0,42705486
72,3,43121570
73,1,43260478
74,2,44533977
75,1,44558067
76,3,44843433
77,1,45143064
78,0,45148840
79,0,47485614
80,0,47533554
81,0,47699637
82,1,47850262
83,3,49383103
84,0,50292058
85,3,50828734
86,1,51309063
87,0,51321870
88,0,52272059
89,2,52624575
90,3,52947345
91,1,53083495
92,1,53246858
93,1,53572222
94,0,53590605
95,3,54079150
96,2,55867853
97,0,56903643
98,1,57057159
99,0,57320874
100,0,57387574
101,1,57985881
102,3,58116243
103,0,58249505
104,0,58349683
105,2,58453295
106,1,59013341
107,0,59098471
108,0,59469258
109,0,60014483
110,0,60777144
111,0,60795066
112,0,61040869
113,0,61217763
114,1,62236183
115,0,62946935
116,1,63199674
117,2,63656976
118,2,64331058
119,0,65767661
120,3,66687945
121,0,67413180
122,1,68169378
123,2,69309462
124,0,69590955
125,1,69630877
126,1,69762093
127,3,70049163
128,2,70522482
129,1,70812468
130,2,72149762
131,0,72738348
132,1,72797622
133,0,73939632
134,0,74537993
135,0,75196264
136,0,75586301
137,1,75587611
138,0,75750892
139,2,77109196
140,0,78705167
141,3,78788787
142,0,78908700
143,0,79780596
144,3,81307464
145,1,82140991
146,0,83190379
147,0,85256365
148,3,85666830
149,1,85705939
150,1,85733956
151,0,86599948
152,2,86900093
153,1,87090214
154,0,87593551
155,3,87636603
156,0,88059777
157,0,88715116
158,1,88791253
159,0,88793702
160,1,89071858
161,1,89272534
162,1,89627142
163,1,89634188
164,0,89726216
165,0,89835140
166,0,91363380
167,1,92142345
168,1,92483558
169,0,93183894
170,3,94110518
171,0,94610925
172,2,94991125
173,1,95697990
174,1,97924994
175,3,98589370
176,0,98830694
177,3,99754669
178,1,99763316
179,1,100333727
180,0,100897261
