,cat,id
0,0,1827591
1,0,3278481
2,1,3483353
3,0,3832906
4,0,5502480
5,0,9141090
6,1,10145875
7,0,10731657
8,0,11180946
9,0,11991115
10,0,12133877
11,1,13381000
12,1,15615497
13,1,16935584
14,0,17006356
15,0,17021792
16,0,17046629
17,1,17116382
18,0,17518879
19,1,18832982
20,1,18852614
21,1,20245675
22,1,25087198
23,0,26556539
24,1,27405464
25,1,27801522
26,0,29365309
27,0,30333063
28,0,30494025
29,0,32202937
30,0,32714650
31,1,33686597
32,0,34089116
33,1,34856458
34,0,36494726
35,1,37285516
36,0,37747755
37,0,38505149
38,0,40789057
39,0,42790857
40,1,44838475
41,1,45354847
42,0,46440409
43,1,47080201
44,0,49464622
45,1,50101441
46,0,50292618
47,0,50421563
48,1,50674721
49,0,50892630
50,1,50907493
51,1,51873586
52,0,52913960
53,0,53902886
54,1,54530320
55,0,55950964
56,1,55990226
57,1,56397067
58,1,56446284
59,0,57768102
60,1,57956447
61,1,59139176
62,1,59288486
63,0,59836969
64,1,59841576
65,0,62554807
66,1,63076370
67,0,64166568
68,1,64167027
69,0,68740820
70,0,72618705
71,0,73179948
72,1,73389878
73,1,73656372
74,1,75246060
75,1,77080714
76,0,78168058
77,0,78195316
78,0,78639738
79,0,81388370
80,0,82327936
81,1,82494018
82,0,82846494
83,0,83350191
84,0,86403508
85,0,86409225
86,0,87525340
87,0,88383551
88,0,88510107
89,0,88673764
90,0,88743166
91,1,89016166
92,1,90297208
93,1,91521895
94,0,92262136
95,0,92990722
96,0,94676710
97,1,95306309
98,0,96140193
99,0,96510842
100,0,97790625
101,0,98019071
102,0,99979158
103,0,100518674
104,1,101056372
105,1,101940686
106,0,101941835
107,0,102559821
108,0,102920417
109,1,102986911
110,0,103223527
111,0,104352880
112,1,104514249
113,0,105010045
114,1,105156846
115,1,106215399
116,1,106790268
117,0,111706999
118,0,112678958
119,0,113253852
120,0,113941318
121,1,114224701
122,0,115259898
123,0,115758956
124,0,116281210
125,1,118883177
126,0,119064612
127,1,120559592
128,0,121041982
129,1,122116564
130,0,122636985
131,1,123717495
