,cat,id
0,0,171573
1,2,545690
2,0,1570315
3,2,1833354
4,1,3141769
5,1,3192785
6,0,3220924
7,0,3493529
8,1,3873832
9,1,4082867
10,1,4233473
11,1,4383666
12,2,4628791
13,2,4654754
14,2,4656640
15,2,7602647
16,2,7602966
17,1,7735078
18,1,8697526
19,2,9124915
20,2,9505321
21,0,10111753
22,0,10501330
23,1,11358090
24,1,12762372
25,0,14721909
26,0,14944024
27,1,15919056
28,0,16583195
29,2,17080052
30,1,17168627
31,2,17954820
32,2,18095832
33,2,18287704
34,2,18334488
35,0,18748785
36,2,19164776
37,0,19470557
38,2,19720829
39,0,20195347
40,2,21127785
41,2,21883895
42,2,22239636
43,2,22317119
44,0,23822406
45,2,24116661
46,2,24451545
47,2,25170377
48,0,27799873
49,2,27802223
50,2,29014023
51,2,29041379
52,1,29638588
53,1,30226525
54,1,30226688
55,1,30226715
56,2,31032346
57,2,31065405
58,2,31244930
59,2,31245308
60,0,31560842
61,0,32991625
62,2,34164762
63,2,34165345
64,2,34172024
65,1,34376799
66,2,35288425
67,1,35765967
68,0,36819286
69,0,36819316
70,0,37818324
71,2,38380041
72,0,38855908
73,1,39441022
74,0,41966107
75,1,43088825
76,2,44788687
77,1,45239008
78,2,46640966
79,1,46726654
80,2,47439892
81,2,47665123
82,0,47937190
83,2,49150866
84,0,50790927
85,2,52262080
86,1,53684226
87,1,54137094
88,1,54327572
89,1,55055874
90,2,55265416
91,0,56320134
92,0,57068819
93,0,57073545
94,0,58913464
95,1,59582921
96,0,60210351
97,1,60211203
98,0,60409315
99,2,60489447
100,1,60657568
101,2,61195653
102,2,63263070
103,2,66115729
104,2,66616803
105,2,66966474
106,0,67268900
107,1,67652056
108,2,67685589
109,2,68666919
110,2,69431922
111,2,69869161
112,0,70486733
113,2,71145163
114,2,74020433
115,0,74159449
116,0,74498331
117,0,74890387
118,2,74960582
119,0,76052791
120,0,76052929
121,1,76500619
122,2,77005455
123,2,77432361
124,0,78267223
125,2,80395196
126,0,81101265
127,1,82005829
128,2,82085077
129,2,82384027
130,2,83486509
131,2,83502311
132,0,83706696
133,2,83944080
134,2,84142263
135,2,84752478
136,2,85964503
137,1,86755152
138,0,87492318
139,2,87756407
140,1,88123348
141,1,89996017
142,2,91458561
143,2,91633034
144,1,91711011
145,2,92383236
146,1,92926325
147,1,94374441
148,0,94387183
149,0,95163477
150,0,95643520
151,0,96217574
152,0,97234473
153,0,99220335
154,0,99220713
155,1,100775027
156,2,102427786
157,1,102947726
158,2,103513119
159,2,103582693
160,2,104524786
161,0,105296949
162,0,105298064
163,0,105418569
164,2,105755135
165,2,106988362
166,2,106992858
167,2,108225904
168,2,108362260
169,0,109088415
170,1,110306084
171,2,114426989
172,0,115258086
173,2,115914481
174,0,116088520
175,2,116384530
176,2,116764746
177,2,117632819
178,2,119356658
179,1,119415474
180,2,120936049
181,0,123207560
182,2,124793880
183,2,125558672
184,1,125788983
185,0,126192993
186,1,126765230
187,0,127409264
188,2,127444962
189,2,127517317
190,2,127521047
191,0,128730247
192,0,128942219
193,0,129318335
194,2,131301961
195,2,131302006
196,1,131632581
197,2,132484217
198,2,132985373
199,1,133290551
200,2,133345293
201,2,133395476
202,2,134021526
203,0,134065855
204,2,134153408
205,2,136416074
206,2,136966026
207,0,138093670
208,1,138251929
209,1,138891103
210,1,139840780
211,2,140208472
212,0,141071369
213,2,142403328
214,0,142592006
215,0,145388986
216,2,145513662
217,0,145704920
218,2,146409306
219,0,146542603
220,0,146926473
221,1,147606466
222,2,148560757
223,1,149139968
224,0,150176120
225,0,150204631
226,0,150414984
227,0,151751835
228,1,152339970
229,0,152899612
230,2,153845622
231,2,153847793
232,0,154893664
233,1,155454338
234,1,155701497
235,2,156019195
236,2,157627801
237,1,157769710
238,0,159751934
239,1,160666629
240,0,160774720
241,0,160907590
242,2,161175472
243,1,161210103
244,2,162257454
245,2,162313484
246,0,162427484
247,0,162679876
248,2,162798570
249,2,163706037
250,2,163863629
251,0,163992699
252,2,165194742
253,2,166707120
254,0,167452615
255,2,168104124
256,1,169516221
257,1,169557623
258,0,169855118
259,0,170270489
260,1,170917273
261,2,171135645
262,0,171165329
263,2,171531698
264,1,171769082
265,1,171769946
266,1,171770044
267,2,174490275
268,2,174880295
269,0,176441071
270,2,176726603
271,2,176851111
272,1,176900365
273,0,176975915
274,2,179755653
275,0,179960660
276,2,180689594
277,0,181738673
278,2,182114374
279,2,183760447
280,2,184196926
281,2,184442279
282,1,186024603
283,0,188365575
284,2,188575901
285,1,188957511
286,0,189297203
287,2,191479928
288,0,192209015
289,0,192981186
290,2,193310215
291,0,193584972
292,0,194514517
293,0,194574913
294,0,194575120
295,2,195016808
296,1,195339420
297,0,195507186
298,0,197636643
299,2,197919281
300,2,198351114
301,1,198907346
302,0,199432917
303,0,199433235
304,0,199433439
305,0,199434505
306,1,199435293
307,1,201180157
308,0,202506687
309,2,203780091
310,1,203911291
311,0,203962488
312,0,205104564
313,2,205300020
314,1,206826873
315,0,206845295
316,0,207028998
317,2,207034450
318,2,207626681
319,1,208330163
320,1,209203860
321,1,209909633
322,0,210676301
323,2,210927038
324,2,212527698
325,1,212659144
326,0,212762149
327,2,214091903
328,1,214885313
329,1,215032906
330,2,216731475
331,0,217252262
332,2,217719174
333,2,218001993
334,2,218161762
335,2,218806180
336,1,219077190
337,2,222769931
338,1,224090830
339,2,225439285
340,0,226728680
341,2,227174144
342,1,228155937
343,0,229298949
344,2,230110700
345,2,230383798
346,2,230743964
347,1,231307670
348,1,231415217
349,0,232450439
350,2,233768100
351,2,233952734
352,0,234110453
353,2,235346395
354,1,235840630
355,1,235842337
356,1,235842442
357,0,236080268
358,0,236180623
359,0,237035912
360,1,239971294
361,2,240617486
362,0,241573865
363,2,241959393
364,1,242186936
365,2,243885461
366,2,244494994
367,2,244621500
368,1,244764796
369,2,245478682
370,1,245704317
371,2,246603794
372,2,248027392
373,2,249452069
374,2,251353948
375,1,253329527
376,2,253789402
377,0,254021476
378,2,254213196
379,1,256115954
380,2,258052395
381,2,260211254
382,0,260901832
383,2,261230528
384,2,262736839
385,2,263422150
386,0,263527919
387,0,264143870
388,2,267440831
389,1,268410727
390,2,269660702
391,2,269737160
392,1,270572904
393,1,271372545
394,2,272105229
395,1,272653977
396,1,272976316
397,1,272976385
398,1,272976753
399,1,272977013
400,1,272977027
401,1,272977316
402,1,272977333
403,2,274268639
404,1,274672305
405,2,275311773
406,0,276229706
407,0,276672750
408,0,276724272
409,1,277250163
410,2,277250283
411,2,277789753
412,0,277820778
413,0,281678131
414,0,281692125
415,0,281962463
416,0,282904338
417,0,285398378
418,2,286191289
419,2,287871795
420,0,290453155
421,1,292851392
422,2,293348409
423,2,294470842
424,2,295235179
425,1,295320732
426,2,296124696
427,2,299470059
428,2,299714464
429,0,300516578
430,1,301874517
431,2,302510014
432,0,302765081
433,2,303245027
434,0,304940386
435,1,305374238
436,1,305468152
437,2,306905166
438,0,306919588
439,2,307924242
440,2,308234884
441,2,310751443
442,1,313116209
443,2,313147461
444,2,313500184
445,1,313739213
446,1,315058188
447,2,316183912
448,0,316288189
449,0,317371389
450,2,317553713
451,0,320139268
452,2,320573211
453,0,321168266
454,1,321168420
455,0,321466866
456,2,322104208
457,0,322881815
458,0,322887979
459,0,322924439
460,1,325539874
461,2,326630613
462,2,327018885
463,1,327613236
464,2,327780666
465,1,327896308
466,0,328141743
467,0,328141793
468,2,328448166
469,0,329347340
470,2,331420226
471,2,331851253
472,0,331910318
473,2,332995806
474,2,333670052
475,2,333820628
476,2,335075070
477,2,336050927
478,2,336499703
479,2,337069859
480,2,337877745
481,2,338205258
482,2,340541668
483,2,340768457
484,0,341856565
485,0,342614011
486,1,343812523
487,0,344418577
488,2,344756422
489,2,345040380
490,0,346240747
491,1,346625397
492,0,347753311
493,2,349377362
494,1,349381785
495,1,350450374
496,0,350531347
497,0,351077833
498,2,351859897
499,0,353109015
500,1,354046248
501,2,355009672
502,0,355581583
503,0,355783034
504,2,356291031
505,1,356619520
506,0,356755282
507,2,356988634
508,2,357028252
509,1,357954223
510,1,357954258
511,0,358696104
512,0,358956918
513,2,359227232
514,1,359450173
515,0,359471292
516,2,359872520
517,1,359918738
518,1,360054318
519,1,360782770
520,0,362263275
521,2,363480246
522,2,363480557
523,0,363718848
524,0,364114312
525,0,365485278
526,2,366424517
527,2,366961203
528,2,369125263
529,2,369471335
530,1,369582389
531,1,370491732
532,0,371178484
533,0,373534084
534,2,374539002
535,2,374730476
536,2,375467670
537,1,376796605
538,2,378158741
539,1,378439455
540,2,379736294
541,0,379835011
542,1,379842580
543,2,381117298
544,2,381120938
545,2,381595746
546,2,382035118
547,2,382709388
548,0,382765652
549,1,383090175
550,0,383200445
551,0,383247048
552,1,385005265
553,2,385491802
554,1,386120578
555,1,386820424
556,2,389983531
557,1,390249954
558,0,391934615
559,1,392474671
560,0,393501668
561,1,393870131
562,0,393909144
563,1,394026005
564,2,394185923
565,2,395028965
566,2,397709532
567,1,398066002
568,1,398748973
569,2,398813378
570,1,399205062
571,1,399390963
572,0,399528446
573,2,399755294
574,1,399854639
575,0,400159968
576,2,401200541
577,2,401982045
578,1,402904939
579,1,403238933
580,0,403701057
581,0,403966049
582,0,403966370
583,1,406123145
584,2,406475580
585,2,407150998
586,1,408224797
587,2,409028802
588,1,409149975
589,0,409779065
590,1,410885976
591,2,411271757
592,2,411646746
593,1,412990727
594,0,413535219
595,2,413828361
596,2,414205728
597,1,416464281
598,2,417689683
599,1,417712890
600,1,417979850
601,0,418379674
602,0,419016100
603,2,419142918
604,2,419269044
605,0,419400828
606,2,420433970
607,2,421874442
608,2,421885471
609,0,429343841
610,1,440205223
611,0,446400210
612,2,448294375
613,2,448815715
614,0,450015755
615,0,456090700
616,0,456100526
617,2,456103574
618,1,457311465
619,0,458918537
620,2,459042509
621,2,462080976
622,1,463938842
623,0,467091328
624,0,467551889
625,0,469861255
626,0,472316030
627,1,472389561
628,0,473505453
629,1,473576980
630,1,474816685
631,1,474826954
632,0,476211336
633,0,478662570
634,1,484296442
635,0,487558725
636,0,487583906
637,0,487614173
638,2,487614292
639,0,487631533
640,0,487642015
641,0,487657276
642,0,487657508
643,0,487684117
644,0,487709690
645,1,487709916
646,0,487734491
647,0,487738240
648,1,487750726
649,0,487750784
650,0,487772674
651,0,488180589
652,0,489945645
653,2,490081381
654,0,490227691
655,1,493544001
656,0,493783108
657,1,496177867
658,1,496253955
659,0,497749543
660,0,499554085
661,0,499554338
662,0,499554372
663,2,499625283
664,0,499640513
665,0,499810006
666,2,499817384
667,1,500751059
668,2,511078699
669,0,512071861
670,1,512964779
671,0,513425068
672,1,517338029
673,1,518961206
674,1,519629469
675,0,519635526
676,1,519635779
677,1,519635891
678,0,519635937
679,0,519644670
680,2,519807868
681,1,519818649
682,0,519888539
683,0,519888577
684,1,519889214
685,0,519894591
686,0,519894842
687,0,519897936
688,0,519905509
689,0,519914002
690,0,519919891
691,0,519919941
692,0,519925410
693,0,519947793
694,0,521564410
695,2,524794444
696,1,528349787
697,1,528578942
698,0,529439284
699,0,530076018
700,2,530524142
701,2,530956781
702,2,531293799
703,1,533246647
704,0,533328541
705,1,533890884
706,1,534187639
707,1,537004272
708,1,538908091
709,2,539741555
710,1,542482789
711,2,542832284
712,1,543256812
713,2,544330922
714,1,546841064
715,1,546933866
716,1,546937500
717,1,549289786
718,2,549289849
719,1,550342838
720,2,550343276
721,2,551087603
722,1,554706725
723,1,555009993
724,0,556635167
725,0,560390667
726,1,561869562
727,1,561869904
728,0,562678416
729,0,564555642
730,0,566426704
731,0,566426728
732,0,566435348
733,1,566452508
734,0,567643878
735,2,567753267
736,1,567897224
737,1,567960685
738,1,568890300
739,0,569404408
740,1,569614852
741,1,569713922
742,0,569739900
743,2,570215275
744,2,570657329
745,1,570674688
746,1,570933842
747,0,571018071
748,1,571948826
749,1,572066519
750,1,572077798
751,0,572119830
752,2,572246235
753,2,572541164
754,2,572542044
755,1,572767860
756,2,573018736
757,1,573026888
758,2,573032641
759,0,573037158
760,2,573286363
761,1,573426821
762,1,574432841
763,1,574707682
764,1,574801330
765,1,576979766
766,2,577613458
767,0,578013006
768,0,579020508
769,0,582512334
770,1,583030454
771,0,585056044
772,2,585243776
773,2,588853207
774,2,588855848
775,0,590166531
776,0,590260846
777,0,592603789
778,2,592891911
779,0,593934711
780,1,598263419
781,0,598524795
782,1,600662738
783,0,601482616
784,0,602158252
785,2,603775345
786,1,603958201
787,0,604700635
788,2,605274652
789,2,606373945
790,2,607809115
791,0,609857206
792,1,609919466
793,2,610020158
794,0,613042696
795,1,613226623
796,0,613387060
797,2,616270263
798,2,616643205
799,2,616708005
800,0,616729386
801,1,619658756
802,2,620600637
803,0,620957767
804,0,621852294
805,0,621852331
806,1,623282637
807,1,623284036
808,0,623284653
809,0,623310455
810,1,623742826
811,0,624033953
812,1,625381282
813,0,625465480
814,2,626808485
815,2,626813621
816,1,627354667
817,0,628254195
818,0,633459557
819,1,633874549
820,0,639156899
821,0,639157509
822,2,639389181
823,1,639389227
824,1,639389284
825,0,643516805
826,1,643581721
827,1,643845608
828,1,643912208
829,2,645334160
830,0,645470807
831,0,645502087
832,1,650096826
833,0,650673114
834,0,650900501
835,1,652024313
836,1,652498246
837,2,662679654
838,2,667896852
839,0,668872956
840,0,673238570
841,1,674676078
842,0,676583829
843,1,677720732
844,0,678248456
845,1,680077411
846,1,684928525
847,0,689464871
848,0,696706651
849,0,696839369
850,2,699689030
851,0,700341325
852,0,700342717
853,1,700404977
854,2,701241370
855,1,704099215
856,0,704160240
857,1,704533573
858,2,705016752
859,0,705564297
860,1,706718323
861,2,707279856
862,0,707919576
863,2,708624596
864,0,710205485
865,1,712165681
866,1,714357182
867,1,718527685
868,2,718642612
869,0,718841977
870,0,718847827
871,1,718848049
872,0,720301810
873,1,720301855
874,0,720305139
875,1,721101015
876,1,724281701
877,1,724282148
878,2,724565668
879,1,724645519
880,1,724744211
881,1,725699793
882,1,725733399
883,0,726677269
884,0,726701357
885,0,727165105
886,1,728872061
887,2,729056075
888,0,729660489
889,0,729669984
890,1,730533004
891,0,730534503
892,1,730534892
893,0,730534960
894,0,730535306
895,0,730536657
896,0,730537248
897,0,730537931
898,0,730540325
899,0,730540984
900,1,730542219
901,1,730542591
902,0,730601253
903,1,731408546
904,0,731432695
905,0,731529011
906,2,731772455
907,2,732503375
908,1,733094418
909,1,733094793
910,1,733095165
911,1,733095183
912,1,733095424
913,1,733095473
914,1,733095514
915,1,733095809
916,1,733095962
917,2,733098045
918,0,733098227
919,0,733098419
920,0,733098441
921,1,733098694
922,0,733099084
923,1,733099192
924,0,733099217
925,0,733101258
926,0,733101691
927,0,733101710
928,0,733102835
929,0,733103190
930,0,733103225
931,0,733103241
932,0,733103304
933,0,733103345
934,0,733103633
935,0,733104300
936,0,733107866
937,0,733108234
938,1,733111408
939,1,733112072
940,0,733113124
941,1,733113334
942,1,733119999
943,0,733120169
944,0,733121295
945,0,733121596
946,0,733121718
947,1,733122117
948,0,733122215
949,1,733122460
950,1,733122557
951,0,733122607
952,0,733123189
953,1,733123474
954,0,733123969
955,0,734660709
956,0,736026947
957,1,736247892
958,1,736557857
959,1,736776448
960,1,737472914
961,1,738622173
