,cat,id
0,3,597914
1,3,1086588
2,3,1294330
3,3,1398755
4,0,2354360
5,1,3031522
6,1,4228010
7,2,4353771
8,0,4370385
9,1,4501059
10,2,4543919
11,3,4864968
12,3,5292603
13,0,5982855
14,2,6024331
15,0,6114321
16,3,6388625
17,3,6753955
18,0,6963702
19,3,8017884
20,0,8081623
21,0,8337267
22,1,9686509
23,0,10017889
24,3,10404701
25,2,10615950
26,0,11049164
27,0,11247872
28,3,11254428
29,0,11455549
30,2,11902131
31,2,11902448
32,3,11988989
33,0,12077933
34,2,12300064
35,3,12557430
36,2,12711062
37,2,12850732
38,2,13409735
39,2,14404470
40,1,15248246
41,3,15670475
42,2,16279179
43,3,17059378
44,2,17725535
45,1,17988617
46,1,18191936
47,0,18196733
48,2,18299921
49,3,18344374
50,1,18435387
51,3,19129795
52,0,19881355
53,1,19979802
54,0,20012105
55,3,20240539
56,1,20419477
57,1,20532472
58,1,20551936
59,3,21697913
60,3,21728615
61,3,22710712
62,1,22854332
63,2,23265912
64,0,23458404
65,0,25446411
66,2,25502052
67,1,28264147
68,0,28329712
69,3,29932443
70,0,32458690
71,3,33065173
72,3,36017862
73,2,36253371
74,2,36954346
75,0,37227741
76,3,38373627
77,0,39103190
78,2,39716583
79,3,39765821
80,0,39922302
81,1,40877479
82,3,41707309
83,2,41811808
84,0,42039411
85,0,43303739
86,3,45311154
87,2,45340718
88,2,45732895
89,0,45973510
90,0,45999930
91,3,46524415
92,0,46700214
93,2,47090650
94,3,47696959
95,0,47948601
96,2,48055588
97,2,48156359
98,0,48572842
99,0,49503332
100,0,49828459
101,1,49997323
102,2,50120374
103,1,50201703
104,2,50411418
105,3,51585031
106,1,51707734
107,2,52074999
108,1,52300493
109,2,52969075
110,2,53054047
111,2,53823350
112,1,53831898
113,2,53833966
114,2,54374883
115,0,54440775
116,0,54956166
117,2,55560206
118,3,56246586
119,0,56388150
120,3,58460866
121,3,58528739
122,0,59105077
123,1,59368951
124,0,59528448
125,3,60095780
126,3,60206799
127,2,61162078
128,2,61442083
129,1,61625928
130,1,62367753
131,2,62770420
132,2,63444680
133,3,63511549
134,3,64328081
135,3,64917435
136,3,65240012
137,2,65292669
138,2,65499591
139,0,66129450
140,3,66129848
141,3,66156882
142,0,66493474
143,0,67213159
144,1,68768520
145,2,69016281
146,2,69512827
147,3,70073214
148,1,71300889
149,0,71704491
150,2,72468405
151,3,73159494
152,0,73325892
153,3,73759331
154,1,75793609
155,2,76837460
156,3,78281680
157,1,79413570
158,0,79594385
159,2,79607962
160,0,80785353
161,0,80828971
162,1,80829631
163,0,81381012
164,1,81800055
165,2,81881297
166,2,82529788
167,3,82857439
168,1,82924054
169,3,83092895
170,1,83819061
171,0,85151960
172,0,85732732
173,3,85895684
174,1,87617667
175,3,87733602
176,0,87738978
177,2,87997125
178,3,88174721
179,2,88947503
180,0,89240933
181,3,89250080
182,3,89406063
183,1,89406128
184,2,89760215
185,0,89933757
186,1,89944367
187,3,90249426
188,1,90479708
189,3,90907196
190,1,90959029
191,3,91617023
192,3,93596908
193,2,94198391
194,3,95202006
195,2,95314032
196,2,95724655
197,3,96259196
198,1,97312700
199,1,98326309
200,2,98667635
201,0,99445085
202,3,100339295
203,2,100706038
204,2,100706296
205,2,104132122
206,3,104150605
207,1,104447871
208,2,105025150
209,0,105795081
210,2,105858150
211,2,106728048
212,3,107796132
213,2,108247166
214,3,108475251
215,1,108885346
216,3,109248685
217,1,109705787
218,0,109742701
219,2,109859969
220,3,113072853
221,2,115441521
222,0,116030576
223,2,116033226
224,0,118003111
225,0,119509195
226,2,119592438
227,2,121766815
228,3,122062591
229,2,122741035
230,1,123469892
231,2,125832693
232,0,125982081
233,2,126082984
234,0,126339760
235,1,126585558
236,2,127809496
237,1,128067928
238,1,128272384
239,1,128520649
240,0,130228184
241,3,130851667
242,0,131180259
243,3,131369683
244,0,133524915
245,0,133555071
246,1,134034017
247,1,134373537
248,1,135346836
249,2,135707172
250,2,137029315
251,1,137352537
252,3,139487929
253,1,139588667
254,3,140009116
255,3,140096933
256,1,141029510
257,3,141109991
258,1,141195840
259,2,141969864
260,0,142081057
261,1,142434809
262,0,142750372
263,3,143180027
264,2,143545024
265,3,143762009
266,3,143805264
267,2,144148633
268,2,144685242
269,1,144808381
270,2,145888996
271,0,146197290
272,1,146598307
273,2,146686372
274,3,148483062
275,0,149593958
276,3,150105382
277,3,150227525
278,0,150550235
279,1,150834414
280,3,151174536
281,0,151320078
282,0,152701954
283,2,153836056
284,1,154762125
285,1,155264212
286,3,155279557
287,3,155282712
288,2,155595661
289,3,155703286
290,3,156002692
291,0,156206392
292,2,158697112
293,0,160724320
294,0,160966666
295,3,161991578
296,0,162135864
297,1,162736325
298,1,162809640
299,0,164355956
300,3,164424971
301,0,164628704
302,1,164673463
303,2,164820016
304,0,165148150
305,0,165707183
306,0,165756625
307,1,166305173
308,2,166583724
309,3,167678426
310,1,168913599
311,3,169496081
