,cat,id
0,0,335159
1,0,397890
2,0,1580850
3,2,1615795
4,0,2551186
5,1,3405048
6,2,3551072
7,1,3558111
8,1,3689306
9,2,4267830
10,0,6193025
11,0,6888238
12,1,7093187
13,2,8403611
14,0,8546036
15,1,8756111
16,0,9173171
17,1,9489284
18,2,9576075
19,2,10150650
20,1,10534547
21,2,10670575
22,2,10670848
23,2,11451906
24,0,11934893
25,1,12009008
26,2,12856667
27,1,13491745
28,0,14853209
29,0,15108969
30,1,15355271
31,0,15680778
32,1,15929689
33,0,16211217
34,0,16290467
35,1,16608459
36,1,16944650
37,0,18017305
38,2,18183178
39,1,19464323
40,1,20129342
41,1,20987996
42,2,21704862
43,0,24251021
44,0,24254062
45,2,25160116
46,0,26461215
47,0,26624371
48,2,26894541
49,0,27643469
50,2,28386710
51,0,28400469
52,1,28400564
53,0,29008719
54,1,30644515
55,0,30740316
56,0,31070800
57,0,31725563
58,2,32261825
59,2,32696308
60,0,33434083
61,2,33816548
62,2,33865344
63,2,35066848
64,0,38064468
65,1,41470768
66,0,42067766
67,2,42700418
68,2,43265004
69,1,43490817
70,1,43585798
71,1,44241608
72,2,44532732
73,0,44683874
74,2,45333399
75,1,47039286
76,0,47391021
77,1,47687860
78,1,49698826
79,1,50310933
80,0,51104741
81,1,51941782
82,1,52142020
83,1,52383381
84,0,52544398
85,2,53439557
86,0,53683001
87,1,58003870
88,0,60775063
89,1,61130387
90,0,61504387
91,0,62237888
92,0,62365642
93,0,62461770
94,0,64204042
95,1,64542767
96,2,64659141
97,2,65074786
98,2,65365279
99,1,66511864
100,0,67156431
101,0,67357900
102,0,68096228
103,2,68946438
104,0,68976450
105,2,69214128
106,1,70525920
107,0,70636754
108,1,71167957
109,0,72197728
110,1,72457142
111,0,74211057
112,0,74412161
113,0,75354650
114,2,75404888
115,0,75557351
116,2,75814781
117,2,77790218
118,2,77946721
119,0,78077864
120,2,78236403
121,2,79829397
122,0,79903217
123,1,82007060
124,0,82104848
125,1,82335846
126,1,82344384
127,1,82964900
128,2,83269076
129,2,85822809
130,2,85823558
131,0,86036485
132,0,86372316
133,2,87325121
134,0,87598370
135,1,87695204
136,0,88984815
137,1,89620671
138,0,90004232
139,2,90948449
140,1,90948787
141,0,91838396
142,0,91948010
143,0,92353144
144,1,94106601
145,0,95168548
146,0,95168708
147,1,95173707
148,1,95526265
149,1,97167959
150,0,98155280
151,1,98841001
152,1,99945546
153,1,100391735
154,0,100462743
155,0,100473345
156,1,101325581
157,1,101623254
158,0,101725095
159,0,101727702
160,0,102199807
161,1,103660195
162,1,103789427
163,1,103981093
164,1,104326454
165,0,105910548
166,0,105977562
167,0,106261062
168,1,106531602
169,2,106959396
170,1,107171500
171,1,107329943
172,2,107768446
173,0,109601127
174,2,109911779
175,1,110429861
176,0,111070115
177,0,111434144
178,1,111521174
179,2,111934777
180,0,112037920
181,0,112621725
182,2,112731485
183,0,114160715
184,1,114438690
185,1,115311596
186,1,115787277
187,0,116171947
188,1,116350721
189,1,116967128
190,0,117326567
191,0,117326815
192,0,118519545
193,0,118561178
