,cat,id
0,2,366683
1,1,497255
2,2,915781
3,2,2012925
4,3,2554324
5,2,2813499
6,2,4353219
7,2,4377774
8,2,5570365
9,2,6444273
10,2,7200059
11,3,7229231
12,2,7881543
13,2,8141657
14,3,8165686
15,0,8171953
16,2,8235902
17,3,8426579
18,2,8694426
19,2,9935949
20,1,11224127
21,1,13143843
22,1,14269950
23,1,14518571
24,3,14974028
25,3,15142506
26,2,15168492
27,3,16036099
28,2,16116453
29,2,16244124
30,2,17642726
31,3,17661324
32,0,18038767
33,1,18247895
34,1,18330049
35,0,18591986
36,2,19026632
37,3,19184410
38,3,19386352
39,2,21831451
40,3,22591645
41,2,23207151
42,0,23834466
43,2,24118988
44,3,24888119
45,3,25744960
46,3,25842117
47,0,25957076
48,1,26171167
49,1,26171776
50,0,26240294
51,3,27088148
52,2,27851866
53,1,28018596
54,3,28033748
55,2,28322996
56,3,28393968
57,2,28484847
58,2,28546212
59,3,28870151
60,0,29247731
61,2,29337551
62,1,30149342
63,2,30228960
64,1,30578391
65,1,31672228
66,1,32400417
67,2,32438410
68,0,32592527
69,3,33573489
70,1,36517634
71,1,36990750
72,2,37025331
73,2,37554652
74,1,37963577
75,2,38511105
76,0,38543717
77,3,38835933
78,2,39370641
79,3,39728056
80,1,39851794
81,1,40008713
82,1,40027880
83,3,40192234
84,0,40369359
85,0,40417744
86,1,40754021
87,0,40915071
88,0,40955592
89,3,41744386
90,3,43317231
91,3,43566723
92,3,43576818
93,0,44911962
94,1,45391429
95,2,45825017
96,0,45873805
97,3,45941419
98,1,47086739
99,3,47286868
100,2,47357154
101,2,48159523
102,3,48687840
103,0,48858096
104,2,49212182
105,1,49536406
106,0,49850069
107,2,50145957
108,1,50764382
109,1,50832248
110,3,50887227
111,1,51216254
112,0,51676976
113,3,52051668
114,3,52626752
115,2,53367330
116,2,53516658
117,3,53863362
118,3,54166088
119,2,54226813
120,0,55157682
121,3,55693772
122,3,56785956
123,2,59296322
124,0,59442038
125,0,62578042
126,3,62780378
127,2,62879354
128,0,63050344
129,2,63421783
130,2,63839880
131,1,64415385
132,2,65239969
133,3,66349665
134,2,68064877
135,3,68786760
136,2,69403559
137,1,69537790
138,2,70802239
139,2,70876098
140,3,70884021
141,2,71192686
142,3,71197614
143,0,71382947
144,0,71701388
145,3,72119299
146,1,73289623
147,2,73482020
148,0,73511044
149,3,73613159
150,0,73716507
151,1,74096650
152,1,74671526
153,3,74830992
154,3,75440152
155,2,75803290
156,2,78635743
157,2,78771719
158,0,80383060
159,2,80588540
160,3,80706435
161,0,80999146
162,1,81085175
163,3,82379429
164,3,83973737
165,0,84519239
166,2,85249747
167,0,86759450
168,0,87392590
169,1,88010183
170,3,88791357
171,0,90126449
172,3,90464394
173,0,90583834
174,2,90645762
175,3,91410692
176,2,91413266
