,cat,id
0,0,298537
1,0,1438833
2,0,1619201
3,0,1943430
4,0,2106790
5,0,3464410
6,1,3746062
7,1,4697173
8,0,6173679
9,0,6370247
10,1,6746458
11,0,7490319
12,0,7627762
13,0,8296068
14,1,9246427
15,0,9438097
16,0,9744927
17,1,10657864
18,0,11233612
19,0,12575323
20,2,13436585
21,1,14315525
22,1,14397219
23,0,14403411
24,0,14613665
25,2,14828422
26,0,16161496
27,1,16278142
28,0,18016066
29,2,18955158
30,0,19124979
31,0,19417184
32,2,22477213
33,2,22639989
34,0,22647498
35,1,23059643
36,0,23112825
37,1,24223742
38,0,24255915
39,0,24442623
40,1,26359397
41,0,27571247
42,0,27634181
43,0,28919964
44,1,29708087
45,1,29708973
46,0,30405438
47,0,30739716
48,0,31035011
49,0,31092234
50,0,31588748
51,0,31639559
52,1,31995362
53,1,32518669
54,0,32612513
55,0,32823394
56,0,33201886
57,0,33580783
58,0,33663437
59,0,35076269
60,2,35591072
61,1,35897215
62,0,35914992
63,0,38239687
64,0,38314859
65,0,38608862
66,0,40422150
67,1,41630166
68,1,41923026
69,2,42371534
70,0,42477594
71,0,43226002
72,0,43368925
73,0,43524384
74,0,43800522
75,1,43859297
76,1,44096867
77,0,44120853
78,0,44487974
79,0,45936922
80,0,46814042
81,1,46935003
82,1,46997843
83,1,47396003
84,1,47530827
85,1,47619965
86,0,47666969
87,0,48199165
88,0,48267465
89,1,49640693
90,1,49902409
91,0,50470083
92,0,51023485
93,1,51194108
94,1,51557314
95,0,53792268
96,0,54387117
97,0,55591547
98,0,55762133
99,2,55792177
100,0,55906863
101,0,56138319
102,1,56352020
103,0,56691177
104,0,57654974
105,1,58226718
106,2,58299255
107,0,58864633
108,0,59334896
109,0,59607778
110,2,60065022
111,0,60073194
112,2,60160770
113,0,61605838
114,1,62565175
115,2,62598385
116,1,62735034
117,0,63198833
118,0,64995152
119,1,65986499
120,0,67498819
121,0,67730701
122,1,67747375
123,0,68536489
124,0,69046986
125,1,69462339
126,0,69895101
127,0,70407810
128,0,70560355
129,0,70881400
130,1,70997315
131,2,71381751
132,0,71452633
133,2,71597392
134,1,73029709
135,1,73471427
136,0,73744934
137,0,75243392
138,0,76237882
139,1,76992754
140,1,78778945
141,1,79503204
142,0,80356133
143,0,80408495
144,0,81099385
145,0,82557972
146,0,83563080
147,1,83592523
148,2,83630529
149,0,83965790
150,1,86306421
151,0,86773916
152,1,87094072
153,0,87257961
154,0,87780863
155,1,87795210
156,1,88424205
157,1,91912552
158,2,93016762
159,2,93337263
160,1,94426679
161,1,95513914
162,0,96538254
163,2,96957728
164,0,97592577
165,0,99720318
166,0,99897812
167,0,100002745
168,0,100024526
169,0,100931625
170,0,101901985
171,0,102999087
172,1,104947180
173,0,105986791
174,0,107419939
175,0,108810802
176,0,108914338
177,0,109229011
178,0,109845334
179,2,110302205
180,0,110394034
181,0,111079908
182,0,111198580
183,1,112798866
184,1,113259434
185,0,114796746
186,0,115169789
187,1,115660766
188,1,116193313
189,1,116206957
190,0,117144037
191,0,117851686
192,1,118026218
193,2,118212588
194,0,118247561
195,1,118359549
196,0,118489668
197,0,118906245
198,0,119110436
199,1,119285692
200,1,119703288
201,1,119821021
202,0,120268500
203,2,121362673
204,0,123071809
205,0,123953260
206,0,125924234
207,0,126108191
208,1,126537393
209,0,126873553
210,1,127325517
211,0,128315329
212,0,128330499
213,1,128824486
214,0,128885554
215,0,129109220
216,0,129140271
217,0,129490217
218,1,130624401
219,1,130673527
220,0,131354143
221,2,131647747
222,0,132662980
223,2,133008269
224,1,133594618
225,0,134566428
226,0,135725047
227,0,136291597
228,0,136409296
229,1,140517930
230,2,140596722
231,0,141147779
232,1,141685243
233,0,142673935
234,0,142934805
235,0,143227668
236,0,144016407
237,0,144043772
238,1,144266375
239,1,146267786
240,0,146546265
241,0,146963431
242,2,147968486
243,0,149366542
244,0,150412700
245,0,151632093
246,1,151928747
247,0,152726896
248,0,153443781
249,2,153505783
250,0,154613216
251,0,154937201
252,0,156166975
253,2,156953161
254,0,157307236
255,1,157658019
256,1,157658059
257,1,157660095
258,0,157907088
259,0,158640433
