,cat,id
0,3,247124
1,2,525052
2,0,902732
3,1,930872
4,2,1361586
5,2,2015559
6,2,2015852
7,2,2480697
8,2,2520977
9,3,3998063
10,1,4377766
11,1,4572082
12,1,5491796
13,2,5935550
14,2,6168670
15,2,8949777
16,2,9076499
17,1,9082969
18,1,10553212
19,1,11142449
20,0,11564685
21,2,11740713
22,2,12035001
23,2,13551470
24,2,14191461
25,2,15730419
26,2,15730858
27,3,16118435
28,2,16355650
29,1,16986440
30,2,17219954
31,1,17375808
32,1,17504668
33,1,17622625
34,0,17817001
35,0,18140557
36,1,18192286
37,1,19389224
38,1,19396634
39,1,19454422
40,0,19722986
41,1,20300553
42,2,20456240
43,1,20504700
44,2,20804830
45,2,20804897
46,2,21001299
47,1,22125067
48,2,25237602
49,2,25238067
50,3,26398340
51,3,26398383
52,3,26398565
53,3,26398646
54,3,26398661
55,2,26406542
56,2,26430835
57,3,26506828
58,3,26506849
59,2,26711768
60,1,27022756
61,2,27698850
62,2,28855496
63,2,29718859
64,2,32270131
65,1,33702221
66,2,34656671
67,1,35216401
68,0,35362278
69,2,35475986
70,0,35958565
71,2,37192586
72,2,37549245
73,0,38988593
74,0,39487047
75,1,40660342
76,1,40681520
77,1,40683594
78,1,40686605
79,1,40686786
80,1,40687491
81,1,40690231
82,1,40690582
83,3,40691314
84,2,41756401
85,2,41898554
86,0,41979190
87,2,42559010
88,2,42864013
89,3,43710194
90,2,43944574
91,2,44094123
92,3,45145094
93,1,45739854
94,1,46305311
95,1,46537360
96,1,46543055
97,1,46544946
98,1,46546854
99,2,46728293
100,0,47133027
101,0,49048597
102,2,49058085
103,0,49682420
104,0,50667757
105,0,50706239
106,1,52022384
107,1,52467520
108,3,52736667
109,0,53655439
110,2,55255247
111,1,55647623
112,2,56725058
113,2,57764035
114,1,57941417
115,1,58895265
116,0,59944309
117,2,61255423
118,1,61913275
119,1,63787184
120,1,64696366
121,0,64734147
122,1,66327865
123,0,67962225
124,1,68704884
125,0,68985404
126,0,69046647
127,2,69634330
128,1,70204360
129,2,70712209
130,1,70936346
131,0,72371913
132,2,72736648
133,1,73155136
134,1,73156718
135,1,73156907
136,0,73367779
137,1,75414506
138,1,75574937
139,3,76293353
140,3,76293362
141,1,77745769
142,0,77869195
143,0,78257334
144,0,78627659
145,1,79531135
146,1,79652169
147,2,80005208
148,2,80241157
149,3,83023854
150,1,83201534
151,3,84826464
152,2,86077607
153,0,87155490
154,2,87355032
155,2,87664045
156,1,88288142
157,1,88288327
158,1,88288454
159,1,88288487
160,1,88288534
161,1,88289109
162,1,88289281
163,1,88289892
164,1,88290003
165,1,88290597
166,1,88291545
167,1,88294497
168,1,88296028
169,1,88297801
170,1,88298686
171,1,88506679
172,0,88535302
173,1,89354213
174,2,89713459
175,2,90104346
176,0,93043105
177,1,93635448
178,1,93974633
179,2,94558680
180,2,94850499
181,2,94851611
182,2,94851668
183,1,94932567
184,0,94995478
185,2,96039633
186,0,96101856
187,1,96943362
188,2,98506386
189,1,98583825
190,0,99580316
191,2,101209748
192,3,101462092
193,3,101462334
194,0,101872500
195,1,102128688
196,2,102535130
197,1,102883065
198,0,103181894
199,1,103551590
200,1,104719583
201,2,104812277
202,0,105785456
203,2,106008118
204,2,107281617
205,2,107282081
206,0,107853500
207,0,109186420
208,1,109503999
209,0,112142686
210,1,112624522
211,3,113271473
212,3,114221189
213,3,114221205
214,3,114221308
215,2,114488807
216,1,114812319
217,2,115202259
218,2,117255334
219,1,117377323
220,0,118415907
221,3,118825615
222,0,119151224
223,2,120163441
224,2,121080759
225,1,121148993
226,2,121902710
227,0,123302248
228,1,123463560
229,1,123767939
230,2,125746036
231,2,125747195
232,0,129346915
233,2,130088009
234,2,130473922
235,2,131192997
236,1,131229270
237,2,131471042
238,0,132024613
239,0,132357249
240,0,133660542
241,1,133717710
242,0,134488599
243,2,135414972
244,1,135739514
245,2,135781083
246,2,135943870
247,2,135945765
248,2,135946979
249,2,135947626
250,1,136332121
251,0,136361238
252,1,136429023
253,3,137062962
254,3,137106889
255,1,137134355
256,0,137256095
257,3,138424313
258,1,138426899
259,0,138665431
260,1,138767601
261,2,139248573
262,0,139803250
263,2,141914025
264,2,143904061
265,0,144582945
266,1,144617671
267,2,145081393
268,2,145525595
269,0,146375307
270,2,146391168
271,2,146394274
272,2,146394371
273,2,146798462
274,0,146913991
275,2,147032439
276,2,147536970
277,2,149698779
278,2,150309213
279,2,150310947
280,2,150311040
281,2,150851978
282,1,150869107
283,1,151121904
284,1,151122057
285,2,151690188
286,1,151690938
287,3,153148483
288,2,156225281
289,2,156225541
290,2,156801964
291,1,156861080
292,0,157300814
293,3,158190576
294,2,158364966
295,1,158454622
296,2,159566148
297,0,160971492
298,0,161179202
299,3,163575656
300,2,163790221
301,1,164366858
302,2,164644677
303,2,164723958
304,1,166305590
305,1,168061963
306,2,168145061
307,3,168974497
308,2,169607418
309,3,170414233
310,2,170645183
311,2,170764731
312,2,171690156
313,2,171773585
314,2,172778763
315,2,173597191
316,2,173597813
317,0,173987936
318,1,174342897
319,2,175764747
320,2,175766720
321,2,175768090
322,3,177163111
323,2,177607966
324,2,177618715
325,0,177829690
326,2,178010253
327,2,178903597
328,2,182674587
329,1,183575484
330,1,183575541
331,1,183576080
332,1,183576197
333,1,184187049
334,1,184449251
335,0,185043010
336,3,185769772
337,2,186254458
338,1,186578219
339,1,186760144
340,0,187823850
341,1,188059023
342,1,188246595
343,1,188384363
344,0,188581525
345,0,188622158
346,1,189256662
347,2,189440324
348,1,189748106
349,1,189779645
350,2,190932043
351,2,193793404
352,0,194837548
353,2,194930898
354,0,195225011
355,0,196337633
356,3,197187326
357,3,197187347
358,2,197807519
359,2,198109355
360,1,198890027
361,0,198908030
362,1,199266750
363,1,199266759
364,0,199849970
365,0,200094427
366,1,200495486
367,1,201198867
368,0,201661340
369,1,201667472
370,0,202957907
371,3,203516930
372,1,205590971
373,1,207127224
374,1,207432232
375,1,208599664
376,1,209456757
377,0,209506232
378,1,209565351
379,2,212096464
380,0,212220692
381,2,213862477
382,2,214096696
383,2,214701382
384,2,214703756
385,2,215079469
386,1,215492922
387,0,215708615
388,1,216027312
389,2,217057823
390,2,217333017
391,2,217333165
392,1,217579218
393,2,217825684
394,0,219167139
395,1,220051356
396,2,220302474
397,2,220425319
398,2,220426255
399,2,220427121
400,2,220880351
401,2,220971236
402,3,222025465
403,2,223716657
404,2,224104616
405,2,224347164
406,2,224347329
407,3,224796017
408,2,225523171
409,0,225879214
410,2,226629243
411,2,227016065
412,2,227413777
413,2,228665303
414,2,228733517
415,2,229121314
416,2,229121543
417,3,229214423
418,3,229214439
419,3,229214478
420,0,231142278
421,0,231345081
422,2,231497627
423,2,231497769
424,2,232690418
425,2,232690428
426,2,232690459
427,2,234490805
428,2,234839764
429,2,235392944
430,2,235581715
431,2,236659461
432,0,236930866
433,3,237380202
434,3,237380350
435,3,237380526
436,0,237705736
437,2,239447849
438,2,239510846
439,2,239716626
440,2,239716776
441,0,240162525
442,1,240212469
443,2,240322258
444,2,240322351
445,2,240322812
446,2,240323499
447,2,240324099
448,0,240649668
449,2,240702444
450,1,242277082
451,2,242407059
452,1,243212121
453,2,243775708
454,2,243775937
455,1,244290237
456,2,244293052
457,2,244711759
458,1,247541884
459,2,247978182
460,1,249105316
461,1,249602229
462,1,249604130
463,2,250374842
464,3,250444306
465,3,250447080
466,0,251472418
467,2,252195013
468,2,252321616
469,2,252475832
470,2,253192092
471,1,254025825
472,2,255139050
473,2,255318684
474,2,258354795
475,1,258518667
476,2,258869506
477,2,259220554
478,1,259404031
479,0,259536576
480,2,259883558
481,0,259956618
482,2,260404517
483,2,260405640
484,1,260661302
485,1,261110030
486,1,261136690
487,2,261342967
488,2,262174120
489,2,262175566
490,2,262177227
491,2,262916588
492,2,264512279
493,2,264512301
494,2,264788968
495,1,264818657
496,2,264995028
497,2,265189990
498,2,266266139
499,2,267130577
500,2,267195749
501,0,267549466
502,0,268538407
503,2,268883248
