,cat,id
0,0,617244
1,1,1166802
2,3,1540175
3,0,1541601
4,0,2803062
5,1,3202952
6,3,3640548
7,0,4162709
8,0,4701432
9,0,4868730
10,0,5410222
11,0,5492342
12,3,8408597
13,0,9243536
14,3,10124019
15,2,10294274
16,0,10832031
17,3,11396871
18,2,13074526
19,3,13262144
20,1,13937003
21,3,14054945
22,1,14367384
23,0,14528969
24,2,19901281
25,3,20301762
26,2,20970628
27,1,21514739
28,1,21564011
29,0,22852513
30,2,22978365
31,0,23235057
32,3,23397724
33,0,23476029
34,0,23638279
35,0,24255677
36,0,25545574
37,3,25872514
38,1,26831965
39,3,26951959
40,2,27090045
41,3,27656338
42,2,29489707
43,3,30126093
44,0,30861189
45,1,31550214
46,0,31814511
47,1,31959315
48,1,32248316
49,2,32324854
50,0,32896513
51,1,32990001
52,1,34297298
53,0,35711360
54,3,37784032
55,2,38587975
56,0,38975669
57,0,39554684
58,0,40642229
59,0,40931278
60,0,42041287
61,0,42387278
62,3,42714830
63,3,43716998
64,3,44619627
65,0,44899223
66,2,44903192
67,3,45675382
68,2,45893653
69,2,46626243
70,3,49971745
71,1,50083716
72,1,50344431
73,0,51290022
74,3,55500752
75,3,55933544
76,1,56035256
77,1,56728518
78,2,56730628
79,0,56811884
80,2,57747462
81,1,58581117
82,3,59407677
83,3,59483339
84,3,59558278
85,0,59737649
86,2,60060924
87,2,60472118
88,1,63188334
89,2,64192423
90,3,64829957
91,1,64913554
92,3,65305848
93,0,66263983
94,3,70015321
95,0,72983256
96,1,73057074
97,3,73132445
98,0,73931701
99,0,73967121
100,1,74032928
101,1,74446272
102,1,75143205
103,0,75159641
104,0,75453433
105,0,76896489
106,2,76994843
107,1,77100511
108,3,77245401
109,0,77677435
110,1,77940608
111,0,78492679
112,2,79714926
113,1,80035341
114,0,81729159
115,1,82338613
116,3,82940393
117,3,84341308
118,3,85183776
119,1,88239072
120,0,88346141
121,1,90189553
122,2,90453088
123,3,90653032
124,2,90885350
125,0,91288366
126,0,91887598
127,0,92695416
128,3,93986700
129,3,94050911
130,1,94066284
131,2,94331933
132,2,95123883
133,3,95316751
134,3,95617807
135,2,96340505
136,1,96517448
137,0,97084253
138,2,97369353
139,3,98178434
140,2,98530339
141,3,98657283
142,3,98846485
143,3,99179078
144,3,99179115
145,3,99475391
146,0,101878989
147,0,102091958
148,3,102175289
149,1,102900501
150,0,104072341
151,0,104074026
152,0,104077346
153,0,104391817
154,0,104599720
155,1,104905108
156,0,104965887
157,3,106125227
158,0,106973051
159,1,107373606
160,2,107395671
161,2,107882168
162,0,108160967
163,3,108234294
164,0,109413842
165,2,109947969
166,1,112083829
167,0,112520497
168,0,112637253
169,1,112649552
170,2,113489989
171,3,114134510
172,3,114161074
173,1,115484243
174,3,115846746
175,0,115938364
176,2,117602895
177,0,119876254
178,1,120254694
179,0,121128259
180,0,121222380
181,0,121389910
182,0,122044618
183,1,122880239
184,0,123057884
185,0,123201743
186,0,123320520
187,3,123498303
188,3,124761445
189,0,125306790
190,0,125580948
191,1,125627554
